"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы крупные IT-конференции в 2017 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2018?","Кто вы?"
"2017/12/11 1:20:08 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:20:13 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:20:15 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:20:40 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:20:45 PM GMT+2","Bitcoin по $18K","Да","JavaDay UA 2017: The Art of Java","JavaScript fwdays","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:20:54 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","LvivJS 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:21:00 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Трудный год, но в целом все хорошо","Все будет плохо, но вы держитесь","Синьор (5-10 лет опыта)"
"2017/12/11 1:21:03 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:21:03 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:21:04 PM GMT+2","Начал действовать безвизовый режим","Да","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:21:38 PM GMT+2","Начал действовать безвизовый режим","Да","Games Gathering 2017","GameDev Conference 2017","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 1:21:44 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","IT Weekend Ukraine","ITEM-2017","Неудачный год, все плохо","Все будет плохо, но вы держитесь","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:21:45 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 1:21:57 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 1:22:09 PM GMT+2","Начал действовать безвизовый режим","Да","","AI Ukraine ’17","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
