"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы IT-конференции в 2016 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2017?","Кто вы?"
"2016/12/08 10:06:50 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:06:58 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:07:03 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:07:17 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:07:36 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:07:44 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:07:55 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/08 10:08:17 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:08:23 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:08:23 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:08:26 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","JEEConf","IoT Conf UA","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:08:45 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:08:53 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","PyCon Ukraine 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:08:58 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:09:02 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:09:04 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JavaDay Kyiv 2016","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:09:07 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","4С: Kyiv","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/08 10:09:14 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:09:42 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:09:44 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","WebCamp 2016","Most JS Frameworks Day","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:09:45 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","JavaDay Kyiv 2016","SQLSaturday 2016","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:09:45 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:09:48 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:09:52 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/08 10:10:12 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:10:16 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:10:18 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","JEEConf","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:10:33 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","KharkivJS#7","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:10:44 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/08 10:10:55 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:10:56 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:10:59 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:11:09 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/08 10:11:55 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:12:03 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Outsource People 2016 Kyiv","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:12:09 ДП GMT+2","Появление ""Неприличное.ит""","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:12:26 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:12:36 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:12:42 ДП GMT+2","Отмена седьмой волны мобилизации","Да","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:12:44 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","QA Fest 2016","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:12:59 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Black Sea Summit 2016","GDG DevFest","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:13:15 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:13:35 ДП GMT+2","Появление ""Неприличное.ит""","Да","Lviv IT Arena 2016","RubyC-2016","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:13:42 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:14:05 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:14:22 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Outsource People 2016 Kyiv","uaMobiTech 2016","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:14:36 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Dev Challenge 10","IoT Conf UA","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:14:47 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","PyCon Ukraine 2016","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",""
"2016/12/08 10:14:48 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:15:13 ДП GMT+2","Отмена седьмой волны мобилизации","Да","JEEConf","Build Stuff Ukraine Kyiv","Неудачный год, все плохо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/08 10:15:15 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:15:18 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:15:29 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:15:34 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","QA Fest 2016","SQLSaturday 2016","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/08 10:15:45 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Dev Challenge 10","JavaScript Frameworks Day","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:15:47 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","HackIT Ukraine 2016","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:15:55 ДП GMT+2","Отмена седьмой волны мобилизации","Да","IT Weekend Ukraine","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:16:09 ДП GMT+2","Отмена седьмой волны мобилизации","Да","","","Нормальный год, все как обычно","Все плохо, пора валить","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:16:58 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:17:12 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:17:26 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Black Sea Summit 2016","AI Ukraine’16","Нормальный год, все как обычно","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:17:34 ДП GMT+2","Отмена седьмой волны мобилизации","Да","","PyCon Ukraine 2016","Трудный год, но в целом все хорошо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/08 10:17:47 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","iForum2016","JavaScript Frameworks Day","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:18:01 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:18:13 ДП GMT+2","Появление ""Неприличное.ит""","Да","Lviv IT Arena 2016","PyCon Ukraine 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:18:14 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:18:21 ДП GMT+2","Появление ""Неприличное.ит""","Да","QA Fest 2016","SQLSaturday 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:18:29 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:18:46 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","IT Weekend Ukraine","PyCon Ukraine 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/08 10:18:58 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","","HackIT Ukraine 2016","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:19:02 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:19:05 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","IT Weekend Ukraine","KharkivCSS","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:19:06 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:19:07 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","QA Fest 2016","Build Stuff Ukraine Kyiv","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:19:25 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:19:41 ДП GMT+2","Отмена седьмой волны мобилизации","Да","QA Fest 2016","KharkivJS#7","Неудачный год, все плохо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:19:53 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","JavaDay Kyiv 2016","AI Ukraine’16","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:20:00 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:20:02 ДП GMT+2","Появление ""Неприличное.ит""","Да","WebCamp 2016","PHP Frameworks Day","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:20:11 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:20:19 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:20:55 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:20:58 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JavaDay Kyiv 2016","","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:21:01 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:21:04 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:21:42 ДП GMT+2","Отмена седьмой волны мобилизации","Да","QA Fest 2016","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:21:44 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","IT Weekend Ukraine","IoT Conf UA","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/08 10:21:46 ДП GMT+2","Отмена седьмой волны мобилизации","Да","Lviv IT Arena 2016","JavaScript Frameworks Day","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:22:04 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/08 10:22:08 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:22:10 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:22:37 ДП GMT+2","Отмена седьмой волны мобилизации","Да","iForum2016","PyCon Ukraine 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:22:45 ДП GMT+2","Отмена седьмой волны мобилизации","Да","Lviv IT Arena 2016","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:22:54 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:22:54 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Lviv IT Arena 2016","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",""
"2016/12/08 10:23:04 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:23:06 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:23:13 ДП GMT+2","Появление ""Неприличное.ит""","Да","Lviv IT Arena 2016","PHP Frameworks Day","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:23:13 ДП GMT+2","Появление ""Неприличное.ит""","Да","Black Sea Summit 2016","Most JS Frameworks Day","Неудачный год, все плохо","Все плохо, пора валить","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:23:20 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Синьор (5-10 лет опыта)"
"2016/12/08 10:23:29 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:23:31 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","PyCon Ukraine 2016","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:23:35 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Lviv IT Arena 2016","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:23:55 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","QA Fest 2016","HackIT Ukraine 2016","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:24:06 ДП GMT+2","Отмена седьмой волны мобилизации","Да","Dev Challenge 10","Most JS Frameworks Day","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:24:09 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:24:15 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:24:18 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:24:21 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Lviv IT Arena 2016","JavaScript Frameworks Day","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/08 10:24:22 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/08 10:24:28 ДП GMT+2","Появление ""Неприличное.ит""","Да","","PyCon Ukraine 2016","Нормальный год, все как обычно","Все плохо, пора валить",""
"2016/12/08 10:24:32 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Lviv IT Arena 2016","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/08 10:24:40 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:25:05 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:25:06 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:25:10 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Неудачный год, все плохо","Все плохо, пора валить","Мега-синьор (10+ лет опыта)"
"2016/12/08 10:25:11 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Lviv IT Arena 2016","IoT Conf UA","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:25:22 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:25:27 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/08 10:25:28 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/08 10:25:47 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:26:09 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:26:16 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Один из лучших в моей жизни","Все плохо, пора валить",""
"2016/12/08 10:26:19 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Dev Challenge 10","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/08 10:26:22 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/08 10:26:38 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
