Timestamp,Лучший сайт для поиска работы?,Лучшее профильное мероприятие года в Украине?,Самое значимое событие года?,Лучший проект в сфере ИТ-образования?,Как вы оцениваете этот год лично для себя?,Какие у вас ожидания от 2016?,Кто вы?
11/23/2015 10:28:51,DOU.ua,Не слежу за мероприятиями,Девальвация гривны,Prometheus,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:28:53,Work.ua,Lviv IT Arena,Обыски в офисах ИТ-компаний,Lviv IT school (LITS),"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:29:04,DOU.ua,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,Prometheus,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:29:08,,,Обыски в офисах ИТ-компаний,,"Нормальный год, все как обычно","Все плохо, пора валить",
11/23/2015 10:29:10,LinkedIn,Не слежу за мероприятиями,"Личное (новая работа, повышение, свадьба, ...)",Java курсы Ивана Головача,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:29:40,Джинн,JavaDay Kyiv,Запуск 3G в Украине,Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:29:48,LinkedIn,JEEConf (Киев),Выход Fallout 4,Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:30:08,Джинн,Не слежу за мероприятиями,"Волонтерский десант в органах власти (МО, Одесса и пр)",Lviv IT school (LITS),"Трудный год, но в целом все хорошо","Все плохо, пора валить",Синьор (5-10 лет опыта)
11/23/2015 10:30:37,DOU.ua,IT Jam 2015 (Киев),Прекращение активных боевых действий на Донбассе,Bionic University,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:31:06,,,Шестая волна мобилизации в ВСУ,,"Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения",
11/23/2015 10:31:20,Джинн,OdessaJS/LvivJS/KharkivJS/KyivJS,Прекращение активных боевых действий на Донбассе,Code School,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:31:33,Джинн,OdessaJS/LvivJS/KharkivJS/KyivJS,Прекращение активных боевых действий на Донбассе,IT Labs,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:31:35,,UA Web Challenge,"Личное (новая работа, повышение, свадьба, ...)",GoIT,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:31:47,Rabota.ua,IT Jam 2015 (Киев),Прекращение активных боевых действий на Донбассе,BrainAcademy / Coding for Future,Один из лучших в моей жизни,Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:31:48,Rabota.ua,IT Fest (Киев),Прекращение активных боевых действий на Донбассе,GoIT,"Трудный год, но в целом все хорошо",Все будет хорошо,Джуниор (меньше двух лет опыта)
11/23/2015 10:31:56,,,"Создание городских ИТ-кластеров (Харьков, Одесса, Днепр, ...)",,"Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",Миддл (2-5 лет опыта)
11/23/2015 10:32:00,LinkedIn,E-congress 2015,Обыски в офисах ИТ-компаний,Нет,"Трудный год, но в целом все хорошо",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:32:09,Джинн,Не слежу за мероприятиями,Покупка Looksery за $150M,Prometheus,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:32:26,Джинн,Не слежу за мероприятиями,Запуск 3G в Украине,Prometheus,"Нормальный год, все как обычно",Все будет хорошо,Мега-синьор (10+ лет опыта)
11/23/2015 10:33:19,DOU.ua,AI Ukraine (Харьков),Запуск 3G в Украине,Prometheus,"Трудный год, но в целом все хорошо",Все будет хорошо,
11/23/2015 10:33:20,Rabota.ua,OdessaJS/LvivJS/KharkivJS/KyivJS,"Личное (новая работа, повышение, свадьба, ...)",SmartJS,"Трудный год, но в целом все хорошо",Все будет хорошо,Миддл (2-5 лет опыта)
11/23/2015 10:33:35,LinkedIn,Не слежу за мероприятиями,Девальвация гривны,,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:33:41,LinkedIn,"слежу, но ничего интересного не было","Личное (новая работа, повышение, свадьба, ...)",не сталкивался,"Нормальный год, все как обычно",Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:33:43,Джинн,,"Волонтерский десант в органах власти (МО, Одесса и пр)",,Один из лучших в моей жизни,Все будет хорошо,Синьор (5-10 лет опыта)
11/23/2015 10:33:56,LinkedIn,ITEM-2015 (Днепропетровск),Обыски в офисах ИТ-компаний,Prometheus,"Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",Синьор (5-10 лет опыта)
11/23/2015 10:34:09,,,Шестая волна мобилизации в ВСУ,,"Неудачный год, все плохо",Все будет хорошо,Мега-синьор (10+ лет опыта)
11/23/2015 10:34:59,DOU.ua,AI&BigData Lab (Одесса),Покупка Looksery за $150M,Bionic University,"Трудный год, но в целом все хорошо",Все будет хорошо,Мега-синьор (10+ лет опыта)
11/23/2015 10:35:06,DOU.ua,Не слежу за мероприятиями,Прекращение активных боевых действий на Донбассе,JavaRush,"Нормальный год, все как обычно",Все будет хорошо,Миддл (2-5 лет опыта)
