"Timestamp","В каком вузе учились?","На каком факультете?","По какой специальности?","В каком году закончили вуз?","Как вы оцениваете полученное образование?","Что полезного для себя приобрели за время учебы?","Сталкивались ли вы с коррупцией в вашем вузе?","Сильные стороны вашего вуза:","Слабые стороны вашего вуза:","Если бы была возможность выбрать другой вуз/специальность, что бы вы выбрали?","Если бы была возможность, вы:","Пригодился ли вам диплом?","Учились очно или заочно?","Ваш пол:","Кем работаете?","Ваш доход:"
"2015/06/02 9:53:10 AM GMT+3","НТУУ «КПИ»","ФИВТ","Программная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Получили полезные знания по специальности;Научились эффективно планировать свое время","Нет","Изучаемые предметы, программа обучения;Престижность и котируемость диплома;Культурная жизнь в вузе","Устаревшая программа обучения;Слабые преподаватели","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:53:18 AM GMT+3","ЛНУ им. Франка","","Прикладная математика","2000-2009","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Современное техническое оборудование","Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Менеджер проекта","Выше среднего по отрасли"
"2015/06/02 9:53:31 AM GMT+3","НЛТУУ","","Компьютерные науки","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Нашли друзей и единомышленников","Да, иногда","Культурная жизнь в вузе","Устаревшая программа обучения;Слабые преподаватели;Слабые студенты","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:53:34 AM GMT+3","ХНУРЭ","","Компьютерные науки","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, иногда","Изучаемые предметы, программа обучения","Нет современного оборудования;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:53:42 AM GMT+3","НТУУ «КПИ»","ФПМ","Программная инженерия","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Только по непрофильным предметам","Сильные преподаватели;Культурная жизнь в вузе","Вуз не мотивирует учиться","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:53:43 AM GMT+3","ОНПУ","ИРТ","Безопасность информационных и коммуникационных систем","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, часто","Сильные преподаватели","Устаревшая программа обучения;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Тестировщик","Средний по отрасли"
"2015/06/02 9:54:32 AM GMT+3","ВНТУ","","Системная инженерия","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников","Нет","Уровень студентов","Слабые преподаватели","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Сисадмин","Выше среднего по отрасли"
"2015/06/02 9:54:43 AM GMT+3","НГУ (Днепропетровск)","ФИТ","Компьютерные науки","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Нашли друзей и единомышленников;Завели полезные знакомства среди преподавателей","Нет","Современное техническое оборудование","Устаревшая программа обучения;Слабые преподаватели;Вуз не мотивирует учиться","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:55:01 AM GMT+3","НТУУ «КПИ»","ФТИ","Безопасность информационных и коммуникационных систем","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности","Только по непрофильным предметам","Сильные преподаватели;Уровень студентов;Культурная жизнь в вузе","Нет сотрудничества с работодателями;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/02 9:55:07 AM GMT+3","НТУУ «КПИ»","ИПСА","Системный анализ","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Получили полезные знания по специальности;Научились эффективно планировать свое время","Только по непрофильным предметам","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Вуз не мотивирует учиться","не выбирал бы другого","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 9:55:12 AM GMT+3","ЗНТУ","","Компьютерная инженерия","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Нет","Сотрудничество с работодателями","Устаревшая программа обучения;Слабые студенты","","Вообще бы не поступал в вуз, шел бы сразу работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:55:25 AM GMT+3","ХНТУ","Кибернетика","Компьютерные науки","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Ничего","Да, иногда","Культурная жизнь в вузе","Устаревшая программа обучения;Слабые преподаватели;Нет сотрудничества с работодателями","","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 9:55:52 AM GMT+3","ВНТУ","","Программная инженерия","до 1999","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Уровень студентов;Культурная жизнь в вузе","Нет сотрудничества с работодателями;Нет современного оборудования;Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Разработчик","Средний по отрасли"
"2015/06/02 9:56:12 AM GMT+3","ОНАС им. А.С. Попова","Информационные системы","Другое - инженерная специальность","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Получили полезные знания по специальности","Только по непрофильным предметам","Изучаемые предметы, программа обучения;Сильные преподаватели","Нет современного оборудования","ОНПУ","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/02 9:56:19 AM GMT+3","НТУУ «КПИ»","ФМФ","Фізика","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Завели полезные знакомства среди преподавателей","Только по непрофильным предметам","Сильные преподаватели;Престижность и котируемость диплома;Культурная жизнь в вузе","Устаревшая программа обучения;Слабые студенты","Stanford, CS","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 9:56:36 AM GMT+3","НТУУ «КПИ»","","Системная инженерия","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Только по непрофильным предметам","Сильные преподаватели;Уровень студентов;Сотрудничество с работодателями","Слабые преподаватели;Нет современного оборудования;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Другое","Ниже среднего по отрасли"
"2015/06/02 9:56:58 AM GMT+3","ІФНТУНГ","Автоматизации и компьютерных наук","Системная инженерия","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, иногда","Сильные преподаватели","Слабые преподаватели;Слабые студенты;Вуз не мотивирует учиться","КНУ ім. Шевченка","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/02 9:57:03 AM GMT+3","НаУКМА","Інформатики","Программная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Научились общаться и работать в команд;Подучили английский язык","Нет","Уровень студентов;Культурная жизнь в вузе","Нет сотрудничества с работодателями;Нет современного оборудования","MIT","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Менеджер проекта","Средний по отрасли"
"2015/06/02 9:57:22 AM GMT+3","ХНУРЭ","ПММ","Прикладная математика","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Нашли друзей и единомышленников;Научились общаться и работать в команд;Завели полезные знакомства среди преподавателей","Да, иногда","Уровень студентов;Сотрудничество с работодателями","Устаревшая программа обучения;Нет современного оборудования","","","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 9:57:44 AM GMT+3","НТУУ «КПИ»","ФИВТ","Компьютерная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности","Только по непрофильным предметам","Сильные преподаватели;Сотрудничество с работодателями;Престижность и котируемость диплома","Устаревшая программа обучения;Нет современного оборудования;Вуз не мотивирует учиться","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:57:51 AM GMT+3","Львовская Политехника","ІКНІ","Программная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Нашли друзей и единомышленников","Только по непрофильным предметам","Сильные преподаватели;Уровень студентов;Сотрудничество с работодателями","Вуз не мотивирует учиться","","Поступил на заочку и шел работать","Да, у меня диплом бакалавра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 9:58:45 AM GMT+3","КНУ им. Шевченко","Экономический","Кибернетика","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников","Да, иногда","Престижность и котируемость диплома","Устаревшая программа обучения;Нет сотрудничества с работодателями","","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:59:02 AM GMT+3","Львовская Политехника","","Компьютерные науки","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились преодолевать проблемы","Да, часто","Уровень студентов","Устаревшая программа обучения","Український католицький університет","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Заочно","Мужчина","Дизайнер","Ниже среднего по отрасли"
"2015/06/02 9:59:04 AM GMT+3","НТУУ «КПИ»","ФИВТ","Программная инженерия","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Нет","Культурная жизнь в вузе","Слабые преподаватели;Нет современного оборудования;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 9:59:16 AM GMT+3","КНУ им. Шевченко","Кибернетики","Компьютерные науки","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Ничего","Нет","Уровень студентов;Престижность и котируемость диплома","Устаревшая программа обучения;Вуз не мотивирует учиться","Stanford","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 9:59:22 AM GMT+3","КЭИ КНЭУ(сейчас часть КНУ), г. Кривой Рог","Факультет менеджмента и экономической кибернетики","Программная инженерия","2010-2012","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Получили полезные знания по специальности;Научились эффективно планировать свое время","Да, иногда","Изучаемые предметы, программа обучения;Сильные преподаватели","Слабые студенты;Нет современного оборудования","","","Нет, не пригодился","Очно","Мужчина","ТОП-менеджер","Средний по отрасли"
"2015/06/02 9:59:25 AM GMT+3","НТУУ «КПИ»","","Другое - инженерная специальность","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Да, иногда","Сильные преподаватели","Устаревшая программа обучения;Слабые студенты;Нет сотрудничества с работодателями","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 10:00:14 AM GMT+3","НТУ «ХПИ»","","Компьютерная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Научились преодолевать проблемы","Да, иногда","Престижность и котируемость диплома","Устаревшая программа обучения","","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Заочно","Мужчина","Сисадмин","Средний по отрасли"
"2015/06/02 10:00:15 AM GMT+3","НТУУ «КПИ»","ФПМ","Прикладная математика","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Уровень студентов;Сотрудничество с работодателями;Престижность и котируемость диплома","Устаревшая программа обучения","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 10:00:29 AM GMT+3","НАУ","","Безопасность информационных и коммуникационных систем","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились преодолевать проблемы;Нашли друзей и единомышленников","Только по непрофильным предметам","Современное техническое оборудование","Устаревшая программа обучения;Слабые преподаватели;Нет сотрудничества с работодателями","","Учился в вузе более качественно","Нет, не пригодился","Часть курсов очно, часть заочно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 10:00:45 AM GMT+3","ДНУЖТ им. Лазаряна","КИТ","Программная инженерия","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения","Устаревшая программа обучения;Слабые преподаватели;Нет сотрудничества с работодателями","","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/02 10:00:48 AM GMT+3","КНУ им. Шевченко","Кибернетики","Компьютерная инженерия","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию","Нет","Сильные преподаватели;Уровень студентов;Престижность и котируемость диплома","Устаревшая программа обучения;Нет сотрудничества с работодателями;Вуз не мотивирует учиться","MIT","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","ТОП-менеджер","Выше среднего по отрасли"
"2015/06/02 10:00:49 AM GMT+3","ДНУЖТ им. Лазаряна","Техническая кибернетика","Компьютерная инженерия","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией","Нет","Престижность и котируемость диплома;Культурная жизнь в вузе","Устаревшая программа обучения","","","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 10:01:04 AM GMT+3","НТУУ «КПИ»","ФІОТ","Компьютерная инженерия","2010-2012","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Научились преодолевать проблемы;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Уровень студентов;Престижность и котируемость диплома","Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 10:01:07 AM GMT+3","Черниговский государственный технологический университет","","Компьютерная инженерия","2000-2009","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Нашли друзей и единомышленников;Получили полезные знания по специальности;Подучили английский язык","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Нет сотрудничества с работодателями","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/02 10:01:21 AM GMT+3","ХНУРЭ","КН","Программная инженерия","2010-2012","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Научились эффективно планировать свое время","Только по непрофильным предметам","Сильные преподаватели","Устаревшая программа обучения;Слабые преподаватели","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
