Timestamp,FirstLanguage,NowLanguage,AdditionalLanguages,NextLanguage,PetProjectsLanguages,Choosing,e1,e2,e3,e4,e5,InUA,InPrev,Age,ExperienceInProgramming,ExperienceInLanguage
12.07.2011 15:08:09,C++,Python,"C, C++, Python, Perl",Python,"C, Python",Исполнителем,,,,,,нет,нет,"[20, 30)",3,2
12.07.2011 15:08:12,C++,C++,Python,C++,C++,Не знаю,,,,,,да,да,"[20, 30)",5,5
12.07.2011 15:08:26,Java,PHP,JavaScript,PHP,"PHP, JavaScript",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",1,1
12.07.2011 15:08:27,Basic,PHP,"Java, Python, Perl",Python,,Заказчиком,,,,,,нет,нет,"[20, 30)",5,4
12.07.2011 15:08:40,PHP,Python,JavaScript,Python,"Python, JavaScript",Совместным решением,,,,,,да,да,"[20, 30)",5,2
12.07.2011 15:09:09,Pascal/Delphi,Python,JavaScript,Python,,Исполнителем,,,,,,да,нет,"[30, 40)",7,3
12.07.2011 15:09:13,C++,C++,"Java, C, C++, JavaScript",Java,"Java, C++",Заказчиком,,,,,,да,да,"[20, 30)",4,1
12.07.2011 15:09:26,C++,C++,Python,C#,"C++, Python",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",2,2
12.07.2011 15:09:29,Pascal/Delphi,С#,Python,C#,Python,Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",10+,5
12.07.2011 15:09:36,Pascal/Delphi,Java,Lisp,Java,,Не знаю,,,,,,да,да,"[20, 30)",5,5
12.07.2011 15:09:42,Pascal/Delphi,C++,"PHP, Python",Python,,Исполнителем,,,,,,да,нет,"[20, 30)",4,4
12.07.2011 15:10:18,Java,С#,"JavaScript, sql",Lua,,Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",3,3
12.07.2011 15:10:27,ActionScript,ActionScript,C#,ActionScript,"C#, ActionScript",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[30, 40)",4,4
12.07.2011 15:10:34,PHP,PHP,JavaScript,PHP,"PHP, Python, JavaScript",Исполнителем,,,,,,да,да,"[20, 30)",4,4
12.07.2011 15:11:02,PHP,Python,"Python, JavaScript",Python,,Не знаю,,,,,,да,нет,"[30, 40)",1,1
12.07.2011 15:12:01,ActionScript,PHP,"Python, Ruby, JavaScript",Python,"PHP, JavaScript",Совместным решением,,,,,,да,да,"[20, 30)",5,4
12.07.2011 15:12:06,Basic,Java,JavaScript,Java,"Java, PHP, JavaScript",Заказчиком,,,,,,да,нет,"[30, 40)",10+,7
12.07.2011 15:12:09,C++,Objective-C,C++,Objective-C,"C++, Objective-C",Заказчиком,,,,,,да,нет,"[30, 40)",7,1
12.07.2011 15:12:12,PHP,PHP,"Java, PHP, Python, JavaScript, Perl",PHP,"Java, PHP, C, C++, Python, JavaScript",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",6,6
12.07.2011 15:12:21,Pascal/Delphi,С#,JavaScript,C#,C#,Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",4,4
12.07.2011 15:12:39,Pascal/Delphi,Java,C++,Java,Java,Исполнителем,,,,,,да,нет,"[40, 50)",10+,5
12.07.2011 15:12:46,Pascal/Delphi,C++,"C#, Python",C++,"C#, C++",Исполнителем,,,,,,нет,нет,"[20, 30)",5,3
12.07.2011 15:13:13,Pascal/Delphi,Java,"C++, Lua",Java,"C#, Java",Совместным решением,,,,,,да,да,"[20, 30)",6,1
12.07.2011 15:13:16,PHP,JavaScript,Objective-C,JavaScript,JavaScript,Заказчиком,,,,,,нет,нет,"[20, 30)",5,3
12.07.2011 15:13:16,Basic,PHP,JavaScript,PHP,,Исполнителем,,,,,,нет,нет,"[30, 40)",8,6
12.07.2011 15:13:22,C++,Java,"Java, C++, Python",Java,Java,Не знаю,,,,,,да,нет,"[20, 30)",2,2
12.07.2011 15:13:37,Java,Java,"C, JavaScript, Groovy",Groovy,Java,Совместным решением,,,,,,да,да,"[20, 30)",1,3
12.07.2011 15:14:07,Pascal/Delphi,PHP,JavaScript,PHP,"Java, PHP",Совместным решением,,,,,,да,нет,"[20, 30)",3,3
12.07.2011 15:14:17,Java,Python,"Java, JavaScript",Python,"Python, JavaScript",Заказчиком,,,,,,да,да,"[20, 30)",6,5
12.07.2011 15:14:17,Java,С#,JavaScript,C#,,Заказчиком,,,,,,да,да,"[20, 30)",7,5
12.07.2011 15:14:21,PHP,PHP,"PHP, Ruby",Ruby,"PHP, Ruby",Исполнителем,,,,,,да,нет,"[20, 30)",4,4
12.07.2011 15:14:27,Perl,Python,JavaScript,Python,"Python, Ruby, JavaScript, Go",Исполнителем,,,,,,нет,да,"[20, 30)",4,4
12.07.2011 15:14:28,Pascal/Delphi,С#,"C++, Objective-C",C#,"C#, Objective-C",Совместным решением,,,,,,да,да,"[20, 30)",5,4
12.07.2011 15:14:36,Pascal/Delphi,PHP,JavaScript,Ruby,Ruby,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",10+,4
12.07.2011 15:14:41,SQL,SQL,"C#, SQL",Python,"Java, PHP, Python",Заказчиком,,,,,,да,нет,"[20, 30)",4,4
12.07.2011 15:14:42,PHP,Ruby,"Java, Objective-C",Ruby,"Java, Ruby, Objective-C",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",7,1
12.07.2011 15:14:46,C#,С#,JavaScript,C#,"C#, Python, JavaScript",Исполнителем,,,,,,да,нет,"[20, 30)",4,4
12.07.2011 15:14:51,Java,Java,JavaScript,Java,,Заказчиком,,,,,,да,да,"[20, 30)",3,3
12.07.2011 15:14:58,Java,Java,"Java, JavaScript, Scala",Scala,"Java, JavaScript, Scala",Совместным решением,,,,,,да,нет,"[20, 30)",3,3
12.07.2011 15:15:06,Pascal/Delphi,Java,"ActionScript, Groovy",Groovy,,Исполнителем,,,,,,да,нет,"[20, 30)",2,1
12.07.2011 15:15:06,Basic,Ruby,"PHP, Python, JavaScript, Perl, Lisp",Python,"Ruby, Lisp",Совместным решением,,,,,,да,нет,"[20, 30)",3,1
12.07.2011 15:15:07,C#,С#,"Python, JavaScript",C#,"C#, Python, JavaScript",Совместным решением,,,,,,да,да,"[20, 30)",4,4
12.07.2011 15:15:10,C#,С#,JavaScript,Java,C#,Исполнителем,,,,,,да,да,"[20, 30)",3,3
12.07.2011 15:15:13,Objective-C,Objective-C,C,Ruby,,Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",1,1
12.07.2011 15:15:20,C++,Objective-C,"C, C++",Objective-C,"C, C++, Objective-C",Совместным решением,,,,,,да,нет,"[20, 30)",5,2
12.07.2011 15:15:25,Basic,С#,"JavaScript, 1C",C#,"Python, Ruby",Моя организация разрабатывает только на этом языке,,,,,,нет,нет,"[20, 30)",7,7
12.07.2011 15:15:27,Pascal/Delphi,Ruby,"PHP, JavaScript",Ruby,"PHP, Ruby",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[30, 40)",10+,5
12.07.2011 15:15:27,Pascal/Delphi,Java,"Java, PHP",PHP,PHP,Не знаю,,,,,,да,да,"[30, 40)",10+,1
12.07.2011 15:15:33,Pascal/Delphi,С#,"C++, JavaScript",C#,,Не знаю,,,,,,нет,нет,< 20,1,1
12.07.2011 15:15:35,C++,Python,"C, C++, Lisp",Clojure,"Python, Lisp, Scala, Clojure",Совместным решением,,,,,,да,да,"[20, 30)",4,4
12.07.2011 15:15:42,Pascal/Delphi,PowerScript,C#,C#,"PHP, JavaScript",Исполнителем,,,,,,да,да,"[20, 30)",1,5
12.07.2011 15:15:45,C#,С#,"Java, C++, Ruby, JavaScript",C#,"C#, Ruby",Заказчиком,,,,,,нет,нет,"[20, 30)",6,5
12.07.2011 15:15:48,C++,Java,"C++, ActionScript, JavaScript",Java,,Совместным решением,,,,,,да,нет,"[20, 30)",3,2
12.07.2011 15:15:51,PHP,Ruby,JavaScript,Ruby,"PHP, Ruby, JavaScript",Заказчиком,,,,,,да,нет,"[20, 30)",8,6
12.07.2011 15:15:52,Pascal/Delphi,Java,"C, JavaScript, Scala",где же multiselect?,"Java, JavaScript",Исполнителем,,,,,,да,нет,"[20, 30)",3,3
12.07.2011 15:15:55,Pascal/Delphi,Ruby,"Java, PHP, C, C++, Ruby, JavaScript, Groovy, DBase, Scala, Lua",Scala,"Java, PHP, Ruby",Исполнителем,,,,,,да,да,"[20, 30)",5,3
12.07.2011 15:15:58,PHP,Java,JavaScript,Java,"Java, Python",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",6,5
12.07.2011 15:16:18,C++,ActionScript,ActionScript,Java,"C#, Java, Objective-C, ActionScript",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[30, 40)",10+,4
12.07.2011 15:16:19,Basic,Python,"PHP, JavaScript",Python,"PHP, Python",Заказчиком,,,,,,да,нет,"[20, 30)",8,2
12.07.2011 15:16:38,Pascal/Delphi,Python,Shell,"go, python","Python, go",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[30, 40)",8,4
12.07.2011 15:16:41,C++,Ruby,"C, JavaScript",Ruby,Ruby,Заказчиком,,,,,,да,нет,"[20, 30)",5,4
12.07.2011 15:16:42,Pascal/Delphi,С#,"Java, JavaScript",C#,,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",7,4
12.07.2011 15:16:44,Perl,PHP,"Ruby, ActionScript, JavaScript",PHP,,Совместным решением,,,,,,да,нет,"[30, 40)",10+,10+
12.07.2011 15:16:45,C,Java,"PHP, JavaScript",Java,"Java, PHP",Заказчиком,,,,,,да,нет,"[30, 40)",10+,1
12.07.2011 15:16:46,C,Java,"PHP, JavaScript",Java,Java,Совместным решением,,,,,,да,нет,"[20, 30)",3,2
12.07.2011 15:16:48,C,Ruby,JavaScript,Ruby,"Ruby, JavaScript, Erlang",Совместным решением,,,,,,да,да,"[20, 30)",8,3
12.07.2011 15:16:49,Pascal/Delphi,PHP,"C#, C++, Pascal/Delphi",PHP,PHP,Совместным решением,,,,,,да,нет,"[20, 30)",5,3
12.07.2011 15:16:52,Pascal/Delphi,Java,JavaScript,Java,"C#, Java, Perl",Совместным решением,,,,,,да,нет,"[20, 30)",6,6
12.07.2011 15:16:58,PHP,Ruby,"PHP, Objective-C, JavaScript",JavaScript,"Ruby, Objective-C, JavaScript",Исполнителем,,,,,,да,нет,"[20, 30)",4,3
12.07.2011 15:17:01,Basic,PHP,"Objective-C, ActionScript, JavaScript",PHP,"PHP, Objective-C, JavaScript",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",5,5
12.07.2011 15:17:03,C#,С#,"C++, ActionScript, Perl",C#,"C#, C++, JavaScript",Не знаю,,,,,,да,нет,"[20, 30)",3,1
12.07.2011 15:17:07,Pascal/Delphi,PHP,"Python, ActionScript, JavaScript",JavaScript,"PHP, ActionScript, JavaScript",Исполнителем,,,,,,да,да,"[20, 30)",7,7
12.07.2011 15:17:11,Pascal/Delphi,Objective-C,"PHP, C, C++, Ruby, JavaScript",C++,"C, C++, Objective-C",Совместным решением,,,,,,да,да,"[20, 30)",7,3
12.07.2011 15:17:18,Basic,PHP,"Ruby, JavaScript",PHP,"PHP, Ruby, JavaScript",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",6,6
12.07.2011 15:17:24,C,Java,Python,JavaScript,Python,Моя организация разрабатывает только на этом языке,,,,,,да,нет,< 20,1,1
12.07.2011 15:17:52,Basic,С#,"C#, JavaScript",C#,C#,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",7,5
12.07.2011 15:17:55,PHP,JavaScript,JavaScript,JavaScript,,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",3,1
12.07.2011 15:17:56,PHP,Scala,JavaScript,Scala,"Java, Python, Scala",Совместным решением,,,,,,да,да,"[20, 30)",3,1
12.07.2011 15:18:02,C++,Objective-C,JavaScript,Objective-C,Objective-C,Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",5,2
12.07.2011 15:18:06,C,Python,"JavaScript, Shell",Python,"C, Python",Заказчиком,,,,,,да,нет,"[30, 40)",10+,8
12.07.2011 15:18:10,PHP,С#,"C#, PHP",C#,C#,Исполнителем,,,,,,да,да,"[20, 30)",4,3
12.07.2011 15:18:12,Java,Java,Python,Java,Python,Заказчиком,,,,,,да,да,"[20, 30)",1,1
12.07.2011 15:18:15,Pascal/Delphi,PHP,JavaScript,PHP,"PHP, JavaScript",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",4,4
12.07.2011 15:18:18,Basic,PHP,JavaScript,PHP,PHP,Исполнителем,,,,,,да,нет,"[20, 30)",6,6
12.07.2011 15:18:22,Pascal/Delphi,Java,Python,Python,"Java, Python",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",2,1
12.07.2011 15:18:23,Pascal/Delphi,C++,"C#, JavaScript",C++,C++,Исполнителем,,,,,,да,да,"[30, 40)",10+,10+
12.07.2011 15:18:34,Basic,C++,"Java, PHP, C",C++,"C#, Java, C, C++",Моя организация разрабатывает только на этом языке,,,,,,нет,нет,"[20, 30)",5,5
12.07.2011 15:18:35,C++,Objective-C,"C#, PHP, C, C++, Objective-C",C#,"C#, C, C++",Исполнителем,,,,,,да,нет,"[20, 30)",1,5
12.07.2011 15:18:42,Scheme,C,"Python, JavaScript",Python,"C, Python, JavaScript",Исполнителем,,,,,,да,да,"[30, 40)",4,1
12.07.2011 15:18:43,PHP,PHP,"C#, Python, ActionScript, JavaScript, Perl",Python,"C#, C, Python, ActionScript, JavaScript",Совместным решением,,,,,,да,нет,"[20, 30)",5,5
12.07.2011 15:18:44,Basic,Java,"Python, Ruby, JavaScript, Groovy",Java,"Java, Python, Ruby",Совместным решением,,,,,,да,нет,"[20, 30)",8,7
12.07.2011 15:18:55,ActionScript,С#,"C#, C++, JavaScript",C#,"C++, Pascal/Delphi, Basic",Исполнителем,,,,,,да,нет,"[20, 30)",4,2
12.07.2011 15:19:03,Pascal/Delphi,PHP,"PHP, Pascal/Delphi, JavaScript",PHP,PHP,Совместным решением,,,,,,да,да,"[20, 30)",7,7
12.07.2011 15:19:17,C++,Python,"Java, C, C++, Ruby, JavaScript",Erlang,"C, C++, Python, Erlang",Исполнителем,,,,,,да,да,"[20, 30)",7,7
12.07.2011 15:19:19,PHP,Ruby,JavaScript,Ruby,"Ruby, JavaScript",Совместным решением,,,,,,да,да,"[20, 30)",6,2
12.07.2011 15:19:20,Pascal/Delphi,PHP,"C++, Python, Pascal/Delphi",Python,"C++, Python",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",10+,3
12.07.2011 15:19:47,C++,С#,Basic,C#,C++,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",3,1
12.07.2011 15:19:50,Basic,Python,Python,Python,Python,Исполнителем,,,,,,да,нет,"[30, 40)",9,9
12.07.2011 15:19:51,Java,Scala,"Java, JavaScript",Scala,"JavaScript, Scala",Заказчиком,,,,,,да,нет,"[20, 30)",5,5
12.07.2011 15:19:55,ColdFusion,Java,"C#, Python, Scala",Scala,"Java, Scala",Совместным решением,,,,,,да,нет,"[20, 30)",5,3
12.07.2011 15:19:57,Pascal/Delphi,Java,JavaScript,Java,"Java, JavaScript",Не знаю,,,,,,да,нет,"[20, 30)",5,5
12.07.2011 15:20:08,Pascal/Delphi,PHP,JavaScript,Objective-C,,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",1,1
12.07.2011 15:20:15,Basic,Objective-C,"C, C++, Python",Objective-C,"Java, C++, Python, Objective-C",Заказчиком,,,,,,да,нет,"[20, 30)",4,2
12.07.2011 15:20:20,Pascal/Delphi,PHP,JavaScript,PHP,PHP,Совместным решением,,,,,,да,нет,"[20, 30)",4,4
12.07.2011 15:20:22,Basic,С#,JavaScript,C#,C#,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",8,1
12.07.2011 15:20:36,C#,Scala,"Scala, Erlang",C#,"C#, Scala, Erlang",Заказчиком,,,,,,да,нет,"[20, 30)",6,6
12.07.2011 15:20:56,1C,PHP,"Python, Ruby, JavaScript",PHP,PHP,Совместным решением,,,,,,нет,нет,"[20, 30)",5,4
12.07.2011 15:21:00,PHP,Python,"PHP, Python, JavaScript",Python,"PHP, Python",Совместным решением,,,,,,да,да,"[20, 30)",7,7
12.07.2011 15:21:18,Pascal/Delphi,Ruby,"PHP, Python, Ruby",Ruby,"PHP, Python, Pascal/Delphi",Совместным решением,,,,,,да,нет,"[20, 30)",10+,1
12.07.2011 15:21:34,Pascal/Delphi,C++,"Python, Lua",C#,"C++, Lua",Совместным решением,,,,,,да,нет,"[20, 30)",2,2
12.07.2011 15:21:35,C#,С#,C#,Ruby,"Python, Ruby",Исполнителем,,,,,,да,нет,"[20, 30)",4,4
12.07.2011 15:21:36,C++,PHP,"C++, ActionScript, JavaScript",JavaScript,"C#, PHP, C, C++, ActionScript, JavaScript, Perl",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",3,3
12.07.2011 15:21:39,C++,Java,"ActionScript, JavaScript",Java,,Исполнителем,,,,,,да,да,"[20, 30)",8,8
12.07.2011 15:21:39,Java,Java,"Python, JavaScript",Java,"Java, Python",Исполнителем,,,,,,да,нет,"[20, 30)",6,6
12.07.2011 15:21:41,Python,Python,"C, C++, Python",Haskell,"C, C++, Python",Совместным решением,,,,,,да,нет,< 20,3,2
12.07.2011 15:21:54,Pascal/Delphi,PHP,"C#, PHP, JavaScript, Basic",Java,"C#, Java, PHP",Совместным решением,,,,,,да,нет,"[30, 40)",10+,8
12.07.2011 15:22:16,Pascal/Delphi,Python,JavaScript,Python,"PHP, Python",Исполнителем,,,,,,да,нет,"[20, 30)",8,3
12.07.2011 15:22:30,C++,Java,"C, Asm",C,,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",7,5
12.07.2011 15:22:31,Pascal/Delphi,C++,"C#, C, Python",Python,"C#, C++, Python",Совместным решением,,,,,,нет,нет,"[20, 30)",5,5
12.07.2011 15:22:37,Pascal/Delphi,PHP,"JavaScript, bash",PHP,"PHP, JavaScript",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",10+,10+
12.07.2011 15:22:40,Basic,С#,JavaScript,Objective-C,,Заказчиком,,,,,,да,нет,"[20, 30)",8,7
12.07.2011 15:22:44,C++,C++,"C#, C, Python, Asm",C#,"C#, Java, Python",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",6,5
12.07.2011 15:22:47,C++,С#,JavaScript,C#,"C#, C++",Заказчиком,,,,,,нет,да,"[30, 40)",8,1
12.07.2011 15:22:52,Pascal/Delphi,Java,C,Java,Java,Не знаю,,,,,,да,нет,"[20, 30)",1,1
12.07.2011 15:23:13,C,PHP,"Python, Ruby",Ruby,"PHP, Ruby",Заказчиком,,,,,,да,нет,"[20, 30)",8,6
12.07.2011 15:23:15,Pascal/Delphi,Ruby,"C#, Ruby, JavaScript",C#,C#,Совместным решением,,,,,,да,да,"[30, 40)",10+,2
12.07.2011 15:23:16,C++,Java,JavaScript,Java,"Java, JavaScript",Совместным решением,,,,,,да,да,"[20, 30)",4,3
12.07.2011 15:23:19,Basic,Ruby,JavaScript,Ruby,Ruby,Совместным решением,,,,,,да,да,"[20, 30)",7,4
12.07.2011 15:23:24,Basic,Objective-C,"C, Python, Objective-C, JavaScript",Objective-C,"Python, Objective-C, JavaScript",Исполнителем,,,,,,да,нет,"[20, 30)",3,3
12.07.2011 15:23:28,C#,С#,JavaScript,C#,"C#, Python",Исполнителем,,,,,,нет,нет,"[20, 30)",2,2
12.07.2011 15:23:37,PHP,Ruby,"C, Ruby, JavaScript",Ruby,"PHP, Ruby, JavaScript",Заказчиком,,,,,,да,да,"[20, 30)",3,2
12.07.2011 15:24:03,PHP,PHP,"Java, Python, Perl",PHP,"PHP, Python",Исполнителем,,,,,,да,нет,"[20, 30)",7,7
12.07.2011 15:24:03,Objective-C,Objective-C,"C#, PHP, C++, Objective-C",Objective-C,,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",1,1
12.07.2011 15:24:04,Java,Objective-C,"PHP, JavaScript",Objective-C,"Java, PHP, Objective-C",Моя организация разрабатывает только на этом языке,,,,,,да,да,"[20, 30)",3,1
12.07.2011 15:24:04,Basic,Python,PHP,Python,Python,Совместным решением,,,,,,да,нет,"[30, 40)",10+,4
12.07.2011 15:24:05,Python,Ruby,"Ruby, JavaScript",Ruby,"Ruby, JavaScript",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",5,2
12.07.2011 15:24:10,Pascal/Delphi,С#,"C#, Python, JavaScript",C#,"Python, Fortran, R",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[30, 40)",9,5
12.07.2011 15:24:16,PHP,ActionScript,"PHP, JavaScript",ActionScript,"PHP, ActionScript",Заказчиком,,,,,,да,да,"[20, 30)",4,2
12.07.2011 15:24:21,C++,PHP,JavaScript,Java,Java,Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",3,3
12.07.2011 15:24:21,PHP,Python,JavaScript,Python,,Исполнителем,,,,,,нет,нет,"[20, 30)",3,1
12.07.2011 15:24:24,Basic,Ruby,JavaScript,Groovy,,Заказчиком,,,,,,да,да,"[20, 30)",4,3
12.07.2011 15:24:41,C#,С#,C#,C#,,Не знаю,,,,,,да,нет,"[20, 30)",2,2
12.07.2011 15:24:49,PHP,Java,JavaScript,Scala,"Java, PHP",Совместным решением,,,,,,да,да,"[20, 30)",8,6
12.07.2011 15:25:02,C,JavaScript,Python,Ruby,JavaScript,Исполнителем,,,,,,да,нет,"[20, 30)",1,2
12.07.2011 15:25:07,C#,С#,JavaScript,C#,"Java, Ruby",Заказчиком,,,,,,да,нет,"[20, 30)",4,4
12.07.2011 15:25:13,Basic,Asm,"C++, Pascal/Delphi",C++,,Исполнителем,,,,,,нет,нет,"[20, 30)",3,2
12.07.2011 15:25:14,Pascal/Delphi,С#,JavaScript,C#,"C#, JavaScript",Совместным решением,,,,,,нет,нет,"[20, 30)",4,4
12.07.2011 15:25:17,Perl,Perl,"PHP, JavaScript",Perl,"JavaScript, Perl, Lisp",Исполнителем,,,,,,да,да,"[20, 30)",4,4
12.07.2011 15:25:29,Ruby,Ruby,JavaScript,Ruby,Ruby,Заказчиком,,,,,,да,нет,"[20, 30)",5,2
12.07.2011 15:25:46,PHP,PHP,JavaScript,Python,PHP,Совместным решением,,,,,,да,да,"[20, 30)",3,3
12.07.2011 15:26:11,Pascal/Delphi,С#,"C#, ActionScript, JavaScript",C#,"C#, JavaScript",Совместным решением,,,,,,да,нет,"[20, 30)",4,3
12.07.2011 15:26:16,Java,Python,JavaScript,Python,"Python, JavaScript",Исполнителем,,,,,,да,да,"[20, 30)",7,2
12.07.2011 15:26:29,C,C++,C,C++,"C, C++",Исполнителем,,,,,,нет,да,"[20, 30)",6,7
12.07.2011 15:26:33,C++,С#,"Java, C++, Python",C#,"Java, Python",Совместным решением,,,,,,нет,да,"[20, 30)",5,4
12.07.2011 15:26:57,PHP,PHP,"PHP, JavaScript",JavaScript,JavaScript,Заказчиком,,,,,,да,нет,"[20, 30)",2,2
12.07.2011 15:27:11,C,C,"Java, JavaScript, Lua",C++,,Не знаю,,,,,,да,нет,"[20, 30)",4,3
12.07.2011 15:27:13,C++,Java,JavaScript,Java,"C, C++",Исполнителем,,,,,,да,нет,"[20, 30)",4,4
12.07.2011 15:27:16,C#,C++,"Java, C",C++,"Java, C++",Заказчиком,,,,,,да,да,"[20, 30)",2,2
12.07.2011 15:27:21,Pascal/Delphi,JavaScript,"PHP, Python, Ruby, ActionScript, bash",Ruby,"Ruby, JavaScript",Совместным решением,,,,,,да,да,"[20, 30)",5,5
12.07.2011 15:27:22,Asm,Shell,PHP,Python,PHP,Не знаю,,,,,,да,нет,"[30, 40)",2,1
12.07.2011 15:27:33,Pascal/Delphi,С#,C++,C#,C#,Не знаю,,,,,,да,нет,"[20, 30)",1,1
12.07.2011 15:27:39,Perl,Java,"Java, PHP, JavaScript",Java,"Java, PHP, JavaScript, Perl",Исполнителем,,,,,,да,да,"[30, 40)",9,4
12.07.2011 15:27:43,C++,Ruby,JavaScript,Ruby,Ruby,Моя организация разрабатывает только на этом языке,,,,,,нет,нет,"[30, 40)",9,1
12.07.2011 15:28:06,C++,С#,JavaScript,C#,,Не знаю,,,,,,да,нет,"[20, 30)",8,5
12.07.2011 15:28:11,PHP,PHP,JavaScript,PHP,"Java, PHP, JavaScript",Моя организация разрабатывает только на этом языке,,,,,,да,нет,"[20, 30)",3,3
