Timestamp,FirstLanguage,MainLanguage,NowLanguage,AdditionalLanguages1,NowLanguages2,AdditonalLanguages3,NextLanguage,PetProjectsLanguages,ExperienceInProgramming,ExperienceInLanguage,Birthday,InUA,InPrev
1/12/2015 13:29:39,Basic,Да,Python,"JavaScript, PL/SQL",,,Python,"JavaScript, Python",10+,5,,Да,Не помню
1/12/2015 13:29:43,Pascal/Delphi,Нет,,,"Java, JavaScript","Python, PL/SQL",Python,"Java, C++, JavaScript, Pascal/Delphi",2,1,6/24/1995,Да,Нет
1/12/2015 13:29:48,Pascal/Delphi,Да,Objective-C,C,,,,Objective-C,5,5,9/22/2015,Да,Не помню
1/12/2015 13:29:48,JavaScript,Да,JavaScript,PHP,,,JavaScript,"PHP, JavaScript",3,1,3/4/1988,Да,Да
1/12/2015 13:29:51,Basic,Да,PL/SQL,"Java, JavaScript",,,Java,"Java, JavaScript, Ruby",10+,7,12/12/1982,Да,Не помню
1/12/2015 13:30:02,Basic,Нет,,,"PHP, JavaScript, Pascal/Delphy, Perl",ASM,Perl,"Pascal/Delphi, Perl",10+,10+,10/3/1977,Да,Нет
1/12/2015 13:30:09,Pascal/Delphi,Да,Java,,,,Java,Java,4,2,2/28/1987,Да,Не помню
1/12/2015 13:30:20,Pascal/Delphi,Да,JavaScript,"Java, Scala, Groovy",,,Scala,"Java, JavaScript, Clojure",2,1,6/7/1991,Да,Да
1/12/2015 13:30:28,C++,Да,Objective-C,"C++, C, Shell",,,C++,"C++, Objective-C",4,4,2/13/1988,Нет,Да
1/12/2015 13:30:32,Pascal/Delphi,Да,PL/SQL,Shell,,,Java,Java,3,3,1/1/1987,Да,Не помню
1/12/2015 13:30:37,PHP,Да,JavaScript,PHP,,,JavaScript,"PHP, JavaScript",3,<1,3/17/1990,Да,Да
1/12/2015 13:30:46,C++,Да,Java,,,,Java,,3,1,3/2/1991,,Нет
1/12/2015 13:30:51,Basic,Да,PHP,"JavaScript, PL/SQL, LUA",,,PHP,,8,7,8/8/1986,Да,Да
1/12/2015 13:31:08,Pascal/Delphi,Нет,,,"JavaScript, Python",,Clojure,,9,8,1/1/1988,Да,Да
1/12/2015 13:31:09,Pascal/Delphi,Да,Java,PL/SQL,,,Java,"Java, JavaScript",<1,<1,10/10/1989,Да,Нет
1/12/2015 13:31:12,Basic,Да,C++,"JavaScript, Objective-C",,,JavaScript,"C++, JavaScript",2,<1,11/11/1984,Да,Нет
1/12/2015 13:31:16,Basic,Да,PHP,"PHP, JavaScript, PL/SQL",,,JavaScript,"PHP, JavaScript",4,4,4/17/1988,Да,Да
1/12/2015 13:31:18,Basic,Нет,,,"Java, C++, JavaScript",,,,10+,10+,,Да,Нет
1/12/2015 13:31:22,Basic,Нет,,,Pascal/Delphy,C++,,Pascal/Delphi,<1,1,1/29/1975,Да,Нет
1/12/2015 13:31:26,Basic,Да,Python,JavaScript,,,Swift,,6,5,1/22/1982,Да,Да
1/12/2015 13:31:27,C,Да,Python,JavaScript,,,Python,Python,1,<1,8/22/1990,Да,Нет
1/12/2015 13:31:40,JavaScript,Да,JavaScript,"PHP, JavaScript",,,PHP,"PHP, JavaScript, ActionScript",2,1,10/15/1992,Да,Нет
1/12/2015 13:31:40,,Да,C#,"Basic, Basic",,,C#,"Java, C#, JavaScript, 1C",4,2,4/24/1988,Да,Нет
1/12/2015 13:31:45,Pascal/Delphi,Да,Python,,,,Go,"JavaScript, Python",4,4,12/22/1988,Да,Да
1/12/2015 13:31:54,Basic,Да,Ruby,"JavaScript, CoffeScript",,,Ruby,,3,1,7/24/1978,Да,Не помню
1/12/2015 13:31:54,Pascal/Delphi,Да,PHP,"JavaScript, PL/SQL",,,PHP,,2,2,8/17/1990,Да,Да
1/12/2015 13:32:00,Pascal/Delphi,Да,C++,JavaScript,,,C++,"PHP, C++, Pascal/Delphi",7,5,6/15/1984,Да,Нет
1/12/2015 13:32:03,Basic,Да,Ruby,JavaScript,,,Clojure,"CoffeScript, Haskell, Clojure",6,4,6/10/1984,Нет,Да
1/12/2015 13:32:08,C,Да,PL/SQL,Java,,,PL/SQL,,8,7,1/1/1984,Да,Нет
1/12/2015 13:32:30,JavaScript,Да,JavaScript,Ruby,,,JavaScript,"JavaScript, Ruby, CoffeScript",1,1,12/9/1993,Да,Нет
1/12/2015 13:32:32,Basic,Да,C++,Python,,,C++,Haskell,10+,10+,3/22/1975,Да,Нет
1/12/2015 13:32:35,C,Да,C++,"C, T-SQL",,,Python,"C++, Python",9,7,10/10/2015,Да,Да
1/12/2015 13:32:35,Python,Да,Python,PHP,,,Python,Python,<1,1,12/23/1994,Да,Нет
1/12/2015 13:32:41,Basic,Да,Java,JavaScript,,,Java,Java,6,4,2/26/1988,Да,Нет
1/12/2015 13:32:57,Basic,Да,Go,"Java, JavaScript, Python, Objective-C, C",,,Go,"Python, Objective-C, C, Go",10+,2,2/25/1981,Нет,Нет
1/12/2015 13:33:00,Basic,Да,Java,"Java, Python, Objective-C",,,Java,"Java, Python",3,<1,5/4/1988,Да,Нет
1/12/2015 13:33:01,Basic,Да,Java,,,,Scala,Java,3,3,1/20/1990,Да,Да
1/12/2015 13:33:03,Basic,Да,Java,JavaScript,,,Java,JavaScript,8,8,4/17/1986,Да,Не помню
1/12/2015 13:33:14,Fortran,Да,C,"PHP, C++, Python, Perl",,,C,,10+,10+,8/11/1965,Да,Да
1/12/2015 13:33:14,Basic,Да,Shell,"Java, PHP, JavaScript, Python, Perl",,,Python,,7,2,9/4/1985,Да,Не помню
1/12/2015 13:33:18,C,Да,JavaScript,"Java, C#, PL/SQL, T-SQL",,,JavaScript,"Java, C#, JavaScript",6,4,1/12/1989,Да,Да
1/12/2015 13:33:54,Pascal/Delphi,Да,PHP,"Java, JavaScript, Python",,,Python,"Java, PHP",2,1,1/7/1991,Да,Нет
1/12/2015 13:33:55,C++,Да,Java,,,,Java,,1,1,5/26/1990,Да,Не помню
1/12/2015 13:34:19,Pascal/Delphi,Да,Java,"Java, C#, C++, PL/SQL, Scala, T-SQL",,,C#,"Java, C#, JavaScript, TypeScript",10+,10+,11/9/1972,Да,Нет
1/12/2015 13:34:23,Java,Да,Java,Python,,,Java,Java,3,<1,2/9/1990,Да,Да
1/12/2015 13:34:23,Pascal/Delphi,Нет,,,"PHP, JavaScript",Pascal/Delphi,JavaScript,"PHP, JavaScript, Pascal/Delphi",9,6,5/27/1982,Да,Не помню
1/12/2015 13:34:25,Pascal/Delphi,Да,Python,,,,,,1,1,,Да,Нет
1/12/2015 13:34:40,Object Pascal,Нет,,,JavaScript,Python,JavaScript,Python,10+,3,4/5/1986,Да,Нет
1/12/2015 13:34:47,Basic,Да,C#,"JavaScript, PL/SQL",,,C#,C#,2,2,12/21/1993,Да,Нет
1/12/2015 13:34:57,Basic,Да,PHP,JavaScript,,,Python,PHP,8,8,2/1/1984,Да,Да
1/12/2015 13:35:04,Lisp,Да,C,Java,,,Java,"Java, C",6,6,4/3/1985,Да,Нет
1/12/2015 13:35:06,Pascal/Delphi,Да,Java,,,,Java,"Java, Swift",8,8,11/13/1981,Да,Не помню
1/12/2015 13:35:17,PHP,Да,C#,"C#, C++, JavaScript",,,C#,"C#, PHP, C++, JavaScript",9,6,5/8/2015,Да,Нет
1/12/2015 13:35:32,Pascal/Delphi,Да,Python,PHP,,,Python,PHP,3,1,9/8/1988,Да,Не помню
1/12/2015 13:35:32,C,Да,PHP,"JavaScript, CoffeScript",,,PHP,"Java, PHP, Ruby",4,4,1/10/1990,Да,Да
1/12/2015 13:35:40,Pascal/Delphi,Да,Java,,,,Scala,"Java, Python, Scala",2,2,8/1/1990,Нет,Да
1/12/2015 13:35:46,Pascal/Delphi,Да,PHP,JavaScript,,,PHP,PHP,7,7,12/26/1987,Да,Да
1/12/2015 13:35:47,Basic,Да,Java,"Java, PHP, PL/SQL, Perl, Scala",,,Scala,"Java, PHP, C++",10+,3,9/15/1976,Да,Нет
1/12/2015 13:35:54,Pascal/Delphi,Да,Java,JavaScript,,,Java,"Java, ActionScript",8,3,10/21/1980,Да,Не помню
1/12/2015 13:35:56,Basic,Да,Python,PHP,,,Go,,9,5,1/12/1979,Да,Да
1/12/2015 13:35:57,Python,Да,Python,C,,,Python,Python,1,2,,Да,Нет
1/12/2015 13:36:06,Asm,Да,C#,"Java, C#, PL/SQL, Pascal/Delphi, T-SQL",,,Java,"Java, C#, T-SQL",10+,7,,Да,Не помню
1/12/2015 13:36:12,,Да,Scala,Scala,,,Scala,Scala,2,1,10/14/1988,Да,Не помню
1/12/2015 13:36:12,Basic,Да,Java,JavaScript,,,Scala,"Java, Scala",5,4,10/3/1990,Да,Не помню
1/12/2015 13:36:18,Basic,Да,Java,JavaScript,,,Java,"Java, JavaScript, Scala",10+,8,1/1/1983,Да,Да
1/12/2015 13:36:30,Fortran,Да,Pascal/Delphi,"PHP, Basic, Basic",,,Java,Pascal/Delphi,10+,10+,2/22/1972,Да,Нет
1/12/2015 13:36:24,Ruby,Да,Ruby,"PHP, JavaScript, CoffeScript",,,Ruby,"PHP, JavaScript, Ruby, CoffeScript",5,2,2/27/1986,Да,Нет
1/12/2015 13:36:34,Basic,Да,JavaScript,Python,,,Python,"C++, JavaScript, Python",7,2,3/4/1984,Нет,Да
1/12/2015 13:36:37,Pascal/Delphi,Да,Perl,Shell,,,Clojure,"Java, Perl, Clojure",8,4,,Да,Да
1/12/2015 13:36:46,Basic,Да,Python,"PHP, Python",,,Python,"PHP, JavaScript, Python",7,<1,10/5/1982,Да,Нет
1/12/2015 13:36:51,PHP,Да,PHP,"JavaScript, PL/SQL",,,PHP,PHP,3,3,2/2/1988,Да,Нет
1/12/2015 13:36:52,Pascal/Delphi,Да,Python,"JavaScript, Python, CoffeScript, Go",,,Python,Python,2,2,5/13/1993,Да,Не помню
1/12/2015 13:36:53,Ruby,Нет,,,"JavaScript, Ruby",,,JavaScript,7,3,3/23/1988,Да,Нет
1/12/2015 13:36:55,Basic,Да,JavaScript,PL/SQL,,,PHP,PHP,9,4,11/27/1984,Да,Да
1/12/2015 13:37:01,Python,Да,Python,JavaScript,,,Python,"JavaScript, Python",5,5,10/9/1987,Да,Да
1/12/2015 13:37:06,C#,Да,C#,"JavaScript, Python",,,C#,,8,8,1/11/1986,Да,Не помню
1/12/2015 13:37:10,Pascal/Delphi,Да,PHP,"PHP, JavaScript",,,PHP,"PHP, JavaScript",5,4,3/14/1987,Нет,Нет
1/12/2015 13:37:11,C,Да,Java,"Python, Scala, Go, R",,,Scala,"Java, Go",7,6,11/28/1985,Да,Не помню
1/12/2015 13:37:17,Basic,Да,C#,"C++, JavaScript",,,C#,"C#, PHP",6,4,11/24/1988,Да,Да
1/12/2015 13:37:22,Apex,Нет,,,Apex,JavaScript,Java,"Java, C#, PHP, JavaScript",4,2,1/10/1989,Да,Не помню
1/12/2015 13:37:36,Basic,Да,Erlang,"JavaScript, Haskell",,,Haskell,"JavaScript, Ruby, Erlang, Vala",9,2,1/8/1984,Нет,Да
1/12/2015 13:37:44,PASCAL,Да,JavaScript,C#,,,JavaScript,JavaScript,8,4,12/7/1987,Да,Нет
1/12/2015 13:37:56,C++,Да,PHP,"PHP, JavaScript",,,PHP,"PHP, JavaScript, Python",2,2,9/20/1989,Да,Не помню
1/12/2015 13:38:20,Objective-C,Да,Objective-C,Swift,,,Swift,Swift,2,1,6/10/1991,Да,Нет
1/12/2015 13:38:20,Pascal/Delphi,Да,Ruby,"JavaScript, Python, CoffeScript",,,Ruby,,8,6,1/1/1987,Да,Да
1/12/2015 13:38:20,C++,Да,Ruby,"JavaScript, CoffeScript",,,Ruby,,4,2,12/26/1987,Да,Нет
1/12/2015 13:38:24,Basic,Да,PL/SQL,"Java, JavaScript",,,PL/SQL,,2,2,12/25/1987,Да,Да
1/12/2015 13:38:28,C#,Да,C#,"JavaScript, T-SQL, IronRuby",,,Scala,C#,6,5,8/20/1984,Да,Нет
1/12/2015 13:38:40,Pascal/Delphi,Да,Java,C,,,Java,"Java, C",5,5,7/9/1987,Нет,Да
1/12/2015 13:38:53,Pascal/Delphi,Да,Ruby,"JavaScript, CoffeScript",,,Ruby,MATLAB,1,<1,5/16/1992,Да,Нет
1/12/2015 13:39:13,Asm,Да,Objective-C,"C#, C++, C, T-SQL",,,Objective-C,"C#, C++",6,4,8/16/1988,Да,Да
1/12/2015 13:39:16,JavaScript,Да,CoffeScript,"C#, JavaScript, CoffeScript",,,JavaScript,JavaScript,5,4,1/5/1986,Да,Да
1/12/2015 13:39:32,Basic,Да,C#,"C#, Python, Ruby, PL/SQL",,,Python,"C#, Python",10+,10+,4/6/1981,Да,Нет
1/12/2015 13:39:32,Pascal/Delphi,Да,ActionScript,JavaScript,,,ActionScript,C#,4,4,11/1/1989,Да,Да
1/12/2015 13:39:33,PHP,Да,PHP,JavaScript,,,PHP,"PHP, JavaScript",4,3,9/28/1988,Да,Да
1/12/2015 13:39:35,Java,Да,Java,JavaScript,,,Java,Java,10+,9,12/4/1980,Да,Да
1/12/2015 13:39:42,Java,Да,Java,JavaScript,,,Java,,6,5,1/11/1985,Да,Да
1/12/2015 13:39:42,PHP,Да,PHP,"JavaScript, Ruby, PL/SQL",,,PHP,"PHP, JavaScript",3,2,,Да,Не помню
1/12/2015 13:39:42,Python,Да,Python,JavaScript,,,Python,Python,5,2,11/28/1988,Да,Не помню
1/12/2015 13:39:43,Basic,Да,Java,1C,,,Java,,8,2,3/23/1982,Нет,Да
1/12/2015 13:39:55,Pascal/Delphi,Да,C#,JavaScript,,,C#,"C#, JavaScript",8,6,9/26/1985,Да,Не помню
1/12/2015 13:39:55,C++,Да,Ruby,"C#, PHP, Python, Ruby",,,Go,"Python, Ruby",7,3,1/12/1988,Да,Не помню
1/12/2015 13:40:11,C#,Да,PHP,"PHP, Python",,,PHP,"C#, PHP",4,3,7/1/1992,Да,Нет
1/12/2015 13:40:20,C#,Да,C#,JavaScript,,,C#,"C#, JavaScript",<1,2,1/22/1994,Да,Нет
1/12/2015 13:40:35,JavaScript,Да,JavaScript,JavaScript,,,JavaScript,JavaScript,1,1,12/3/1990,Да,Нет
1/12/2015 13:40:36,C#,Да,Java,"C++, JavaScript",,,Python,"Java, C++",3,1,7/13/1988,Да,Не помню
1/12/2015 13:40:38,C,Да,Objective-C,,,,Python,"JavaScript, Python",3,3,11/12/1990,Да,Нет
1/12/2015 13:40:44,Basic,Да,PHP,"Java, PHP, JavaScript",,,PHP,"Java, PHP, JavaScript",10+,9,9/5/1986,Да,Нет
1/12/2015 13:40:54,Basic,Да,PL/SQL,"C++, Python, T-SQL",,,Python,,10+,10+,,Да,Да
1/12/2015 13:40:56,C#,Да,Groovy,"Java, JavaScript",,,Clojure,"Java, Scala",3,3,5/12/1990,Да,Нет
1/12/2015 13:40:59,Pascal/Delphi,Да,Ruby,"JavaScript, CoffeScript",,,Ruby,,4,3,5/9/1988,Да,Не помню
1/12/2015 13:41:06,Python,Да,Python,JavaScript,,,Python,"Python, Go",5,5,7/20/1987,Нет,Да
1/12/2015 13:41:07,Basic,Да,Python,Perl,,,Perl,Perl,10+,1,,Да,Да
1/12/2015 13:41:17,C,Да,Ruby,"JavaScript, CoffeScript",,,Ruby,"PHP, JavaScript, Ruby",8,4,9/29/1988,Да,Да
1/12/2015 13:41:21,C++,Да,JavaScript,"C#, Python, Ruby, CoffeScript",,,JavaScript,"C#, JavaScript, Python",1,2,4/28/1996,Да,Да
1/12/2015 13:41:28,Pascal/Delphi,Нет,,,JavaScript,,JavaScript,"Java, C++, JavaScript, Objective-C",4,<1,12/29/1988,Да,Да
1/12/2015 13:41:31,JavaScript,Да,PHP,JavaScript,,,Python,PHP,8,7,,Да,Да
1/12/2015 13:41:46,Basic,Да,C#,"JavaScript, PL/SQL",,,C#,C#,7,3,6/28/1982,Да,Не помню
1/12/2015 13:41:49,Delphi,Да,C++,Python,,,C++,,2,2,5/12/1991,Да,Нет
1/12/2015 13:41:55,Basic,Да,C#,"JavaScript, T-SQL",,,C#,"C#, C++",2,2,1/13/1991,Да,Нет
1/12/2015 13:41:52,Basic,Да,Go,"JavaScript, Python, C",,,Go,"Python, Go",6,1,2/4/1989,Да,Да
1/12/2015 13:42:08,Pascal/Delphi,Да,Python,"PHP, JavaScript",,,Python,"PHP, Python",5,4,12/4/1986,Да,Нет
1/12/2015 13:42:08,Pascal/Delphi,Да,PHP,"JavaScript, PL/SQL",,,PHP,,<1,<1,12/30/1986,Да,Нет
1/12/2015 13:42:13,Pascal/Delphi,Да,Java,"C, PL/SQL",,,Java,Java,7,7,2/18/1988,Да,Нет
1/12/2015 13:42:27,Pascal/Delphi,Да,JavaScript,,,,JavaScript,,5,3,12/17/1986,Да,Да
1/12/2015 13:42:27,Java,Да,Java,,,,Swift,Java,<1,<1,,Да,Нет
1/12/2015 13:42:36,Basic,Да,PHP,JavaScript,,,PHP,PHP,8,6,11/18/1982,Нет,Да
1/12/2015 13:42:38,Basic,Да,PHP,"Java, JavaScript",,,PHP,"Java, PHP",7,10+,4/30/2015,Да,Нет
1/12/2015 13:42:54,C,Да,C++,JavaScript,,,C++,C++,2,2,8/2/1989,Да,Нет
1/12/2015 13:42:56,Basic,Да,PHP,JavaScript,,,Java,"PHP, C++, JavaScript",2,<1,7/28/1992,Да,Нет
1/12/2015 13:42:56,Pascal/Delphi,Да,PHP,"JavaScript, Python, Zephir",,,Python,"PHP, Python, Scala",8,8,7/31/1987,Да,Не помню
1/12/2015 13:43:01,Basic,Нет,,,"C#, JavaScript",,JavaScript,"C#, JavaScript",10+,3,10/5/1981,Нет,Не помню
1/12/2015 13:43:03,Pascal/Delphi,Да,Python,R,,,Python,,<1,<1,,Да,Нет
1/12/2015 13:43:14,Pascal/Delphi,Да,C#,"JavaScript, T-SQL",,,C#,,4,3,9/3/1990,Да,Да
1/12/2015 13:43:20,Pascal/Delphi,Да,Java,"JavaScript, Scala, Groovy",,,Scala,"Java, Scala",3,3,6/21/1986,Да,Нет
1/12/2015 13:43:23,Pascal/Delphi,Да,C#,"PHP, JavaScript, T-SQL",,,C#,C#,2,5,5/15/1985,Да,Нет
1/12/2015 13:43:28,Basic,Да,JavaScript,PHP,,,JavaScript,JavaScript,5,4,3/12/1990,Да,Да
1/12/2015 13:43:29,Basic,Да,PL/SQL,Java,,,PL/SQL,,10+,6,12/6/1979,Да,Нет
1/12/2015 13:43:29,Ruby,Да,Ruby,JavaScript,,,Ruby,,<1,<1,12/3/1987,Да,Нет
1/12/2015 13:43:52,Python,Да,Python,,,,C#,Python,3,3,10/27/1987,Да,Нет
1/12/2015 13:44:02,Pascal/Delphi,Да,ActionScript,JavaScript,,,C#,ActionScript,2,2,2/12/1991,Да,Да
1/12/2015 13:44:12,Pascal/Delphi,Да,Objective-C,"Java, Objective-C",,,Java,"Java, Objective-C",4,<1,7/18/1989,Да,Да
1/12/2015 13:44:12,PHP,Да,JavaScript,"Java, PHP, JavaScript, Objective-C",,,JavaScript,JavaScript,7,4,11/23/1990,Да,Да
1/12/2015 13:44:13,JavaScript,Нет,,,"PHP, JavaScript",,PHP,"PHP, JavaScript",2,2,9/26/1984,Да,Нет
1/12/2015 13:44:13,Pascal/Delphi,Да,Python,PL/SQL,,,Python,Python,2,2,1/1/1991,Да,Да
1/12/2015 13:44:14,C++,Да,Java,"C++, Python, Ruby, C, Scala",,,Java,"Java, C#, Python, C",4,4,5/27/1988,Да,Нет
1/12/2015 13:44:30,Basic,Да,Python,JavaScript,,,Python,"JavaScript, Python",9,7,6/25/1982,Да,Да
1/12/2015 13:44:34,Basic,Да,C#,"JavaScript, T-SQL",,,C#,"C#, JavaScript, T-SQL",9,7,1/1/2015,Да,Да
1/12/2015 13:44:39,,Да,Java,"JavaScript, T-SQL",,,Java,"Java, JavaScript",9,9,1/1/1985,Да,Нет
1/12/2015 13:44:42,Basic,Да,Python,JavaScript,,,Python,,5,<1,1/16/1982,Да,Да
