Timestamp,FirstLanguage,MainLanguage,NowLanguage,AdditionalLanguages1,NowLanguages2,AdditionalLanguages3,NextLanguage,PetProjectsLanguages,ExperienceInProgramming,ExperienceInLanguage,Age,InUA,InPrev
1/8/2014 5:04:47,PHP,Да,JavaScript,"PHP, JavaScript",,,JavaScript,,4,4,"[20,30)",Да,Нет
1/8/2014 5:04:55,JavaScript,Нет,,,"C#, JavaScript",T-SQL,C#,"C#, JavaScript",1,1,"[20,30)",Да,Да
1/8/2014 5:04:57,Pascal/Delphi,Да,Java,Python,,,Java,,<1,<1,"[20,30)",Да,Нет
1/8/2014 5:05:02,Pascal/Delphi,Да,Java,"JavaScript, Groovy",,,Groovy,"Java, Groovy",3,3,"[20,30)",Да,Да
1/8/2014 5:05:31,Pascal/Delphi,Да,Python,"JavaScript, Go",,,Python,Go,5,5,"[20,30)",Да,Да
1/8/2014 5:05:32,Pascal/Delphi,Да,Python,"JavaScript, CoffeeScript",,,Clojure,"Python, JavaScript, CoffeeScript",5,3,"[20,30)",Да,Да
1/8/2014 5:05:36,Pascal/Delphi,Да,C#,"JavaScript, T-SQL",,,C#,,4,3,"[20,30)",Да,Да
1/8/2014 5:05:40,PHP,Да,PHP,"JavaScript, PL/SQL, T-SQL, Shell",,,PHP,PHP,5,5,"[20,30)",Да,Нет
1/8/2014 5:05:53,C,Да,T-SQL,"C#, JavaScript",,,C#,,1,1,"[20,30)",Да,Да
1/8/2014 5:05:53,Basic,Да,PHP,"JavaScript, PL/SQL",,,PHP,"PHP, JavaScript",7,5,"[20,30)",Да,Да
1/8/2014 5:06:17,Basic,Да,C++,Java,,,C++,Java,6,8,"[30,40)",Да,Да
1/8/2014 5:06:18,Pascal/Delphi,Да,Java,"Java, JavaScript, Scala",,,Scala,"Java, Scala",2,2,"[20,30)",Да,Нет
1/8/2014 5:06:20,Pascal/Delphi,Да,JavaScript,,,,JavaScript,JavaScript,<1,<1,"[20,30)",Да,Нет
1/8/2014 5:06:27,Pascal/Delphi,Да,JavaScript,CoffeeScript,,,JavaScript,JavaScript,2,2,"[20,30)",Да,Да
1/8/2014 5:06:38,PHP,Да,C#,"C#, JavaScript",,,C#,,1,1,"[20,30)",Да,Нет
1/8/2014 5:06:43,C++,Да,Python,"PHP, JavaScript, C, PL/SQL, Shell",,,Python,"PHP, Python, JavaScript",4,2,"[20,30)",Да,Да
1/8/2014 5:06:50,Pascal/Delphi,Да,Java,"JavaScript, PL/SQL",,,Java,Java,7,6,"[20,30)",Да,Да
1/8/2014 5:06:58,Pascal/Delphi,Да,Python,"Python, JavaScript, Shell, Go",,,Go,Python,3,3,"[20,30)",Да,Да
1/8/2014 5:07:03,C++,Да,1C,PL/SQL,,,1C,Java,10+,9,"[30,40)",Да,Да
1/8/2014 5:07:16,Pascal/Delphi,Да,C#,"C++, Ruby",,,Ruby,,<1,<1,"[20,30)",Да,Нет
1/8/2014 5:07:33,Pascal/Delphi,Да,PHP,"JavaScript, Pascal/Delphi",,,PHP,"PHP, JavaScript, Pascal/Delphi",8,8,"[30,40)",Да,Нет
1/8/2014 5:07:43,C#,Да,C#,"T-SQL, jil",,,C#,C#,4,4,"[20,30)",Да,Да
1/8/2014 5:07:45,C,Нет,,,"JavaScript, Ruby","JavaScript, Ruby",JavaScript,"JavaScript, Ruby",5,3,"[20,30)",Да,Да
1/8/2014 5:07:50,Pascal/Delphi,Да,Ruby,"JavaScript, Shell",,,Ruby,"JavaScript, Ruby",4,2,"[20,30)",Да,Нет
1/8/2014 5:07:51,Pascal/Delphi,Да,Java,"JavaScript, Shell",,,Java,"Java, PHP, JavaScript",2,2,"[20,30)",Да,Нет
1/8/2014 5:07:57,Pascal/Delphi,Да,PHP,JavaScript,,,Python,,4,4,"[20,30)",Да,Да
1/8/2014 5:07:59,Pascal/Delphi,Да,C#,"JavaScript, T-SQL",,,C#,"C#, Python, R",8,8,"[20,30)",Да,Да
1/8/2014 5:07:59,Фокал,Да,C#,JavaScript,,,C#,,10+,4,"[30,40)",Да,Да
1/8/2014 5:08:25,C++,Да,C++,"PHP, Objective-C",,,PHP,PHP,10+,4,"[20,30)",Да,Нет
1/8/2014 5:08:33,C++,Да,Objective-C,"C++, Ruby, C, Perl, Shell",,,C++,"C++, Objective-C, Ruby",3,3,"[20,30)",Да,Нет
1/8/2014 5:08:36,Pascal/Delphi,Да,Java,"PHP, JavaScript, PL/SQL, Shell",,,Java,"Java, PHP, JavaScript, PL/SQL",<1,<1,"[20,30)",Да,Да
1/8/2014 5:08:43,Asm,Да,C,,,,Java,C,9,9,"[30,40)",Да,Нет
1/8/2014 5:08:58,PHP,Да,C#,"Python, JavaScript, T-SQL, R",,,C#,C#,3,3,"[40,50)",Да,Нет
1/8/2014 5:09:06,C++,Да,Python,"C++, JavaScript, C, PL/SQL",,,Python,"C++, Python, JavaScript, C, PL/SQL",4,3,"[20,30)",Да,Да
1/8/2014 5:09:06,Java,Да,Java,"JavaScript, Groovy",,,Scala,"Java, JavaScript, Scala, Groovy",2,2,"[20,30)",Да,Да
1/8/2014 5:09:08,C,Да,Objective-C,"C++, C",,,Objective-C,Objective-C,1,1,"[20,30)",Да,Нет
1/8/2014 5:09:21,PHP,Да,PHP,"JavaScript, PL/SQL",,,PHP,PHP,5,5,"[20,30)",Да,Да
1/8/2014 5:09:27,Pascal/Delphi,Да,PHP,"PHP, JavaScript",,,JavaScript,,4,4,"[20,30)",Да,Нет
1/8/2014 5:10:11,Pascal/Delphi,Да,Objective-C,JavaScript,,,Objective-C,"JavaScript, Objective-C",6,5,"[20,30)",Да,Да
1/8/2014 5:10:13,Basic,Да,Java,"Java, C#, C++, C, ActionScript, Asm",,,Java,"Java, C#",4,4,"[20,30)",Да,Да
1/8/2014 5:10:15,Pascal/Delphi,Да,Objective-C,Python,,,Objective-C,,2,2,"[20,30)",Да,Нет
1/8/2014 5:10:21,PHP,Да,JavaScript,"Java, PHP, JavaScript, Objective-C, Ruby",,,JavaScript,"Java, PHP, JavaScript, Objective-C",5,3,"[20,30)",Да,Нет
1/8/2014 5:10:22,C++,Да,PHP,JavaScript,,,Python,,3,2,"[20,30)",Нет,Да
1/8/2014 5:10:29,Pascal/Delphi,Да,C#,T-SQL,,,C#,,8,7,"[20,30)",Да,Да
1/8/2014 5:10:41,Basic,Да,JavaScript,"JavaScript, Ruby, CoffeeScript",,,Golang,Ruby,7,5,"[30,40)",Да,Да
1/8/2014 5:10:43,PHP,Да,Python,JavaScript,,,Python,,8,2,"[20,30)",Нет,Да
1/8/2014 5:10:44,Pascal/Delphi,Да,PHP,"PHP, JavaScript, Ruby, Shell",,,Ruby,"PHP, Ruby",3,2,"[20,30)",Да,Да
1/8/2014 5:11:00,Basic,Нет,,,"C++, C",Python,Erlang,"Java, C#, C++, Python, Erlang, Lisp",8,8,"[30,40)",Да,Да
1/8/2014 5:11:02,Pascal/Delphi,Да,Objective-C,,,,Objective-C,Objective-C,2,2,"[20,30)",Да,Да
1/8/2014 5:11:12,Basic,Да,JavaScript,C#,,,C#,,4,3,"[20,30)",Да,Нет
1/8/2014 5:11:18,Basic,Да,Java,"Java, C++, Python, Objective-C, Shell",,,Java,"Java, JavaScript, Shell",7,7,"[20,30)",Да,Да
1/8/2014 5:11:22,Basic,Да,ActionScript,Java,,,Java,ActionScript,3,3,"[20,30)",Да,Да
1/8/2014 5:11:22,Pascal/Delphi,Да,JavaScript,PHP,,,JavaScript,"PHP, JavaScript, Ruby",<1,<1,"[20,30)",Да,Нет
1/8/2014 5:11:29,Pascal/Delphi,Да,JavaScript,PHP,,,JavaScript,"PHP, JavaScript",3,2,"[20,30)",Да,Да
1/8/2014 5:11:38,Basic,Да,PHP,JavaScript,,,PHP,,3,3,"[20,30)",Да,Да
1/8/2014 5:11:56,Basic,Да,C#,"JavaScript, T-SQL",,,C#,C#,3,3,"[20,30)",Да,Нет
1/8/2014 5:12:11,Pascal/Delphi,Да,Ruby,"JavaScript, CoffeeScript",,,Ruby,"JavaScript, Ruby",<1,<1,"[20,30)",Да,Да
1/8/2014 5:12:22,Basic,Нет,,,"C#, Pascal/Delphi",,C#,Ruby,10+,10+,"[30,40)",Да,Да
1/8/2014 5:12:29,Basic,Да,Ruby,"JavaScript, CoffeeScript",,,Ruby,"Ruby, CoffeeScript",3,2,"[20,30)",Да,Нет
1/8/2014 5:12:34,Pascal/Delphi,Да,Java,JavaScript,,,Java,Java,1,1,"[20,30)",Да,Да
1/8/2014 5:12:44,Pascal/Delphi,Да,Java,JavaScript,,,Java,,3,3,"[30,40)",Да,Да
1/8/2014 5:12:47,C++,Да,C#,T-SQL,,,Java,,10+,8,"[30,40)",Да,Да
1/8/2014 5:13:09,Basic,Нет,,,Ruby,"JavaScript, CoffeeScript",JavaScript,,3,2,"[20,30)",Да,Нет
1/8/2014 5:13:11,Pascal/Delphi,Да,Java,,,,Scala,Java,<1,<1,"[20,30)",Да,Нет
1/8/2014 5:13:19,Basic,Нет,,,"PHP, JavaScript",,PHP,"PHP, Python, JavaScript",3,2,"[20,30)",Да,Нет
1/8/2014 5:13:20,Pascal/Delphi,Да,Java,,,,Java,,<1,<1,<20,Да,Нет
1/8/2014 5:13:25,Pascal/Delphi,Да,Objective-C,"C++, C",,,Objective-C,,2,1,"[20,30)",Да,Да
1/8/2014 5:13:26,Basic,Нет,,,"C#, JavaScript",T-SQL,JavaScript,,2,2,"[20,30)",Да,Нет
1/8/2014 5:13:33,Basic,Да,PHP,"JavaScript, T-SQL",,,PHP,PHP,6,6,"[30,40)",Да,Да
1/8/2014 5:13:57,Basic,Да,1C,"PHP, JavaScript, ActionScript, Haxe",,,Haxe,Haxe,<1,<1,"[20,30)",Нет,Нет
1/8/2014 5:14:04,Basic,Да,Python,"JavaScript, Shell",,,Python,"Python, JavaScript, Shell",2,2,"[20,30)",Да,Да
1/8/2014 5:14:04,Pascal/Delphi,Нет,,,Scala,"Java, Python, JavaScript",Scala,Scala,6,5,"[20,30)",Да,Да
1/8/2014 5:14:17,Asm,Нет,,,"Java, Scala","C++, Groovy, R",Scala,"Java, JavaScript, C, Scala, R",10+,5,"[40,50)",Да,Да
1/8/2014 5:14:20,C++,Нет,,,"C++, Python",,C++,Python,<1,1,<20,Да,Нет
1/8/2014 5:14:40,Basic,Да,PHP,"Java, Python, JavaScript, CoffeeScript",,,PHP,"PHP, JavaScript",10+,7,"[30,40)",Да,Нет
1/8/2014 5:14:41,Asm,Да,Objective-C,"C++, C, T-SQL, Shell",,,Objective-C,"C#, C++, Objective-C",5,3,"[20,30)",Да,Да
1/8/2014 5:14:48,Pascal/Delphi,Да,Python,"JavaScript, PL/SQL, Perl",,,Python,"Python, Perl",8,3,"[30,40)",Да,Да
1/8/2014 5:14:49,Pascal/Delphi,Да,Python,JavaScript,,,Python,"Python, JavaScript",4,3,"[20,30)",Да,Нет
1/8/2014 5:14:57,Basic,Да,C++,"C#, Python, C, Asm",,,C#,"C#, C++",8,7,"[30,40)",Да,Да
1/8/2014 5:15:02,Basic,Да,Lisp,Java,,,Lisp,Lisp,9,7,"[20,30)",Да,Да
1/8/2014 5:15:12,C,Да,C#,PL/SQL,,,C#,"Java, C#",1,1,<20,Да,Нет
1/8/2014 5:15:44,C#,Да,Basic,C#,,,C#,C#,<1,<1,"[20,30)",Да,Нет
1/8/2014 5:16:06,Pascal/Delphi,Да,C#,"PHP, JavaScript",,,C#,"C#, PHP, Pascal/Delphi",3,2,<20,Да,Нет
1/8/2014 5:16:15,Pascal/Delphi,Да,C++,Python,,,C++,,6,2,"[20,30)",Да,Да
1/8/2014 5:16:18,Python,Да,Python,Python,,,Python,,<1,<1,"[20,30)",Да,Да
1/8/2014 5:16:31,C#,Да,C#,"JavaScript, T-SQL",,,C#,"C#, JavaScript, T-SQL",4,5,"[20,30)",Да,Да
1/8/2014 5:16:37,Pascal/Delphi,Да,Python,JavaScript,,,Clojure,"Python, JavaScript, Clojure",7,6,"[20,30)",Да,Да
1/8/2014 5:17:02,C#,Да,Java,C#,,,Java,"Java, C#",<1,<1,"[20,30)",Да,Да
1/8/2014 5:17:02,Pascal/Delphi,Да,C#,"C#, PHP, JavaScript",,,C#,"C#, PHP",3,1,"[20,30)",Да,Нет
1/8/2014 5:17:26,Pascal/Delphi,Да,Java,JavaScript,,,Java,"Java, JavaScript",5,1,"[40,50)",Да,Нет
1/8/2014 5:17:28,C,Нет,,,C,"PHP, JavaScript",PHP,"PHP, C++, C, Lisp",2,1,"[20,30)",Да,Нет
1/8/2014 5:17:39,Pascal/Delphi,Нет,,,Python,,Python,Python,<1,1,"[20,30)",Да,Нет
1/8/2014 5:17:45,Pascal/Delphi,Да,Java,JavaScript,,,Java,"Java, C#, JavaScript",<1,<1,"[20,30)",Да,Нет
1/8/2014 5:17:47,Pascal/Delphi,Да,JavaScript,Java,,,JavaScript,,3,2,"[20,30)",Нет,Нет
1/8/2014 5:17:47,C++,Да,Java,,,,Java,"Java, C#, PHP",4,2,"[20,30)",Да,Да
1/8/2014 5:17:49,Pascal/Delphi,Да,Java,Groovy,,,Java,,7,7,"[20,30)",Да,Да
1/8/2014 5:18:04,Pascal/Delphi,Да,Java,,,,C#,,5,<1,"[20,30)",Да,Да
1/8/2014 5:18:15,C,Да,Java,"Java, Python, JavaScript, C",,,Java,"Java, C",1,1,"[20,30)",Да,Нет
1/8/2014 5:18:26,Basic,Да,JavaScript,"Java, Perl",,,JavaScript,"Java, JavaScript, Perl",6,5,"[20,30)",Да,Да
1/8/2014 5:18:27,Basic,Да,JavaScript,Scala,,,Go,"PHP, Python, JavaScript, Shell",5,5,"[20,30)",Да,Да
1/8/2014 5:18:38,Pascal/Delphi,Да,ActionScript,"PHP, JavaScript, ActionScript",,,ActionScript,"PHP, JavaScript, ActionScript",3,3,"[20,30)",Да,Да
1/8/2014 5:18:38,Pascal/Delphi,Да,PHP,"Python, JavaScript",,,PHP,PHP,3,3,"[20,30)",Да,Да
1/8/2014 5:18:38,C,Да,Python,C++,,,Python,"Python, JavaScript, Go",9,7,"[20,30)",Нет,Да
1/8/2014 5:18:44,Java,Да,Java,"PHP, Python",,,Ruby,Java,<1,2,"[20,30)",Да,Да
1/8/2014 5:18:51,Pascal/Delphi,Нет,,,"PHP, JavaScript, Ruby","PHP, JavaScript, Ruby",JavaScript,"PHP, JavaScript",4,3,"[20,30)",Нет,Да
1/8/2014 5:18:52,C++,Да,JavaScript,"PHP, CoffeeScript",,,JavaScript,"PHP, JavaScript",3,3,"[20,30)",Да,Да
1/8/2014 5:19:00,Pascal/Delphi,Да,Java,JavaScript,,,Scala,"Java, JavaScript, Scala, T-SQL",6,5,"[20,30)",Да,Да
1/8/2014 5:19:27,Basic,Да,PHP,JavaScript,,,PHP,PHP,10+,10+,"[30,40)",Да,Да
1/8/2014 5:19:49,Pascal/Delphi,Да,Java,"JavaScript, PL/SQL",,,Java,,4,4,"[20,30)",Да,Да
1/8/2014 5:19:50,Pascal/Delphi,Да,Java,"JavaScript, PL/SQL",,,Java,,<1,<1,"[20,30)",Да,Нет
1/8/2014 5:20:18,Pascal/Delphi,Да,C#,"JavaScript, PL/SQL",,,C#,C#,8,6,"[20,30)",Да,Да
1/8/2014 5:20:27,Basic,Да,JavaScript,,,,JavaScript,,2,2,"[20,30)",Да,Да
1/8/2014 5:20:39,PHP,Да,PHP,"Python, PL/SQL, Shell",,,Python,"PHP, Python, PL/SQL, Shell",6,6,"[20,30)",Да,Да
1/8/2014 5:21:24,Basic,Да,Ruby,JavaScript,,,Objective-C,"JavaScript, Ruby, CoffeeScript",7,7,"[20,30)",Да,Да
1/8/2014 5:21:39,C++,Да,Java,,,,Java,Java,<1,<1,<20,Да,Да
1/8/2014 5:21:48,Pascal/Delphi,Да,C#,"JavaScript, T-SQL",,,C#,"C#, JavaScript",5,4,"[20,30)",Да,Нет
1/8/2014 5:21:51,C++,Да,C++,"C, Asm",,,Python,,1,1,"[20,30)",Да,Нет
1/8/2014 5:21:54,Pascal/Delphi,Да,Java,"Java, C, Lisp, Clojure",,,Clojure,"Java, Clojure",3,3,"[20,30)",Да,Да
1/8/2014 5:21:57,Pascal/Delphi,Да,PHP,"Python, JavaScript",,,PHP,PHP,3,3,"[20,30)",Да,Да
1/8/2014 5:21:59,Pascal/Delphi,Да,C#,"JavaScript, T-SQL",,,C#,,<1,<1,"[20,30)",Да,Нет
1/8/2014 5:22:02,C++,Да,PHP,"JavaScript, Ruby, CoffeeScript",,,Python,"PHP, JavaScript, Ruby",3,3,"[20,30)",Да,Да
1/8/2014 5:22:05,JavaScript,Да,JavaScript,PHP,,,JavaScript,,5,3,"[20,30)",Да,Да
1/8/2014 5:22:14,Asm,Нет,,,"Java, Python, JavaScript",Scala,Java,,10+,6,"[30,40)",Да,Да
1/8/2014 5:22:24,Basic,Да,PHP,"JavaScript, LUA",,,PHP,,5,5,"[20,30)",Да,Нет
1/8/2014 5:22:27,Basic,Да,C,"C++, Asm",,,C++,"C++, C",8,5,"[30,40)",Да,Да
1/8/2014 5:22:42,Asm,Да,C++,"C, Shell, Asm",,,C,"C++, C, Shell",10+,10+,"[30,40)",Да,Да
1/8/2014 5:22:44,Basic,Да,PHP,"JavaScript, PL/SQL",,,PHP,,6,6,"[20,30)",Да,Да
1/8/2014 5:22:48,C++,Да,Objective-C,"Java, C, PL/SQL",,,Objective-C,Objective-C,7,3,"[30,40)",Да,Да
1/8/2014 5:22:51,Pascal/Delphi,Да,Ruby,"JavaScript, Objective-C, Ruby, C, PL/SQL, CoffeeScript",,,Ruby,"JavaScript, Objective-C, Ruby",9,4,"[30,40)",Да,Нет
1/8/2014 5:23:13,Basic,Да,Objective-C,"Java, Ruby",,,Ruby,"Java, Ruby",5,2,"[20,30)",Да,Нет
1/8/2014 5:23:14,Pascal/Delphi,Да,Java,"PHP, JavaScript, Scala, Shell",,,Java,Java,2,2,"[20,30)",Да,Нет
1/8/2014 5:23:23,C++,Да,Objective-C,"Ruby, R",,,Objective-C,"Objective-C, Ruby, R",2,1,"[30,40)",Да,Нет
1/8/2014 5:23:28,Basic,Да,C,"JavaScript, Pascal/Delphi, Asm",,,C,"C, Pascal/Delphi",10+,8,"[30,40)",Да,Нет
1/8/2014 5:23:34,Pascal/Delphi,Нет,,,"C++, ActionScript","JavaScript, C",C#,"C++, ActionScript",<1,<1,"[20,30)",Да,Да
1/8/2014 5:23:47,C,Нет,,,"PHP, ActionScript, Haxe",JavaScript,Haxe,"PHP, JavaScript, ActionScript, Haxe",8,8,"[20,30)",Да,Нет
1/8/2014 5:24:00,C++,Да,C#,"JavaScript, T-SQL",,,C#,C#,10+,7,"[30,40)",Да,Нет
1/8/2014 5:24:06,Basic,Да,Java,"C++, JavaScript",,,Java,,5,2,"[20,30)",Да,Да
1/8/2014 5:24:18,Java,Да,Java,C++,,,Java,,1,1,<20,Да,Да
1/8/2014 5:24:29,C++,Нет,,,Java,JavaScript,Scala,Java,5,5,"[20,30)",Да,Нет
1/8/2014 5:24:33,fortran,Да,C++,"Java, C",,,C++,"Python, J",10+,10+,"[40,50)",Да,Да
1/8/2014 5:24:42,ActionScript,Нет,,,"ActionScript, Haxe","C#, PHP",Haxe,"ActionScript, Haxe",2,2,"[20,30)",Да,Нет
1/8/2014 5:24:46,Logo,Да,PHP,"JavaScript, Shell",,,JavaScript,PHP,2,2,"[20,30)",Да,Да
1/8/2014 5:24:46,C++,Да,JavaScript,PHP,,,JavaScript,"PHP, JavaScript",4,2,"[20,30)",Да,Нет
1/8/2014 5:24:52,Basic,Да,PL/SQL,,,,PL/SQL,,10+,10+,"[30,40)",Да,Да
1/8/2014 5:25:08,Basic,Да,PHP,"JavaScript, PL/SQL",,,PHP,Java,3,3,"[20,30)",Да,Да
1/8/2014 5:25:11,Pascal/Delphi,Да,PHP,JavaScript,,,PHP,,2,1,"[20,30)",Да,Да
1/8/2014 5:25:12,Pascal/Delphi,Да,JavaScript,"PHP, Python",,,Python,"Python, JavaScript",6,3,"[20,30)",Да,Да
1/8/2014 5:25:12,Pascal/Delphi,Да,Python,"C++, JavaScript",,,Python,,6,2,"[20,30)",Да,Нет
1/8/2014 5:25:21,Basic,Да,PHP,"PHP, JavaScript",,,PHP,"PHP, JavaScript",7,3,"[30,40)",Да,Нет
1/8/2014 5:25:42,Basic,Да,Scala,"Java, JavaScript, CoffeeScript",,,Scala,"Java, Groovy",8,2,"[20,30)",Да,Да
1/8/2014 5:26:02,Basic,Да,PHP,JavaScript,,,C++,"PHP, JavaScript",2,2,"[20,30)",Да,Нет
1/8/2014 5:26:16,C++,Да,Java,JavaScript,,,Java,,2,2,<20,Да,Да
1/8/2014 5:26:25,C#,Да,C#,C#,,,C#,"C#, C++, C",1,<1,"[20,30)",Да,Нет
1/8/2014 5:26:33,Pascal/Delphi,Да,C#,"JavaScript, T-SQL",,,C#,"C#, JavaScript, T-SQL",<1,<1,"[20,30)",Да,Нет
1/8/2014 5:26:37,Pascal/Delphi,Да,JavaScript,PHP,,,JavaScript,JavaScript,2,2,"[20,30)",Да,Нет
1/8/2014 5:26:59,Pascal/Delphi,Да,C#,"JavaScript, T-SQL",,,C#,"C#, Python",2,3,"[20,30)",Да,Нет
1/8/2014 5:27:07,C++,Да,Objective-C,,,,Objective-C,,3,3,"[20,30)",Да,Да
1/8/2014 5:27:11,Pascal/Delphi,Да,PHP,"Python, JavaScript",,,PHP,Python,4,4,"[20,30)",Да,Да
1/8/2014 5:27:17,Pascal/Delphi,Нет,,,"PHP, Python, JavaScript","Ruby, Perl, Shell",JavaScript,"PHP, JavaScript, Ruby",10+,6,"[30,40)",Да,Нет
1/8/2014 5:27:22,Basic,Да,Java,"JavaScript, Shell",,,Java,"Java, Python, C, Scala, Lisp",3,3,"[30,40)",Да,Да
1/8/2014 5:27:52,C,Да,Java,"JavaScript, T-SQL",,,Java,"Java, PHP, Objective-C",<1,<1,"[20,30)",Да,Нет
1/8/2014 5:27:53,Basic,Да,F#,"C#, Scala, R, XPath/XSLT",,,F#,C#,10+,<1,"[30,40)",Да,Да
1/8/2014 5:28:05,Basic,Да,C#,"JavaScript, T-SQL",,,C#,,10+,10+,"[30,40)",Да,Нет
1/8/2014 5:28:14,Pascal/Delphi,Да,PHP,JavaScript,,,Ruby,,5,3,"[20,30)",Да,Нет
1/8/2014 5:28:16,C++,Да,Java,Java,,,Java,Java,1,1,"[20,30)",Да,Нет
1/8/2014 5:28:20,Pascal/Delphi,Да,C#,T-SQL,,,C#,"C#, T-SQL",3,3,"[20,30)",Да,Да
1/8/2014 5:28:35,C,Да,Pascal/Delphi,"JavaScript, PL/SQL",,,Pascal/Delphi,"JavaScript, Pascal/Delphi, R",7,7,"[20,30)",Да,Нет
1/8/2014 5:28:48,Pascal/Delphi,Да,Java,"JavaScript, Objective-C, Shell, R",,,Java,Java,2,2,<20,Да,Да
1/8/2014 5:28:57,Basic,Да,C#,JavaScript,,,C#,,1,1,"[20,30)",Да,Нет
1/8/2014 5:29:00,Pascal/Delphi,Да,C#,"C#, JavaScript, T-SQL",,,C#,,10+,8,"[30,40)",Да,Да
1/8/2014 5:29:04,C++,Да,Java,,,,Ruby,Ruby,<1,<1,"[20,30)",Да,Нет
1/8/2014 5:29:09,Basic,Да,Java,PL/SQL,,,Java,Java,3,8,"[30,40)",Да,Да
1/8/2014 5:29:20,Pascal/Delphi,Да,C#,"C++, JavaScript, C, T-SQL",,,C#,"C#, C++, Python, JavaScript, T-SQL",3,3,"[20,30)",Да,Да
1/8/2014 5:29:24,Pascal/Delphi,Нет,,,"Java, JavaScript, PL/SQL",,Java,"Java, JavaScript",1,<1,"[20,30)",Да,Нет
1/8/2014 5:29:25,Basic,Да,Perl,"Python, JavaScript, Shell",,,Perl,,4,5,"[30,40)",Да,Да
1/8/2014 5:29:31,C,Да,C++,"Python, C, T-SQL, Erlang",,,C++,C++,<1,4,"[20,30)",Да,Нет
1/8/2014 5:29:40,Pascal/Delphi,Да,JavaScript,,,,JavaScript,"JavaScript, Objective-C",6,3,"[20,30)",Да,Нет
1/8/2014 5:29:43,Pascal/Delphi,Да,C#,JavaScript,,,JavaScript,JavaScript,<1,1,"[20,30)",Да,Нет
