Timestamp,Q1,MainLanguage,FirstLanguage,NowLanguage,AdditionalLanguages1,NowLanguages2,AdditionalLanguages3,NextLanguage,PetProjectsLanguages,ExperienceInProgramming,ExperienceInLanguage,Age,InUA,InPrev
10.01.2013 15:21:53,,Да,Basic,Java,"C#, JavaScript",,,Java,,6,6,"[20,30)",Да,Нет
10.01.2013 15:22:01,,Да,Pascal/Delphi,Java,Java,,,Scala,"Scala, Haskell, Clojure",6,4,"[20,30)",Да,Да
10.01.2013 15:22:44,,Да,Pascal/Delphi,Python,JavaScript,,,Python,Python,5,3,"[20,30)",Да,Да
10.01.2013 15:22:52,,Да,Pascal/Delphi,DelphiScript,Pascal/Delphi,,,Java,Java,<1,<1,"[20,30)",Да,Нет
10.01.2013 15:22:57,,Да,Pascal/Delphi,Java,Ruby,,,Ruby,Ruby,4,3,"[20,30)",Да,Нет
10.01.2013 15:22:58,,Да,Basic,PHP,"Python, JavaScript",,,PHP,"PHP, Python, Ruby, JavaScript, Pascal/Delphi, Lua",3,3,"[30,40)",Да,Да
10.01.2013 15:23:13,,Да,Ruby,Ruby,Ruby,,,Ruby,,1,1,"[20,30)",Да,Нет
10.01.2013 15:23:16,,Да,Pascal/Delphi,C#,"JavaScript, ActionScript, PL/SQL",,,C#,"Java, C#, JavaScript, ActionScript, PL/SQL",5,4,"[20,30)",Да,Да
10.01.2013 15:23:28,,Да,Asm,Java,"JavaScript, Shell",,,Java,Python,10+,10+,"[30,40)",Да,Да
10.01.2013 15:23:33,,Да,Basic,Python,JavaScript,,,Python,,7,5,"[30,40)",Да,Да
10.01.2013 15:23:42,,Да,PHP,PHP,"PHP, Python",,,PHP,,3,3,"[20,30)",Да,Да
10.01.2013 15:23:45,,Да,Pascal/Delphi,PHP,JavaScript,,,Python,"PHP, JavaScript",2,<1,"[20,30)",Нет,Да
10.01.2013 15:23:45,,Да,Basic,PHP,JavaScript,,,JavaScript,"PHP, JavaScript",5,4,"[20,30)",Да,Да
10.01.2013 15:23:53,,Да,Pascal/Delphi,C#,"JavaScript, PL/SQL",,,C#,"C#, JavaScript",6,5,"[20,30)",Нет,Да
10.01.2013 15:24:11,,Нет,Pascal/Delphi,,,"Java, PHP, JavaScript, Pascal/Delphi, 1C","Java, PHP, JavaScript, 1C",Java,"PHP, JavaScript",3,1,"[20,30)",Да,Да
10.01.2013 15:24:12,,Да,Pascal/Delphi,PHP,"Python, JavaScript, Shell",,,clojure,,10+,10+,"[20,30)",Нет,Нет
10.01.2013 15:24:21,,Да,C++,Java,"C#, F#",,,C#,C#,4,2,"[20,30)",Да,Нет
10.01.2013 15:24:21,,Да,Basic,Ruby,"Java, Python, Lua",,,Ruby,C#,4,2,"[20,30)",Да,Нет
10.01.2013 15:24:21,,Да,Java,Java,JavaScript,,,C#,C#,2,1,"[20,30)",Да,Нет
10.01.2013 15:24:25,,Нет,Pascal/Delphi,,,"PL/SQL, 1C","Python, Perl",Java,,10+,6,"[30,40)",Да,Нет
10.01.2013 15:24:32,,Да,Pascal/Delphi,Java,Scala,,,Java,Java,3,2,"[20,30)",Да,Да
10.01.2013 15:24:46,,Да,Pascal/Delphi,C#,"Java, C#, Python, JavaScript",,,C#,"Java, Python, Ruby, JavaScript",3,3,"[20,30)",Да,Да
10.01.2013 15:24:46,,Нет,C++,,,"Python, Erlang","Scala, Haskell",Erlang,"Python, Scala, Erlang, Haskell",5,2,"[20,30)",Да,Да
10.01.2013 15:24:50,,Нет,Pascal/Delphi,,,"Java, C#, JavaScript, Groovy","C++, Python, Ruby, Objective-C, C, Perl, Scala, Erlang, Haskell",JavaScript,"Java, JavaScript, Groovy",3,3,"[20,30)",Да,Нет
10.01.2013 15:24:52,,Да,Pascal/Delphi,Objective-C,"C++, C",,,Objective-C,"C#, Objective-C",7,3,"[20,30)",Да,Да
10.01.2013 15:25:12,,Да,PHP,PHP,JavaScript,,,PHP,PHP,4,3,"[20,30)",Да,Да
10.01.2013 15:25:20,,Да,C#,C#,"C#, JavaScript, ASP.NET MVC",,,C#,"C#, JavaScript, asp.net mvc",2,3,"[20,30)",Да,Да
10.01.2013 15:25:28,,Да,Pascal/Delphi,Java,"JavaScript, PL/SQL",,,Java,C++,8,5,"[30,40)",Да,Да
10.01.2013 15:25:28,,Да,Basic,PHP,"Python, JavaScript",,,"Вопрос некорректен. Необходимо исходить из объективных нужд проекта, а не из субъективной любви к языку","PHP, Python",4,4,"[20,30)",Да,Нет
10.01.2013 15:25:38,,Да,Pascal/Delphi,C,"Python, C",,,C,"Python, C",5,5,"[20,30)",Да,Да
10.01.2013 15:25:49,,Нет,C++,,,"Java, JavaScript","Java, Ruby, JavaScript, Shell",Java,"Java, JavaScript",7,5,"[20,30)",Да,Да
10.01.2013 15:26:09,,Нет,Pascal/Delphi,,,"C#, JavaScript",JavaScript,C#,C#,1,1,"[20,30)",Да,Да
10.01.2013 15:26:29,,Да,JavaScript,JavaScript,"Java, Python",,,Erlang,JavaScript,7,5,"[20,30)",Да,Да
10.01.2013 15:26:29,,Да,Basic,C++,C,,,Objective-C,,5,4,"[20,30)",Да,Нет
10.01.2013 15:26:29,,Да,PHP,Java,Objective-C,,,Java,"Java, PHP, JavaScript, Objective-C",5,2,"[20,30)",Да,Да
10.01.2013 15:26:54,,Да,Basic,Objective-C,"Objective-C, C",,,Objective-C,Objective-C,3,3,"[20,30)",Да,Да
10.01.2013 15:27:02,,Да,Basic,C#,"JavaScript, PL/SQL",,,C#,C#,10+,9,"[30,40)",Да,Да
10.01.2013 15:27:05,,Да,машинный код,C#,"Java, C#, C++, JavaScript",,,C#,"C#, JavaScript",7,4,"[20,30)",Да,Нет
10.01.2013 15:27:06,,Да,Pascal/Delphi,Java,"JavaScript, Scala",,,Scala,Scala,10+,10+,"[30,40)",Да,Нет
10.01.2013 15:27:17,,Да,Basic,Java,"C#, C++, JavaScript, C",,,C#,C#,3,3,"[20,30)",Да,Да
10.01.2013 15:27:22,,Да,C#,C#,JavaScript,,,C#,C#,2,2,"[20,30)",Да,Нет
10.01.2013 15:27:25,,Да,Basic,PHP,"PHP, Python, JavaScript",,,PHP,PHP,4,3,"[20,30)",Да,Нет
10.01.2013 15:27:27,,Да,Basic,Perl,"Python, JavaScript",,,Ruby,Perl,10+,7,"[30,40)",Да,Да
10.01.2013 15:27:29,,Да,Pascal/Delphi,Java,Groovy,,,Java,,1,1,"[20,30)",Да,Нет
10.01.2013 15:27:41,,Да,Basic,Java,C,,,Java,Java,2,1,"[30,40)",Да,Нет
10.01.2013 15:27:57,,Да,Basic,JavaScript,PHP,,,JavaScript,"PHP, JavaScript",3,3,"[20,30)",Да,Нет
10.01.2013 15:28:19,,Да,Pascal/Delphi,Java,"JavaScript, PL/SQL",,,Java,"Java, PHP, Objective-C, PL/SQL",2,2,"[20,30)",Да,Да
10.01.2013 15:28:19,,Да,Basic,C++,C++,,,Scala,"C++, Scala",6,6,"[20,30)",Да,Да
10.01.2013 15:28:23,,Да,Pascal/Delphi,Java,C++,,,Java,Java,3,2,"[20,30)",Да,Нет
10.01.2013 15:28:31,,Да,Pascal/Delphi,Java,JavaScript,,,Java,"Java, JavaScript",3,2,"[20,30)",Да,Да
10.01.2013 15:29:02,,Да,C,C#,"JavaScript, PL/SQL",,,C#,,5,5,"[20,30)",Да,Нет
10.01.2013 15:29:20,,Да,Pascal/Delphi,Java,"JavaScript, Groovy",,,Java,Java,2,1,"[20,30)",Да,Да
10.01.2013 15:29:24,,Да,Basic,C#,"C#, C++, F#, IL",,,C#,C#,5,5,"[20,30)",Да,Нет
10.01.2013 15:29:27,,Да,Basic,PHP,"Python, Ruby, JavaScript",,,Ruby,"Ruby, JavaScript",5,5,"[20,30)",Да,Нет
10.01.2013 15:29:31,,Нет,Pascal/Delphi,,,"Pascal/Delphi, PL/SQL",Python,Python,"Python, Pascal/Delphi",2,2,"[20,30)",Да,Да
10.01.2013 15:29:32,,Да,JavaScript,Java,"Python, JavaScript",,,Java,"Java, Python, Objective-C, Scala",7,7,"[20,30)",Да,Да
10.01.2013 15:29:35,,Да,PHP,Java,JavaScript,,,Java,"Java, JavaScript",4,2,"[20,30)",Да,Да
10.01.2013 15:29:37,,Да,Pascal/Delphi,C#,JavaScript,,,Clojure,"JavaScript, Clojure",3,2,"[20,30)",Да,Да
10.01.2013 15:29:38,,Да,Basic,PHP,JavaScript,,,PHP,"PHP, JavaScript, C, ActionScript, Pascal/Delphi, Perl",10+,10+,"[20,30)",Да,Нет
10.01.2013 15:29:47,,Да,C,Groovy,"Java, JavaScript, Groovy",,,Groovy,,1,1,"[20,30)",Да,Да
10.01.2013 15:29:49,,Да,Pascal/Delphi,PHP,"Python, JavaScript",,,Python,"PHP, Python",<1,<1,<20,Да,Нет
10.01.2013 15:29:54,,Да,PL/SQL,PL/SQL,C#,,,PL/SQL,PL/SQL,6,6,"[20,30)",Да,Нет
10.01.2013 15:29:55,,Да,Pascal/Delphi,C#,"JavaScript, T-SQL",,,C#,,2,2,"[20,30)",Да,Да
10.01.2013 15:29:55,,Да,Pascal/Delphi,Java,"Python, JavaScript, PL/SQL, Groovy",,,Java,"Scala, Erlang",4,4,"[20,30)",Да,Нет
10.01.2013 15:30:01,,Да,Basic,PHP,JavaScript,,,PHP,PHP,10+,10+,"[30,40)",Да,Да
10.01.2013 15:30:04,,Да,C,Objective-C,"C++, Objective-C, C",,,Objective-C,Objective-C,7,2,"[20,30)",Да,Да
10.01.2013 15:30:08,,Да,Pascal/Delphi,1C,поки що нічого,,,1C,1C,7,4,"[30,40)",Да,Нет
10.01.2013 15:30:09,,Нет,Pascal/Delphi,,,"C#, PHP, JavaScript, Objective-C","C++, Python, Ruby",C#,"C#, PHP, JavaScript, Objective-C",4,4,"[30,40)",Да,Да
10.01.2013 15:30:26,,Нет,PHP,,,"Java, PHP, JavaScript","Java, PHP, JavaScript",PHP,"PHP, JavaScript",5,5,"[20,30)",Да,Да
10.01.2013 15:30:37,,Да,Python,Python,JavaScript,,,Python,Python,1,1,"[20,30)",Да,Нет
10.01.2013 15:30:39,,Да,Basic,C#,JavaScript,,,C#,,3,3,"[20,30)",Да,Да
10.01.2013 15:30:49,,Да,Basic,Java,"Java, C#, PHP, C++, JavaScript, C, PL/SQL",,,Java,"C++, Pascal/Delphi",7,5,"[20,30)",Да,Нет
10.01.2013 15:30:57,,Нет,Pascal/Delphi,,,"Java, C#, 1C",JavaScript,C#,"Java, C#, 1C",5,5,"[20,30)",Да,Да
10.01.2013 15:30:58,,Да,Pascal/Delphi,C#,JavaScript,,,C#,,6,5,"[20,30)",Да,Нет
10.01.2013 15:31:09,,Да,Pascal/Delphi,C#,JavaScript,,,C#,"C#, Python, Ruby, JavaScript, F#",10+,6,"[30,40)",Да,Нет
10.01.2013 15:31:11,,Да,Basic,C++,"Java, C",,,C++,C++,10+,9,"[20,30)",Нет,Нет
10.01.2013 15:31:17,,Да,Pascal/Delphi,Objective-C,C#,,,C#,Objective-C,6,5,"[20,30)",Да,Да
10.01.2013 15:31:22,,Да,C#,C#,"C#, JavaScript, F#",,,C#,"C#, JavaScript, F#",6,5,"[20,30)",Да,Да
10.01.2013 15:31:23,,Да,Pascal/Delphi,Java,JavaScript,,,Java,"Java, JavaScript",1,1,"[20,30)",Да,Да
10.01.2013 15:31:25,,Да,Java,Java,Scala,,,Scala,"Java, PHP",7,7,"[20,30)",Нет,Нет
10.01.2013 15:31:27,,Да,Pascal/Delphi,C++,"Python, C, Lua",,,C#,"C++, C",2,2,"[20,30)",Нет,Нет
10.01.2013 15:31:29,,Да,Pascal/Delphi,Java,"Python, PL/SQL",,,Scala,"Java, C, PL/SQL",5,3,"[20,30)",Да,Да
10.01.2013 15:31:33,,Да,Pascal/Delphi,C#,JavaScript,,,C#,"C#, JavaScript",1,2,"[20,30)",Да,Да
10.01.2013 15:31:44,,Да,Pascal/Delphi,C++,"PHP, C, Perl",,,Зависит от задачи,,<1,<1,<20,Да,Нет
10.01.2013 15:31:46,,Да,Basic,C#,"Python, JavaScript, Scala",,,Scala,Scala,8,7,"[20,30)",Нет,Да
10.01.2013 15:31:48,,Да,Pascal/Delphi,C++,"C#, JavaScript",,,C++,"C#, C++",6,6,"[30,40)",Да,Нет
10.01.2013 15:31:53,,Нет,Basic,,,Java,JavaScript,Ruby,,2,2,"[30,40)",Да,Да
10.01.2013 15:31:54,,Да,JavaScript,JavaScript,PHP,,,JavaScript,,5,7,"[20,30)",Да,Да
10.01.2013 15:32:24,,Да,Basic,Python,"PHP, JavaScript",,,Python,"PHP, Python",4,2,"[20,30)",Да,Нет
10.01.2013 15:32:32,,Да,Basic,Java,"C++, JavaScript, Objective-C, C, Erlang",,,Erlang,"Java, C++, Erlang",10+,2,"[30,40)",Да,Да
10.01.2013 15:32:41,,Да,Pascal/Delphi,C#,F#,,,F#,,4,4,"[20,30)",Да,Да
10.01.2013 15:32:42,,Да,Pascal/Delphi,C#,"C#, JavaScript",,,C#,"Java, C#, PHP, JavaScript, Basic",5,5,"[20,30)",Да,Нет
10.01.2013 15:32:47,,Да,Basic,Objective-C,C++,,,Objective-C,Objective-C,8,2,"[30,40)",Да,Да
10.01.2013 15:32:52,,Да,Pascal/Delphi,Java,JavaScript,,,Java,,6,7,"[20,30)",Да,Да
10.01.2013 15:32:54,,Да,Pascal/Delphi,Python,"Java, JavaScript",,,JavaScript,Python,5,3,"[20,30)",Нет,Да
10.01.2013 15:33:01,,Да,Lua,C#,"ActionScript, PL/SQL",,,C#,,2,1,<20,Да,Да
10.01.2013 15:33:03,,Да,PHP,Scala,"PHP, Python, JavaScript, Erlang",,,Scala,"Java, PHP, Python, JavaScript, Scala",7,1,"[20,30)",Нет,Нет
10.01.2013 15:33:04,,Да,C#,Java,"JavaScript, Objective-C",,,Java,"Java, C#",1,1,"[20,30)",Да,Да
10.01.2013 15:33:15,,Да,Basic,PHP,JavaScript,,,PHP,"Java, Python",2,2,"[20,30)",Да,Да
10.01.2013 15:33:17,,Да,PHP,Objective-C,"Java, JavaScript, C",,,Objective-C,Objective-C,2,2,"[20,30)",Да,Да
10.01.2013 15:33:23,,Да,Pascal/Delphi,Java,Java,,,Java,,3,3,"[20,30)",Да,Да
10.01.2013 15:33:23,,Да,Logo,C#,"PHP, JavaScript",,,C#,C#,6,7,"[20,30)",Да,Нет
10.01.2013 15:33:28,,Да,Basic,Java,JavaScript,,,Java,"Java, C#",6,3,"[20,30)",Да,Нет
10.01.2013 15:33:32,,Да,C#,C#,C++,,,C#,C#,1,1,"[20,30)",Да,Нет
10.01.2013 15:33:35,,Да,Pascal/Delphi,Java,C,,,Java,Java,2,1,"[20,30)",Да,Нет
10.01.2013 15:33:37,,Да,Pascal/Delphi,PHP,JavaScript,,,PHP,"PHP, Python, JavaScript",3,3,"[20,30)",Да,Да
10.01.2013 15:33:52,,Да,Java,Java,JavaScript,,,Java,,2,2,"[20,30)",Да,Нет
10.01.2013 15:33:53,,Да,Java,Java,JavaScript,,,Java,,10+,7,"[30,40)",Да,Нет
10.01.2013 15:33:59,,Да,PHP,PHP,"JavaScript, PL/SQL",,,PHP,PHP,3,3,"[30,40)",Да,Нет
10.01.2013 15:34:01,,Да,Basic,PHP,JavaScript,,,Ruby,PHP,2,2,"[20,30)",Да,Нет
10.01.2013 15:34:02,,Да,C++,Java,"Java, PHP",,,Java,,<1,<1,"[20,30)",Да,Нет
10.01.2013 15:34:02,,Да,C++,C#,"Java, C#, Python, JavaScript",,,C#,C#,1,2,"[20,30)",Да,Нет
10.01.2013 15:34:04,,Да,Pascal/Delphi,Java,JavaScript,,,Ruby,,<1,<1,"[20,30)",Да,Да
10.01.2013 15:34:17,,Да,C#,C#,"JavaScript, PL/SQL",,,C#,"C#, JavaScript, PL/SQL",6,6,"[20,30)",Да,Да
10.01.2013 15:34:51,,Да,Basic,C++,"C#, Objective-C",,,C#,"C#, C",6,5,"[20,30)",Нет,Да
10.01.2013 15:34:51,,Да,C++,Python,"C++, Python, JavaScript, C, Groovy, Lua, Erlang",,,Erlang,"C++, JavaScript, C, Lua, Erlang",6,6,"[20,30)",Да,Да
10.01.2013 15:34:53,,Да,Pascal/Delphi,Ruby,"JavaScript, PL/SQL",,,Ruby,"Ruby, JavaScript, Objective-C, C, PL/SQL",7,3,"[20,30)",Да,Нет
10.01.2013 15:35:20,,Да,C,Objective-C,C,,,Objective-C,"Objective-C, C",1,1,"[20,30)",Да,Нет
