Timestamp,FirstLanguage,MainLanguage,NowLanguage,AdditionalLanguages1,NowLanguages2,AdditionalLanguages3,NextLanguage,PetProjectsLanguages,ExperienceInProgramming,ExperienceInLanguage,AgeYears,InUA,InPrev,,,
1/5/2016 10:21:13,Pascal/Delphi,Да,JavaScript,,,,JavaScript,"PHP, JavaScript",3,3,24,Да,Не помню,,,
1/5/2016 10:21:15,Pascal/Delphi,Да,VB.Net,C#,,,VB.Net,"C#, VB.Net",8,7,,Да,Да,,,
1/5/2016 10:21:17,C++,Да,PHP,JavaScript,,,JavaScript,"PHP, JavaScript, CoffeeScript",4,5,23,Да,Не помню,,,
1/5/2016 10:22:07,Pascal/Delphi,Да,JavaScript,Python,,,JavaScript,Python,<1,1,25,Да,Не помню,,,
1/5/2016 10:22:14,C++,Да,Python,"JavaScript, Python, C++, C, R",,,Python,"JavaScript, Python, C++",3,2,21,Да,Нет,,,
1/5/2016 10:22:14,Pascal/Delphi,Да,C#,"JavaScript, T-SQL",,,C#,"C#, T-SQL",5,4,32,Да,Нет,,,
1/5/2016 10:22:18,Pascal/Delphi,Да,JavaScript,Java,,,JavaScript,JavaScript,2,2,24,Да,Нет,,,
1/5/2016 10:22:24,Basic,Да,JavaScript,"Java, Python",,,Go,JavaScript,9,5,27,Нет,Не помню,,,
1/5/2016 10:22:27,Basic,Да,C++,C#,,,C++,"C#, C++, Objective-C",4,3,24,Да,Да,,,
1/5/2016 10:22:41,Sinclair Basic,Да,Java,"C#, JavaScript, Python, PL-SQL",,,Java,"Java, C#, JavaScript, Python",9,6,29,,Не помню,,,
1/5/2016 10:22:41,Pascal/Delphi,Да,Objective-C,"JavaScript, C++",,,Objective-C,Objective-C,3,3,25,Да,Не помню,,,
1/5/2016 10:23:04,Pascal/Delphi,Да,PHP,"JavaScript, T-SQL",,,PHP,"Java, PHP, JavaScript, T-SQL",10+,10+,29,Да,Да,,,
1/5/2016 10:23:05,Pascal/Delphi,Да,Ruby,"JavaScript, CoffeeScript",,,Ruby,"C#, JavaScript, Ruby, CoffeeScript",2,2,34,Да,Да,,,
1/5/2016 10:23:13,Pascal/Delphi,Да,Typescript,"C#, JavaScript, ActionScript",,,Typescript,"C#, JavaScript",10+,<1,30,Да,Не помню,,,
1/5/2016 10:23:23,Pascal/Delphi,Да,C++,"Java, JavaScript",,,JavaScript,"C++, Pascal/Delphi",3,3,20,,,,,
1/5/2016 10:23:28,Python,Да,Java,,,,Java,Java,<1,<1,24,Да,Нет,,,
1/5/2016 10:23:33,Pascal/Delphi,Да,Python,JavaScript,,,Python,,4,1,25,Да,Да,,,
1/5/2016 10:23:39,JavaScript,Да,Python,JavaScript,,,Python,Python,<1,1,33,Да,Нет,,,
1/5/2016 10:23:44,Pascal/Delphi,Да,Java,"Objective-C, Swift, kotlin",,,Java,Java,3,3,25,Да,Да,,,
1/5/2016 10:23:49,Pascal/Delphi,Да,Java,Java,,,Java,Pascal/Delphi,<1,<1,22,Да,Нет,,,
1/5/2016 10:23:53,Python,Да,JavaScript,JavaScript,,,JavaScript,"JavaScript, Python",<1,1,23,Да,Нет,,,
1/5/2016 10:23:53,Pascal/Delphi,Нет,,,"Java, JavaScript","PHP, Python",Java,"Java, PHP, JavaScript, Python",3,3,24,Да,Нет,,,
1/5/2016 10:24:10,Pascal/Delphi,Да,Python,Java,,,Python,Python,1,1,24,Да,Не помню,,,
1/5/2016 10:24:13,Java,Да,Python,Java,,,Ruby,Python,3,<1,,Да,Нет,,,
1/5/2016 10:24:17,PHP,Да,JavaScript,"Java, C#, CoffeeScript",,,JavaScript,"Java, PHP, JavaScript",3,2,32,Да,Нет,,,
1/5/2016 10:24:20,Pascal/Delphi,Да,PHP,JavaScript,,,PHP,"C#, PHP, JavaScript, C++",<1,<1,22,Да,Не помню,,,
1/5/2016 10:24:20,Python,Да,Objective-C,"Python, C++, Swift",,,Objective-C,"Python, C++, Objective-C",5,2,21,Да,Да,,,
1/5/2016 10:24:25,C,Да,JavaScript,"Ruby, C",,,JavaScript,JavaScript,8,4,27,Да,Да,,,
1/5/2016 10:24:27,Pascal/Delphi,Да,C++,"Java, C",,,Java,,9,7,35,Да,Нет,,,
1/5/2016 10:24:30,C++,Да,Ruby,"JavaScript, CoffeeScript",,,Ruby,"C#, JavaScript, Ruby",<1,<1,19,Да,Не помню,,,
1/5/2016 10:24:31,PHP,Да,Java,PHP,,,Java,PHP,5,<1,31,Нет,Нет,,,
1/5/2016 10:24:38,Basic,Да,PHP,"JavaScript, Python",,,Python,"PHP, Python",8,8,,Да,Не помню,,,
1/5/2016 10:24:39,C++,Нет,,,"Java, PHP, JavaScript, C++",Ruby,Java,"Java, C++",,,,Да,Нет,,,
1/5/2016 10:24:44,PL/SQL,Нет,,,"C#, C++","C++, Ruby",C#,C#,3,3,27,Да,Да,,,
1/5/2016 10:24:46,Java,Да,Java,"Java, JavaScript",,,JavaScript,Java,<1,<1,,Да,Нет,,,
1/5/2016 10:25:07,Pascal/Delphi,Да,Scala,Groovy,,,Scala,"Java, JavaScript, Elm",3,1,25,Да,Да,,,
1/5/2016 10:25:10,Pascal/Delphi,Да,T-SQL,,,,T-SQL,,1,1,23,Да,Нет,,,
1/5/2016 10:25:12,Ruby,Да,Ruby,"JavaScript, CoffeeScript",,,Ruby,"JavaScript, Ruby, CoffeeScript",1,1,28,Да,Не помню,,,
1/5/2016 10:25:25,Java,Да,Java,JavaScript,,,JavaScript,Java,2,1,25,Да,Нет,,,
1/5/2016 10:25:30,Pascal/Delphi,Да,Java,"JavaScript, Scala",,,Scala,"JavaScript, Scala",1,1,24,Да,Нет,,,
1/5/2016 10:25:32,Pascal/Delphi,Да,C#,Java,,,Swift,"Java, C#, C++",3,1,22,Да,Нет,,,
1/5/2016 10:25:32,C++,Да,C++,"Python, T-SQL",,,Java,,9,9,,Да,Да,,,
1/5/2016 10:25:34,Basic,Да,JavaScript,C#,,,C#,,7,<1,28,Да,Да,,,
1/5/2016 10:25:43,Pascal/Delphi,Нет,,,"PHP, JavaScript, Python","JavaScript, Python",Python,"PHP, Python, C++",2,2,24,Да,Не помню,,,
1/5/2016 10:25:50,Pascal/Delphi,Да,PHP,JavaScript,,,PHP,"PHP, JavaScript",5,4,,Да,Да,,,
1/5/2016 10:26:03,ASM,Да,Swift,"Java, C#, JavaScript, Objective-C, PL-SQL, T-SQL",,,C#,"C#, Objective-C, T-SQL, Swift",10+,2,38,Да,Нет,,,
1/5/2016 10:26:04,Pascal/Delphi,Да,C++,JavaScript,,,C++,"JavaScript, C++",10+,10+,,Да,Не помню,,,
1/5/2016 10:26:09,C,Да,Java,JavaScript,,,C#,,2,2,24,Да,Нет,,,
1/5/2016 10:26:10,Pascal/Delphi,Да,PHP,JavaScript,,,C++,"PHP, JavaScript, ActionScript",3,3,27,Нет,Да,,,
1/5/2016 10:26:16,Pascal/Delphi,Да,JavaScript,"PHP, CoffeeScript",,,JavaScript,"PHP, JavaScript, CoffeeScript",3,2,21,Да,Да,,,
1/5/2016 10:26:16,C,Да,C#,JavaScript,,,Objective-C,,2,2,24,Да,Не помню,,,
1/5/2016 10:26:19,Ruby,Да,Ruby,JavaScript,,,Ruby,,3,3,26,Да,Да,,,
1/5/2016 10:26:30,Pascal/Delphi,Нет,,,PL-SQL,T-SQL,PL-SQL,PL-SQL,10+,10+,39,Да,Нет,,,
1/5/2016 10:26:31,Pascal/Delphi,Да,Python,JavaScript,,,Python,Python,<1,<1,19,Да,Нет,,,
1/5/2016 10:26:34,Basic,Да,JavaScript,,,,JavaScript,,<1,<1,26,Да,Нет,,,
1/5/2016 10:26:34,C++,Да,Objective-C,"Java, C++, Objective-C, Swift",,,Swift,"Java, C++, Objective-C, C, Swift",3,<1,19,Да,,,,
1/5/2016 10:26:35,Pascal/Delphi,Да,Java,,,,T-SQL,,<1,<1,25,Да,Нет,,,
1/5/2016 10:26:38,Pascal/Delphi,Да,Python,JavaScript,,,Python,C#,5,5,26,Да,Да,,,
1/5/2016 10:26:39,Pascal/Delphi,Да,Ruby,"PHP, JavaScript, CoffeeScript",,,Ruby,"JavaScript, Ruby, CoffeeScript",6,2,28,Да,Не помню,,,
1/5/2016 10:26:43,Java,Да,Java,Java,,,Java,Java,2,2,30,Да,Нет,,,
1/5/2016 10:26:44,Basic,Да,Java,JavaScript,,,Java,"Java, JavaScript, Scala",,,,Да,Да,,,
1/5/2016 10:26:47,Pascal/Delphi,Да,PHP,"Java, JavaScript, Python",,,JavaScript,"Java, JavaScript, Python",2,1,18,Да,Не помню,,,
1/5/2016 10:26:47,PHP,Да,PHP,JavaScript,,,PHP,"PHP, JavaScript",7,7,29,Да,Да,,,
1/5/2016 10:26:50,C#,,C#,JavaScript,,,C#,,2,2,28,Да,Нет,,,
1/5/2016 10:26:50,Basic,Да,C++,"C#, JavaScript, Python",,,C++,,<1,<1,19,Да,Нет,,,
1/5/2016 10:26:55,Pascal/Delphi,Да,JavaScript,,,,JavaScript,,4,4,24,Да,Не помню,,,
1/5/2016 10:27:07,Basic,Да,PHP,JavaScript,,,JavaScript,Java,<1,<1,23,Да,Нет,,,
1/5/2016 10:27:08,Pascal/Delphi,Да,Java,"JavaScript, PL-SQL, Scala",,,Java,"Java, PL-SQL",<1,3,22,Да,Не помню,,,
1/5/2016 10:27:10,C,Да,Java,Python,,,Java,"Python, Scala",2,2,,Да,Не помню,,,
1/5/2016 10:27:14,Pascal/Delphi,Нет,,,"Java, PL-SQL",Objective-C,Objective-C,"Objective-C, Swift",3,1,25,Нет,Нет,,,
1/5/2016 10:27:16,C,Да,C#,JavaScript,,,C#,"C#, JavaScript",<1,<1,29,Да,Нет,,,
1/5/2016 10:27:20,C,Да,Python,JavaScript,,,Python,Python,4,4,24,Да,Да,,,
1/5/2016 10:27:23,Pascal/Delphi,Нет,,,"Java, JavaScript, Groovy","Python, C, Scala",Scala,"Java, C++, Rust",3,2,24,Да,Не помню,,,
1/5/2016 10:27:24,Java,Да,Java,JavaScript,,,Java,"Java, JavaScript",2,1,25,Да,Не помню,,,
1/5/2016 10:27:24,Basic,Да,JavaScript,PHP,,,JavaScript,"PHP, JavaScript",3,2,26,Да,Не помню,,,
1/5/2016 10:27:29,C++,Да,C#,"JavaScript, T-SQL",,,C#,"C#, JavaScript, T-SQL, TypeScript",5,5,26,Да,Нет,,,
1/5/2016 10:27:32,Pascal/Delphi,Нет,,,"PHP, JavaScript",JavaScript,PHP,,2,2,31,Да,Нет,,,
1/5/2016 10:27:32,Basic,Да,C#,"JavaScript, PL-SQL",,,JavaScript,"C#, JavaScript, Scala",10+,7,40,Да,Нет,,,
1/5/2016 10:27:34,PHP,Да,Ruby,"PHP, JavaScript, CoffeeScript",,,Ruby,"Ruby, CoffeeScript",3,2,23,Да,Не помню,,,
1/5/2016 10:27:34,Pascal/Delphi,Да,PHP,"JavaScript, PL-SQL, Go",,,PHP,"PHP, JavaScript, Go",10+,10+,31,Да,Не помню,,,
1/5/2016 10:27:36,Java,Да,JavaScript,"Java, PHP, Python, CoffeeScript",,,CoffeeScript,"Java, JavaScript",<1,<1,27,Да,Нет,,,
1/5/2016 10:27:44,PHP,Да,PHP,JavaScript,,,PHP,"PHP, JavaScript",1,1,24,Да,Нет,,,
1/5/2016 10:27:49,Basic,Да,Java,"JavaScript, Python",,,Java,"Java, JavaScript, Python",2,2,25,Да,Нет,,,
1/5/2016 10:27:50,Pascal/Delphi,Да,Scala,"Java, JavaScript, Python, C++",,,Scala,"Java, Scala",3,1,25,Да,Да,,,
1/5/2016 10:27:55,Basic,Да,PHP,"JavaScript, Python, Perl",,,PHP,PHP,10+,10+,33,Да,Да,,,
1/5/2016 10:27:56,PHP,Да,PHP,"JavaScript, PL-SQL",,,PHP,,2,2,26,Да,Не помню,,,
1/5/2016 10:28:03,Python,Да,JavaScript,Python,,,Python,,<1,<1,26,Да,Да,,,
1/5/2016 10:28:10,Fortran,Да,Java,"C#, PHP, JavaScript, T-SQL, R",,,Java,"Java, JavaScript",,,,Да,Да,,,
1/5/2016 10:28:13,PHP,Да,JavaScript,"PHP, JavaScript",,,JavaScript,"PHP, JavaScript",<1,<1,20,Да,Нет,,,
1/5/2016 10:28:17,Pascal/Delphi,Да,PL-SQL,"Java, PHP, JavaScript",,,PL-SQL,"Java, PHP, PL-SQL",10+,10+,42,Да,Нет,,,
1/5/2016 10:28:28,Objective-C,Да,C#,"Objective-C, Swift",,,Swift,"C#, Objective-C, Swift",4,2,26,Да,Да,,,
1/5/2016 10:28:32,Pascal/Delphi,Да,Java,JavaScript,,,Java,Java,<1,2,21,Да,Нет,,,
1/5/2016 10:28:40,Basic,Да,JavaScript,"C#, Ruby, CoffeeScript",,,JavaScript,JavaScript,,,,Да,Не помню,,,
1/5/2016 10:28:50,Pascal/Delphi,Да,Java,C#,,,Java,"Java, C#",4,4,25,Да,Нет,,,
1/5/2016 10:28:52,Pascal/Delphi,Да,PHP,"JavaScript, Objective-C, CoffeeScript, Swift",,,PHP,"PHP, Objective-C",7,6,29,Да,Да,,,
1/5/2016 10:28:52,Python,Нет,,,Java,Java,Java,,,<1,23,Да,Нет,,,
1/5/2016 10:28:59,C++,Да,PHP,"C#, JavaScript",,,C#,,,,32,Да,Нет,,,
1/5/2016 10:29:03,Ruby,Да,Ruby,JavaScript,,,Ruby,,<1,<1,22,Да,Нет,,,
1/5/2016 10:29:08,C,Да,JavaScript,"PHP, Python",,,JavaScript,"JavaScript, Objective-C",8,4,27,Нет,Нет,,,
1/5/2016 10:29:27,Pascal/Delphi,Да,C,,,,Java,C,5,5,27,Да,Нет,,,
1/5/2016 10:29:28,PHP,Да,Ruby,JavaScript,,,Ruby,,5,3,29,Да,Да,,,
1/5/2016 10:29:32,Pascal/Delphi,Да,Java,,,,Java,,5,3,25,Да,Да,,,
1/5/2016 10:29:34,Pascal/Delphi,Да,Java,,,,Java,"Java, C++",<1,2,24,Да,Нет,,,
1/5/2016 10:29:38,Python,Да,PHP,JavaScript,,,PHP,"PHP, JavaScript",<1,<1,24,Да,Нет,,,
1/5/2016 10:29:39,Java,Да,Java,Objective-C,,,Java,,,,,Да,Нет,,,
1/5/2016 10:29:47,Pascal/Delphi,Да,Python,JavaScript,,,Python,Python,8,4,26,Да,Да,,,
1/5/2016 10:29:50,Basic,Да,Python,"PHP, JavaScript, C",,,Python,"PHP, JavaScript, Python, Perl",7,2,32,Да,Да,,,
1/5/2016 10:29:57,Pascal/Delphi,Да,Java,,,,Java,"Java, Scala",10+,8,36,Нет,Не помню,,,
1/5/2016 10:30:00,Pascal/Delphi,Да,Python,CoffeeScript,,,Python,"Python, Shell",6,4,29,Нет,Да,,,
1/5/2016 10:30:01,Pascal/Delphi,Да,JavaScript,JavaScript,,,JavaScript,JavaScript,1,<1,25,Да,Да,,,
1/5/2016 10:30:08,Basic,Да,JavaScript,"Java, Python",,,Scala,,4,4,26,Да,Да,,,
1/5/2016 10:30:19,Pascal/Delphi,Да,Java,"JavaScript, Python",,,Java,Java,2,2,21,Да,Да,,,
1/5/2016 10:30:29,Pascal/Delphi,Да,PHP,"PHP, JavaScript, PL-SQL",,,Swift,"Java, PHP, JavaScript, PL-SQL, Pascal/Delphi",5,5,28,Да,Да,,,
1/5/2016 10:30:44,Pascal/Delphi,Да,Java,JavaScript,,,Java,"Java, JavaScript, PL-SQL",2,2,20,Да,Не помню,,,
1/5/2016 10:30:54,Pascal/Delphi,Да,Java,PHP,,,Java,,9,5,30,Да,Да,,,
1/5/2016 10:30:57,C++,Да,Objective-C,Swift,,,Java,,<1,<1,19,Да,Не помню,,,
1/5/2016 10:31:05,Basic,Да,Java,,,,Java,Java,5,4,32,Да,Не помню,,,
1/5/2016 10:31:09,Pascal/Delphi,Да,Objective-C,"C#, PHP, JavaScript, Swift",,,Objective-C,"PHP, Objective-C, Swift",10+,6,30,Да,Да,,,
1/5/2016 10:31:16,Pascal/Delphi,Да,Java,"JavaScript, T-SQL",,,Ruby,JavaScript,2,1,19,Да,Нет,,,
1/5/2016 10:31:22,Pascal/Delphi,Да,Objective-C,,,,Swift,Swift,,,,Да,Да,,,
1/5/2016 10:31:23,Swift,Да,Swift,Objective-C,,,Swift,Swift,2,<1,37,Да,Нет,,,
1/5/2016 10:31:25,Pascal/Delphi,Да,JavaScript,,,,JavaScript,,4,2,26,Да,Нет,,,
1/5/2016 10:31:27,Pascal/Delphi,Да,Python,"Java, JavaScript, C, T-SQL, CoffeeScript",,,Python,"Java, Python, C++, CoffeeScript, Go, Rust",6,6,27,Да,Да,,,
1/5/2016 10:31:32,Java,Да,Java,JavaScript,,,Java,"Java, Python",3,3,21,Да,Нет,,,
1/5/2016 10:31:51,Java,Да,Java,Scala,,,Scala,Java,1,1,24,Да,Нет,,,
1/5/2016 10:31:53,Pascal/Delphi,Да,Java,"PHP, JavaScript",,,Java,"Java, PHP, JavaScript",5,5,27,Да,Да,,,
1/5/2016 10:31:54,JavaScript,Да,JavaScript,Ruby,,,Ruby,"JavaScript, Ruby",,,,Да,Нет,,,
1/5/2016 10:32:06,Pascal/Delphi,Нет,,,PHP,JavaScript,CoffeeScript,Go,3,3,24,Да,Нет,,,
1/5/2016 10:32:16,Pascal/Delphi,Да,C#,"JavaScript, T-SQL, Basic",,,Ruby,,<1,<1,,Да,Нет,,,
1/5/2016 10:32:41,Pascal/Delphi,Да,Ruby,"JavaScript, Python, Scala, CoffeeScript",,,Ruby,"PHP, Ruby, Scala",10+,6,32,Да,Да,,,
1/5/2016 10:32:25,C++,Да,C#,"Java, C#, JavaScript",,,C#,"Java, C#, JavaScript",5,3,28,Да,Нет,,,
1/5/2016 10:32:51,C,Да,C#,"JavaScript, T-SQL",,,C#,"C#, PHP, JavaScript, T-SQL",1,3,30,Да,Не помню,,,
1/5/2016 10:32:55,JavaScript,Да,JavaScript,PHP,,,JavaScript,JavaScript,5,4,26,Да,Не помню,,,
1/5/2016 10:32:59,JavaScript,Да,JavaScript,Не використовую,,,JavaScript,,<1,<1,26,Да,Нет,,,
1/5/2016 10:33:01,JavaScript,Да,JavaScript,"PHP, CoffeeScript",,,Ruby,"PHP, JavaScript",1,<1,29,Да,Нет,,,
1/5/2016 10:33:04,Pascal/Delphi,Да,C#,"JavaScript, T-SQL",,,C#,C#,10+,7,29,Да,Не помню,,,
1/5/2016 10:33:16,Pascal/Delphi,Да,PHP,JavaScript,,,Python,PHP,5,4,26,Да,Нет,,,
1/5/2016 10:33:18,Pascal/Delphi,Да,C#,JavaScript,,,C#,,,1,25,Да,Нет,,,
1/5/2016 10:33:28,Basic,Да,C++,"Java, C#, Python, C++, ActionScript",,,C++,"Python, C++",,,,Да,Нет,,,
1/5/2016 10:33:34,Basic,Да,Java,PL-SQL,,,Java,Java,4,1,26,Да,Да,,,
1/5/2016 10:33:36,Pascal/Delphi,Да,Java,JavaScript,,,Java,Java,1,1,29,Да,Нет,,,
1/5/2016 10:33:42,Basic,Да,T-SQL,MDX,,,T-SQL,,,,,Да,Да,,,
1/5/2016 10:33:43,Pascal/Delphi,Да,C#,JavaScript,,,C#,C#,<1,1,20,Да,Нет,,,
1/5/2016 10:33:44,Pascal/Delphi,Да,C#,,,,C#,"C#, JavaScript, T-SQL",5,5,25,Да,Да,,,
1/5/2016 10:34:04,Java,Да,Java,C++,,,Java,Java,2,2,23,Да,Не помню,,,
1/5/2016 10:34:12,C,Да,Java,JavaScript,,,Java,"Java, JavaScript",2,2,22,Да,Да,,,
1/5/2016 10:34:20,C,Да,Java,JavaScript,,,Java,"Java, C#",3,3,22,Да,Да,,,
1/5/2016 10:34:27,Basic,Да,Python,JavaScript,,,Python,"PHP, JavaScript, Python",8,2,31,Да,Нет,,,
