Timestamp,FirstLanguage,FirstLanguage1,Q2,MainLanguage,Q2I1,NowLanguage,AdditionalLanguages1,NowLanguages2,NextLanguage,AdditionalLanguages3,PetProjectsLanguages,Choosing,ExperienceInProgramming,ExperienceInLanguage,InUA,Age,InPrev 
09.04.2012 13:53:35,Pascal/Delphi,,,Да,,С#,"JavaScript, PL/SQL",,С#,,"С#, Python, JavaScript, PL/SQL",Заказчиком,6,6,Да,"[20,30)",Да
09.04.2012 13:53:39,Pascal/Delphi,,,Да,,Java,"С#, JavaScript, Scala",,Scala,,"Java, JavaScript, Scala",Моя организация разрабатывает только на этом языке,<1,<1,Да,"[20,30)",Да
09.04.2012 13:53:48,Pascal/Delphi,,,Да,,Java,"PHP, Delphi",,Java,,,Моя организация разрабатывает только на этом языке,<1,<1,Да,"[20,30)",Нет
09.04.2012 13:53:53,Basic,,,Да,,С#,Python,,С#,,"С#, Python, Ruby",Совместным решением,9,4,Да,"[30,40)",Нет
09.04.2012 13:54:04,C++,,,Да,,Java,JavaScript,,Java,,Java,Заказчиком,<1,<1,Да,"[20,30)",Нет
09.04.2012 13:54:11,PHP,,,Да,,Ruby,Scala,,Scala,,"Ruby, Scala, Io, Brainfuck",Исполнителем,8,3,Да,"[20,30)",Да
09.04.2012 13:54:14,Basic,,,Да,,C++,"Python, Verilog, VHDL",,D,,"C++, Scala, D",Моя организация разрабатывает только на этом языке,6,6,Да,"[20,30)",Нет
09.04.2012 13:54:16,Basic,,,Да,,Objective-C,"Java, Ruby, JavaScript",,Ruby,,,Заказчиком,1,<1,Да,"[20,30)",Да
09.04.2012 13:54:19,Pascal/Delphi,,,Да,,Java,JavaScript,,Scala,,,Совместным решением,4,4,Да,"[20,30)",Нет
09.04.2012 13:54:45,C,,,Да,,С#,"С#, C++",,С#,,C++,Исполнителем,7,5,Да,"[20,30)",Нет
09.04.2012 13:55:12,Pascal/Delphi,,,Да,,Ruby,JavaScript,,Ruby,,"Ruby, JavaScript",Совместным решением,7,4,Да,"[20,30)",Да
09.04.2012 13:55:35,Pascal/Delphi,,,Да,,Ruby,PHP,,Ruby,,Ruby,Моя организация разрабатывает только на этом языке,4,1,Нет,"[20,30)",Да
09.04.2012 13:56:09,C++,,,Да,,C++,С#,,C++,,C++,Не знаю,6,1,Да,"[20,30)",Нет
09.04.2012 13:56:46,Pascal/Delphi,,,Да,,PHP,JavaScript,,PHP,,PHP,Заказчиком,3,<1,Да,"[20,30)",Нет
09.04.2012 13:57:00,C,,,Да,,Python,"JavaScript, C, PL/SQL",,Python,,"Python, JavaScript",Моя организация разрабатывает только на этом языке,7,5,Нет,"[20,30)",Нет
09.04.2012 13:57:06,Pascal/Delphi,,,Нет,,,,"Java, Scala, Groovy",Scala,,"Scala, Groovy",Исполнителем,10+,6,Да,"[30,40)",Да
09.04.2012 13:57:07,Pascal/Delphi,,,Да,,Java,"JavaScript, Scala, Groovy",,Scala,,"Java, JavaScript, Groovy",Совместным решением,6,6,Да,"[20,30)",Да
09.04.2012 13:57:13,C,,,Да,,Java,"PHP, C++, JavaScript, C",,Java,,"Java, C++, JavaScript",Заказчиком,<1,2,Да,"[20,30)",Нет
09.04.2012 13:57:17,C++,,,Да,,C++,"PHP, C",,C++,,,Совместным решением,1,1,Да,"[20,30)",Нет
09.04.2012 13:57:28,Basic,,,Нет,,,,"PHP, JavaScript",PHP,Java,"PHP, JavaScript",Исполнителем,5,5,Да,"[20,30)",Да
09.04.2012 13:57:51,Basic,,,Нет,,,,"PHP, Python, Ruby, JavaScript",Python,"PHP, Python, Ruby, JavaScript","Python, JavaScript",Заказчиком,9,3,Да,"[20,30)",Да
09.04.2012 13:58:06,Python,,,Нет,,,,"С#, Python, JavaScript",Python,"С#, JavaScript",Python,Совместным решением,10+,5,Нет,"[30,40)",Да
09.04.2012 13:58:17,C,,,Да,,Objective-C,"С#, C++",,Objective-C,,,Не знаю,5,3,Да,"[30,40)",Да
09.04.2012 13:58:28,Pascal/Delphi,,,Нет,,,,Python,Objective-C,,"Python, Objective-C",Исполнителем,3,1,Да,"[20,30)",Нет
09.04.2012 13:58:39,Pascal/Delphi,,,Да,,PHP,PL/SQL,,PHP,,PHP,Заказчиком,5,5,Да,"[30,40)",Нет
09.04.2012 13:58:41,Pascal/Delphi,,,Нет,,,,"С#, C++, C, T-SQL",С#,,,Моя организация разрабатывает только на этом языке,<1,<1,Да,<20,Да
09.04.2012 13:59:05,Basic,,,Да,,Java,"Python, JavaScript",,Java,,,Совместным решением,7,5,Да,"[30,40)",Нет
09.04.2012 13:59:21,Basic,,,Да,,Ruby,JavaScript,,Ruby,,"Ruby, JavaScript",Совместным решением,5,3,Да,"[20,30)",Нет
09.04.2012 14:00:13,Pascal/Delphi,,,Да,,Java,"Java, Fortran",,Java,,Java,Совместным решением,2,2,Да,"[20,30)",Нет
09.04.2012 14:00:42,Basic,,,Да,,PHP,"Java, PHP, Python, JavaScript",,PHP,,"Java, PHP, JavaScript",Совместным решением,6,6,Да,"[20,30)",Нет
09.04.2012 14:00:53,Pascal/Delphi,,,Да,,C++,"Delphi, C, ASM",,Java,,"С#, Java, C++, JavaScript, C",Совместным решением,<1,4,Да,"[20,30)",Нет
09.04.2012 14:01:21,Pascal/Delphi,,,Да,,С#,,,С#,,С#,Исполнителем,9,4,Да,"[30,40)",Нет
09.04.2012 14:01:28,Pascal/Delphi,,,Да,,С#,JavaScript,,С#,,С#,Заказчиком,5,5,Да,"[20,30)",Да
09.04.2012 14:01:41,C,,,Да,,PHP,"Java, PHP, C++, Objective-C, JavaScript",,PHP,,PHP,Совместным решением,10+,7,Да,"[30,40)",Нет
09.04.2012 14:01:59,Pascal/Delphi,,,Да,,PHP,JavaScript,,PHP,,,Исполнителем,4,4,Да,"[20,30)",Да
09.04.2012 14:02:56,Pascal/Delphi,,,Да,,Java,"Python, Ruby, Scala",,Scala,,"Python, Ruby, Scala",Совместным решением,6,4,Да,"[20,30)",Да
09.04.2012 14:03:01,Pascal/Delphi,,,Да,,Java,"Java, C++, Objective-C, C",,Java,,"С#, Java, PHP, C++, Objective-C, JavaScript",Совместным решением,2,2,Да,<20,Да
09.04.2012 14:03:12,Basic,,,Да,,Ruby,"JavaScript, C, Action Script",,Erlang,,"Ruby, JavaScript",Исполнителем,10+,3,Да,"[20,30)",Да
09.04.2012 14:03:19,Basic,,,Да,,JavaScript,PHP,,PHP,,PHP,Исполнителем,<1,<1,Нет,"[20,30)",Нет
09.04.2012 14:03:24,Pascal/Delphi,,,Да,,С#,PL/SQL,,F#,,,Моя организация разрабатывает только на этом языке,4,4,Да,"[20,30)",Да
09.04.2012 14:03:33,Basic,,,Да,,PHP,JavaScript,,PHP,,,Не знаю,7,6,Да,"[20,30)",Да
09.04.2012 14:03:37,Pascal/Delphi,,,Да,,PL/SQL,Delphi,,PL/SQL,,"Delphi, PL/SQL",Не знаю,10+,8,Нет,"[30,40)",Нет
09.04.2012 14:03:41,Pascal/Delphi,,,Да,,JavaScript,,,PHP,,,Моя организация разрабатывает только на этом языке,3,3,Да,"[20,30)",Да
09.04.2012 14:03:41,Pascal/Delphi,,,Да,,C,ASM,,C,,C,Исполнителем,2,2,Нет,<20,Нет
09.04.2012 14:03:50,Pascal/Delphi,,,Да,,Java,Lisp,,Python,,Java,Моя организация разрабатывает только на этом языке,7,5,Да,"[20,30)",Да
09.04.2012 14:04:01,Pascal/Delphi,,,Да,,PHP,"Java, PHP, Python, JavaScript, Perl, Erlang",,PHP,,"PHP, Python, JavaScript, Perl, Erlang",Совместным решением,7,7,Да,"[20,30)",Нет
09.04.2012 14:04:01,Pascal/Delphi,,,Нет,,,,"Ruby, Perl",Perl,Python,,Совместным решением,5,5,Да,"[20,30)",Да
09.04.2012 14:04:15,Asm,,,Нет,,,,"Java, C++, Python",Python,"JavaScript, C","Java, C++, Python, JavaScript",Совместным решением,8,5,Нет,"[30,40)",Нет
09.04.2012 14:04:24,Pascal/Delphi,,,Да,,PHP,,,PHP,,"С#, PHP",Исполнителем,5,5,Да,"[20,30)",Нет
09.04.2012 14:04:25,Pascal/Delphi,,,Да,,Objective-C,,,JavaScript,,"С#, Objective-C, JavaScript",Заказчиком,3,2,Да,"[20,30)",Да
09.04.2012 14:04:37,Basic,,,Да,,PHP,JavaScript,,PHP,,PHP,Совместным решением,3,2,Да,"[20,30)",Да
09.04.2012 14:04:42,Basic,,,Да,,PHP,JavaScript,,PHP,,PHP,Моя организация разрабатывает только на этом языке,1,1,Да,"[20,30)",Да
09.04.2012 14:04:44,Pascal/Delphi,,,Да,,Java,"Python, Groovy",,Java,,"Java, Python",Моя организация разрабатывает только на этом языке,2,2,Да,"[20,30)",Да
09.04.2012 14:04:46,Pascal/Delphi,,,Да,,С#,,,С#,,С#,Исполнителем,<1,2,Да,"[20,30)",Нет
09.04.2012 14:04:53,C,,,Да,,C,Java,,Java,,Java,Моя организация разрабатывает только на этом языке,2,2,Да,"[20,30)",Нет
09.04.2012 14:04:54,Basic,,,Да,,PHP,"C++, Python, Objective-C, JavaScript, C",,PHP,,"PHP, Objective-C",Заказчиком,5,3,Да,"[20,30)",Да
09.04.2012 14:04:55,Pascal/Delphi,,,Да,,Delphi,"C++, PL/SQL",,Delphi,,,Исполнителем,3,3,Да,"[20,30)",Нет
09.04.2012 14:05:02,PHP,,,Да,,PHP,"Ruby, JavaScript",,PHP,,"Ruby, C, Perl",Исполнителем,10+,6,Да,"[30,40)",Нет
09.04.2012 14:05:08,Pascal/Delphi,,,Да,,С#,"Ruby, JavaScript",,С#,,"С#, Ruby, JavaScript, F#",Заказчиком,5,5,Да,"[20,30)",Да
09.04.2012 14:05:10,Pascal/Delphi,,,Да,,PHP,JavaScript,,PHP,,PHP,Совместным решением,5,7,Да,"[20,30)",Да
09.04.2012 14:05:12,Basic,,,Нет,,,,Java,Java,Java,Java,Заказчиком,6,<1,Да,"[30,40)",Да
09.04.2012 14:05:16,Basic,,,Да,,Python,JavaScript,,Scala,,Python,Заказчиком,7,4,Да,"[30,40)",Да
09.04.2012 14:05:16,Pascal/Delphi,,,Да,,PHP,JavaScript,,Ruby,,,Моя организация разрабатывает только на этом языке,5,5,Да,"[20,30)",Нет
09.04.2012 14:05:21,Basic,,,Да,,Python,"PHP, JavaScript, C, Perl, PL/SQL, Lua",,Python,,"Python, JavaScript",Исполнителем,10+,5,Да,"[30,40)",Нет
09.04.2012 14:05:34,Basic,,,Да,,C,"С#, Java, JavaScript, ASM",,С#,,"С#, Java, C",Совместным решением,6,4,Да,"[20,30)",Да
09.04.2012 14:05:39,Pascal/Delphi,,,Да,,C++,С#,,Python,,"С#, C++, Python, Objective-C",Совместным решением,4,3,Нет,"[20,30)",Нет
09.04.2012 14:05:45,Basic,,,Нет,,,,"PHP, JavaScript, Delphi",Java,,"Java, PHP, JavaScript",Исполнителем,4,4,Да,"[20,30)",Нет
09.04.2012 14:05:52,Basic,,,Нет,,,,"Java, JavaScript, XSL",JavaScript,C++,C++,Заказчиком,3,2,Да,"[20,30)",Да
09.04.2012 14:05:55,C++,,,Да,,С#,JavaScript,,С#,,"С#, Java, JavaScript",Заказчиком,7,<1,Да,"[20,30)",Да
09.04.2012 14:06:01,Basic,,,Да,,PHP,Erlang,,Erlang,,Erlang,Исполнителем,3,2,Нет,"[20,30)",Да
09.04.2012 14:06:06,Pascal/Delphi,,,Да,,Java,"С#, JavaScript, PL/SQL, Groovy",,Java,,,Совместным решением,5,4,Да,"[20,30)",Нет
09.04.2012 14:06:17,C++,,,Да,,С#,"JavaScript, SQL",,С#,,"С#, Lisp, F#",Моя организация разрабатывает только на этом языке,7,7,Да,"[20,30)",Нет
09.04.2012 14:06:20,C++,,,Да,,С#,"С#, JavaScript",,С#,,,Совместным решением,4,3,Да,"[20,30)",Да
09.04.2012 14:06:33,Java,,,Да,,Java,C++,,Java,,Java,Исполнителем,<1,2,Да,"[20,30)",Нет
09.04.2012 14:07:01,Pascal/Delphi,,,Да,,Java,С#,,Java,,Python,Не знаю,10+,<1,Да,"[30,40)",Да
09.04.2012 14:07:07,C++,,,Да,,Objective-C,"C++, JavaScript, C",,Objective-C,,Objective-C,Совместным решением,<1,1,Да,"[20,30)",Нет
09.04.2012 14:07:09,Pascal/Delphi,,,Да,,С#,JavaScript,,С#,,С#,Совместным решением,5,<1,Да,"[20,30)",Да
09.04.2012 14:07:20,Basic,,,Да,,Objective-C,Java,,Objective-C,,"Python, Objective-C",Совместным решением,3,1,Да,"[20,30)",Нет
09.04.2012 14:07:31,C++,,,Да,,C++,"Python, C, Lua",,C++,,,Заказчиком,8,5,Да,"[20,30)",Нет
09.04.2012 14:07:41,Pascal/Delphi,,,Да,,С#,JavaScript,,С#,,,Не знаю,4,<1,Да,"[20,30)",Нет
09.04.2012 14:07:45,Basic,,,Да,,PHP,JavaScript,,Python,,PHP,Моя организация разрабатывает только на этом языке,3,3,Да,"[20,30)",Да
09.04.2012 14:07:56,Pascal/Delphi,,,Да,,Python,JavaScript,,Python,,"Python, JavaScript, Delphi",Совместным решением,2,1,Нет,"[20,30)",Нет
09.04.2012 14:07:58,C,,,Да,,Java,"PHP, Python, JavaScript",,Java,,"С#, Java, PHP, Python",Исполнителем,5,3,Нет,"[20,30)",Нет
09.04.2012 14:07:59,C++,,,Да,,C++,"PHP, C++, Python, C, ASM",,C++,,"C++, ASM",Исполнителем,3,5,Да,"[20,30)",Нет
09.04.2012 14:08:14,Basic,,,Да,,Delphi,"С#, PHP, C++, Python",,С#,,"C++, Python",Моя организация разрабатывает только на этом языке,9,5,Да,"[20,30)",Да
09.04.2012 14:08:23,Pascal/Delphi,,,Да,,С#,"JavaScript, PL/SQL",,Java,,С#,Совместным решением,7,7,Да,"[20,30)",Нет
09.04.2012 14:08:28,Basic,,,Да,,Java,JavaScript,,Clojure,,"Java, C, Lisp",Совместным решением,<1,<1,Да,<20,Нет
09.04.2012 14:08:42,Java,,,Да,,Java,BeanShell,,Scala,,Scala,Не знаю,5,5,Да,"[20,30)",Да
09.04.2012 14:08:47,Pascal/Delphi,,,Да,,С#,PL/SQL,,Java,,С#,Заказчиком,3,3,Да,"[20,30)",Нет
09.04.2012 14:08:48,Basic,,,Да,,С#,,,С#,,С#,Не знаю,7,5,Нет,"[20,30)",Да
09.04.2012 14:08:48,Basic,,,Нет,,,,"С#, JavaScript",С#,Action Script,"С#, PHP, JavaScript, Action Script",Моя организация разрабатывает только на этом языке,8,8,Да,"[30,40)",Да
09.04.2012 14:08:51,Pascal/Delphi,,,Да,,Java,,,Java,,Java,Моя организация разрабатывает только на этом языке,4,4,Да,"[20,30)",Да
09.04.2012 14:08:57,Pascal/Delphi,,,Нет,,,,"PHP, PL/SQL",PHP,"Python, JavaScript",PHP,Совместным решением,5,5,Да,"[20,30)",Да
09.04.2012 14:09:04,Basic,,,Да,,Java,,,Python,,,Моя организация разрабатывает только на этом языке,10+,2,Да,"[30,40)",Нет
09.04.2012 14:09:06,Pascal/Delphi,,,Да,,PHP,"Python, JavaScript",,Java,,"Java, PHP, Python, Delphi, Groovy",Совместным решением,5,5,Да,"[20,30)",Нет
09.04.2012 14:09:21,PHP,,,Да,,PHP,"PHP, JavaScript",,PHP,,"PHP, JavaScript",Совместным решением,3,3,Да,"[20,30)",Нет
09.04.2012 14:09:21,C,,,Да,,Java,"Java, JavaScript, PL/SQL",,Java,,,Заказчиком,5,5,Да,"[20,30)",Нет
09.04.2012 14:09:33,Basic,,,Да,,Python,JavaScript,,Python,,"Python, JavaScript, Perl",Совместным решением,4,2,Да,"[20,30)",Да
09.04.2012 14:09:46,C,,,Да,,Java,"JavaScript, PL/SQL",,Java,,"PHP, JavaScript",Заказчиком,3,2,Да,"[20,30)",Да
09.04.2012 14:09:57,Pascal/Delphi,,,Да,,JavaScript,"Java, PHP",,Python,,,Не знаю,2,2,Да,"[20,30)",Нет
09.04.2012 14:10:01,Pascal/Delphi,,,Да,,Java,"C++, JavaScript, C",,Java,,Java,Заказчиком,1,1,Да,"[20,30)",Да
09.04.2012 14:10:10,Basic,,,Да,,Lua,,,С#,,С#,Моя организация разрабатывает только на этом языке,5,5,Да,"[20,30)",Нет
09.04.2012 14:10:12,Pascal/Delphi,,,Да,,Perl,"JavaScript, Basic",,Perl,,"C, Perl",Совместным решением,1,2,Нет,"[20,30)",Да
09.04.2012 14:10:13,PHP,,,Да,,Scala,JavaScript,,Haskell,,"Java, Scala, Haskell",Совместным решением,<1,1,Да,"[20,30)",Да
09.04.2012 14:10:23,Basic,,,Нет,,,,"Java, PHP, Python",Ruby,"JavaScript, Erlang","Java, PHP, Ruby",Исполнителем,10+,8,Да,"[20,30)",Да
09.04.2012 14:10:37,PHP,,,Да,,Ruby,JavaScript,,Scala,,"Ruby, JavaScript, Scala",Совместным решением,4,2,Да,"[20,30)",Да
09.04.2012 14:10:38,Pascal/Delphi,,,Да,,Java,,,Java,,,Моя организация разрабатывает только на этом языке,2,2,Да,"[20,30)",Нет
09.04.2012 14:10:43,Pascal/Delphi,,,Нет,,,,"С#, PHP, Ruby",Ruby,JavaScript,"С#, Ruby",Совместным решением,<1,<1,Да,"[20,30)",Нет
09.04.2012 14:10:43,Pascal,,,Да,,С#,"JavaScript, Action Script",,С#,,С#,Заказчиком,<1,2,Да,"[20,30)",Нет
09.04.2012 14:10:48,Pascal/Delphi,,,Да,,Python,"PHP, Python, JavaScript",,Python,,"PHP, Python",Заказчиком,5,1,Да,"[20,30)",Да
09.04.2012 14:11:02,Pascal/Delphi,,,Да,,С#,"JavaScript, PL/SQL",,С#,,С#,Заказчиком,3,3,Да,"[20,30)",Да
09.04.2012 14:11:09,Pascal/Delphi,,,Да,,C++,"Java, Python, Basic",,C++,,"Python, Haskell",Совместным решением,8,7,Нет,"[20,30)",Да
09.04.2012 14:11:18,Pascal/Delphi,,,Да,,C++,"С#, C++, Objective-C, C, squirrel",,C++,,"С#, C++, Objective-C, C, squirrel",Исполнителем,5,5,Да,"[20,30)",Да
09.04.2012 14:11:19,PHP,,,Да,,PHP,"JavaScript, PL/SQL",,PHP,,PHP,Заказчиком,2,2,Да,"[20,30)",Нет
09.04.2012 14:11:32,Pascal/Delphi,,,Да,,JavaScript,JavaScript,,JavaScript,,,Моя организация разрабатывает только на этом языке,3,1,Да,"[20,30)",Да
09.04.2012 14:11:33,Pascal/Delphi,,,Нет,,,,"С#, JavaScript",С#,Python,"С#, Python, JavaScript",Совместным решением,5,2,Да,"[20,30)",Нет
09.04.2012 14:11:41,Pascal/Delphi,,,Да,,PHP,"JavaScript, Action Script",,PHP,,,Моя организация разрабатывает только на этом языке,5,5,Да,"[20,30)",Да
09.04.2012 14:11:45,Basic,,,Да,,Java,"PHP, JavaScript",,Java,,"Java, PHP, JavaScript",Заказчиком,6,5,Да,"[20,30)",Да
09.04.2012 14:11:45,C#,,,Да,,С#,"Python, JavaScript",,С#,,"С#, Python",Совместным решением,5,5,Да,"[20,30)",Да
09.04.2012 14:11:47,C++,,,Да,,С#,,,С#,,,Совместным решением,10+,6,Да,"[30,40)",Нет
09.04.2012 14:12:03,Basic,,,Да,,PHP,"Ruby, Objective-C, JavaScript",,PHP,,"PHP, Ruby",Моя организация разрабатывает только на этом языке,7,7,Да,"[30,40)",Да
09.04.2012 14:12:14,Pascal/Delphi,,,Да,,PHP,JavaScript,,PHP,,PHP,Моя организация разрабатывает только на этом языке,5,<1,Да,"[20,30)",Нет
09.04.2012 14:12:18,Basic,,,Да,,С#,JavaScript,,С#,,С#,Моя организация разрабатывает только на этом языке,5,5,Нет,"[20,30)",Да
09.04.2012 14:12:28,Basic,,,Да,,Java,"PHP, JavaScript",,Java,,,Заказчиком,10+,6,Да,"[30,40)",Да
09.04.2012 14:12:44,Basic,,,Да,,PHP,Perl,,PHP,,"PHP, Perl",Заказчиком,9,8,Да,"[20,30)",Да
09.04.2012 14:12:50,Basic,,,Да,,Perl,"JavaScript, PL/SQL, Basic, Erlang",,Perl,,"JavaScript, Perl, Erlang",Моя организация разрабатывает только на этом языке,6,<1,Да,"[30,40)",Да
09.04.2012 14:12:57,Basic,,,Да,,С#,JavaScript,,С#,,,Заказчиком,7,4,Да,"[20,30)",Да
09.04.2012 14:13:15,PHP,,,Да,,PHP,PHP,,PHP,,PHP,Не знаю,5,5,Да,"[20,30)",Нет
09.04.2012 14:13:18,C++,,,Да,,Java,JavaScript,,Java,,Java,Моя организация разрабатывает только на этом языке,1,1,Да,"[20,30)",Да
09.04.2012 14:13:24,Basic,,,Да,,C++,Perl,,Java,,,Исполнителем,5,1,Да,"[20,30)",Да
09.04.2012 14:13:33,Basic,,,Да,,Python,JavaScript,,Python,,"Python, JavaScript",Моя организация разрабатывает только на этом языке,3,2,Да,"[20,30)",Нет
09.04.2012 14:13:37,Pascal/Delphi,,,Да,,Delphi,"С#, Python",,С#,,Python,Заказчиком,8,8,Да,"[30,40)",Да
09.04.2012 14:13:45,Pascal/Delphi,,,Да,,С#,"С#, JavaScript, Perl",,С#,,"С#, JavaScript",Заказчиком,4,4,Да,"[20,30)",Да
09.04.2012 14:13:46,Basic,,,Да,,С#,,,С#,,С#,Моя организация разрабатывает только на этом языке,3,3,Да,"[20,30)",Нет
09.04.2012 14:13:47,Basic,,,Да,,Java,,,C++,,C++,Моя организация разрабатывает только на этом языке,7,4,Да,"[30,40)",Да
09.04.2012 14:14:14,PHP,,,Да,,PHP,"Python, JavaScript",,PHP,,"Java, PHP, JavaScript",Совместным решением,6,6,Да,"[20,30)",Да
09.04.2012 14:14:18,Basic,,,Да,,C++,"Python, JavaScript",,Python,,Java,Заказчиком,5,5,Да,"[20,30)",Нет
09.04.2012 14:14:30,Pascal/Delphi,,,Да,,Python,"PHP, Python, JavaScript, Erlang",,Python,,"Python, JavaScript, Erlang",Не знаю,10+,3,Да,"[20,30)",Да
09.04.2012 14:14:33,Pascal/Delphi,,,Да,,C++,"Java, Ruby, Objective-C, JavaScript",,C++,,"Ruby, JavaScript",Совместным решением,3,2,Нет,"[20,30)",Нет
