Timestamp,FirstLanguage ,e1,NowLanguage,AdditionalLanguages,NextLanguage,PetProjectsLanguages,Choosing,Change,otherFirst,otherNow,Experience,inUA,Comment,n
,(другой),,Scala,"Java, C/C++, PHP, JavaScript, groovy, ",Scala,"Java, C/C++, Scala, m4",заказчиком,Нет,,,10 и больше
11/15/2010 11:13:57,PHP,,Java,"Java, PHP, Python, JavaScript",Java,,совместным решением,Нет,,,10 и больше,да
11/15/2010 11:14:02,C/C++,,C/C++,"Python, Perl",другой,,зависит от проекта,Нет,,,5,да
11/15/2010 11:14:06,PHP,,Python,JavaScript,Python,Python,моя организация разрабатывает только на этом языке,Нет,,,4,да
11/15/2010 11:14:09,C/C++,,Ruby,"C#, JavaScript",Ruby,"Ruby, JavaScript",совместным решением,Да,,,5,да
11/15/2010 11:14:11,PHP,,PHP,JavaScript,PHP,PHP,исполнителем,Нет,,,5,да
11/15/2010 11:14:12,Asm,,C/C++,Python,C/C++,C/C++,зависит от проекта,Нет,,,5,да
11/15/2010 11:14:18,Basic,,JavaScript,"C/C++, Python",Python,"C/C++, Python, JavaScript",зависит от проекта,Нет,,,6,да
11/15/2010 11:14:18,Pascal/Delphi,,Java,,Java,,зависит от проекта,Нет,,,8,да
11/15/2010 11:14:19,C/C++,,Objective-C,"C/C++, Python, Ruby",C/C++,"C/C++, Python, Objective-C, Ruby",исполнителем,Нет,,,8,да
11/15/2010 11:14:30,Pascal/Delphi,,PHP,JavaScript,PHP,PHP,зависит от проекта,Нет,,,8,да
11/15/2010 11:14:36,Pascal/Delphi,,Java,"Java, PHP, Python",Java,,совместным решением,Нет,,,1,да
11/15/2010 11:14:38,PHP,,Java,"C/C++, PHP, JavaScript",Java,,исполнителем,Нет,,,2,нет
11/15/2010 11:15:00,Basic,,C/C++,"C/C++, C#",Python,"Python, 1С",исполнителем,Да,,,4,да
11/15/2010 11:15:09,C/C++,,C/C++,Asm,C/C++,C/C++,исполнителем,Нет,,,7,да
11/15/2010 11:15:14,PHP,,Python,"PHP, Python, JavaScript",Python,"PHP, Python",совместным решением,Нет,,,6,да
11/15/2010 11:15:20,Basic,,C/C++,C/C++,C/C++,C/C++,совместным решением,Нет,,,6,да
11/15/2010 11:15:23,другой,,другой,"Java, PHP, JavaScript",другой,,зависит от проекта,Нет,,,7,да,Что-то вы совсем забыли ActionScript и MXML
11/15/2010 11:15:26,PHP,,PHP,"PHP, Ruby, JavaScript",Ruby,PHP,заказчиком,Да,,,3,да
11/15/2010 11:15:28,PHP,,Python,"PHP, Python, JavaScript",Python,,совместным решением,Нет,,,2,нет
11/15/2010 11:15:32,C/C++,,Pascal/Delphi,"C/C++, C#",Python,"C/C++, Python",зависит от проекта,Нет,,,5,да
11/15/2010 11:15:41,PHP,,PHP,"Java, Python, JavaScript",Java,Python,исполнителем,Да,,,5,да
11/15/2010 11:15:49,Basic,,PHP,"Basic , Pascal/Delphi",C#,"PHP, Pascal/Delphi",зависит от проекта,Нет,,,1,да
11/15/2010 11:15:50,PHP,,Pascal/Delphi,PHP,PHP,PHP,исполнителем,Нет,,,6,да
11/15/2010 11:15:51,(выберите из списка),,(выберите из списка),Java,(выберите из списка),C#,исполнителем,Нет,,,8,да
11/15/2010 11:15:55,Perl,,PHP,Java,Java,,заказчиком,Да,,,3,да
11/15/2010 11:15:57,C/C++,,C#,JavaScript,C#,C/C++,зависит от проекта,Нет,,,8,да
11/15/2010 11:15:58,C/C++,,C/C++,"PHP, Pascal/Delphi, DBase-подобные",C/C++,,зависит от проекта,Нет,,,4,да
11/15/2010 11:16:03,C/C++,,Java,"Python, JavaScript",Python,,совместным решением,Нет,,,5,да
11/15/2010 11:16:10,C#,,C#,C#,C#,,исполнителем,Нет,,,5,да
11/15/2010 11:16:26,PHP,,PHP,JavaScript,Java,PHP,зависит от проекта,Да,,,9,да
11/15/2010 11:16:31,C#,,PHP,"PHP, JavaScript",Python,"PHP, JavaScript",заказчиком,Да,,,8,да
11/15/2010 11:16:36,C/C++,,C/C++,"Python, Perl",C/C++,,заказчиком,Нет,,,7,да
11/15/2010 11:16:47,C/C++,,C/C++,C/C++,Haskell,Haskell,зависит от проекта,Да,,,1,нет
11/15/2010 11:17:03,C#,,Objective-C,,C#,"C#, Objective-C",моя организация разрабатывает только на этом языке,Нет,,,4,да
11/15/2010 11:17:11,Pascal/Delphi,,C/C++,"Java, C/C++, PHP, C#, JavaScript, Asm",C/C++,"C/C++, C#",зависит от проекта,Нет,,,4,да
11/15/2010 11:17:11,Python,,Java,"Java, Ruby",Ruby,"Python, Ruby",зависит от проекта,Нет,,,1,да
11/15/2010 11:17:32,Basic,,C/C++,C#,C#,,совместным решением,Нет,,,3,да
11/15/2010 11:17:34,DBase-подобные ,,1С,"PHP, Python, DBase-подобные",Python,Python,исполнителем,Да,,,10 и больше,да
11/15/2010 11:17:35,Java,,Java,"Java, Scala",Java,"Java, Scala",совместным решением,Нет,,,1,да
11/15/2010 11:17:37,Basic,,Java,,Java,"Java, JavaScript",заказчиком,Нет,,,5,да
11/15/2010 11:17:46,Python,,Python,"C/C++, Ruby, JavaScript",Python,Python,моя организация разрабатывает только на этом языке,Нет,,,2,да
11/15/2010 11:18:04,PHP,,Ruby,"Objective-C, JavaScript",Ruby,"PHP, Ruby, JavaScript",зависит от проекта,Нет,,,7,да
11/15/2010 11:18:06,Java,,Java,Java,Java,,заказчиком,Нет,,,0,да
11/15/2010 11:18:08,C/C++,,Java,"Java, C/C++, C#, Python, Objective-C",Java,,зависит от проекта,Нет,,,3,нет
11/15/2010 11:18:09,DBase-подобные ,,Ruby,"Java, Python, JavaScript",Ruby,"Java, C/C++, Python, Ruby, JavaScript",исполнителем,Нет,,,8,да
11/15/2010 11:18:19,(выберите из списка),,Java,JavaScript,Java,,зависит от проекта,Нет,,,5,да
11/15/2010 11:18:21,C#,,Java,"Java, JavaScript",Java,,совместным решением,Нет,,,2,да
11/15/2010 11:18:29,Pascal/Delphi,,Java,JavaScript,Java,"Java, Python, Ruby, JavaScript",зависит от проекта,Нет,,,6,да
11/15/2010 11:18:34,Pascal/Delphi,,Python,"C#, JavaScript, Pascal/Delphi",Python,"C#, Python, JavaScript",исполнителем,Нет,,,9,да
11/15/2010 11:18:35,другой,,другой,"Java, PHP, JavaScript, as3",JavaScript,"Java, PHP, JavaScript, DBase-подобные",исполнителем,Да,,,10 и больше,да
11/15/2010 11:18:38,Python,,C/C++,"C/C++, Python, Objective-C, Perl, Lua, Asm, sh",C/C++,"C/C++, Python",зависит от проекта,Нет,,,2,да
11/15/2010 11:19:07,Java,,Java,"C#, Ruby",Ruby,,зависит от проекта,Нет,,,2,да
11/15/2010 11:19:09,Asm,,Python,C/C++,Python,"C/C++, Python, JavaScript, Lisp",совместным решением,Да,,,10 и больше,да
11/15/2010 11:19:21,Pascal/Delphi,,Java,,Java,,совместным решением,Нет,,,3,да
11/15/2010 11:19:27,Basic,,C/C++,Python,C#,,заказчиком,Да,,,10 и больше,да
11/15/2010 11:19:28,Pascal/Delphi,,JavaScript,"C#, Python",(выберите из списка),,заказчиком,Да,,,7,да
11/15/2010 11:19:32,Java,,Java,,Java,Java,моя организация разрабатывает только на этом языке,Нет,,,6,да
11/15/2010 11:19:33,C/C++,,Java,"Java, Python",Java,"Java, Pascal/Delphi",зависит от проекта,Нет,,,5,да
11/15/2010 11:19:40,PHP,,JavaScript,"Java, PHP, JavaScript",Python,"C/C++, PHP, JavaScript",совместным решением,Да,,,10 и больше,да
11/15/2010 11:19:43,PHP,,PHP,"C/C++, PHP, C#, JavaScript",C#,"C#, Python, Ruby",совместным решением,Да,,,4,да
11/15/2010 11:19:44,JavaScript,,PHP,"PHP, C#, JavaScript, PowerShell",C#,"PHP, C#",моя организация разрабатывает только на этом языке,Нет,,,3,нет
11/15/2010 11:19:48,C/C++,,Java,"Java, C#",C#,C#,совместным решением,Нет,,,4,да
11/15/2010 11:19:51,Perl,,PHP,"PHP, JavaScript",PHP,PHP,совместным решением,Нет,,,7,да
11/15/2010 11:19:56,C/C++,,C#,DBase-подобные,C#,C/C++,моя организация разрабатывает только на этом языке,Нет,,,5,да
11/15/2010 11:20:18,PHP,,PHP,"Java, JavaScript",PHP,PHP,совместным решением,Да,,,4,да
11/15/2010 11:20:21,C/C++,,C/C++,"Java, C#, Objective-C, Lisp",Java,Java,заказчиком,Да,,,6,да
11/15/2010 11:20:21,Pascal/Delphi,,C/C++,"C#, Python",C#,"C#, Python, Haskell",исполнителем,Нет,,,10 и больше,нет
11/15/2010 11:20:31,C/C++,,C#,,Ruby,C#,зависит от проекта,Нет,,,3,да
11/15/2010 11:20:52,Perl,,Python,,Python,"Python, Lua",совместным решением,Нет,,,7,нет
11/15/2010 11:20:56,Java,,Java,"Java, C#, 1C",Java,Java,зависит от проекта,Нет,,,5,да
11/15/2010 11:21:00,PHP,,PHP,JavaScript,PHP,"PHP, JavaScript",исполнителем,Нет,,,1,да
11/15/2010 11:21:04,C/C++,,C/C++,,C/C++,,исполнителем,Нет,,,5,да
11/15/2010 11:21:12,C/C++,,Java,"Java, Python",Java,"Java, C/C++, Pascal/Delphi",зависит от проекта,Нет,,,5,да
11/15/2010 11:21:17,Pascal/Delphi,,Pascal/Delphi,"PHP, Python, JavaScript",Python,Python,совместным решением,Да,,,10 и больше,да
11/15/2010 11:21:23,PHP,,Ruby,"Java, C/C++, JavaScript",Ruby,"C/C++, Ruby",заказчиком,Нет,,,9,да
11/15/2010 11:21:41,Java,,Java,Java,Java,,зависит от проекта,Нет,,,7,да
11/15/2010 11:21:47,другой,,C#,JavaScript,C#,"C#, JavaScript",зависит от проекта,Нет,,,10 и больше,да
11/15/2010 11:21:51,Basic,,Python,"C/C++, Python, SQL",Python,"C/C++, Python, SQL",зависит от проекта,Нет,,,10 и больше,да
11/15/2010 11:21:51,C/C++,,Objective-C,"C/C++, C#, Objective-C, JavaScript, Pascal/Delphi",C#,C/C++,зависит от проекта,Нет,,,4,да
11/15/2010 11:22:12,C/C++,,C/C++,"PHP, Python, JavaScript",C/C++,"C/C++, PHP, Python, JavaScript",зависит от проекта,Нет,,,3,нет
11/15/2010 11:22:20,C#,,C#,JavaScript,C#,,зависит от проекта,Нет,,,3,да
11/15/2010 11:22:36,Java,,JavaScript,"Java, Python",Python,Python,зависит от проекта,Нет,,,7,да,"Вопрос ""Планируете ли вы сменить основной язык разработки в ближайший год?"" можно было бы заменить на более реальный типа ""Собираетесь ли Вы(или <Какой собираетесь>) изучить новый язык в ближайший год?"""
11/15/2010 11:22:41,C/C++,,Python,"Java, Python, Ruby",Python,,совместным решением,Да,,,4,да
11/15/2010 11:23:04,другой,,C#,"Python, JavaScript, DBase-подобные",Python,Python,исполнителем,Да,,,2,да
11/15/2010 11:23:13,Ruby,,Ruby,"C/C++, JavaScript",Ruby,,заказчиком,Нет,,,3,да,"Работаю в вебе. Когда начинал на Руби, казалось что это какой-то ""недоязык"" и порывался попробовать .NET. Через год перешёл на C#. Поработал год и убежал обратно на Руби и Рельсы -- оказалось, что .NET по удобству разработки прилично не дотягивает (имхо)"
11/15/2010 11:23:54,Perl,,C/C++,Perl,другой,"C/C++, Objective-C, Perl, Ruby",совместным решением,Нет,,,10 и больше,нет
11/15/2010 11:24:08,PHP,,Ruby,"Ruby, JavaScript",Ruby,"PHP, Ruby, JavaScript",моя организация разрабатывает только на этом языке,Нет,,,5,да
11/15/2010 11:25:10,Pascal/Delphi,,Java,,Java,,зависит от проекта,Нет,,,4,да
11/15/2010 11:25:21,Pascal/Delphi,,C#,"PHP, C#, JavaScript",C#,C#,совместным решением,Нет,,,7,да
11/15/2010 11:25:34,(выберите из списка),,Java,Scala,Scala,"Java, Scala",совместным решением,Да,,,10 и больше,да
11/15/2010 11:25:34,Pascal/Delphi,,C#,"C/C++, C#, DBase-подобные",C#,"C#, DBase-подобные",совместным решением,Нет,,,6,да
11/15/2010 11:25:44,C/C++,,C/C++,"C/C++, PHP, Python, JavaScript",Python,"C/C++, PHP, Python",совместным решением,Нет,,,10 и больше,да
11/15/2010 11:26:00,C/C++,,C#,Python,C#,,совместным решением,Нет,,,5,нет
11/15/2010 11:26:11,C/C++,,C/C++,"C/C++, C#, Objective-C",(выберите из списка),C/C++,заказчиком,Нет,,,5,да
11/15/2010 11:26:17,(выберите из списка),,(выберите из списка),"Java, C/C++",Java,"Java, C/C++",заказчиком,Нет,,,3,да
11/15/2010 11:26:38,другой,,Ruby,"Python, Perl",Python,,заказчиком,Да,,,10 и больше,да
11/15/2010 11:26:40,Java,,PHP,JavaScript,PHP,"PHP, JavaScript",совместным решением,Нет,,,5,нет
11/15/2010 11:26:45,PHP,,Python,"Python, Perl",Python,Python,зависит от проекта,Нет,,,1,да
11/15/2010 11:26:45,Java,,C#,"Java, C#, JavaScript",C#,C#,совместным решением,Нет,,,3,да
11/15/2010 11:27:10,PHP,,Objective-C,"PHP, Python, Objective-C, JavaScript, Lua",Objective-C,"PHP, Python, Objective-C",совместным решением,Нет,,,7,нет
11/15/2010 11:27:12,C/C++,,Lisp,"C/C++, C#",Lisp,"C#, Lisp",совместным решением,Нет,,,5,да
11/15/2010 11:27:14,C/C++,,C/C++,C/C++,C#,"C/C++, erlang",зависит от проекта,Да,,,4,да
11/15/2010 11:27:49,C/C++,,C#,,C#,,заказчиком,Нет,,,4,да
11/15/2010 11:27:50,C/C++,,C/C++,"Java, C/C++, Python",(выберите из списка),"C/C++, Python",моя организация разрабатывает только на этом языке,Да,,,5,нет
11/15/2010 11:27:50,C#,,C#,"Java, PHP, C#, JavaScript",Java,"Java, PHP",зависит от проекта,Нет,,,3,да
11/15/2010 11:28:04,(выберите из списка),,PHP,"Java, JavaScript",PHP,,зависит от проекта,Да,,,3,да
11/15/2010 11:28:19,Pascal/Delphi,,Pascal/Delphi,"C/C++, PHP, JavaScript, Asm",Pascal/Delphi,,зависит от проекта,Нет,,,6,да
11/15/2010 11:28:21,Pascal/Delphi,,C/C++,"Java, C/C++, Lua, Asm",C/C++,"Java, C/C++",исполнителем,Нет,,,3,нет
11/15/2010 11:28:35,C/C++,,C/C++,Python,Python,"C/C++, Python",зависит от проекта,Нет,,,10 и больше,да
11/15/2010 11:28:37,Pascal/Delphi,,C#,"Objective-C, Delphi Prism",C#,C#,совместным решением,Нет,,,9,да
11/15/2010 11:28:42,C#,,C#,C#,C#,C#,зависит от проекта,Нет,,,6,да
11/15/2010 11:28:55,C#,,C#,JavaScript,C#,"C#, JavaScript",совместным решением,Нет,,,6,да
11/15/2010 11:28:56,Pascal/Delphi,,PHP,JavaScript,PHP,PHP,моя организация разрабатывает только на этом языке,Нет,,,10 и больше,да
11/15/2010 11:29:16,Pascal/Delphi,,C#,C/C++,C#,,заказчиком,Нет,,,8,нет
11/15/2010 11:29:18,C/C++,,Java,"C#, JavaScript",Java,Java,заказчиком,Нет,,,8,да
11/15/2010 11:29:39,Pascal/Delphi,,Python,JavaScript,Python,"Python, JavaScript",моя организация разрабатывает только на этом языке,Нет,,,8,нет
11/15/2010 11:29:49,C/C++,,C#,Objective-C,C#,C#,зависит от проекта,Нет,,,4,да
11/15/2010 11:30:34,другой,,JavaScript,PHP,Ruby,"PHP, Ruby, JavaScript",моя организация разрабатывает только на этом языке,Да,,,2,да
11/15/2010 11:30:37,Pascal/Delphi,,PHP,"Python, JavaScript",Python,,заказчиком,Да,,,9,да
11/15/2010 11:30:38,C/C++,,C/C++,"Java, C#",C/C++,,зависит от проекта,Да,,,4,нет
11/15/2010 11:30:39,C/C++,,C/C++,"Python, Asm",C/C++,"C/C++, Python",исполнителем,Нет,,,4,да
11/15/2010 11:30:45,Pascal/Delphi,,C#,PHP,(выберите из списка),,зависит от проекта,Нет,,,3,да
11/15/2010 11:30:55,C/C++,,другой,"PHP, Python, JavaScript, Lisp, Asm, DBase-подобные",Asm,,зависит от проекта,Да,,,1,нет
11/15/2010 11:30:56,C/C++,,C#,"Python, JavaScript, DBase-подобные",C#,,совместным решением,Нет,,,7,да
11/15/2010 11:30:56,другой,,C#,"Java, C/C++, Python",C#,C#,заказчиком,Нет,,,4,да
11/15/2010 11:31:05,Pascal/Delphi,,Java,"Java, C/C++, Pascal/Delphi, PL/SQL",Java,,исполнителем,Нет,,,4,нет
11/15/2010 11:31:35,Java,,Java,JavaScript,Java,,зависит от проекта,Нет,,,2,да
11/15/2010 11:32:02,C/C++,,C/C++,"C/C++, C#, Python",C/C++,"C/C++, Python",совместным решением,Нет,,,5,да
11/15/2010 11:32:09,Java,,Java,"Java, JavaScript",Ruby,Java,моя организация разрабатывает только на этом языке,Да,,,5,нет
11/15/2010 11:32:18,C#,,C/C++,"Objective-C, Ruby, JavaScript",C/C++,"C/C++, Objective-C, JavaScript",исполнителем,Нет,,,6,да,В определённых областях деятельности особого выбора языка нет :) Не всё ж веб :)
11/15/2010 11:32:19,Fortran,,C/C++,"C/C++, Forth",C/C++,,исполнителем,Нет,,,10 и больше,нет
11/15/2010 11:32:29,PHP,,Python,"Python, JavaScript",Python,JavaScript,зависит от проекта,Да,,,4,да
11/15/2010 11:32:34,C/C++,,C/C++,C/C++,C/C++,,совместным решением,Нет,,,0,да
11/15/2010 11:32:38,C/C++,,C/C++,Python,C/C++,"C/C++, Python",моя организация разрабатывает только на этом языке,Да,,,3,да
11/15/2010 11:32:51,Java,,Java,JavaScript,Java,,заказчиком,Нет,,,2,да
11/15/2010 11:32:59,C#,,C#,X++,C#,,совместным решением,Нет,,,3,да
11/15/2010 11:33:07,PHP,,PHP,"C/C++, PHP, Ruby, JavaScript",Ruby,"PHP, Ruby, JavaScript",заказчиком,Да,,,2,да
11/15/2010 11:33:11,C#,,другой,ActionScript 3,другой,,зависит от проекта,Нет,,,2,да,"Не хватает ЭкшнСкрипта, на нем щас куча веб-приложений для социальных сетей и игрушек делается:)."
11/15/2010 11:33:13,другой,,C/C++,"Python, Perl",C/C++,"C/C++, Lua",зависит от проекта,Нет,,,10 и больше,да
11/15/2010 11:33:17,Pascal/Delphi,,C#,"Basic , JavaScript, Pascal/Delphi",C#,"C#, JavaScript",зависит от проекта,Нет,,,7,нет
11/15/2010 11:33:17,DBase-подобные ,,C#,"JavaScript, DBase-подобные",C#,,совместным решением,Нет,,,3,да
11/15/2010 11:33:27,C/C++,,C#,"C#, JavaScript",C#,C#,исполнителем,Нет,,,2,да
11/15/2010 11:33:38,Pascal/Delphi,,PHP,"Python, JavaScript",Python,"Python, JavaScript",зависит от проекта,Да,,,5,да
11/15/2010 11:34:05,PHP,,PHP,"C/C++, PHP, Python",PHP,PHP,зависит от проекта,Да,,,3,да
11/15/2010 11:34:14,PHP,,JavaScript,"Java, PHP, JavaScript",Java,"Java, JavaScript",зависит от проекта,Нет,,,5,да
11/15/2010 11:34:20,C/C++,,Python,"Java, Python, JavaScript",Python,Python,совместным решением,Нет,,,5,да
11/15/2010 11:34:33,другой,,Pascal/Delphi,PHP,C/C++,Pascal/Delphi,моя организация разрабатывает только на этом языке,Нет,,,7,нет
11/15/2010 11:34:52,C#,,C#,"C#, Python, JavaScript",Python,,заказчиком,Да,,,4,нет
11/15/2010 11:35:19,Pascal/Delphi,,C#,"Basic , JavaScript",C#,,заказчиком,Нет,,,4,да
11/15/2010 11:35:23,1C,,Java,"Java, JavaScript",Java,Java,моя организация разрабатывает только на этом языке,Нет,,,8,да
11/15/2010 11:35:35,C/C++,,Java,"Java, C/C++, PHP, Perl, JavaScript",Java,,исполнителем,Нет,,,10 и больше,да
11/15/2010 11:35:38,C#,,C#,,C#,C#,зависит от проекта,Нет,,,3,да
11/15/2010 11:35:38,другой,,C/C++,"Java, PHP, Python, Lua",C/C++,C/C++,зависит от проекта,Нет,,,3,нет
11/15/2010 11:35:57,(выберите из списка),,(выберите из списка),"C#, Basic ",C#,"C#, Basic",исполнителем,Нет,,,5,да
11/15/2010 11:36:07,PHP,,Python,Python,Python,Python,исполнителем,Нет,,,2,да
11/15/2010 11:36:07,C/C++,,Python,JavaScript,Python,Python,моя организация разрабатывает только на этом языке,Нет,,,7,да,"Мой путь в языках:
C++ -> PHP -> Java -> .Net/C#  -> Python"
11/15/2010 11:36:08,Java,,Java,JavaScript,Java,,заказчиком,Нет,,,4,да
11/15/2010 11:36:16,C/C++,,C#,"C/C++, C#, JavaScript",C#,C#,исполнителем,Да,,,6,да
11/15/2010 11:36:23,Pascal/Delphi,,C/C++,"Java, PHP, C#, JavaScript",C/C++,"Java, C#",совместным решением,Нет,,,3,да
11/15/2010 11:36:26,C/C++,,C/C++,"PHP, C#",другой,,зависит от проекта,Да,,,4,да
11/15/2010 11:36:34,PHP,,Ruby,JavaScript,Objective-C,"go!, smalltalk",совместным решением,Нет,,,4,да,"ГДЕ SMALLTALK в СПИСКАХ?!""?!?!?!?!?!?!"
11/15/2010 11:36:44,C/C++,,Python,"C#, Python, JavaScript",Python,Python,исполнителем,Нет,,,8,да
11/15/2010 11:37:00,C/C++,,C/C++,Python,Python,,заказчиком,Да,,,3,нет
11/15/2010 11:37:04,Basic,,Python,JavaScript,Python,Python,моя организация разрабатывает только на этом языке,Нет,,,9,да
11/15/2010 11:37:11,другой,,C#,JavaScript,C#,,исполнителем,Нет,,,10 и больше,да
11/15/2010 11:37:11,Pascal/Delphi,,C/C++,"C/C++, C#, Python",C#,,заказчиком,Нет,,,10 и больше,да
11/15/2010 11:37:22,другой,,другой,JavaScript,(выберите из списка),,заказчиком,Да,,,0,да
11/15/2010 11:37:25,(выберите из списка),,(выберите из списка),C#,C#,,совместным решением,Да,,,3,да
11/15/2010 11:37:27,C/C++,,C/C++,"Java, C#, JavaScript",C/C++,,зависит от проекта,Нет,,,5,да
11/15/2010 11:37:31,DBase-подобные ,,DBase-подобные,"Basic , DBase-подобные",JavaScript,,моя организация разрабатывает только на этом языке,Да,,,2,да,"Работаю в Укртелекоме сисом и дба, всё в основном пишется на pl/sql (oracle)"
11/15/2010 11:38:00,Java,,Java,"JavaScript, Flex",Java,Java,зависит от проекта,Нет,,,6,да
