"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Пол","Возраст","Образование","Уровень.английского","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"19",NA,"System Architect","C#/.NET","","5.5","3",3000,500,"Киев","до 10 человек","мужской",27,"Высшее","продвинутый","18/12/2012 12:27:44","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",5.5,3,"Киев",3000,NA,"SDEV"
"20",NA,"Senior Software Engineer","Ruby/Rails","","3","меньше 3 месяцев",2800,0,"Киев","до 200 человек","мужской",27,"Высшее","продвинутый","18/12/2012 12:28:26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,0,"Киев",2800,NA,"DEV"
"21",NA,"Technical Lead","C#/.NET","","5","4",3000,0,"Киев","до 50 человек","мужской",32,"Высшее","средний","18/12/2012 12:28:50","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",5,4,"Киев",3000,NA,"SDEV"
"22",NA,"Senior Software Engineer","Objective-C","","3","2",3000,1200,"Киев","до 50 человек","мужской",30,"Кандидат","продвинутый","18/12/2012 12:28:55","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,2,"Киев",3000,NA,"DEV"
"23",NA,"Senior Project Manager / Program Manager","","","1.25","1.25",1500,300,"Днепр.","до 50 человек","мужской",31,"Высшее","ниже среднего","18/12/2012 12:29:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1.25,1.25,"Днепр.",1500,NA,"SPM"
"24",NA,"Senior Project Manager / Program Manager","","","10 и более лет","8",4500,100,"Харьков","до 1000 человек","мужской",33,"Высшее","продвинутый","18/12/2012 12:29:31","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",10,8,"Харьков",4500,NA,"SPM"
"25",NA,"Дизайнер","","","5.5","0.75",950,250,"Харьков","до 200 человек","мужской",24,"Высшее","ниже среднего","18/12/2012 12:29:52","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",5.5,0.75,"Харьков",950,NA,""
"26",NA,"Junior Software Engineer","Java","","1","меньше 3 месяцев",2000,1700,"Днепр.","до 50 человек","мужской",27,"Высшее","ниже среднего","18/12/2012 12:29:56","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",1,0,"Днепр.",2000,NA,"DEV"
"27",NA,"Senior Software Engineer","Java","","4.5","2.5",2100,200,"Днепр.","свыше 1000 человек","мужской",26,"Высшее","выше среднего","18/12/2012 12:29:59","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",4.5,2.5,"Днепр.",2100,NA,"DEV"
"28",NA,"QA engineer","","Automation QA","2.5","0.75",1500,0,"Киев","до 50 человек","женский",32,"Высшее","продвинутый","18/12/2012 12:29:59","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2.5,0.75,"Киев",1500,NA,"QA"
"29",NA,"Software Engineer","Ruby/Rails","","2.5","1",2500,0,"Львов","до 10 человек","мужской",23,"Среднее","продвинутый","18/12/2012 12:30:05","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",2.5,1,"Львов",2500,NA,"DEV"
"30",NA,"QA engineer","","General QA","2","2",700,300,"Харьков","до 200 человек","мужской",25,"Высшее","средний","18/12/2012 12:30:05","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",2,2,"Харьков",700,NA,"QA"
"31",NA,"Technical Lead","C#/.NET","","10 и более лет","10 и более лет",2200,200,"Харьков","свыше 1000 человек","мужской",35,"Высшее","средний","18/12/2012 12:30:06","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",10,10,"Харьков",2200,NA,"SDEV"
"32",NA,"Software Engineer","Java","","2","меньше 3 месяцев",2200,1000,"Киев","до 10 человек","мужской",23,"Высшее","продвинутый","18/12/2012 12:30:11","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:17.0) Gecko/20100101 Firefox/17.0",2,0,"Киев",2200,NA,"DEV"
"33",NA,"Software Engineer","C#/.NET","","3","1",2500,700,"Одесса","до 200 человек","мужской",25,"Два высших","средний","18/12/2012 12:30:12","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,1,"other",2500,NA,"DEV"
"34",NA,"Software Engineer","C#/.NET","","2","10 и более лет",1500,700,"Киев","свыше 1000 человек","мужской",21,"Высшее","выше среднего","18/12/2012 12:30:15","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",2,10,"Киев",1500,NA,"DEV"
"35",NA,"Senior QA engineer","","Manual QA","7","0.5",1600,0,"Харьков","до 1000 человек","мужской",27,"Высшее","выше среднего","18/12/2012 12:30:22","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",7,0.5,"Харьков",1600,NA,"QA"
"36",NA,"Software Engineer","C#/.NET","","4","4",1350,400,"Львов","свыше 1000 человек","мужской",24,"Высшее","средний","18/12/2012 12:30:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",4,4,"Львов",1350,NA,"DEV"
"37",NA,"QA engineer","","General QA","2.5","2.5",1150,400,"Львов","до 1000 человек","мужской",25,"Незаконченное высшее","выше среднего","18/12/2012 12:30:28","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2.5,2.5,"Львов",1150,NA,"QA"
"38",NA,"Senior Software Engineer","Objective-C","","4.5","меньше 3 месяцев",3000,200,"Харьков","до 10 человек","мужской",24,"Незаконченное высшее","продвинутый","18/12/2012 12:30:29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:17.0) Gecko/20100101 Firefox/17.0",4.5,0,"Харьков",3000,NA,"DEV"
"39",NA,"Software Engineer","PHP","","2.5","1.25",1350,400,"Киев","до 10 человек","мужской",23,"Высшее","выше среднего","18/12/2012 12:30:30","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2.5,1.25,"Киев",1350,NA,"DEV"
"40",NA,"Senior Software Engineer","C#/.NET","","7.5","0.5",2500,500,"Львов","до 200 человек","мужской",27,"Незаконченное высшее","средний","18/12/2012 12:30:56","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",7.5,0.5,"Львов",2500,NA,"DEV"
"41",NA,"Software Engineer","C","","3","2.5",1500,700,"Ивано-Франковск","до 200 человек","мужской",25,"Высшее","ниже среднего","18/12/2012 12:31:00","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0",3,2.5,"other",1500,NA,"DEV"
"42",NA,"Junior Software Engineer","C++","","9.5","9.5",800,-2100,"Киев","свыше 1000 человек","мужской",27,"Два высших","продвинутый","18/12/2012 12:31:10","Mozilla/5.0 (Ubuntu; X11; Linux x86_64; rv:8.0) Gecko/20100101 Firefox/8.0",9.5,9.5,"Киев",800,NA,"DEV"
"43",NA,"Software Engineer","PHP","","5","4",1700,200,"Львов","до 10 человек","мужской",25,"Высшее","выше среднего","18/12/2012 12:31:10","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.4 (KHTML, like Gecko) Ubuntu/12.10 Chromium/22.0.1229.94 Chrome/22.0.1229.94 Safari/537.4",5,4,"Львов",1700,NA,"DEV"
"44",NA,"Technical Lead","Java","","4","0.75",4300,700,"Киев","свыше 1000 человек","мужской",24,"Высшее","выше среднего","18/12/2012 12:31:17","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",4,0.75,"Киев",4300,NA,"SDEV"
"45",NA,"Дизайнер","","","10 и более лет","1.5",2000,500,"Одесса","до 200 человек","мужской",33,"Незаконченное высшее","средний","18/12/2012 12:31:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",10,1.5,"other",2000,NA,""
"46",NA,"Дизайнер","","","5","2",1100,500,"Харьков","до 50 человек","мужской",23,"Незаконченное высшее","средний","18/12/2012 12:31:44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",5,2,"Харьков",1100,NA,""
"47",NA,"QA engineer","","Manual QA","4","1",900,300,"Симферополь","до 10 человек","мужской",29,"Высшее","средний","18/12/2012 12:31:45","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",4,1,"other",900,NA,"QA"
"49",NA,"Director of Engineering / Program Director","","","3","1.5",1500,0,"Харьков","до 10 человек","мужской",22,"Высшее","средний","18/12/2012 12:32:02","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,1.5,"Харьков",1500,NA,"SPM"
"50",NA,"Software Engineer","Ruby/Rails","","3","0.5",2500,1500,"Севастополь","до 200 человек","мужской",23,"Высшее","средний","18/12/2012 12:32:05","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,0.5,"other",2500,NA,"DEV"
"51",NA,"Верстальщик","","","2","2",750,200,"Ивано-Франковск","до 50 человек","мужской",25,"Высшее","ниже среднего","18/12/2012 12:32:24","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.11",2,2,"other",750,NA,""
"52",NA,"Senior Software Engineer","Objective-C","","10 и более лет","0.75",3500,1000,"Киев","до 10 человек","мужской",36,"Высшее","элементарный","18/12/2012 12:32:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11",10,0.75,"Киев",3500,NA,"DEV"
"53",NA,"Junior QA engineer","","Manual QA","0.5","0.5",300,50,"Львов","до 1000 человек","мужской",23,"Высшее","выше среднего","18/12/2012 12:32:36","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0",0.5,0.5,"Львов",300,NA,"QA"
"54",NA,"Software Engineer","C#/.NET","","6","1.5",1800,0,"Одесса","до 200 человек","мужской",26,"Высшее","средний","18/12/2012 12:33:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",6,1.5,"other",1800,NA,"DEV"
"55",NA,"QA engineer","","Manual QA","2.5","2.5",930,150,"Львов","до 1000 человек","мужской",26,"Незаконченное высшее","ниже среднего","18/12/2012 12:33:21","Mozilla/5.0 (Windows NT 5.1; rv:12.0) Gecko/20100101 Firefox/12.0",2.5,2.5,"Львов",930,NA,"QA"
"56",NA,"Junior Software Engineer","C#/.NET","","0.5","0.5",900,200,"Киев","свыше 1000 человек","мужской",26,"Высшее","средний","18/12/2012 12:33:21","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",0.5,0.5,"Киев",900,NA,"DEV"
"57",NA,"QA engineer","","Manual QA","4","3",1375,250,"Харьков","до 200 человек","мужской",26,"Высшее","ниже среднего","18/12/2012 12:33:52","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",4,3,"Харьков",1375,NA,"QA"
"58",NA,"Software Engineer","PHP","","7","1.75",1750,400,"Харьков","до 200 человек","мужской",37,"Высшее","средний","18/12/2012 12:34:10","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.91 Safari/537.11",7,1.75,"Харьков",1750,NA,"DEV"
"59",NA,"Software Engineer","Other","","6","4",1375,0,"Донецк","до 10 человек","мужской",31,"Два высших","средний","18/12/2012 12:34:32","Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20100101 Firefox/12.0",6,4,"other",1375,NA,"DEV"
"60",NA,"Верстальщик","","","7","5",2300,150,"Киев","до 50 человек","мужской",29,"Незаконченное высшее","элементарный","18/12/2012 12:34:36","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",7,5,"Киев",2300,NA,""
"61",NA,"Junior Software Engineer","Other","","0.25","0.25",1200,0,"Киев","до 50 человек","мужской",22,"Незаконченное высшее","выше среднего","18/12/2012 12:34:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",0.25,0.25,"Киев",1200,NA,"DEV"
"62",NA,"Senior Software Engineer","Java","","6.5","2.5",3000,400,"Одесса","до 10 человек","мужской",40,"Незаконченное высшее","средний","18/12/2012 12:35:19","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",6.5,2.5,"other",3000,NA,"DEV"
"63",NA,"Senior Software Engineer","JavaScript","","10 и более лет","0.75",2200,200,"Киев","до 50 человек","мужской",30,"Высшее","ниже среднего","18/12/2012 12:35:21","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",10,0.75,"Киев",2200,NA,"DEV"
"64",NA,"Team lead","","","7","1.5",2600,300,"Киев","свыше 1000 человек","мужской",32,"Высшее","выше среднего","18/12/2012 12:35:37","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1",7,1.5,"Киев",2600,NA,"PM"
"65",NA,"Team lead","","","6","2.5",3700,1200,"Киев","свыше 1000 человек","мужской",29,"Высшее","выше среднего","18/12/2012 12:35:44","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",6,2.5,"Киев",3700,NA,"PM"
"66",NA,"Senior Software Engineer","C++","","6","1",2500,600,"Киев","до 50 человек","мужской",26,"Высшее","выше среднего","18/12/2012 12:35:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/25.0.1359.3 Safari/537.21",6,1,"Киев",2500,NA,"DEV"
"67",NA,"Software Engineer","PHP","","2","меньше 3 месяцев",1250,450,"Львов","до 1000 человек","мужской",23,"Высшее","средний","18/12/2012 12:36:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2,0,"Львов",1250,NA,"DEV"
"68",NA,"Верстальщик","","","2","1.25",1100,300,"Киев","до 1000 человек","мужской",27,"Высшее","средний","18/12/2012 12:36:17","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2,1.25,"Киев",1100,NA,""
"69",NA,"Верстальщик","","","3","3",800,100,"Полтава","до 10 человек","мужской",25,"Высшее","средний","18/12/2012 12:36:32","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.11",3,3,"other",800,NA,""
"70",NA,"Senior Software Engineer","C#/.NET","","8","0.5",3300,1000,"Львов","до 200 человек","мужской",29,"Высшее","выше среднего","18/12/2012 12:36:37","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0",8,0.5,"Львов",3300,NA,"DEV"
"71",NA,"QA engineer","","Manual QA","5.5","2",1300,0,"Львов","свыше 1000 человек","мужской",28,"Высшее","выше среднего","18/12/2012 12:36:43","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0",5.5,2,"Львов",1300,NA,"QA"
"72",NA,"Senior Software Engineer","Objective-C","","6","3",2100,0,"Днепр.","до 10 человек","мужской",25,"Среднее","выше среднего","18/12/2012 12:36:43","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",6,3,"Днепр.",2100,NA,"DEV"
"73",NA,"Software Engineer","Other","","5.5","0.5",3000,1000,"Симферополь","до 10 человек","мужской",27,"Высшее","выше среднего","18/12/2012 12:36:45","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)",5.5,0.5,"other",3000,NA,"DEV"
"74",NA,"Software Engineer","JavaScript","","3","1.5",3100,600,"Одесса","до 10 человек","мужской",34,"Высшее","ниже среднего","18/12/2012 12:37:36","Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0",3,1.5,"other",3100,NA,"DEV"
"75",NA,"Software Engineer","Objective-C","","1.5","1.5",650,180,"Львов","до 50 человек","мужской",22,"Высшее","средний","18/12/2012 12:37:40","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:17.0) Gecko/20100101 Firefox/17.0",1.5,1.5,"Львов",650,NA,"DEV"
"76",NA,"Software Engineer","Python","","3","1.75",1200,0,"Киев","до 10 человек","мужской",24,"Высшее","средний","18/12/2012 12:37:50","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",3,1.75,"Киев",1200,NA,"DEV"
"77",NA,"Верстальщик","","","2","1.5",700,0,"Киев","до 50 человек","мужской",24,"Высшее","ниже среднего","18/12/2012 12:38:06","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4",2,1.5,"Киев",700,NA,""
"78",NA,"Junior QA engineer","","Manual QA","1.5","1.5",750,450,"Львов","свыше 1000 человек","мужской",25,"Два высших","средний","18/12/2012 12:38:26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",1.5,1.5,"Львов",750,NA,"QA"
"80",NA,"Senior Software Engineer","Ruby/Rails","","8","3.5",4750,1500,"Киев","до 10 человек","мужской",27,"Высшее","продвинутый","18/12/2012 12:38:32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:18.0) Gecko/20100101 Firefox/18.0",8,3.5,"Киев",4750,NA,"DEV"
"81",NA,"Software Engineer","Other","","2","2",1200,400,"Киев","до 1000 человек","мужской",25,"Высшее","средний","18/12/2012 12:38:38","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.11",2,2,"Киев",1200,NA,"DEV"
"82",NA,"QA engineer","","General QA","2","1",950,0,"Днепр.","до 200 человек","женский",25,"Два высших","выше среднего","18/12/2012 12:38:41","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",2,1,"Днепр.",950,NA,"QA"
"83",NA,"Junior Software Engineer","C","","0.5","0.5",400,400,"Львов","свыше 1000 человек","мужской",21,"Незаконченное высшее","средний","18/12/2012 12:38:50","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",0.5,0.5,"Львов",400,NA,"DEV"
"84",NA,"Director of Engineering / Program Director","","","5","5",4500,500,"Киев","до 50 человек","мужской",29,"Высшее","продвинутый","18/12/2012 12:38:52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",5,5,"Киев",4500,NA,"SPM"
"85",NA,"Software Engineer","Python","","2.5","1.5",1100,400,"Харьков","до 200 человек","мужской",24,"Высшее","средний","18/12/2012 12:40:05","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11",2.5,1.5,"Харьков",1100,NA,"DEV"
"86",NA,"Software Engineer","Python","","9","1",1600,0,"Харьков","до 50 человек","мужской",27,"Высшее","средний","18/12/2012 12:40:18","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.35 Safari/537.17",9,1,"Харьков",1600,NA,"DEV"
