Отметка времени,Ви працюєте зараз в ІТ?,Де ви мешкаєте?,Де ви працюєте?,Ваша стать,Ваш вік,Яка у вас освіта?,Вкажіть заклад вищої освіти,Знання англійської мови,Оберіть вашу посаду,Ваш тайтл,Вкажіть вашу спеціалізацію,Основна мова програмування,Інші мови програмування,"Фреймворки, бібліотеки та платформи","Платформи, для яких розробляєте на поточному місці роботи?",Ваш тайтл_1,Вкажіть вашу спеціалізацію_2,Яку мову програмування використовуєте у роботі?,Оберіть вашу посаду_3,Ваш тайтл_4,Ваша посада,Ваш тайтл_5,Оберіть вашу посаду_6,Ваш тайтл_7,Ваша посада_8,Ваш тайтл_9,Ваша посада_10,Ваш тайтл_11,Ваша посада_12,Ваш тайтл_13,Ваша посада_14,Ваш тайтл_15,Ваша посада_16,В якій сфері працюєте?,Тип компанії,Кількість спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,У скількох компаніях встигли попрацювати за час ІТ-кар'єри?,"Зарплата у $$$ за місяць, лише ставка після сплати податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Чи отримуєте ви грошові бонуси до зарплати?,Вкажіть суму цього бонуса у $$$ після податків
22/12/2020 17:09,"Так, працюю full-time",Кропивницький,"Частково віддалено, частково в офісі",Жінка,31,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Full-stack,TypeScript,"Java, PHP, Swift","Angular/Angular.js, Spring","Web, Mobile iOS",,,,,,,,,,,,,,,,,,,"E-commerce, Mobile, Travel",Аутсорсингова,до 200,6 років,6 років,1,1110,+280,"Ні, не отримую",
12/12/2020 19:21,"Так, працюю full-time",Хмельницький,В офісі,Чоловік,19,Ще студент,НУ «Львівська політехніка»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,1С,PHP,,"Web, Desktop",,,,,,,,,,,,,,,,,,,ERP,Аутсорсингова,до 50,4 роки,Пів року,3-4,357,70,"Ні, не отримую",
08/12/2020 12:45,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,33,Вища,КНУБА,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,1С,"C#/.NET, C++, Інше",".NET, .NET Core","Desktop, Mobile other",,,,,,,,,,,,,,,,,,,"E-commerce, ERP, Інша",Продуктова,понад 1000,10 і більше років,3 роки,3-4,10000,1000,"Ні, не отримую",
12/12/2020 14:18,"Так, працюю part-time",Львів,Віддалено,Жінка,32,Вища,НУ «Львівська політехніка»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,Ruby,JavaScript,"React.js, Ruby on Rails",Web,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,Лише я,10 і більше років,Пів року,3-4,10000,5500,"Ні, не отримую",
29/12/2020 15:39,"Так, працюю full-time",Запоріжжя,"Частково віддалено, частково в офісі",Чоловік,29,Середня,,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,JavaScript,React.js,Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 50,Пів року,Пів року,1,200,0,"Ні, не отримую",0
29/12/2020 15:51,"Так, працюю full-time",Львів,Віддалено,Чоловік,32,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Full-stack,C++,"C, C++",Qt,Microcontrollers/Embedded/IoT,,,,,,,,,,,,,,,,,,,"Embedded, Hardware, Medtech",Аутсорсингова,понад 1000,2 роки,1 рік,1,1250,0,"Отримую бонус за гарні показники роботи, але нерегулярно",250
17/12/2020 20:33,"Так, працюю full-time",Вінниця,В офісі,Чоловік,22,Ще студент,ДонНУ ім. Василя Стуса,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,Java,"Assembler, Python, SQL","Hibernate, Spring",Web,,,,,,,,,,,,,,,,,,,"Internet of Things, Manufacturing",Продуктова,до 50,1 рік,Пів року,2,360,360,"Ні, не отримую",
29/12/2020 19:34,"Так, працюю full-time",Вінниця,Віддалено,Чоловік,21,Ще студент,ВНТУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Java,Не використовую,graphQL,Web,,,,,,,,,,,,,,,,,,,Security,Аутсорсингова,до 50,Пів року,Пів року,1,200,150,"Ні, не отримую",
07/12/2020 11:37,"Так, працюю part-time",Харків,Віддалено,Чоловік,22,Ще студент,ХНУРЕ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Python,Не використовую,"Apache Spark, Django",Web,,,,,,,,,,,,,,,,,,,"E-commerce, Medtech",Аутсорсингова,до 10 спеціалістів,3 роки,Пів року,5-7,400,-1500,"Ні, не отримую",
23/12/2020 14:23,"Так, працюю full-time",Харків,Віддалено,Чоловік,24,Вища,ХНУРЕ,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,"C#/.NET, Go, TypeScript","ASP.NET, Express, Flutter","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,понад 1000,5 років,1 рік,3-4,10000,5000,"Ні, не отримую",
29/12/2020 15:32,"Так, працюю full-time",Київ,Віддалено,Чоловік,23,Вища,НаУКМА,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,"Go, Haskell",React.js,Web,,,,,,,,,,,,,,,,,,,Інша,Інша,до 200,5 років,3 роки,3-4,10000,5000,Отримую бонус щокварталу,1000
31/12/2020 04:00,"Так, працюю full-time",Київ,Віддалено,Чоловік,30,Вища,КНУ ім. Шевченка,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,JavaScript,React.js,Web,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 10 спеціалістів,9 років,3 роки,3-4,10000,0,"Ні, не отримую",0
07/12/2020 15:25,"Так, працюю full-time",Одеса,Віддалено,Чоловік,30,Середня,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,PHP,"JavaScript, SQL","jQuery, Node.js, Yii",Web,,,,,,,,,,,,,,,,,,,Telecom,Аутсорсингова,до 200,3 роки,Пів року,3-4,400,50,"Ні, не отримую",
28/12/2020 21:05,"Так, працюю full-time",Чернівці,Віддалено,Чоловік,23,Середня,ДНУЗТ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,C,ABAP,Flask,Mobile cross-platform,,,,,,,,,,,,,,,,,,,E-commerce,Стартап,до 200,9 років,7 років,5-7,400,100,Отримую бонус щороку,1000
29/12/2020 15:22,"Ні, тимчасово не працюю",Запоріжжя,Віддалено,Чоловік,35,Вища,ЗНТУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Python,JavaScript,"Django, jQuery, aiohttp",Web,,,,,,,,,,,,,,,,,,,Інша,Інша,до 10 спеціалістів,4 роки,3 роки,2,400,-200,"Ні, не отримую",
08/12/2020 10:31,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,40,Вища,ХАІ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,Full-stack,TypeScript,"C#/.NET, C++, JavaScript",".NET Core, Express, Node.js",Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 1000,10 і більше років,2 роки,5-7,8000,0,"Ні, не отримую",
07/12/2020 10:16,"Так, працюю full-time",Харків,Віддалено,Чоловік,31,Вища,ХНУ ім. Каразіна,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Back-end,C#/.NET,"JavaScript, SQL",".NET, .NET Core, ASP.NET",Web,,,,,,,,,,,,,,,,,,,"Fintech, High Load Systems, Security",Аутсорсингова,понад 1000,7 років,Менше як 3 місяці,3-4,4500,500,"Ні, не отримую",
08/12/2020 20:29,"Так, працюю full-time",Київ,Віддалено,Чоловік,37,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Java,"Groovy, JavaScript",Hibernate,Web,,,,,,,,,,,,,,,,,,,Telecom,Продуктова,Лише я,10 і більше років,2 роки,5-7,9600,1600,"Ні, не отримую",
07/12/2020 17:24,"Так, працюю full-time",Харків,Віддалено,Жінка,30,Вища,НТУ «ХПІ»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,разработчик отчетов,Інше,"Java, SQL, Інше",jasper reports,"Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 1000,2 роки,2 роки,2,420,0,"Ні, не отримую",
29/12/2020 15:20,"Так, я фрилансер",Вінниця,Віддалено,Чоловік,22,Ще студент,ЖДТУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Full-stack,JavaScript,"JavaScript, PHP, Інше","Laravel, Node.js, Vue.js",Web,,,,,,,,,,,,,,,,,,,"Media, Інша",Інша,до 10 спеціалістів,2 роки,2 роки,3-4,1500,1000,Отримую бонус щомісяця,100
07/12/2020 13:04,"Так, працюю full-time",Одеса,"Частково віддалено, частково в офісі",Чоловік,40,Вища,ОНПУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,ERP,1С,Python,,Desktop,,,,,,,,,,,,,,,,,,,"ERP, Logistics",Інша,до 10 спеціалістів,10 і більше років,2 роки,3-4,1550,200,Отримую бонус щороку,2000
22/12/2020 16:25,"Так, працюю full-time",Запоріжжя,В офісі,Чоловік,35,Вища,Інший виш,Elementary,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,PHP,"JavaScript, PHP, SQL","jQuery, Vue.js, WordPress","Web, Desktop",,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 10 спеціалістів,4 роки,Пів року,3-4,450,-150,"Ні, не отримую",
09/12/2020 12:39,"Так, я фрилансер",Київ,Віддалено,Чоловік,34,Вища,НАУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Mobile,Swift,"Kotlin, Objective-C",,Mobile iOS,,,,,,,,,,,,,,,,,,,Mobile,Аутстафінгова,Лише я,7 років,Пів року,5-7,8200,1200,"Ні, не отримую",
07/12/2020 10:35,"Так, працюю full-time",Київ,Віддалено,Чоловік,40,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Scala,Не використовую,,Web,,,,,,,,,,,,,,,,,,,"Data Science, Geospatial, Telecom",Продуктова,до 200,10 і більше років,Пів року,3-4,8000,3000,"Ні, не отримую",
30/12/2020 22:37,"Так, працюю full-time",Вінниця,В офісі,Жінка,27,Дві вищих,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,"JavaScript, SQL","jQuery, Yii2",Web,,,,,,,,,,,,,,,,,,,Blockchain,Продуктова,до 50,3 роки,2 роки,1,450,50,"Ні, не отримую",
07/12/2020 16:16,"Так, працюю part-time",Одеса,В офісі,Чоловік,19,Середня,,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,Rust,"JavaScript, PHP, Rust","jQuery, Laravel, Node.js",Web,,,,,,,,,,,,,,,,,,,"E-commerce, High Load Systems, Manufacturing",Продуктова,до 10 спеціалістів,2 роки,1 рік,2,500,250,Отримую бонус щороку,125
16/12/2020 17:43,"Так, працюю full-time",Львів,Віддалено,Чоловік,21,Ще студент,НУ «Львівська політехніка»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,PHP,"jQuery, Vue.js, WordPress",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 10 спеціалістів,2 роки,2 роки,1,550,200,"Ні, не отримую",
21/12/2020 13:22,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,26,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Scala,Java,,,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 1000,6 років,2 роки,3-4,8000,2000,"Ні, не отримую",
03/01/2021 14:49,"Так, працюю full-time",Інше,"Частково віддалено, частково в офісі",Чоловік,30,Вища,ЖДТУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,"Dart, Python, SQL","Flutter, Yii2","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Інша,Інша,до 10 спеціалістів,3 роки,3 роки,1,562,562,"Ні, не отримую",
29/12/2020 10:48,"Так, працюю full-time",Не Україна,Віддалено,Чоловік,36,Вища,,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Python,Go,Flask,Web,,,,,,,,,,,,,,,,,,,"Data Science, Machine Learning",Стартап,Лише я,10 і більше років,2 роки,5-7,7900,400,Отримую бонус щороку,2000
28/12/2020 16:43,"Так, працюю full-time",Харків,Віддалено,Чоловік,32,Вища,,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,JavaScript,WordPress,Web,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 10 спеціалістів,10 і більше років,4 роки,3-4,7410,300,Отримую бонус щороку,11500
11/12/2020 18:22,"Так, працюю full-time",Одеса,Віддалено,Чоловік,34,Вища,ОНПУ,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Architect,Full-stack,Java,"JavaScript, SQL, TypeScript","jQuery, React.js, Spring",Web,,,,,,,,,,,,,,,,,,,"E-commerce, High Load Systems, Інша",Продуктова,до 200,10 і більше років,2 роки,3-4,7500,0,"Ні, не отримую",
08/12/2020 15:55,"Так, працюю full-time",Черкаси,В офісі,Чоловік,28,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,TypeScript,"React.js, Vue.js",Web,,,,,,,,,,,,,,,,,,,"Internet of Things, Інша",Аутсорсингова,до 50,2 роки,2 роки,1,570,100,Отримую бонус щомісяця,270
24/12/2020 15:54,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,38,Вища,НАУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,PHP,"Express, React.js, Vue.js",Web,,,,,,,,,,,,,,,,,,,Інша,Аутстафінгова,до 50,2 роки,1 рік,2,600,0,"Ні, не отримую",
30/12/2020 22:37,"Ні, тимчасово не працюю",Чернівці,Віддалено,Чоловік,21,Вища,ЧНУ ім. Федьковича,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Mobile,Swift,"Kotlin, Objective-C, Swift",,Mobile iOS,,,,,,,,,,,,,,,,,,,"E-commerce, Mobile, Інша",Аутсорсингова,до 10 спеціалістів,1 рік,1 рік,1,200,0,"Ні, не отримую",0
07/12/2020 10:20,"Так, працюю full-time",Дніпро,"Частково віддалено, частково в офісі",Чоловік,35,Вища,ДНУ ім. Гончара,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Full-stack,C++,"C, Haskell, SQL",,"Web, Desktop, Microcontrollers/Embedded/IoT",,,,,,,,,,,,,,,,,,,"Embedded, Hardware",Продуктова,до 200,10 і більше років,3 роки,3-4,3000,0,"Ні, не отримую",0
07/12/2020 12:45,"Так, працюю full-time",Не Україна,Віддалено,Чоловік,29,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,Не використовую,React.js,Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,Лише я,1 рік,1 рік,2,650,250,Отримую бонус щокварталу,650
07/12/2020 16:59,"Так, працюю full-time",Вінниця,В офісі,Чоловік,23,Вища,ДонНУ ім. Василя Стуса,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,JavaScript,JavaScript,"Express, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,"Media, Mobile",Аутсорсингова,до 50,2 роки,Пів року,3-4,650,400,Отримую бонус щомісяця,100
03/01/2021 15:15,"Так, працюю full-time",Інше,"Частково віддалено, частково в офісі",Чоловік,32,Вища,ЖДТУ,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Full-stack,PHP,"JavaScript, PHP","Joomla, jQuery, WordPress","Web, Desktop",,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 10 спеціалістів,5 років,5 років,1,650,150,Отримую бонус щомісяця,150
07/12/2020 13:20,"Так, працюю full-time",Харків,В офісі,Чоловік,39,Кандидат наук,НТУ «ХПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Mobile,Swift,"C#/.NET, Objective-C",".NET, .NET Core, ASP.NET","Web, Mobile iOS",,,,,,,,,,,,,,,,,,,Mobile,Аутсорсингова,до 50,8 років,8 років,1,1600,0,"Ні, не отримую",
20/12/2020 11:36,"Так, працюю full-time",Львів,Віддалено,Чоловік,31,Дві вищих,НУ «Львівська політехніка»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,TypeScript,"Express, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,Machine Learning,Стартап,до 10 спеціалістів,5 років,Пів року,5-7,7300,-2500,"Ні, не отримую",
07/12/2020 10:23,"Так, працюю full-time",Херсон,Віддалено,Чоловік,32,Вища,Інший виш,Elementary,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,JavaScript,Yii2,Web,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 10 спеціалістів,3 роки,1 рік,3-4,700,200,"Ні, не отримую",
11/12/2020 17:34,"Так, працюю full-time",Львів,Віддалено,Чоловік,34,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,C++,"C, Rust, SQL",,"Desktop, Інша",,,,,,,,,,,,,,,,,,,Security,Продуктова,понад 1000,10 і більше років,6 років,5-7,7200,0,"Ні, не отримую",
07/12/2020 11:58,"Так, працюю full-time",Миколаїв,В офісі,Жінка,23,Вища,Інший виш,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,Front-end,TypeScript,JavaScript,Angular/Angular.js,Web,,,,,,,,,,,,,,,,,,,Інша,Стартап,до 200,2 роки,2 роки,1,1800,1200,"Ні, не отримую",
07/12/2020 11:38,"Так, працюю full-time",Чернівці,Віддалено,Чоловік,32,Дві вищих,ЧНУ ім. Федьковича,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,TypeScript,"Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,"High Load Systems, Інша",Продуктова,до 50,5 років,Менше як 3 місяці,5-7,7100,1100,"Ні, не отримую",
07/12/2020 13:18,"Так, працюю full-time",Київ,Віддалено,Чоловік,39,Вища,НТУ «Дніпровська політехніка»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,PHP,Java,"Spring, Symfony",Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 50,5 років,3 роки,3-4,7100,1000,"Ні, не отримую",
07/12/2020 10:23,"Так, працюю full-time",Київ,Віддалено,Чоловік,26,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Back-end,C#/.NET,"JavaScript, SQL, TypeScript",".NET Core, ASP.NET, React.js",Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,понад 1000,5 років,5 років,1,4335,570,Отримую бонус щороку,950
07/12/2020 19:07,"Так, працюю full-time",Дніпро,"Частково віддалено, частково в офісі",Жінка,22,Вища,ДНУ ім. Гончара,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Mobile,Kotlin,Не використовую,,Mobile Android,,,,,,,,,,,,,,,,,,,"Logistics, Mobile, Travel",Аутсорсингова,до 50,2 роки,1 рік,3-4,700,200,"Ні, не отримую",
08/12/2020 08:09,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,34,Вища,СумДУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Front-end,JavaScript,Не використовую,React.js,Web,,,,,,,,,,,,,,,,,,,"Fintech, Logistics, Telecom",Аутсорсингова,до 200,5 років,2 роки,3-4,700,0,"Ні, не отримую",0
10/12/2020 13:38,"Так, працюю full-time",Київ,Віддалено,Чоловік,21,Вища,НАУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Back-end,PHP,"C++, JavaScript, Python","jQuery, Laravel, Vue.js",Web,,,,,,,,,,,,,,,,,,,Telecom,Продуктова,до 200,2 роки,1 рік,2,700,150,Отримую бонус щокварталу,200
07/12/2020 10:26,"Так, працюю full-time",Київ,Віддалено,Чоловік,25,Вища,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Full-stack,JavaScript,"TypeScript, Інше","Node.js, React.js, React Native","Web, Desktop, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"E-commerce, ERP, Fintech",Аутсорсингова,до 200,6 років,4 роки,2,5000,1000,Отримую бонус щомісяця,700
