"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Пол","Возраст","Образование","Уровень.английского","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"32",NA,"Верстальщик","","","1.75","1",800,300,"Киев","до 10 человек","мужской",22,"Высшее","ниже среднего","20/05/2013 13:28:21","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31",1.75,1,"Киев",800,NA,""
"33",NA,"Senior QA engineer","","Manual QA","3","1",2800,800,"Киев","свыше 1000 человек","мужской",26,"Высшее","выше среднего","20/05/2013 13:28:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",3,1,"Киев",2800,NA,"QA"
"34",NA,"Software Engineer","Java (Android)","","3","1.75",2500,0,"Одесса","до 200 человек","мужской",26,"Высшее","средний","20/05/2013 13:28:42","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",3,1.75,"other",2500,NA,"DEV"
"35",NA,"Senior Software Engineer","Java","","5","2",2046,0,"Киев","до 200 человек","мужской",28,"Высшее","средний","20/05/2013 13:28:53","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0",5,2,"Киев",2046,NA,"DEV"
"36",NA,"Team lead","","","4","1.5",2650,150,"Севастополь","до 200 человек","мужской",24,"Высшее","выше среднего","20/05/2013 13:29:10","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",4,1.5,"other",2650,NA,"PM"
"37",NA,"Technical Lead","PHP","","6.5","3",1600,600,"Чернигов","до 50 человек","мужской",29,"Высшее","выше среднего","20/05/2013 13:29:11","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",6.5,3,"other",1600,NA,"SDEV"
"38",NA,"Senior Software Engineer","C#/.NET","","8","1.5",3850,350,"Киев","до 50 человек","мужской",29,"Высшее","продвинутый","20/05/2013 13:29:20","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0",8,1.5,"Киев",3850,NA,"DEV"
"39",NA,"Senior Software Engineer","Java (Android)","","6.5","2.5",2400,300,"Днепр.","до 50 человек","мужской",27,"Высшее","средний","20/05/2013 13:29:26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",6.5,2.5,"Днепр.",2400,NA,"DEV"
"40",NA,"Technical Lead","PHP","","6","1",4000,0,"Киев","до 10 человек","мужской",26,"Высшее","выше среднего","20/05/2013 13:29:30","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",6,1,"Киев",4000,NA,"SDEV"
"41",NA,"Senior QA engineer","","Automation QA","3","0.25",2500,300,"Киев","до 200 человек","мужской",26,"Незаконченное высшее","выше среднего","20/05/2013 13:29:33","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",3,0.25,"Киев",2500,NA,"QA"
"42",NA,"Software Engineer","Delphi","","10 и более лет","1.5",2300,200,"Киев","до 200 человек","мужской",31,"Высшее","выше среднего","20/05/2013 13:29:34","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",10,1.5,"Киев",2300,NA,"DEV"
"43",NA,"QA engineer","","Manual QA","4.5","3.5",1500,250,"Харьков","до 200 человек","мужской",27,"Высшее","ниже среднего","20/05/2013 13:29:36","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",4.5,3.5,"Харьков",1500,NA,"QA"
"44",NA,"Senior Software Engineer","Objective-C","","3","0.25",3000,1750,"Киев","до 10 человек","мужской",25,"Высшее","ниже среднего","20/05/2013 13:29:41","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",3,0.25,"Киев",3000,NA,"DEV"
"45",NA,"Team lead","","","5","1.25",2000,200,"Одесса","свыше 1000 человек","мужской",29,"Незаконченное высшее","выше среднего","20/05/2013 13:29:50","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0",5,1.25,"other",2000,NA,"PM"
"46",NA,"Software Engineer","C++","","2.5","0.75",1425,500,"Киев","до 200 человек","мужской",24,"Высшее","ниже среднего","20/05/2013 13:29:50","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:20.0) Gecko/20100101 Firefox/20.0",2.5,0.75,"Киев",1425,NA,"DEV"
"47",NA,"Junior Software Engineer","Java (Android)","","0.5","0.5",500,0,"Киев","до 10 человек","мужской",20,"Незаконченное высшее","средний","20/05/2013 13:29:53","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",0.5,0.5,"Киев",500,NA,"DEV"
"48",NA,"Senior Software Engineer","C#/.NET","","7","3",3800,1000,"Симферополь","до 10 человек","мужской",27,"Высшее","средний","20/05/2013 13:29:55","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",7,3,"other",3800,NA,"DEV"
"49",NA,"Software Engineer","PHP","","5","2",1700,300,"Харьков","до 10 человек","мужской",29,"Высшее","выше среднего","20/05/2013 13:29:57","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.2.17) Gecko/20110420 Firefox/3.6.17",5,2,"Харьков",1700,NA,"DEV"
"50",NA,"Software Engineer","PHP","","4","3",1375,500,"Киев","до 10 человек","мужской",25,"Высшее","средний","20/05/2013 13:29:57","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",4,3,"Киев",1375,NA,"DEV"
"51",NA,"Junior Software Engineer","PHP","","1.25","меньше 3 месяцев",338,150,"Сумы","до 50 человек","мужской",22,"Незаконченное высшее","ниже среднего","20/05/2013 13:30:07","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:20.0) Gecko/20100101 Firefox/20.0",1.25,0,"other",338,NA,"DEV"
"52",NA,"Technical Lead","JavaScript","","6","1.5",4000,0,"Киев","до 10 человек","мужской",27,"Высшее","выше среднего","20/05/2013 13:30:19","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",6,1.5,"Киев",4000,NA,"SDEV"
"53",NA,"Senior Software Engineer","Ruby/Rails","","4","2",3100,500,"Днепр.","до 50 человек","мужской",25,"Высшее","средний","20/05/2013 13:30:22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:24.0) Gecko/20130519 Firefox/24.0",4,2,"Днепр.",3100,NA,"DEV"
"54",NA,"Senior Project Manager / Program Manager","","","4.5","1.75",3800,800,"Киев","свыше 1000 человек","мужской",27,"Два высших","продвинутый","20/05/2013 13:30:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",4.5,1.75,"Киев",3800,NA,"SPM"
"55",NA,"Senior Software Engineer","Python","","2.5","0.5",3000,500,"Киев","до 200 человек","мужской",26,"Высшее","выше среднего","20/05/2013 13:30:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",2.5,0.5,"Киев",3000,NA,"DEV"
"56",NA,"QA engineer","","Automation QA","6.5","0.75",2400,200,"Киев","свыше 1000 человек","мужской",28,"Высшее","средний","20/05/2013 13:30:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",6.5,0.75,"Киев",2400,NA,"QA"
"57",NA,"Project manager","","","1.75","1.75",400,0,"Донецк","до 10 человек","мужской",24,"Незаконченное высшее","ниже среднего","20/05/2013 13:30:38","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",1.75,1.75,"other",400,NA,"PM"
"58",NA,"Software Engineer","C#/.NET","","4","1",2200,200,"Киев","свыше 1000 человек","мужской",27,"Высшее","выше среднего","20/05/2013 13:30:45","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0",4,1,"Киев",2200,NA,"DEV"
"59",NA,"Software Engineer","PHP","","2.5","1",350,1,"Хмельницкий","до 10 человек","мужской",22,"Высшее","элементарный","20/05/2013 13:30:57","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",2.5,1,"other",350,NA,"DEV"
"60",NA,"Software Engineer","Java","","2","2",1200,600,"Одесса","свыше 1000 человек","мужской",25,"Высшее","средний","20/05/2013 13:30:59","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",2,2,"other",1200,NA,"DEV"
"61",NA,"Software Engineer","C#/.NET","","2.5","0.25",1700,0,"Днепр.","до 1000 человек","мужской",24,"Высшее","средний","20/05/2013 13:31:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",2.5,0.25,"Днепр.",1700,NA,"DEV"
"62",NA,"Senior Software Engineer","Java","","5","2",4500,500,"Киев","до 50 человек","мужской",25,"Высшее","выше среднего","20/05/2013 13:31:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",5,2,"Киев",4500,NA,"DEV"
"63",NA,"Software Engineer","JavaScript","","5","4",1400,0,"Харьков","до 1000 человек","мужской",24,"Высшее","ниже среднего","20/05/2013 13:31:24","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",5,4,"Харьков",1400,NA,"DEV"
"64",NA,"Senior Software Engineer","Java (Android)","","5.5","1.25",3420,200,"Киев","до 1000 человек","мужской",25,"Высшее","выше среднего","20/05/2013 13:31:25","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",5.5,1.25,"Киев",3420,NA,"DEV"
"65",NA,"Software Engineer","Java","","2.5","1.5",2050,250,"Львов","до 50 человек","мужской",31,"Кандидат","средний","20/05/2013 13:31:33","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",2.5,1.5,"Львов",2050,NA,"DEV"
"66",NA,"Software Engineer","Python","","3","2.5",1600,200,"Киев","до 10 человек","мужской",25,"Высшее","средний","20/05/2013 13:31:34","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",3,2.5,"Киев",1600,NA,"DEV"
"67",NA,"Верстальщик","JavaScript","","2","0.25",1300,600,"Киев","до 200 человек","мужской",21,"Незаконченное высшее","средний","20/05/2013 13:31:39","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",2,0.25,"Киев",1300,NA,""
"68",NA,"Senior Software Engineer","Objective-C","","10 и более лет","1.25",3500,0,"Киев","до 10 человек","мужской",37,"Высшее","элементарный","20/05/2013 13:31:41","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:21.0) Gecko/20100101 Firefox/21.0",10,1.25,"Киев",3500,NA,"DEV"
"69",NA,"Senior QA engineer","","Manual QA","3","2",1800,600,"Киев","свыше 1000 человек","женский",22,"Незаконченное высшее","выше среднего","20/05/2013 13:31:42","Mozilla/5.0 (Windows NT 5.1; rv:20.0) Gecko/20100101 Firefox/20.0",3,2,"Киев",1800,NA,"QA"
"70",NA,"Системный администратор","","","10 и более лет","3",1900,200,"Днепр.","до 10 человек","мужской",40,"Высшее","выше среднего","20/05/2013 13:31:49","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0",10,3,"Днепр.",1900,NA,"ADM"
"71",NA,"Гейм-дизайнер","","","5","3",800,0,"Одесса","до 1000 человек","мужской",27,"Два высших","продвинутый","20/05/2013 13:32:01","Mozilla/5.0 (Windows NT 5.1; rv:20.0) Gecko/20100101 Firefox/20.0",5,3,"other",800,NA,""
"72",NA,"Junior Software Engineer","PHP","","9","0.5",1200,500,"Полтава","до 50 человек","мужской",27,"Два высших","выше среднего","20/05/2013 13:32:23","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31",9,0.5,"other",1200,NA,"DEV"
"73",NA,"Senior Software Engineer","PHP","","4","2",2500,0,"Днепр.","до 10 человек","мужской",29,"Высшее","ниже среднего","20/05/2013 13:32:31","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31",4,2,"Днепр.",2500,NA,"DEV"
"74",NA,"Project manager","","","7.5","3.5",3000,500,"Киев","до 200 человек","мужской",30,"Высшее","выше среднего","20/05/2013 13:32:43","Mozilla/5.0 (Windows NT 6.1; rv:20.0) Gecko/20100101 Firefox/20.0",7.5,3.5,"Киев",3000,NA,"PM"
"75",NA,"Software Engineer","PHP","","3","1",1900,500,"Донецк","свыше 1000 человек","мужской",27,"Высшее","ниже среднего","20/05/2013 13:32:45","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31",3,1,"other",1900,NA,"DEV"
"76",NA,"Software Engineer","PHP","","2","2",500,0,"Ивано-Франковск","до 10 человек","мужской",23,"Высшее","ниже среднего","20/05/2013 13:32:47","Opera/9.80 (X11; Linux x86_64) Presto/2.12.388 Version/12.15",2,2,"other",500,NA,"DEV"
"77",NA,"QA engineer","","Manual QA","2.5","меньше 3 месяцев",1425,500,"Одесса","до 200 человек","женский",22,"Незаконченное высшее","продвинутый","20/05/2013 13:33:08","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",2.5,0,"other",1425,NA,"QA"
"78",NA,"Software Engineer","Java","","2.5","2.5",2000,300,"Киев","до 200 человек","мужской",23,"Высшее","средний","20/05/2013 13:33:14","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15",2.5,2.5,"Киев",2000,NA,"DEV"
"79",NA,"Senior Software Engineer","PHP","","4.5","3.5",2200,200,"Харьков","до 50 человек","мужской",27,"Высшее","средний","20/05/2013 13:33:21","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22",4.5,3.5,"Харьков",2200,NA,"DEV"
"80",NA,"Senior Software Engineer","JavaScript","","1","5",2500,500,"Херсон","до 50 человек","мужской",31,"Высшее","средний","20/05/2013 13:33:43","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/536.29.13 (KHTML, like Gecko) Version/6.0.4 Safari/536.29.13",1,5,"other",2500,NA,"DEV"
"81",NA,"Software Engineer","PHP","","1.5","1.5",600,200,"Донецк","до 50 человек","мужской",23,"Высшее","ниже среднего","20/05/2013 13:33:51","Opera/9.80 (X11; Linux x86_64; Edition Linux Mint) Presto/2.12.388 Version/12.15",1.5,1.5,"other",600,NA,"DEV"
"82",NA,"Senior QA engineer","","Manual QA","6","1",2500,200,"Киев","до 1000 человек","мужской",28,"Два высших","средний","20/05/2013 13:33:55","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",6,1,"Киев",2500,NA,"QA"
"83",NA,"Software Engineer","Java (Android)","","3","меньше 3 месяцев",2000,0,"Киев","до 50 человек","мужской",29,"Высшее","элементарный","20/05/2013 13:34:08","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0",3,0,"Киев",2000,NA,"DEV"
