,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Пол,Возраст,Образование,Уровень английского,Дата заполнения,User-Agent
,Project manager,,,3,1.25,4000,0,Одесса,до 200 человек,m,34,Два высших,выше среднего,20/05/2013 13:34:15,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:21.0) Gecko/20100101 Firefox/21.0
,Системный администратор,,,3,3,200,100,Львов,до 10 человек,m,21,Незаконченное высшее,ниже среднего,20/05/2013 13:34:18,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Junior QA engineer,,Manual QA,0.75,0.75,700,400,Киев,свыше 1000 человек,m,22,Высшее,средний,20/05/2013 13:34:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Java,,6,1.5,2900,200,Киев,до 1000 человек,m,28,Высшее,продвинутый,20/05/2013 13:34:47,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0
,Senior Software Engineer,Flex/Flash/AIR,,1.75,1,3000,1000,Киев,до 50 человек,m,22,Незаконченное высшее,выше среднего,20/05/2013 13:34:49,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,JavaScript,,6.5,0.5,2700,1700,Львов,до 10 человек,m,25,Незаконченное высшее,выше среднего,20/05/2013 13:34:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Senior Software Engineer,JavaScript,,7,5.5,2500,0,Киев,до 50 человек,m,32,Высшее,средний,20/05/2013 13:35:01,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Project Manager / Program Manager,,,10 и более лет,7,4100,0,Киев,свыше 1000 человек,m,40,Высшее,выше среднего,20/05/2013 13:35:01,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; ASU2JS)
,QA Tech Lead,,General QA,9,5,1200,0,Николаев,свыше 1000 человек,m,29,Высшее,выше среднего,20/05/2013 13:35:02,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,C#/.NET,,2.5,2.5,1500,700,Харьков,до 200 человек,m,24,Высшее,средний,20/05/2013 13:35:03,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Python,,7,0.25,2500,0,Львов,свыше 1000 человек,m,28,Кандидат,выше среднего,20/05/2013 13:35:05,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
,Senior Software Engineer,JavaScript,,5,0.5,3000,1500,Одесса,до 50 человек,m,27,Высшее,элементарный,20/05/2013 13:35:10,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,Java,,2,0.25,2000,600,Киев,до 1000 человек,m,22,Незаконченное высшее,средний,20/05/2013 13:35:22,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Software Engineer,PHP,,5,3,1600,0,Харьков,до 10 человек,m,23,Среднее,средний,20/05/2013 13:35:39,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Java,,3,1,2800,0,Одесса,до 200 человек,m,25,Высшее,выше среднего,20/05/2013 13:35:39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/536.29.13 (KHTML, like Gecko) Version/6.0.4 Safari/536.29.13"
,Senior Software Engineer,JavaScript,,2.5,1.75,3300,1500,Киев,до 1000 человек,m,27,Высшее,выше среднего,20/05/2013 13:35:40,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31"
,Senior Software Engineer,Java,,7,1.5,3325,500,Киев,до 200 человек,m,25,Высшее,выше среднего,20/05/2013 13:35:45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
,Software Engineer,C#/.NET,,6,2,1700,400,Киев,свыше 1000 человек,m,26,Незаконченное высшее,средний,20/05/2013 13:35:46,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
