,Возраст,Пол,Должность,Образование,Язык программирования,Индустрия,Предметная область,Доп. специализация,Общий опыт работы,Опыт работы на текущем месте,Средняя зарплата в месяц,Валюта,Годовые премии и бонусы,Валюта,Размер компании,Город,Уровень английского,Дата заполнения,User-Agent
,23,m,Junior Software Engineer,Незаконченное высшее,C#/.NET,Нету,,,3,3,850,d,0,d,до 1000 человек,Львов,средний,13/12/2011 13:44:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,26,m,Senior Software Engineer,Высшее,C++,Нету,,,5,1,2400,d,0,d,до 200 человек,Одесса,выше среднего,13/12/2011 13:44:28,"Mozilla/5.0 (Windows NT 5.2; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,24,f,Junior QA engineer,Высшее,,Нету,,Manual QA,1.5,1.5,1000,d,0,d,до 100 человек,Киев,выше среднего,13/12/2011 13:44:29,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0
,22,m,Software Engineer,Высшее,Java,Нету,,,4,2,3000,d,0,d,до 10 человек,Киев,средний,13/12/2011 13:44:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,23,m,Software Engineer,Высшее,PHP,Нету,,,3,2.5,900,d,0,d,до 200 человек,Харьков,средний,13/12/2011 13:44:57,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,22,m,QA engineer,Высшее,,Нету,,Automation QA,1,1,1200,d,0,d,до 100 человек,Киев,средний,13/12/2011 13:45:02,Mozilla/5.0 (Windows NT 6.1; rv:8.0) Gecko/20100101 Firefox/8.0
,23,m,Director of Engineering / Program Director,Высшее,,Нету,,,4,3.5,2000,d,0,d,до 50 человек,Донецк,продвинутый,13/12/2011 13:45:02,Opera/9.80 (Macintosh; Intel Mac OS X 10.7.2; U; en) Presto/2.10.229 Version/11.60
,25,m,Системный администратор,Высшее,,Нету,,,5,1,2500,d,3600,d,до 100 человек,Киев,продвинутый,13/12/2011 13:45:05,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0
,25,m,Software Engineer,Высшее,Objective-C,Нету,,,1,1,1200,d,0,d,до 100 человек,Днепропетровск,средний,13/12/2011 13:45:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,24,m,Верстальщик,Незаконченное высшее,,Нету,,,4,меньше 3 месяцев,8000,h,0,d,до 50 человек,Киев,средний,13/12/2011 13:45:08,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.106 Safari/535.2"
,24,m,Senior Software Engineer,Незаконченное высшее,Java,Нету,,,3,5,2000,d,4000,d,до 1000 человек,Днепропетровск,выше среднего,13/12/2011 13:45:45,Mozilla/5.0 (Ubuntu; X11; Linux i686; rv:8.0) Gecko/20100101 Firefox/8.0
,26,m,Senior Project Manager / Program Manager,Высшее,,Нету,,,4,0.5,3200,d,0,d,до 50 человек,Харьков,ниже среднего,13/12/2011 13:45:57,Opera/9.80 (Windows NT 6.1; U; ru) Presto/2.10.229 Version/11.60
,21,m,QA engineer,Высшее,,Нету,,Automation QA,0.75,0.25,1300,d,0,d,до 1000 человек,Киев,выше среднего,13/12/2011 13:45:59,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,20,m,Technical Lead,Незаконченное высшее,PHP,Нету,,,2.5,0.75,1700,d,0,d,до 10 человек,Севастополь,элементарный,13/12/2011 13:46:07,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30"
,22,m,Software Engineer,Высшее,Java,Нету,,,1.25,1.25,1600,d,0,d,до 100 человек,Киев,средний,13/12/2011 13:46:22,Opera/9.80 (Windows NT 6.1; U; en) Presto/2.10.229 Version/11.60
,31,m,Project manager,Высшее,,Нету,,,3,1.5,1000,d,1500,d,до 10 человек,Киев,ниже среднего,13/12/2011 13:46:24,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,28,m,Senior Software Engineer,Высшее,Java,Нету,,,6,4,2700,d,600,d,до 1000 человек,Киев,средний,13/12/2011 13:46:26,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0.1) Gecko/20100101 Firefox/8.0.1
,23,m,Senior Project Manager / Program Manager,Высшее,,Нету,,,2.5,1.5,2000,d,4000,d,до 100 человек,Днепропетровск,продвинутый,13/12/2011 13:46:35,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,24,m,QA engineer,Незаконченное высшее,,Нету,,Manual QA,1,меньше 3 месяцев,600,d,0,d,до 100 человек,Киев,выше среднего,13/12/2011 13:46:57,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0.1) Gecko/20100101 Firefox/8.0.1
,26,m,Senior Software Engineer,Высшее,C#/.NET,Нету,,,5,4,2100,d,0,d,до 200 человек,Харьков,выше среднего,13/12/2011 13:47:03,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7"
,25,m,Системный администратор,Высшее,,Нету,,,5,0.5,2500,d,6000,d,до 100 человек,Киев,продвинутый,13/12/2011 13:47:08,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7"
,25,m,Software Engineer,Высшее,Delphi,Нету,,,3.5,1.75,1300,d,600,d,до 50 человек,Киев,средний,13/12/2011 13:47:09,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,29,m,Senior Software Engineer,Высшее,PHP,Нету,,,8,3.5,2700,d,0,d,до 10 человек,Ивано-Франковск,выше среднего,13/12/2011 13:47:23,Opera/9.80 (X11; Linux i686; U; uk) Presto/2.9.168 Version/11.52
,27,m,Senior Software Engineer,Высшее,C#/.NET,Нету,,,6.5,0.5,2600,d,0,d,до 200 человек,Харьков,выше среднего,13/12/2011 13:47:29,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,28,m,DBA / Администратор баз данных,Высшее,,Нету,,,5,2.5,3600,d,1200,d,до 1000 человек,Киев,продвинутый,13/12/2011 13:47:38,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,25,m,Senior QA engineer,Высшее,,Нету,,Manual QA,4,меньше 3 месяцев,1200,d,0,d,до 100 человек,Днепропетровск,выше среднего,13/12/2011 13:47:54,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,24,m,Senior Software Engineer,Среднее,Objective-C,Нету,,,5.5,1.75,2100,d,0,d,до 10 человек,Днепропетровск,выше среднего,13/12/2011 13:48:03,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,23,m,Software Engineer,Высшее,C#/.NET,Нету,,,2,0.5,1200,d,0,d,до 1000 человек,Киев,средний,13/12/2011 13:48:09,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,39,m,Director of Engineering / Program Director,Высшее,,Нету,,,10 и более лет,10 и более лет,2000,d,2000,d,до 10 человек,Киев,средний,13/12/2011 13:48:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.106 Safari/535.2"
,23,m,Software Engineer,Высшее,PHP,Нету,,,2,0.75,1850,d,0,d,до 200 человек,Киев,ниже среднего,13/12/2011 13:48:13,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,22,m,Дизайнер,Высшее,,Нету,,,0.5,меньше 3 месяцев,300,d,50,d,до 10 человек,Винница,ниже среднего,13/12/2011 13:48:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,23,m,Team lead,Незаконченное высшее,,Нету,,,2.5,1,900,d,0,d,до 50 человек,Киев,выше среднего,13/12/2011 13:48:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.6 Safari/535.11"
,27,m,Senior Project Manager / Program Manager,Высшее,,Нету,,,3.5,5,2000,d,0,d,до 100 человек,Харьков,выше среднего,13/12/2011 13:48:30,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,28,m,Technical Lead,Высшее,PHP,Нету,,,8,6,2200,d,1000,d,до 200 человек,Харьков,средний,13/12/2011 13:48:51,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7"
,23,m,Senior Software Engineer,Высшее,Ruby/Rails,Нету,,,3,2,2000,d,0,d,до 50 человек,Киев,средний,13/12/2011 13:49:04,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,34,m,Director of Engineering / Program Director,Высшее,,Нету,,,10 и более лет,3,3000,d,0,d,до 10 человек,Киев,продвинутый,13/12/2011 13:49:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,23,m,Junior Software Engineer,Высшее,Objective-C,Нету,,,3,меньше 3 месяцев,700,d,0,d,до 50 человек,Чернигов,элементарный,13/12/2011 13:49:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,23,m,Senior Software Engineer,Высшее,Objective-C,Нету,,,2.5,меньше 3 месяцев,3500,d,0,d,до 50 человек,Киев,выше среднего,13/12/2011 13:49:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.51.22 (KHTML, like Gecko) Version/5.1.1 Safari/534.51.22"
,22,f,Junior Software Engineer,Высшее,Java,Нету,,,0.25,0.25,600,d,600,d,до 1000 человек,Днепропетровск,средний,13/12/2011 13:50:19,Mozilla/5.0 (X11; Linux x86_64; rv:7.0.1) Gecko/20100101 Firefox/7.0.1
,27,m,Software Engineer,Высшее,C++,Нету,,,6,1,2500,d,0,d,до 200 человек,Киев,средний,13/12/2011 13:50:42,Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0
,23,f,Технический писатель,Высшее,,Нету,,,2,0.25,1000,d,0,d,до 100 человек,Днепропетровск,продвинутый,13/12/2011 13:50:55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,25,m,Software Engineer,Высшее,C#/.NET,Нету,,,4,0.75,2100,d,0,d,до 100 человек,Львов,выше среднего,13/12/2011 13:51:10,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,20,m,Software Engineer,Незаконченное высшее,PHP,Нету,,,1.5,1.5,4000,h,0,d,до 50 человек,Львов,средний,13/12/2011 13:51:14,Opera/9.80 (Windows NT 6.1; U; en) Presto/2.10.229 Version/11.60
,29,m,QA engineer,Высшее,,Нету,,General QA,1.75,1.75,1000,d,400,d,до 50 человек,Харьков,средний,13/12/2011 13:51:18,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0.1) Gecko/20100101 Firefox/8.0.1
,30,m,Senior Software Engineer,Высшее,PHP,Нету,,,5,0.75,2000,d,200,d,до 50 человек,Киев,ниже среднего,13/12/2011 13:51:22,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,30,m,Team lead,Незаконченное высшее,,Нету,,,10 и более лет,4,3000,d,0,d,до 50 человек,Харьков,выше среднего,13/12/2011 13:51:37,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,23,m,Senior Software Engineer,Высшее,C#/.NET,Нету,,,4.5,0.25,2500,d,0,d,до 1000 человек,Киев,выше среднего,13/12/2011 13:51:46,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,26,m,Верстальщик,Высшее,,Нету,,,4,3.5,1400,d,300,d,до 100 человек,Харьков,ниже среднего,13/12/2011 13:51:51,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0
,22,m,Software Engineer,Незаконченное высшее,Objective-C,Нету,,,1.25,0.25,1800,d,100,d,до 50 человек,Киев,выше среднего,13/12/2011 13:51:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7"
,27,m,Team lead,Высшее,,Нету,,,7,меньше 3 месяцев,4000,d,0,d,до 1000 человек,Киев,продвинутый,13/12/2011 13:51:57,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7"
,23,m,Software Engineer,Высшее,Objective-C,Нету,,,1.25,меньше 3 месяцев,2000,d,0,d,до 10 человек,Киев,выше среднего,13/12/2011 13:52:23,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7"
,24,m,Junior Software Engineer,Высшее,Java,Нету,,,2,0.5,3600,h,0,d,до 50 человек,Чернигов,продвинутый,13/12/2011 13:52:26,Mozilla/5.0 (Ubuntu; X11; Linux i686; rv:8.0) Gecko/20100101 Firefox/8.0
,23,m,Системный администратор,Высшее,,Нету,,,5,меньше 3 месяцев,1500,d,0,d,до 50 человек,Днепропетровск,ниже среднего,13/12/2011 13:52:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,25,m,Software Engineer,Высшее,C#/.NET,Нету,,,3,1.75,1300,d,0,d,до 100 человек,Харьков,выше среднего,13/12/2011 13:53:01,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0
,36,m,Team lead,Высшее,,Нету,,,10 и более лет,3.5,2900,d,1500,d,до 50 человек,Одесса,продвинутый,13/12/2011 13:53:19,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.2 Safari/535.11"
,26,m,Software Engineer,Незаконченное высшее,C#/.NET,Нету,,,6.5,1,2000,d,0,d,до 1000 человек,Львов,средний,13/12/2011 13:53:22,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,26,m,Senior Software Engineer,Высшее,JavaScript,Нету,,,меньше 3 месяцев,5,4000,d,0,d,до 10 человек,Киев,выше среднего,13/12/2011 13:53:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,29,m,Senior Software Engineer,Высшее,C#/.NET,Нету,,,6,4,3000,d,0,d,до 200 человек,Киев,средний,13/12/2011 13:53:34,Opera/9.80 (Windows NT 6.1; U; en) Presto/2.10.229 Version/11.60
,24,m,Senior Software Engineer,Высшее,Python,Нету,,,2.5,1,2000,d,0,d,до 10 человек,Киев,выше среднего,13/12/2011 13:53:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,22,m,Junior Software Engineer,Незаконченное высшее,Ruby/Rails,Нету,,,меньше 3 месяцев,меньше 3 месяцев,500,d,200,d,до 50 человек,Харьков,выше среднего,13/12/2011 13:54:09,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,28,m,Software Engineer,Высшее,Ruby/Rails,Нету,,,1.5,0.5,1400,d,0,d,до 100 человек,Львов,выше среднего,13/12/2011 13:54:17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,31,m,Senior Software Engineer,Высшее,Perl,Нету,,,9,4,4500,d,0,d,до 100 человек,Киев,продвинутый,13/12/2011 13:54:31,Mozilla/5.0 (Ubuntu; X11; Linux i686; rv:8.0) Gecko/20100101 Firefox/8.0
,21,m,Senior Software Engineer,Среднее,Perl,Нету,,,4,0.5,1500,d,0,d,до 10 человек,Киев,продвинутый,13/12/2011 13:54:33,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:8.0.1) Gecko/20100101 Firefox/8.0.1
,26,m,Системный администратор,Высшее,,Нету,,,3,3,240,d,280,d,до 10 человек,Черновцы,выше среднего,13/12/2011 13:54:41,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,28,m,Technical Lead,Высшее,Java,Нету,,,8,1.25,3600,d,0,d,до 200 человек,Киев,продвинутый,13/12/2011 13:55:01,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0.1) Gecko/20100101 Firefox/8.0.1
,23,m,Senior Software Engineer,Высшее,JavaScript,Нету,,,4.5,0.25,2000,d,0,d,до 200 человек,Днепропетровск,средний,13/12/2011 13:55:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,28,m,Senior Software Engineer,Высшее,Java,Нету,,,5,0.5,3000,d,0,d,до 200 человек,Киев,выше среднего,13/12/2011 13:55:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,23,m,Senior Software Engineer,Высшее,C#/.NET,Нету,,,4,3,2500,d,1000,d,до 50 человек,Киев,выше среднего,13/12/2011 13:55:43,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,19,m,Software Engineer,Незаконченное высшее,C,Нету,,,1.75,0.5,4000,d,500,d,до 50 человек,Киев,продвинутый,13/12/2011 13:56:07,Mozilla/5.0 (X11; Linux x86_64; rv:7.0.1) Gecko/20100101 Firefox/7.0.1
,24,m,Software Engineer,Высшее,Java,Нету,,,2.5,0.25,5000,h,0,d,до 50 человек,Киев,средний,13/12/2011 13:56:36,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Ubuntu/11.10 Chromium/14.0.835.202 Chrome/14.0.835.202 Safari/535.1"
,27,m,Senior Software Engineer,Высшее,C#/.NET,Нету,,,5,4,2000,d,0,d,до 50 человек,Херсон,средний,13/12/2011 13:56:46,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.2 Safari/535.11"
,25,m,Technical Lead,Высшее,Objective-C,Нету,,,6,6,2650,d,0,d,до 200 человек,Киев,продвинутый,13/12/2011 13:57:09,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,27,m,Team lead,Высшее,,Нету,,,6,3,2600,d,3200,d,до 1000 человек,Киев,продвинутый,13/12/2011 13:57:11,Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0
,29,m,Senior Software Engineer,Высшее,C++,Нету,,,6,2,1450,d,300,d,до 200 человек,Львов,ниже среднего,13/12/2011 13:57:16,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0
,29,m,Technical Lead,Высшее,C++,Нету,,,6,3.5,2700,d,0,d,до 10 человек,Днепропетровск,выше среднего,13/12/2011 13:57:32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0
,27,m,Senior Software Engineer,Высшее,Java,Нету,,,2,0.75,3000,d,0,d,до 200 человек,Киев,ниже среднего,13/12/2011 13:57:54,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,33,m,Senior Project Manager / Program Manager,Высшее,,Нету,,,8.5,6,3300,d,0,d,до 1000 человек,Харьков,выше среднего,13/12/2011 13:58:04,Opera/9.80 (Windows NT 6.1; U; Edition Ukraine Local; en) Presto/2.10.229 Version/11.60
,28,m,Software Engineer,Высшее,C#/.NET,Нету,,,6.5,5,7700,h,1500,h,до 100 человек,Донецк,ниже среднего,13/12/2011 13:58:08,Mozilla/5.0 (Windows NT 6.1; rv:8.0.1) Gecko/20100101 Firefox/8.0.1
,23,m,Software Engineer,Высшее,Python,Нету,,,2,1.5,3000,h,0,d,до 10 человек,Днепропетровск,средний,13/12/2011 13:58:31,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,22,m,Дизайнер,Высшее,,Нету,,,4,1,1400,d,200,d,до 10 человек,Киев,выше среднего,13/12/2011 13:58:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7"
,27,m,Senior Software Engineer,Высшее,C#/.NET,Нету,,,4.5,2,2300,d,0,d,до 200 человек,Львов,средний,13/12/2011 13:59:01,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
,25,m,Software Engineer,Среднее,PHP,Нету,,,3.5,0.5,1500,d,0,d,до 10 человек,Киев,средний,13/12/2011 13:59:02,Opera/9.80 (X11; Linux x86_64; U; Opera Next; uk) Presto/2.8.131 Version/11.50
