Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,"Зарплата в месяц",Изменение зарплаты,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
Junior Software Engineer,Java,,0.5,0.5,800,0,Другой,до 200 человек,Аутсорсинговая,m,21,Высшее,True,выше среднего,Android,18/05/2015 10:00:10,"Mozilla/5.0 (Linux; Android 5.1.1; Nexus 10 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.111 Safari/537.36"
Software Engineer,JavaScript,,1,меньше 3 месяцев,1200,200,Киев,до 1000 человек,Аутсорсинговая,m,25,Высшее,False,выше среднего,Веб-разработка,18/05/2015 10:00:15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
Senior Software Engineer,1С,,7,5,500,-500,Днепропетровск,до 10 человек,Другая,m,28,Высшее,False,ниже среднего,"Desktop Applications,Корпоративные системы",18/05/2015 10:00:16,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Senior Software Engineer,Python,,6,меньше 3 месяцев,2880,1680,Киев,свыше 1000 человек,Аутсорсинговая,m,27,Высшее,False,продвинутый,"Мультимедиа,Другое",18/05/2015 10:00:37,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36"
QA engineer,,General QA,3,1.5,1200,200,Одесса,до 50 человек,Аутсорсинговая,m,24,Два высших,False,средний,"Веб-разработка,eCommerce",18/05/2015 10:00:39,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:37.0) Gecko/20100101 Firefox/37.0
Senior Software Engineer,JavaScript,,4,0.5,2900,600,Киев,до 1000 человек,Продуктовая,m,23,Высшее,False,средний,Веб-разработка,18/05/2015 10:00:41,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Системный администратор,,,5,3,286,44,Днепропетровск,до 200 человек,Другая,m,30,Высшее,False,средний,"Телекоммуникации,Корпоративные системы",18/05/2015 10:01:04,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36"
Team lead,,,10 и более лет,9,4080,100,Киев,до 50 человек,Аутстаффинговая,m,34,Высшее,False,продвинутый,"Desktop Applications,Корпоративные системы",18/05/2015 10:01:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Senior Software Engineer,Objective-C,,5,5,2700,0,Днепропетровск,до 50 человек,Аутсорсинговая,m,29,Высшее,False,выше среднего,iOS,18/05/2015 10:01:24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3"
Software Engineer,PHP,,2,0.5,1500,700,Другой,до 50 человек,Продуктовая,m,26,Высшее,False,выше среднего,Веб-разработка,18/05/2015 10:01:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,C#/.NET,,3,3,1600,300,Харьков,до 1000 человек,Продуктовая,m,23,Высшее,False,выше среднего,"Desktop Applications,Gamedev",18/05/2015 10:01:37,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/41.0.2272.76 Chrome/41.0.2272.76 Safari/537.36"
Software Engineer,Other,,9,9,300,-400,Житомир,до 10 человек,Продуктовая,m,30,Незаконченное высшее,False,средний,"Desktop Applications,Финансы и банки",18/05/2015 10:01:40,Mozilla/5.0 (Windows NT 6.1; rv:37.0) Gecko/20100101 Firefox/37.0
Software Engineer,Java,,1.5,1.5,1300,300,Киев,до 50 человек,Продуктовая,m,25,Высшее,False,ниже среднего,Веб-разработка,18/05/2015 10:02:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
Software Engineer,Java,,3,меньше 3 месяцев,2200,0,Киев,до 50 человек,Стартап,m,27,Высшее,False,средний,Android,18/05/2015 10:02:25,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.4.10 (KHTML, like Gecko) Version/8.0.4 Safari/600.4.10"
QA engineer,,Automation QA,5,1.5,2000,600,Одесса,до 10 человек,Продуктовая,m,28,Высшее,False,ниже среднего,Веб-разработка,18/05/2015 10:02:28,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,C#/.NET,,3,2,2400,500,Днепропетровск,до 50 человек,Продуктовая,m,23,Высшее,False,средний,Корпоративные системы,18/05/2015 10:02:34,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
Software Engineer,C#/.NET,,2,2,1500,300,Харьков,до 1000 человек,Аутсорсинговая,m,24,Высшее,False,средний,"Windows Phone,Веб-разработка",18/05/2015 10:02:37,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
Software Engineer,C#/.NET,,1.5,0.25,1000,400,Львов,до 50 человек,Аутсорсинговая,m,21,Незаконченное высшее,False,ниже среднего,Веб-разработка,18/05/2015 10:02:43,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"
Project manager,,,5,4,3500,0,Одесса,до 200 человек,Аутстаффинговая,m,30,Высшее,False,выше среднего,"iOS,Gamedev",18/05/2015 10:03:03,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,C#/.NET,,4,меньше 3 месяцев,2500,0,Житомир,свыше 1000 человек,Аутсорсинговая,m,27,Высшее,False,средний,"Desktop Applications,Веб-разработка",18/05/2015 10:03:05,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Бизнес-аналитик,,,6,3,1000,0,Киев,до 200 человек,Продуктовая,m,32,Высшее,False,средний,"Телекоммуникации,Корпоративные системы",18/05/2015 10:03:13,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Senior Software Engineer,Java,,6,1,4200,0,Харьков,до 10 человек,Продуктовая,m,29,Высшее,False,средний,"Веб-разработка,Финансы и банки",18/05/2015 10:03:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,Ruby/Rails,,5,3,2800,800,Киев,до 10 человек,Продуктовая,m,29,Высшее,False,ниже среднего,Веб-разработка,18/05/2015 10:03:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
Software Engineer,Objective-C,,4,0.5,2800,0,Киев,до 200 человек,Аутсорсинговая,m,29,Высшее,False,выше среднего,iOS,18/05/2015 10:03:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3"
QA Tech Lead,,Manual QA,2,2,1600,500,Черновцы,до 1000 человек,Аутсорсинговая,m,27,Высшее,False,продвинутый,"Android,iOS",18/05/2015 10:03:31,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Software Engineer,Java,,3,3,1461,0,Днепропетровск,до 1000 человек,Аутсорсинговая,f,26,Высшее,False,средний,"Веб-разработка,Корпоративные системы",18/05/2015 10:03:36,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36"
Software Engineer,JavaScript,,0.25,0.5,2500,500,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,Веб-разработка,18/05/2015 10:03:44,"Mozilla/5.0 (Linux; Android 5.1; Nexus 5 Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.111 Mobile Safari/537.36"
System Architect,C#/.NET,,10 и более лет,7,2500,-2000,Киев,до 1000 человек,Другая,m,36,Высшее,False,выше среднего,"Системное программирование,Корпоративные системы",18/05/2015 10:04:13,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
Technical Lead,PHP,,5,2,4000,500,Киев,до 50 человек,Продуктовая,m,24,Незаконченное высшее,False,выше среднего,Веб-разработка,18/05/2015 10:04:13,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/41.0.2272.76 Chrome/41.0.2272.76 Safari/537.36"
