Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
QA engineer,,General QA,3,2,1600,300,Днепр,до 200 человек,Продуктовая,m,25,Высшее,Другой вуз,False,выше среднего,Веб-разработка,12/06/2017 13:05:20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
System Architect,Scala,,10 и более лет,1,5600,1500,Киев,свыше 1000 человек,Аутстаффинговая,m,30,Высшее,НТУУ «КПИ»,False,выше среднего,Корпоративные системы,12/06/2017 13:05:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
Software Engineer,Python,,1,меньше 3 месяцев,800,200,Киев,до 50 человек,Аутсорсинговая,m,26,Высшее,НТУУ «КПИ»,False,ниже среднего,"Веб-разработка,Другое",12/06/2017 13:05:54,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,General QA,2,0.5,1500,500,Харьков,до 50 человек,Аутстаффинговая,m,26,Высшее,ХНУ им. Каразина,False,средний,Веб-разработка,12/06/2017 13:06:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Software Engineer,Ruby/Rails,,3,1,2500,500,Киев,до 50 человек,Продуктовая,m,27,Высшее,Другой вуз,False,выше среднего,Веб-разработка,12/06/2017 13:06:32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Senior Software Engineer,JavaScript,,5,5,2900,300,Винница,до 200 человек,Аутсорсинговая,m,26,Высшее,ДонНТУ,False,продвинутый,Веб-разработка,12/06/2017 13:06:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,JavaScript,,4,1,2875,0,Киев,свыше 1000 человек,Аутсорсинговая,m,24,Высшее,НаУКМА,False,продвинутый,Другое,12/06/2017 13:06:57,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Junior Software Engineer,C#/.NET,,1,1,574,274,Киев,до 10 человек,Стартап,m,23,Высшее,НАУ,False,продвинутый,"Gamedev,Другое",12/06/2017 13:07:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,C++,,4,0.5,3300,600,Киев,до 1000 человек,Аутсорсинговая,m,22,Высшее,КНУ им. Шевченко,True,выше среднего,"Desktop Applications,Embedded",12/06/2017 13:07:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,Manual QA,4,4,1800,150,Киев,до 1000 человек,Аутсорсинговая,m,30,Высшее,НТУУ «КПИ»,False,средний,Embedded,12/06/2017 13:07:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888"
Software Engineer,Perl,,3,1,900,200,Киев,до 50 человек,Аутсорсинговая,m,40,Высшее,Другой вуз,False,средний,Desktop Applications,12/06/2017 13:07:19,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0
Senior QA engineer,,General QA,10 и более лет,7,2500,0,Киев,до 50 человек,Продуктовая,m,33,Высшее,КНУ им. Шевченко,False,ниже среднего,"Desktop Applications,Веб-разработка",12/06/2017 13:07:20,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
QA engineer,,Manual QA,2,0.5,800,400,Львов,до 50 человек,Аутсорсинговая,m,22,Техникум / Колледж,,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:07:35,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
HR,,,5,1,800,200,Киев,до 50 человек,Продуктовая,f,31,Высшее,КНУ им. Шевченко,False,выше среднего,Другое,12/06/2017 13:07:35,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Swift,,6,1,2800,0,Киев,свыше 1000 человек,Аутсорсинговая,m,31,Высшее,ВНУ им. Даля,False,выше среднего,iOS,12/06/2017 13:07:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13) AppleWebKit/604.1.21 (KHTML, like Gecko) Version/11.0 Safari/604.1.21"
Senior Software Engineer,JavaScript,,6,1,3000,0,Киев,до 10 человек,Продуктовая,m,26,Незаконченное высшее,НаУКМА,False,продвинутый,"Веб-разработка,Корпоративные системы",12/06/2017 13:07:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Senior Software Engineer,Ruby/Rails,,10 и более лет,8,4500,0,Киев,до 50 человек,Аутсорсинговая,m,29,Высшее,КНУ им. Шевченко,False,продвинутый,Веб-разработка,12/06/2017 13:07:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,Manual QA,7,1.5,1200,200,Львов,свыше 1000 человек,Аутсорсинговая,m,29,Высшее,Львовская Политехника,False,ниже среднего,Embedded,12/06/2017 13:07:57,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Data Scientist / Data Analyst,,,0.25,0.25,350,0,Киев,до 50 человек,Продуктовая,m,22,Незаконченное высшее,НТУУ «КПИ»,False,средний,Мультимедиа,12/06/2017 13:08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Product Manager,,,5,1,3000,500,Киев,до 50 человек,Продуктовая,m,27,Два высших,НГУ [Днепропетровск],False,выше среднего,"Android,iOS",12/06/2017 13:08:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
HTML coder,,,0.5,0.5,460,160,Киев,до 10 человек,Другая,m,17,Среднее,,False,элементарный,,12/06/2017 13:08:04,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53"
QA engineer,,Manual QA,3,1,800,200,Львов,до 200 человек,Аутсорсинговая,m,30,Высшее,ЛНУ им. Франко,False,выше среднего,Веб-разработка,12/06/2017 13:08:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Senior QA engineer,,Manual QA,4,3,1880,200,Киев,свыше 1000 человек,Аутсорсинговая,m,28,Высшее,НАУ,False,выше среднего,"Финансы и банки,Корпоративные системы",12/06/2017 13:08:07,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Team lead,,,10 и более лет,5,3500,0,Киев,свыше 1000 человек,Аутсорсинговая,m,31,Высшее,Другой вуз,False,выше среднего,Финансы и банки,12/06/2017 13:08:21,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPad5,3;FBMD/iPad;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/0]"
Senior Software Engineer,C#/.NET,,6,4,3620,300,Харьков,свыше 1000 человек,Аутстаффинговая,m,25,Высшее,ХАИ,False,выше среднего,Веб-разработка,12/06/2017 13:08:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Java,,1,1,350,350,Ужгород,до 50 человек,Аутсорсинговая,m,26,Высшее,Другой вуз,False,выше среднего,,12/06/2017 13:08:32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
HTML coder,,,1,0.5,550,500,Киев,до 50 человек,Продуктовая,f,24,Высшее,НТУУ «КПИ»,False,средний,Веб-разработка,12/06/2017 13:08:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C#/.NET,,4,меньше 3 месяцев,2300,400,Харьков,до 200 человек,Аутстаффинговая,m,26,Высшее,ХАИ,False,средний,Веб-разработка,12/06/2017 13:08:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Manual QA,4,3,1000,200,Харьков,до 50 человек,Продуктовая,f,27,Высшее,ХНУ им. Каразина,False,выше среднего,Веб-разработка,12/06/2017 13:08:53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,General QA,2,2,800,150,Винница,до 1000 человек,Продуктовая,f,27,Высшее,Другой вуз,False,средний,Gamedev,12/06/2017 13:09:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Swift,,3,1.5,450,150,Другой,до 10 человек,Продуктовая,m,27,Высшее,ХНУРЭ,False,ниже среднего,iOS,12/06/2017 13:09:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Java,,5,5,2500,500,Киев,свыше 1000 человек,Аутсорсинговая,m,26,Два высших,НАУ,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:09:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Swift,,5,1,3230,380,Киев,до 50 человек,Продуктовая,m,25,Высшее,НТУУ «КПИ»,False,выше среднего,iOS,12/06/2017 13:09:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,PHP,,2,меньше 3 месяцев,1200,500,Киев,до 10 человек,Аутсорсинговая,m,23,Высшее,СумГУ,False,выше среднего,"Веб-разработка,Gamedev",12/06/2017 13:09:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Technical Lead,Perl,,6,4,3400,250,Киев,свыше 1000 человек,Аутстаффинговая,m,36,Незаконченное высшее,НТУУ «КПИ»,False,выше среднего,Финансы и банки,12/06/2017 13:09:29,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPad5,1;FBMD/iPad;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/0]"
Team lead,,,8,1,4000,500,Киев,до 10 человек,Стартап,m,28,Высшее,Другой вуз,False,средний,Веб-разработка,12/06/2017 13:09:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,PHP,,5,1,3500,2000,Киев,до 10 человек,Продуктовая,m,21,Незаконченное высшее,НАУ,False,выше среднего,"Финансы и банки,Корпоративные системы",12/06/2017 13:09:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Ruby/Rails,,0.5,0.5,350,150,Львов,до 50 человек,Аутсорсинговая,m,26,Высшее,Львовская Политехника,False,средний,Веб-разработка,12/06/2017 13:09:34,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36"
Product Manager,,,1,0.5,1000,0,Киев,до 10 человек,Стартап,m,43,Высшее,НТУУ «КПИ»,False,средний,Телекоммуникации,12/06/2017 13:09:49,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Manual QA,4,3,1650,150,Киев,до 50 человек,Аутсорсинговая,m,28,Высшее,Другой вуз,False,средний,"Desktop Applications,Другое",12/06/2017 13:09:50,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0
DBA,,,8,0.5,3500,150,Киев,до 50 человек,Продуктовая,m,30,Высшее,НТУУ «КПИ»,False,выше среднего,Другое,12/06/2017 13:09:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Automation QA,1.5,1.5,1050,350,Харьков,до 1000 человек,Аутсорсинговая,f,22,Незаконченное высшее,ХНЭУ,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:09:53,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"
Technical Lead,C++,,10 и более лет,4,4500,0,Киев,свыше 1000 человек,Аутсорсинговая,m,35,Высшее,КНУ им. Шевченко,False,продвинутый,Мультимедиа,12/06/2017 13:09:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Software Engineer,C#/.NET,,5,2,450,150,Другой,до 200 человек,Аутсорсинговая,m,27,Высшее,Другой вуз,False,ниже среднего,iOS,12/06/2017 13:09:59,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Technical Lead,PHP,,6,3,3000,500,Киев,до 10 человек,Аутстаффинговая,m,24,Высшее,НАУ,False,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:10:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C#/.NET,,6,6,2550,150,Киев,до 1000 человек,Продуктовая,m,35,Высшее,Другой вуз,False,выше среднего,Веб-разработка,12/06/2017 13:10:04,"Mozilla/5.0 (Linux; Android 5.1.1; Nexus 4 Build/LMY48T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36"
Software Engineer,C#/.NET,,6,4,1000,200,Житомир,до 10 человек,Продуктовая,m,29,Высшее,ЖГТУ,False,средний,"Desktop Applications,Корпоративные системы",12/06/2017 13:10:07,"Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; Microsoft; Lumia 640 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Mobile Safari/537.36 Edge/15.15063"
Software Engineer,PHP,,3,1.5,1800,500,Киев,до 200 человек,Продуктовая,m,25,Высшее,Другой вуз,False,средний,Корпоративные системы,12/06/2017 13:10:14,"Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Software Engineer,Ruby/Rails,,2,1.5,2850,850,Киев,до 200 человек,Аутсорсинговая,m,23,Высшее,НТУУ «КПИ»,True,средний,Веб-разработка,12/06/2017 13:10:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,JavaScript,,3,3,1100,200,Запорожье,до 50 человек,Аутсорсинговая,m,23,Высшее,ЗНТУ,False,ниже среднего,Веб-разработка,12/06/2017 13:10:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,JavaScript,,1,10 и более лет,700,0,Харьков,до 1000 человек,Аутсорсинговая,m,40,Высшее,ХАИ,False,средний,Веб-разработка,12/06/2017 13:10:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Manual QA,3,1,1800,600,Другой,свыше 1000 человек,Аутсорсинговая,m,27,Высшее,НТУУ «КПИ»,False,выше среднего,Финансы и банки,12/06/2017 13:10:38,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Mobile/14D27 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/10.2.1;FBSS/2;FBCR/T-Mobile.pl;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]"
Senior Software Engineer,Scala,,4,меньше 3 месяцев,3400,1600,Киев,до 200 человек,Аутстаффинговая,m,26,Высшее,НАУ,False,выше среднего,Другое,12/06/2017 13:10:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Java,,7,4,4000,500,Харьков,до 200 человек,Аутсорсинговая,m,34,Высшее,ХНУРЭ,False,продвинутый,"Финансы и банки,eCommerce",12/06/2017 13:10:45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior QA engineer,,Automation QA,5,2,1800,300,Киев,до 200 человек,Продуктовая,m,35,Высшее,НАУ,False,выше среднего,Веб-разработка,12/06/2017 13:11:04,"Mozilla/5.0 (Linux; Android 7.0; SM-G935F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36"
Senior Software Engineer,Java,,5,4,2390,1000,Львов,свыше 1000 человек,Аутсорсинговая,m,29,Незаконченное высшее,Другой вуз,False,средний,Android,12/06/2017 13:11:08,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0
Software Engineer,PHP,,3,3,700,200,Винница,до 10 человек,Аутсорсинговая,m,22,Высшее,ДонНУ,True,ниже среднего,Веб-разработка,12/06/2017 13:11:10,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]"
QA engineer,,Manual QA,1.5,1,1000,400,Одесса,до 200 человек,Аутсорсинговая,m,28,Высшее,ОНПУ,False,средний,,12/06/2017 13:11:10,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Python,,1.5,0.5,900,900,Киев,до 10 человек,Стартап,m,21,Незаконченное высшее,КНУ им. Шевченко,True,выше среднего,Веб-разработка,12/06/2017 13:11:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Software Engineer,C#/.NET,,3,3,1875,400,Львов,до 200 человек,Аутсорсинговая,m,25,Высшее,КНУ им. Шевченко,False,выше среднего,Веб-разработка,12/06/2017 13:11:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
QA engineer,,Performance QA,3,1.5,1100,0,Днепр,до 1000 человек,Аутсорсинговая,m,25,Высшее,ДНУ им. Гончара,False,средний,Финансы и банки,12/06/2017 13:11:27,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,JavaScript,,3,2,2300,500,Киев,до 50 человек,Продуктовая,m,27,Высшее,КНЭУ,False,средний,Веб-разработка,12/06/2017 13:11:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
HTML coder,,,меньше 3 месяцев,меньше 3 месяцев,250,0,Киев,до 10 человек,Аутсорсинговая,m,25,Высшее,ДонНУ,False,ниже среднего,Веб-разработка,12/06/2017 13:11:29,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Software Engineer,C++,,2,0.5,1700,950,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,НТУУ «КПИ»,False,средний,Мультимедиа,12/06/2017 13:11:36,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,PHP,,0.25,меньше 3 месяцев,230,58,Полтава,до 10 человек,Продуктовая,m,27,Техникум / Колледж,,False,ниже среднего,"Веб-разработка,Системное программирование",12/06/2017 13:11:42,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Senior Software Engineer,Swift,,6,0.25,4000,0,Львов,до 10 человек,Продуктовая,m,25,Высшее,Львовская Политехника,False,выше среднего,iOS,12/06/2017 13:11:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Senior Software Engineer,JavaScript,,5,3,4400,800,Киев,до 10 человек,Аутстаффинговая,m,26,Высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,12/06/2017 13:11:51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
