Submitted at,Ваша основна зайнятість в ІТ зараз...,"ЗАРПЛАТА / СУМАРНИЙ ДОХІД в IT у $$$ за місяць, лише ставка 
ЧИСТИМИ - після сплати податків",Всі бонуси (на місяць),Тайтл,Категорія,Почніть вводити і оберіть вашу ОСНОВНУ посаду зі списку,"У якій сфері проєкт, в якому ви зараз працюєте?",Вкажіть вашу основну спеціалізацію,Чи використовуєте ви у своїй роботі мови програмування (одну чи декілька)?,Основна мова програмування,"Основний напрям роботи компанії, в якій працюєте",Кількість спеціалістів у вашій компанії в Україні,Загальний стаж роботи за нинішньою ІТ-спеціальністю,Знання англійської мови,Де ви зараз живете?,За яким напрямом ви навчалися / навчаєтеся у виші?,Ваш вік
2025-05-26 06:55:47,Працюю в IT-компанії / ІТ-департаменті,1600,0,Head,Marketing,Head of Marketing,Logistics / Supply Chain,,"Ні, не використовую",,Стартап,до 50,4,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",22
2025-05-26 06:56:15,Працюю в IT-компанії / ІТ-департаменті,2100,200,Middle,Analyst,Data Analyst,Fintech / Banking / Capital Management,,"Так, використовую",SQL,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",понад 1000,4,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",28
2025-05-26 06:56:24,Працюю в IT-компанії / ІТ-департаменті,4500,0,Senior,Product Mgmt,Product Manager,ERP,,"Ні, не використовую",,Сервісна (аутсорсингова),до 200,9,Advanced,В Україні,"Суспільно-економічні науки (економіка, соціологія)",30
2025-05-26 06:56:26,Працюю в IT-компанії / ІТ-департаменті,2000,0,Lead / Team Lead,QA,Manual QA,"Robotics, Hardware, Embedded",,"Ні, не використовую",,Продуктова,понад 1000,2,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",29
2025-05-26 06:56:43,Працюю в IT-компанії / ІТ-департаменті,3000,83.3333333333333,Middle,Product Mgmt,Product Manager,"Public services / Government, Legal",,"Ні, не використовую",,Продуктова,до 50,2,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-05-26 06:57:15,Працюю в IT-компанії / ІТ-департаменті,2430,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Security,"Якшо в мене нема фронтенду, то як я можц робити бек-енд, додайте розробка cli тулів, веб розробку, system programming",,Go,Сервісна (аутсорсингова),понад 1000,0.5,Upper-Intermediate,В Україні,Не вступав у виш,29
2025-05-26 06:58:02,Працюю в IT-компанії / ІТ-департаменті,4100,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",GameDev,,,Java,Продуктова,до 1000,7,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",29
2025-05-26 06:58:14,Працюю в IT-компанії / ІТ-департаменті,4000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",SaaS,Full Stack розробка,,PHP,Продуктова,до 1000,10,Advanced,В Україні,Не вступав у виш,34
2025-05-26 06:58:17,Працюю в IT-компанії / ІТ-департаменті,1150,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Back-end розробка,,Java,Сервісна (аутсорсингова),понад 1000,1.5,Intermediate,В Україні,Інші гуманітарні та суспільні науки,39
2025-05-26 06:59:06,Працюю в IT-компанії / ІТ-департаменті,2000,0,Senior,"UI/UX, Product Design",Product Designer,"AI / ML, Media / Entertainment, SaaS",,"Ні, не використовую",,Сервісна (аутсорсингова),до 200,5,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",21
2025-05-26 06:59:15,Працюю в IT-компанії / ІТ-департаменті,3000,0,Head,Marketing,Head of Affiliates,Cloud Computing,,"Ні, не використовую",,Продуктова,до 1000,13,Pre-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",35
2025-05-26 06:59:53,Працюю в IT-компанії / ІТ-департаменті,5300,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Fintech / Banking / Capital Management, Enterprise, Retail / marketplace","Платформна / BI / low-code розробка (Salesforce, SAP, 1С тощо)",,C# / .NET,Продуктова,до 1000,4,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",23
2025-05-26 07:00:00,Працюю в IT-компанії / ІТ-департаменті,400,0,Junior,QA,Manual QA,GameDev,,"Ні, не використовую",,Сервісна (аутсорсингова),до 200,0.5,Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",31
2025-05-26 07:00:08,Працюю в IT-компанії / ІТ-департаменті,1500,0,Manager,Product Mgmt,Product Owner (у продакт менеджменті),Miltech,,"Так, використовую",Python,Стартап,до 50,0.5,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-05-26 07:00:14,Працюю в IT-компанії / ІТ-департаменті,4000,0,Head,HR,HR Director (HRD),Travel,,"Ні, не використовую",,Продуктова,до 200,9,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",37
2025-05-26 07:00:27,Працюю в IT-компанії / ІТ-департаменті,2500,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","E-commerce, Medtech / Healthcare",Full Stack розробка,,PHP,Аутстафінгова,до 50,6,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",28
2025-05-26 07:00:31,Працюю в IT-компанії / ІТ-департаменті,700,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Adtech / Advertising / Marketing,Full Stack розробка,,JavaScript,Стартап,до 10 спеціалістів,2,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-05-26 07:00:37,Працюю в IT-компанії / ІТ-департаменті,2100,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Manufacturing, High Load Systems",Back-end розробка,,Python,Продуктова,понад 1000,2,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",20
2025-05-26 07:01:53,Працюю в IT-компанії / ІТ-департаменті,3300,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Front-end розробка,,TypeScript,Сервісна (аутсорсингова),понад 1000,5,Upper-Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",27
2025-05-26 07:02:19,Працюю в IT-компанії / ІТ-департаменті,3700,0,Middle,QA,Manual QA,Other,,"Так, використовую",Python,Сервісна (аутсорсингова),до 200,4,Upper-Intermediate,В Україні,Other,34
2025-05-26 07:03:07,Працюю в IT-компанії / ІТ-департаменті,4500,400,Lead / Team Lead,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Telecom,Full Stack розробка,,TypeScript,Сервісна (аутсорсингова),понад 1000,7,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",33
2025-05-26 07:03:14,Працюю в IT-компанії / ІТ-департаменті,2700,0,Middle,Analyst,Data Analyst,Hardware,,"Так, використовую",Python,Продуктова,понад 1000,4,Upper-Intermediate,В Україні,незакінчена вища,28
2025-05-26 07:03:36,Працюю в IT-компанії / ІТ-департаменті,3614,30,Senior,SysAdmin,monitoring engineer,"Automotive, AI / ML, Insurance",,"Так, використовую",Bash / Shell,Продуктова,до 200,6,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",44
2025-05-26 07:03:40,Працюю в IT-компанії / ІТ-департаменті,800,0,Junior,Analyst,Business Analyst (BA),"E-commerce, Edtech / Education, SaaS",,"Ні, не використовую",,Інша (ГО / агенція / заклад освіти тощо),до 10 спеціалістів,1.5,Pre-Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",26
2025-05-26 07:04:09,Працюю в IT-компанії / ІТ-департаменті,3000,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Mobile,Mobile розробка,,Dart,Продуктова,до 1000,4,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,28
2025-05-26 07:04:31,Працюю в IT-компанії / ІТ-департаменті,1200,0,Manager,Brand,Event Manager,Gambling,,"Ні, не використовую",,Продуктова,понад 1000,3,Intermediate,В Україні,Інші гуманітарні та суспільні науки,37
2025-05-26 07:04:37,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Embedded,Embedded,,C,Продуктова,понад 1000,2,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",24
2025-05-26 07:05:12,Працюю в IT-компанії / ІТ-департаменті,4900,0,Senior,QA,Automation QA / AQA,"High Load Systems, Internet of Things",,"Так, використовую",TypeScript,Аутстафінгова,до 1000,20,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",44
2025-05-26 07:05:17,Працюю в IT-компанії / ІТ-департаменті,12000,750,Head,Security,Head of Information Security,"Gambling, Security",,"Ні, не використовую",,Продуктова,до 1000,18,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",40
2025-05-26 07:05:47,Працюю в IT-компанії / ІТ-департаменті,3000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Retail / marketplace,Full Stack розробка,,1С,Продуктова,до 10 спеціалістів,8,Elementary,В Україні,"Суспільно-економічні науки (економіка, соціологія)",38
2025-05-26 07:06:58,Працюю в IT-компанії / ІТ-департаменті,980,0,Middle,"UI/UX, Product Design",UI/UX Designer,"Різнопланові проєкти, немає одного основного (HR etc)",,"Ні, не використовую",,Інша (ГО / агенція / заклад освіти тощо),до 50,3,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,30
2025-05-26 07:07:43,Працюю в IT-компанії / ІТ-департаменті,2500,208.333333333333,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","ERP, Retail / marketplace, E-commerce",Back-end розробка,,C# / .NET,Продуктова,до 200,6,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",30
2025-05-26 07:09:40,Працюю в IT-компанії / ІТ-департаменті,200,0,Немає тайтлу,Customer Support,Customer Support,"Media / Entertainment, Cloud Computing, Cloud Gaming",,"Ні, не використовую",,Продуктова,до 200,0.5,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
2025-05-26 07:10:16,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),2000,0,Middle,QA,Manual QA,Edtech / Education,,"Ні, не використовую",,Продуктова,"працюю на іноземного роботодавця, в Україні він не має сформованої команди",4,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-05-26 07:10:54,Працюю в IT-компанії / ІТ-департаменті,2850,0,Middle,DevOps,DevOps Engineer,"Travel, Mobile, Automotive",,"Так, використовую",Python,Продуктова,до 1000,3,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",26
2025-05-26 07:11:13,Працюю в IT-компанії / ІТ-департаменті,1250,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Media / Entertainment,Full Stack розробка,,TypeScript,Аутстафінгова,до 200,3,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",36
2025-05-26 07:11:52,Працюю в IT-компанії / ІТ-департаменті,5500,0,Senior,DS,Data Engineer / Big Data Engineer,"AI / ML, Miltech",,"Так, використовую",Python,Стартап,до 50,3,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",24
2025-05-26 07:13:29,Працюю в IT-компанії / ІТ-департаменті,1500,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","ERP, Retail / marketplace","Платформна / BI / low-code розробка (Salesforce, SAP, 1С тощо)",,1С,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",понад 1000,20,Pre-Intermediate,В Україні,"Точні науки (математика, інформатика)",53
2025-05-26 07:14:41,Працюю в IT-компанії / ІТ-департаменті,3200,0,Немає тайтлу,Marketing,Product Marketing Manager,"SaaS, Security",,"Ні, не використовую",,Продуктова,до 200,4,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",34
2025-05-26 07:15:45,Працюю в IT-компанії / ІТ-департаменті,3250,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Insurance,Full Stack розробка,,TypeScript,Сервісна (аутсорсингова),до 200,5,Upper-Intermediate,В Україні,"Природничі науки (фізика, хімія, біологія)",28
2025-05-26 07:15:45,Працюю в IT-компанії / ІТ-департаменті,4200,0,Lead / Team Lead,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Dating,Front-end розробка,,TypeScript,Продуктова,до 1000,4,Advanced,В Україні,Інші гуманітарні та суспільні науки,28
2025-05-26 07:15:55,Працюю в IT-компанії / ІТ-департаменті,3550,283.333333333333,Немає тайтлу,Analyst,Business Analyst (BA),Gambling,,"Так, використовую",JavaScript,Продуктова,до 1000,5,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",31
2025-05-26 07:17:13,Працюю в IT-компанії / ІТ-департаменті,2250,83.3333333333333,Manager,Agile Mgmt,Product Owner (роль в скрамі),Telecom,,"Так, використовую",Java,Продуктова,понад 1000,18,Elementary,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",42
2025-05-26 07:17:19,Працюю в IT-компанії / ІТ-департаменті,2900,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",SaaS,Back-end розробка,,TypeScript,Продуктова,до 200,4,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",25
2025-05-26 07:18:01,Працюю в IT-компанії / ІТ-департаменті,1500,0,Middle,Product Mgmt,Product Manager,Govtech,,"Ні, не використовую",,Продуктова,до 50,1.5,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,35
2025-05-26 07:19:10,Працюю в IT-компанії / ІТ-департаменті,1100,23.3333333333333,Lead / Team Lead,Customer Success,Customer Success Manager,"SaaS, Edtech / Education",,"Ні, не використовую",,Сервісна (аутсорсингова),до 50,3,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,28
2025-05-26 07:19:25,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),3800,0,Немає тайтлу,Product Mgmt,Product Owner (у продакт менеджменті),"Fintech / Banking / Capital Management, SaaS",,"Ні, не використовую",,Продуктова,до 10 спеціалістів,3,Advanced,В Україні,"Суспільно-економічні науки (економіка, соціологія)",34
2025-05-26 07:19:33,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),16000,0,Architect,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","AI / ML, Edtech / Education",Back-end розробка,,Python,Стартап,"працюю на іноземного роботодавця, в Україні він не має сформованої команди",14,Advanced,В Україні,Не вступав у виш,38
2025-05-26 07:19:43,Працюю в IT-компанії / ІТ-департаменті,4400,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",E-commerce,Full Stack розробка,,TypeScript,Аутстафінгова,понад 1000,1,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",29
2025-05-26 07:19:52,Працюю в IT-компанії / ІТ-департаменті,1850,0,Senior,QA,Manual QA,E-commerce,,"Ні, не використовую",,Сервісна (аутсорсингова),до 200,7,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",41
2025-05-26 07:19:55,Працюю в IT-компанії / ІТ-департаменті,2500,333.333333333333,Middle,Analyst,Business Analyst (BA),"Agriculture, SaaS, Other",,"Ні, не використовую",,Продуктова,до 200,5,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",26
2025-05-26 07:21:43,Працюю в IT-компанії / ІТ-департаменті,1300,29.1666666666667,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Back-end розробка,,Go,Продуктова,до 1000,0.1,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",20
2025-05-26 07:22:02,Працюю в IT-компанії / ІТ-департаменті,2000,0,Middle,Analyst,Data Analyst,Fintech / Banking / Capital Management,,"Так, використовую",SQL,"ІТ-відділ в НЕ ІТ-компанії (банк, телеком, ритейл тощо)",до 1000,2,Upper-Intermediate,В Україні,"Точні науки (математика, інформатика)",22
2025-05-26 07:22:15,Працюю в IT-компанії / ІТ-департаменті,6000,0,Manager,Project Mgmt,Project Manager (PM),Automotive,,"Так, використовую",Python,Сервісна (аутсорсингова),понад 1000,3,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",35
2025-05-26 07:23:18,Працюю в IT-компанії / ІТ-департаменті,6000,0,Senior,"UI/UX, Product Design",UI/UX Writer,"Adtech / Advertising / Marketing, Edtech / Education",,"Ні, не використовую",,Продуктова,до 1000,6,Advanced,В Україні,Інші гуманітарні та суспільні науки,30
2025-05-26 07:25:03,Працюю в IT-компанії / ІТ-департаменті,2035,0,Middle,Product Mgmt,Product Manager,Media / Entertainment,,"Так, використовую",JavaScript,Продуктова,до 1000,2,Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",27
2025-05-26 07:25:24,Працюю в IT-компанії / ІТ-департаменті,5100,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Domains / Hosting,Mobile розробка,,Kotlin,Продуктова,понад 1000,8,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",33
2025-05-26 07:26:22,Працюю в IT-компанії / ІТ-департаменті,4000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",High Load Systems,Back-end розробка,,Java,Сервісна (аутсорсингова),понад 1000,10,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",40
2025-05-26 07:28:15,Працюю в IT-компанії / ІТ-департаменті,3600,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",GameDev,,,C++,Аутстафінгова,понад 1000,3,Upper-Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",26
2025-05-26 07:28:52,Працюю в IT-компанії / ІТ-департаменті,3000,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Logistics / Supply Chain,Back-end розробка,,Java,Аутстафінгова,до 1000,6,Intermediate,В Україні,"Інші технічні науки та інженерія (радіотехніка, електроніка, космонавтика, електротехніка і т.п.)",42
2025-05-26 07:29:36,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),6000,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Time tracking / Productivity / Workforce management,Front-end розробка,,TypeScript,Продуктова,до 10 спеціалістів,8,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",30
2025-05-26 07:29:56,Працюю в IT-компанії / ІТ-департаменті,4500,66.6666666666667,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","Real estate, Edtech / Education, Business Intelligence / Data Warehouse",Back-end розробка,,PHP,Сервісна (аутсорсингова),до 200,6,Upper-Intermediate,В Україні,"Точні науки (математика, інформатика)",26
2025-05-26 07:31:06,Працюю в IT-компанії / ІТ-департаменті,3190,33.3333333333333,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Enterprise,Full Stack розробка,,C# / .NET,Аутстафінгова,понад 1000,4,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",27
2025-05-26 07:32:19,Працюю в IT-компанії / ІТ-департаменті,3300,25,Senior,Analyst,Business Analyst (BA),"E-commerce, Mobile, Travel",,"Так, використовую",SQL,Сервісна (аутсорсингова),до 1000,7,Upper-Intermediate,В Україні,"Суспільно-економічні науки (економіка, соціологія)",31
2025-05-26 07:34:58,Я контрактор(-ка) в IT (прямий контракт з іноземним замовником),11500,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",SaaS,Desktop,,C++,Продуктова,"працюю на іноземного роботодавця, в Україні він не має сформованої команди",6,Advanced,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",25
2025-05-26 07:35:42,Працюю в IT-компанії / ІТ-департаменті,650,0,Junior,Tech Wr./Lclz,Technical writer,Dating,,"Ні, не використовую",,Продуктова,до 50,0.25,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,23
2025-05-26 07:35:46,Працюю в IT-компанії / ІТ-департаменті,4500,0,Senior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )","E-commerce, Manufacturing, Enterprise",Back-end розробка,,C# / .NET,Продуктова,до 50,8,Intermediate,В Україні,"Точні науки (математика, інформатика)",30
2025-05-26 07:35:47,Працюю в IT-компанії / ІТ-департаменті,1310,0,Junior,QA,Manual QA,"Business Intelligence / Data Warehouse, ERP",,"Ні, не використовую",,Продуктова,до 10 спеціалістів,2,Upper-Intermediate,В Україні,Інші гуманітарні та суспільні науки,33
2025-05-26 07:36:32,Працюю в IT-компанії / ІТ-департаменті,200,0,Intern/Trainee,Project Mgmt,Project Manager (PM),E-commerce,,"Ні, не використовую",,Сервісна (аутсорсингова),до 50,0.25,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",19
2025-05-26 07:37:29,Працюю в IT-компанії / ІТ-департаменті,600,0,Junior,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",ERP,Back-end розробка,,C# / .NET,Сервісна (аутсорсингова),до 50,1,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",20
2025-05-26 07:37:41,Працюю в IT-компанії / ІТ-департаменті,400,0,Junior,SysAdmin,SysAdmin,"Domains / Hosting, Telecom",,"Так, використовую",Java,Сервісна (аутсорсингова),до 10 спеціалістів,1.5,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",21
2025-05-26 07:38:35,Працюю в IT-компанії / ІТ-департаменті,7000,1500,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Adtech / Advertising / Marketing,Back-end розробка,,Python,Продуктова,до 200,6,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",26
2025-05-26 07:38:55,Працюю в IT-компанії / ІТ-департаменті,2500,0,Middle,SE,"Software Engineer / Developer (frontend, backend, mobile, gamedev, embedded etc )",Fintech / Banking / Capital Management,Full Stack розробка,,C# / .NET,Продуктова,до 200,2,Upper-Intermediate,В Україні,"Комп'ютерні науки/інженерія, інженерія ПЗ, кібербезпека",22
