,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Пол,Возраст,Образование,Уровень английского,Дата заполнения,User-Agent
,Дизайнер,,,5.5,0.75,950,250,Харьков,до 200 человек,m,24,Высшее,ниже среднего,18/12/2012 12:29:52,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Junior Software Engineer,Java,,1,меньше 3 месяцев,2000,1700,Днепропетровск,до 50 человек,m,27,Высшее,ниже среднего,18/12/2012 12:29:56,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,Java,,4.5,2.5,2100,200,Днепропетровск,свыше 1000 человек,m,26,Высшее,выше среднего,18/12/2012 12:29:59,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,Automation QA,2.5,0.75,1500,0,Киев,до 50 человек,f,32,Высшее,продвинутый,18/12/2012 12:29:59,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Ruby/Rails,,2.5,1,2500,0,Львов,до 10 человек,m,23,Среднее,продвинутый,18/12/2012 12:30:05,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,QA engineer,,General QA,2,2,700,300,Харьков,до 200 человек,m,25,Высшее,средний,18/12/2012 12:30:05,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Technical Lead,C#/.NET,,10 и более лет,10 и более лет,2200,200,Харьков,свыше 1000 человек,m,35,Высшее,средний,18/12/2012 12:30:06,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)
,Software Engineer,Java,,2,меньше 3 месяцев,2200,1000,Киев,до 10 человек,m,23,Высшее,продвинутый,18/12/2012 12:30:11,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,C#/.NET,,3,1,2500,700,Одесса,до 200 человек,m,25,Два высших,средний,18/12/2012 12:30:12,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,C#/.NET,,2,10 и более лет,1500,700,Киев,свыше 1000 человек,m,21,Высшее,выше среднего,18/12/2012 12:30:15,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior QA engineer,,Manual QA,7,0.5,1600,0,Харьков,до 1000 человек,m,27,Высшее,выше среднего,18/12/2012 12:30:22,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,C#/.NET,,4,4,1350,400,Львов,свыше 1000 человек,m,24,Высшее,средний,18/12/2012 12:30:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,General QA,2.5,2.5,1150,400,Львов,до 1000 человек,m,25,Незаконченное высшее,выше среднего,18/12/2012 12:30:28,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,Objective-C,,4.5,меньше 3 месяцев,3000,200,Харьков,до 10 человек,m,24,Незаконченное высшее,продвинутый,18/12/2012 12:30:29,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,PHP,,2.5,1.25,1350,400,Киев,до 10 человек,m,23,Высшее,выше среднего,18/12/2012 12:30:30,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,C#/.NET,,7.5,0.5,2500,500,Львов,до 200 человек,m,27,Незаконченное высшее,средний,18/12/2012 12:30:56,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,C,,3,2.5,1500,700,Ивано-Франковск,до 200 человек,m,25,Высшее,ниже среднего,18/12/2012 12:31:00,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0
,Junior Software Engineer,C++,,9.5,9.5,800,-2100,Киев,свыше 1000 человек,m,27,Два высших,продвинутый,18/12/2012 12:31:10,Mozilla/5.0 (Ubuntu; X11; Linux x86_64; rv:8.0) Gecko/20100101 Firefox/8.0
,Software Engineer,PHP,,5,4,1700,200,Львов,до 10 человек,m,25,Высшее,выше среднего,18/12/2012 12:31:10,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.4 (KHTML, like Gecko) Ubuntu/12.10 Chromium/22.0.1229.94 Chrome/22.0.1229.94 Safari/537.4"
,Technical Lead,Java,,4,0.75,4300,700,Киев,свыше 1000 человек,m,24,Высшее,выше среднего,18/12/2012 12:31:17,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Дизайнер,,,10 и более лет,1.5,2000,500,Одесса,до 200 человек,m,33,Незаконченное высшее,средний,18/12/2012 12:31:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Дизайнер,,,5,2,1100,500,Харьков,до 50 человек,m,23,Незаконченное высшее,средний,18/12/2012 12:31:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,Manual QA,4,1,900,300,Симферополь,до 10 человек,m,29,Высшее,средний,18/12/2012 12:31:45,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Director of Engineering / Program Director,,,10 и более лет,3,10000,2000,Киев,свыше 1000 человек,m,34,Высшее,продвинутый,18/12/2012 12:31:48,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)
,Director of Engineering / Program Director,,,3,1.5,1500,0,Харьков,до 10 человек,m,22,Высшее,средний,18/12/2012 12:32:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Ruby/Rails,,3,0.5,2500,1500,Севастополь,до 200 человек,m,23,Высшее,средний,18/12/2012 12:32:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Верстальщик,,,2,2,750,200,Ивано-Франковск,до 50 человек,m,25,Высшее,ниже среднего,18/12/2012 12:32:24,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.11
,Senior Software Engineer,Objective-C,,10 и более лет,0.75,3500,1000,Киев,до 10 человек,m,36,Высшее,элементарный,18/12/2012 12:32:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11"
,Junior QA engineer,,Manual QA,0.5,0.5,300,50,Львов,до 1000 человек,m,23,Высшее,выше среднего,18/12/2012 12:32:36,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0
,Software Engineer,C#/.NET,,6,1.5,1800,0,Одесса,до 200 человек,m,26,Высшее,средний,18/12/2012 12:33:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,QA engineer,,Manual QA,2.5,2.5,930,150,Львов,до 1000 человек,m,26,Незаконченное высшее,ниже среднего,18/12/2012 12:33:21,Mozilla/5.0 (Windows NT 5.1; rv:12.0) Gecko/20100101 Firefox/12.0
,Junior Software Engineer,C#/.NET,,0.5,0.5,900,200,Киев,свыше 1000 человек,m,26,Высшее,средний,18/12/2012 12:33:21,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,QA engineer,,Manual QA,4,3,1375,250,Харьков,до 200 человек,m,26,Высшее,ниже среднего,18/12/2012 12:33:52,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Software Engineer,PHP,,7,1.75,1750,400,Харьков,до 200 человек,m,37,Высшее,средний,18/12/2012 12:34:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.91 Safari/537.11"
,Software Engineer,Other,,6,4,1375,0,Донецк,до 10 человек,m,31,Два высших,средний,18/12/2012 12:34:32,Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20100101 Firefox/12.0
,Верстальщик,,,7,5,2300,150,Киев,до 50 человек,m,29,Незаконченное высшее,элементарный,18/12/2012 12:34:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Junior Software Engineer,Other,,0.25,0.25,1200,0,Киев,до 50 человек,m,22,Незаконченное высшее,выше среднего,18/12/2012 12:34:45,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Senior Software Engineer,Java,,6.5,2.5,3000,400,Одесса,до 10 человек,m,40,Незаконченное высшее,средний,18/12/2012 12:35:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,JavaScript,,10 и более лет,0.75,2200,200,Киев,до 50 человек,m,30,Высшее,ниже среднего,18/12/2012 12:35:21,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Team lead,,,7,1.5,2600,300,Киев,свыше 1000 человек,m,32,Высшее,выше среднего,18/12/2012 12:35:37,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1
,Team lead,,,6,2.5,3700,1200,Киев,свыше 1000 человек,m,29,Высшее,выше среднего,18/12/2012 12:35:44,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,C++,,6,1,2500,600,Киев,до 50 человек,m,26,Высшее,выше среднего,18/12/2012 12:35:45,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/25.0.1359.3 Safari/537.21"
,Software Engineer,PHP,,2,меньше 3 месяцев,1250,450,Львов,до 1000 человек,m,23,Высшее,средний,18/12/2012 12:36:14,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Верстальщик,,,2,1.25,1100,300,Киев,до 1000 человек,m,27,Высшее,средний,18/12/2012 12:36:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Верстальщик,,,3,3,800,100,Полтава,до 10 человек,m,25,Высшее,средний,18/12/2012 12:36:32,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.11
,Senior Software Engineer,C#/.NET,,8,0.5,3300,1000,Львов,до 200 человек,m,29,Высшее,выше среднего,18/12/2012 12:36:37,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0
,QA engineer,,Manual QA,5.5,2,1300,0,Львов,свыше 1000 человек,m,28,Высшее,выше среднего,18/12/2012 12:36:43,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Senior Software Engineer,Objective-C,,6,3,2100,0,Днепропетровск,до 10 человек,m,25,Среднее,выше среднего,18/12/2012 12:36:43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Other,,5.5,0.5,3000,1000,Симферополь,до 10 человек,m,27,Высшее,выше среднего,18/12/2012 12:36:45,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)
,Software Engineer,JavaScript,,3,1.5,3100,600,Одесса,до 10 человек,m,34,Высшее,ниже среднего,18/12/2012 12:37:36,Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,Objective-C,,1.5,1.5,650,180,Львов,до 50 человек,m,22,Высшее,средний,18/12/2012 12:37:40,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,Python,,3,1.75,1200,0,Киев,до 10 человек,m,24,Высшее,средний,18/12/2012 12:37:50,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Верстальщик,,,2,1.5,700,0,Киев,до 50 человек,m,24,Высшее,ниже среднего,18/12/2012 12:38:06,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4"
,Junior QA engineer,,Manual QA,1.5,1.5,750,450,Львов,свыше 1000 человек,m,25,Два высших,средний,18/12/2012 12:38:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Team lead,,,6,3,10000,0,Киев,до 10 человек,f,24,Два высших,продвинутый,18/12/2012 12:38:27,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,Ruby/Rails,,8,3.5,4750,1500,Киев,до 10 человек,m,27,Высшее,продвинутый,18/12/2012 12:38:32,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:18.0) Gecko/20100101 Firefox/18.0
,Software Engineer,Other,,2,2,1200,400,Киев,до 1000 человек,m,25,Высшее,средний,18/12/2012 12:38:38,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.11
,QA engineer,,General QA,2,1,950,0,Днепропетровск,до 200 человек,f,25,Два высших,выше среднего,18/12/2012 12:38:41,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Junior Software Engineer,C,,0.5,0.5,400,400,Львов,свыше 1000 человек,m,21,Незаконченное высшее,средний,18/12/2012 12:38:50,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
,Director of Engineering / Program Director,,,5,5,4500,500,Киев,до 50 человек,m,29,Высшее,продвинутый,18/12/2012 12:38:52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Python,,2.5,1.5,1100,400,Харьков,до 200 человек,m,24,Высшее,средний,18/12/2012 12:40:05,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
,Software Engineer,Python,,9,1,1600,0,Харьков,до 50 человек,m,27,Высшее,средний,18/12/2012 12:40:18,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.35 Safari/537.17"
,Software Engineer,PHP,,3,0.75,1800,0,Киев,до 50 человек,m,25,Высшее,средний,18/12/2012 12:40:23,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Бизнес-аналитик,,,4.5,2.5,1500,500,Харьков,до 200 человек,m,27,Два высших,средний,18/12/2012 12:40:49,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.11
,QA engineer,,General QA,4,4,1600,150,Одесса,до 1000 человек,m,28,Высшее,средний,18/12/2012 12:40:55,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.3; .NET4.0E)
,Senior Software Engineer,Java,,10 и более лет,6,950,0,Киев,до 50 человек,m,41,Высшее,элементарный,18/12/2012 12:42:06,Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0
,Junior Software Engineer,Java,,1.25,0.75,700,500,Одесса,до 200 человек,m,25,Высшее,средний,18/12/2012 12:42:31,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.3) Gecko/20121202 Firefox/15.3.2 PaleMoon/15.3.2
,Senior Software Engineer,C#/.NET,,7.5,5.5,2100,400,Львов,до 200 человек,m,27,Высшее,средний,18/12/2012 12:42:35,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)
,Software Engineer,Java,,2,1.5,1650,900,Харьков,свыше 1000 человек,m,28,Высшее,средний,18/12/2012 12:42:49,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Junior Software Engineer,C#/.NET,,1.75,0.75,1200,400,Киев,до 200 человек,m,22,Незаконченное высшее,средний,18/12/2012 12:42:49,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,C++,,2,2,1000,400,Львов,до 50 человек,m,20,Незаконченное высшее,выше среднего,18/12/2012 12:42:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Junior QA engineer,,Manual QA,1,0.25,300,0,Симферополь,до 50 человек,m,22,Высшее,средний,18/12/2012 12:42:52,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0
,Software Engineer,JavaScript,,2,0.75,1000,0,Киев,до 200 человек,m,21,Незаконченное высшее,средний,18/12/2012 12:43:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Software Engineer,Ruby/Rails,,1.5,меньше 3 месяцев,1500,600,Харьков,до 200 человек,m,24,Незаконченное высшее,выше среднего,18/12/2012 12:43:43,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
,Senior Software Engineer,Java,,5,0.5,4000,800,Киев,до 50 человек,m,26,Высшее,выше среднего,18/12/2012 12:44:03,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0
,Technical Lead,Ruby/Rails,,4.5,0.25,3000,800,Киев,до 200 человек,m,26,Высшее,средний,18/12/2012 12:44:21,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:17.0) Gecko/20100101 Firefox/17.0
,Technical Lead,C#/.NET,,8,3,3100,500,Киев,свыше 1000 человек,m,31,Высшее,выше среднего,18/12/2012 12:45:21,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Senior Software Engineer,C#/.NET,,6,0.75,2000,0,Харьков,до 200 человек,m,26,Высшее,средний,18/12/2012 12:45:34,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11"
