"Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"13","Junior Software Engineer","PHP","","1.25","1.25",1100,700,"Харьков","до 200 человек","Аутсорсинговая","мужской",22,"Высшее","False","выше среднего","","19/05/2014 11:32:17","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36",1.25,1.25,"Харьков",1100,NA,"DEV"
"14","QA Tech Lead","","General QA","8","0.5",2700,500,"Одесса","до 200 человек","Продуктовая","мужской",28,"Высшее","False","средний","Веб-разработка,eCommerce","19/05/2014 11:32:32","Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0",8,0.5,"Одесса",2700,NA,"QA"
"15","Дизайнер","","","меньше 3 месяцев","меньше 3 месяцев",500,0,"Харьков","до 50 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","True","элементарный","Мультимедиа","19/05/2014 11:32:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",0,0,"Харьков",500,NA,""
"16","Software Engineer","Java","","3","1",2000,0,"Одесса","до 1000 человек","Аутсорсинговая","мужской",39,"Высшее","False","средний","Веб-разработка,Финансы и банки","19/05/2014 11:32:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,1,"Одесса",2000,NA,"DEV"
"17","QA Tech Lead","","Manual QA","8","0.5",3000,200,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","продвинутый","Desktop Applications,Корпоративные системы","19/05/2014 11:32:55","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",8,0.5,"Киев",3000,NA,"QA"
"18","Software Engineer","Java","","2","1.25",2000,500,"Харьков","до 50 человек","Аутсорсинговая","мужской",21,"Незаконченное высшее","False","выше среднего","Android","19/05/2014 11:33:34","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2,1.25,"Харьков",2000,NA,"DEV"
"19","HR","","","6","2",1450,250,"Ужгород","до 50 человек","Аутстаффинговая","женский",29,"Высшее","False","выше среднего","Другое","19/05/2014 11:34:01","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36",6,2,"other",1450,NA,""
"20","Sales manager","","","6","0.5",1000,0,"Львов","до 10 человек","Аутсорсинговая","мужской",28,"Высшее","False","продвинутый","","19/05/2014 11:34:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",6,0.5,"Львов",1000,NA,""
"21","Senior Software Engineer","C#/.NET","","6","0.75",2700,1000,"Харьков","до 200 человек","Аутсорсинговая","мужской",29,"Высшее","False","выше среднего","Корпоративные системы,Мультимедиа","19/05/2014 11:34:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",6,0.75,"Харьков",2700,NA,"DEV"
"22","Software Engineer","Java","","5.5","5.5",2000,200,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","средний","Веб-разработка,Корпоративные системы","19/05/2014 11:34:35","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0",5.5,5.5,"Львов",2000,NA,"DEV"
"23","Software Engineer","Ruby/Rails","","2","меньше 3 месяцев",1000,400,"Днепр.","до 10 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Веб-разработка","19/05/2014 11:35:18","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0",2,0,"Днепр.",1000,NA,"DEV"
"24","Software Engineer","C#/.NET","","2.5","2.5",1000,200,"Житомир","до 200 человек","Продуктовая","мужской",26,"Высшее","False","выше среднего","Desktop Applications,Веб-разработка","19/05/2014 11:35:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2.5,2.5,"other",1000,NA,"DEV"
"25","Project manager","","","3.5","1.5",800,0,"Николаев","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","Android,iOS","19/05/2014 11:35:22","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3.5,1.5,"other",800,NA,"PM"
"26","QA engineer","","Manual QA","1","1",450,150,"Киев","до 10 человек","Стартап","мужской",24,"Незаконченное высшее","True","средний","eCommerce,Корпоративные системы","19/05/2014 11:35:35","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1,1,"Киев",450,NA,"QA"
"27","Senior Software Engineer","Python","","10 и более лет","3",4400,200,"Львов","до 200 человек","Продуктовая","мужской",31,"Высшее","False","выше среднего","Веб-разработка,Системное программирование","19/05/2014 11:35:44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:28.0) Gecko/20100101 Firefox/28.0",10,3,"Львов",4400,NA,"DEV"
"28","Software Engineer","C++","","3","1.25",1710,200,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","Финансы и банки,Корпоративные системы","19/05/2014 11:36:40","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",3,1.25,"Киев",1710,NA,"DEV"
"29","Junior QA engineer","","Manual QA","меньше 3 месяцев","меньше 3 месяцев",600,100,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",32,"Высшее","False","средний","Android,Embedded","19/05/2014 11:36:56","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36",0,0,"Харьков",600,NA,"QA"
"30","Senior Software Engineer","JavaScript","","5.5","0.5",3100,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",24,"Незаконченное высшее","False","выше среднего","Веб-разработка","19/05/2014 11:37:28","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",5.5,0.5,"Киев",3100,NA,"DEV"
"31","Senior QA engineer","","Manual QA","4","1",2300,300,"Днепр.","свыше 1000 человек","Аутстаффинговая","мужской",28,"Высшее","False","выше среднего","Desktop Applications,Веб-разработка","19/05/2014 11:37:38","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",4,1,"Днепр.",2300,NA,"QA"
"32","Software Engineer","C#/.NET","","2.5","2.5",1100,300,"Харьков","до 1000 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Desktop Applications,Веб-разработка","19/05/2014 11:38:03","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2.5,2.5,"Харьков",1100,NA,"DEV"
"33","Системный администратор","","","2","1",300,0,"Другой","до 10 человек","Другая","мужской",24,"Высшее","False","выше среднего","Другое","19/05/2014 11:38:21","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0",2,1,"other",300,NA,"ADM"
"34","Software Engineer","Java","","2.5","0.75",1600,800,"Одесса","до 200 человек","Аутстаффинговая","мужской",24,"Высшее","False","средний","Android","19/05/2014 11:38:44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36 OPR/21.0.1432.67",2.5,0.75,"Одесса",1600,NA,"DEV"
"35","Software Engineer","Objective-C","","2","0.5",1200,700,"Харьков","до 10 человек","Аутсорсинговая","мужской",22,"Высшее","False","ниже среднего","iOS","19/05/2014 11:38:54","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0",2,0.5,"Харьков",1200,NA,"DEV"
"36","QA engineer","","General QA","3","0.5",1900,900,"Одесса","до 1000 человек","Аутстаффинговая","мужской",27,"Высшее","False","выше среднего","Веб-разработка,Финансы и банки","19/05/2014 11:39:10","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,0.5,"Одесса",1900,NA,"QA"
"37","Software Engineer","PHP","","6","2",3200,200,"Киев","до 200 человек","Продуктовая","мужской",30,"Высшее","False","выше среднего","Веб-разработка","19/05/2014 11:39:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",6,2,"Киев",3200,NA,"DEV"
"38","Senior Software Engineer","Ruby/Rails","","3","1",3300,1000,"Киев","до 50 человек","Продуктовая","мужской",27,"Среднее","False","средний","Веб-разработка","19/05/2014 11:39:35","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,1,"Киев",3300,NA,"DEV"
"39","Junior QA engineer","","Automation QA","1.75","0.5",1000,600,"Львов","до 200 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","Веб-разработка","19/05/2014 11:39:42","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1.75,0.5,"Львов",1000,NA,"QA"
"40","Project manager","","","3.5","меньше 3 месяцев",800,0,"Днепр.","до 10 человек","Продуктовая","женский",29,"Два высших","False","продвинутый","Веб-разработка","19/05/2014 11:40:22","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",3.5,0,"Днепр.",800,NA,"PM"
"41","Junior Software Engineer","Python","","1.25","1.25",650,150,"Харьков","до 10 человек","Аутсорсинговая","мужской",28,"Среднее","False","средний","Веб-разработка","19/05/2014 11:40:50","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36",1.25,1.25,"Харьков",650,NA,"DEV"
"42","QA engineer","","Manual QA","2","1.75",900,1,"Киев","до 10 человек","Продуктовая","мужской",24,"Незаконченное высшее","False","средний","iOS,Веб-разработка","19/05/2014 11:40:57","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",2,1.75,"Киев",900,NA,"QA"
"43","Software Engineer","PHP","","2.5","0.5",2300,700,"Киев","до 200 человек","Аутстаффинговая","мужской",21,"Среднее","False","ниже среднего","Веб-разработка","19/05/2014 11:40:58","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36",2.5,0.5,"Киев",2300,NA,"DEV"
"44","Junior Software Engineer","Java","","0.75","0.5",1200,700,"Одесса","свыше 1000 человек","Аутстаффинговая","мужской",31,"Высшее","False","средний","Веб-разработка,Другое","19/05/2014 11:41:09","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:16.0) Gecko/20100101 Firefox/16.0",0.75,0.5,"Одесса",1200,NA,"DEV"
"45","Системный администратор","","","7","1.25",2000,200,"Киев","до 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","выше среднего","Корпоративные системы","19/05/2014 11:41:48","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",7,1.25,"Киев",2000,NA,"ADM"
"46","Software Engineer","PHP","","6","3",2500,0,"Харьков","до 10 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","Веб-разработка","19/05/2014 11:41:51","Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0",6,3,"Харьков",2500,NA,"DEV"
"47","Senior QA engineer","","Manual QA","7","4",2050,0,"Львов","до 1000 человек","Аутсорсинговая","мужской",29,"Высшее","False","выше среднего","Embedded","19/05/2014 11:41:59","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36",7,4,"Львов",2050,NA,"QA"
"48","Software Engineer","Delphi","","10 и более лет","1",1800,250,"Львов","до 200 человек","Аутсорсинговая","мужской",32,"Высшее","False","средний","Desktop Applications,Корпоративные системы","19/05/2014 11:42:05","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",10,1,"Львов",1800,NA,"DEV"
"49","Junior QA engineer","","Manual QA","0.25","0.25",400,0,"Киев","до 50 человек","Аутсорсинговая","мужской",21,"Незаконченное высшее","True","продвинутый","Веб-разработка,eCommerce","19/05/2014 11:42:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",0.25,0.25,"Киев",400,NA,"QA"
"50","Software Engineer","Ruby/Rails","","9","8",2500,0,"Харьков","до 50 человек","Аутстаффинговая","мужской",31,"Высшее","False","выше среднего","Веб-разработка","19/05/2014 11:42:23","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",9,8,"Харьков",2500,NA,"DEV"
"51","Junior Software Engineer","PHP","","1.75","0.75",800,425,"Днепр.","до 200 человек","Аутсорсинговая","мужской",20,"Незаконченное высшее","True","продвинутый","Веб-разработка,eCommerce","19/05/2014 11:42:25","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1.75,0.75,"Днепр.",800,NA,"DEV"
"52","Senior Software Engineer","Objective-C","","4.5","меньше 3 месяцев",2400,700,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","iOS","19/05/2014 11:42:33","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",4.5,0,"Львов",2400,NA,"DEV"
"53","Senior QA engineer","","General QA","5.5","2.5",1750,300,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","Веб-разработка","19/05/2014 11:42:45","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",5.5,2.5,"Харьков",1750,NA,"QA"
"54","Senior Software Engineer","C#/.NET","","8","6",2750,100,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",24,"Техникум / Колледж","False","средний","Веб-разработка,Корпоративные системы","19/05/2014 11:42:57","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",8,6,"Киев",2750,NA,"DEV"
"55","Системный администратор","","","8","2",300,300,"Запорожье","свыше 1000 человек","Другая","мужской",36,"Высшее","False","ниже среднего","Телекоммуникации","19/05/2014 11:42:57","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",8,2,"other",300,NA,"ADM"
"56","Senior Software Engineer","Flex/Flash/AIR","","8","3",3400,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",31,"Высшее","False","выше среднего","Gamedev","19/05/2014 11:43:13","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",8,3,"Киев",3400,NA,"DEV"
"57","Junior Software Engineer","C","","1","1",650,150,"Харьков","до 1000 человек","Аутстаффинговая","мужской",26,"Высшее","False","средний","Embedded","19/05/2014 11:43:13","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",1,1,"Харьков",650,NA,"DEV"
"58","Software Engineer","C#/.NET","","6","6",2500,300,"Киев","до 1000 человек","Продуктовая","мужской",27,"Высшее","False","средний","Корпоративные системы","19/05/2014 11:43:25","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",6,6,"Киев",2500,NA,"DEV"
"59","Junior Software Engineer","Python","","0.75","0.75",833,0,"Киев","до 50 человек","Аутстаффинговая","мужской",23,"Высшее","False","средний","Веб-разработка,Финансы и банки","19/05/2014 11:43:50","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",0.75,0.75,"Киев",833,NA,"DEV"
"60","Junior Software Engineer","C#/.NET","","1","1",550,350,"Винница","до 1000 человек","Аутстаффинговая","мужской",22,"Незаконченное высшее","False","ниже среднего","Веб-разработка","19/05/2014 11:44:28","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",1,1,"other",550,NA,"DEV"
"61","HR","","","1.5","1.5",400,20,"Харьков","до 50 человек","Продуктовая","женский",23,"Высшее","False","средний","Embedded,Системное программирование","19/05/2014 11:44:39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.149 Safari/537.36",1.5,1.5,"Харьков",400,NA,""
"62","Senior Software Engineer","PHP","","2.5","1",3500,1200,"Киев","до 200 человек","Продуктовая","мужской",26,"Высшее","False","выше среднего","Веб-разработка,Другое","19/05/2014 11:44:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2.5,1,"Киев",3500,NA,"DEV"
"63","Project manager","","","5","2",5200,580,"Киев","свыше 1000 человек","Продуктовая","мужской",31,"Незаконченное высшее","False","средний","Финансы и банки,Корпоративные системы","19/05/2014 11:44:59","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",5,2,"Киев",5200,NA,"PM"
"64","Software Engineer","Other","","5.5","3",1800,300,"Харьков","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Мультимедиа,Другое","19/05/2014 11:45:00","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36",5.5,3,"Харьков",1800,NA,"DEV"
"65","Junior QA engineer","","Manual QA","1.5","0.5",1000,500,"Одесса","свыше 1000 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Android,iOS","19/05/2014 11:45:00","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",1.5,0.5,"Одесса",1000,NA,"QA"
"66","Team lead","","","4","меньше 3 месяцев",4000,300,"Днепр.","до 200 человек","Аутсорсинговая","мужской",27,"Высшее","False","средний","Desktop Applications","19/05/2014 11:45:05","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0",4,0,"Днепр.",4000,NA,"PM"
"67","Senior Software Engineer","Java","","7","0.25",3000,1000,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",27,"Среднее","False","средний","Веб-разработка","19/05/2014 11:45:34","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",7,0.25,"Львов",3000,NA,"DEV"
"68","Software Engineer","JavaScript","","4.5","меньше 3 месяцев",2500,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","Веб-разработка","19/05/2014 11:45:35","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36",4.5,0,"Киев",2500,NA,"DEV"
"69","Верстальщик","","","2.5","0.25",1300,400,"Киев","до 10 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Веб-разработка,eCommerce","19/05/2014 11:46:05","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",2.5,0.25,"Киев",1300,NA,""
"70","Software Engineer","Java","","0.75","0.25",1400,0,"Одесса","до 50 человек","Стартап","мужской",23,"Высшее","False","средний","Android","19/05/2014 11:46:16","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.99 Safari/537.36",0.75,0.25,"Одесса",1400,NA,"DEV"
"71","Technical Lead","PHP","","4","1",3500,600,"Киев","до 50 человек","Продуктовая","мужской",23,"Незаконченное высшее","False","выше среднего","Веб-разработка,Корпоративные системы","19/05/2014 11:46:18","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36",4,1,"Киев",3500,NA,"SDEV"
"72","Project manager","","","7.5","3",3300,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","продвинутый","Android,Веб-разработка","19/05/2014 11:46:22","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",7.5,3,"Киев",3300,NA,"PM"
"73","Senior Software Engineer","Python","","3","0.25",3500,500,"Киев","до 50 человек","Продуктовая","мужской",27,"Высшее","False","выше среднего","Веб-разработка,Gamedev","19/05/2014 11:46:26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,0.25,"Киев",3500,NA,"DEV"
"74","Project manager","","","3","1.75",1700,700,"Харьков","до 200 человек","Продуктовая","женский",28,"Высшее","False","продвинутый","Веб-разработка,Другое","19/05/2014 11:46:26","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",3,1.75,"Харьков",1700,NA,"PM"
