Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
Software Engineer,Ruby/Rails,,2,меньше 3 месяцев,1000,400,Днепропетровск,до 10 человек,Аутсорсинговая,m,23,Высшее,False,средний,Веб-разработка,19/05/2014 11:35:18,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0
Software Engineer,C#/.NET,,2.5,2.5,1000,200,Житомир,до 200 человек,Продуктовая,m,26,Высшее,False,выше среднего,"Desktop Applications,Веб-разработка",19/05/2014 11:35:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Project manager,,,3.5,1.5,800,0,Николаев,до 1000 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,"Android,iOS",19/05/2014 11:35:22,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
QA engineer,,Manual QA,1,1,450,150,Киев,до 10 человек,Стартап,m,24,Незаконченное высшее,True,средний,"eCommerce,Корпоративные системы",19/05/2014 11:35:35,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,Python,,10 и более лет,3,4400,200,Львов,до 200 человек,Продуктовая,m,31,Высшее,False,выше среднего,"Веб-разработка,Системное программирование",19/05/2014 11:35:44,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:28.0) Gecko/20100101 Firefox/28.0
Software Engineer,C++,,3,1.25,1710,200,Киев,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,"Финансы и банки,Корпоративные системы",19/05/2014 11:36:40,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
Junior QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,600,100,Харьков,свыше 1000 человек,Аутсорсинговая,m,32,Высшее,False,средний,"Android,Embedded",19/05/2014 11:36:56,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36"
Senior Software Engineer,JavaScript,,5.5,0.5,3100,500,Киев,свыше 1000 человек,Аутсорсинговая,m,24,Незаконченное высшее,False,выше среднего,Веб-разработка,19/05/2014 11:37:28,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior QA engineer,,Manual QA,4,1,2300,300,Днепропетровск,свыше 1000 человек,Аутстаффинговая,m,28,Высшее,False,выше среднего,"Desktop Applications,Веб-разработка",19/05/2014 11:37:38,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,C#/.NET,,2.5,2.5,1100,300,Харьков,до 1000 человек,Аутсорсинговая,m,23,Высшее,False,средний,"Desktop Applications,Веб-разработка",19/05/2014 11:38:03,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Системный администратор,,,2,1,300,0,Другой,до 10 человек,Другая,m,24,Высшее,False,выше среднего,Другое,19/05/2014 11:38:21,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:29.0) Gecko/20100101 Firefox/29.0
Software Engineer,Java,,2.5,0.75,1600,800,Одесса,до 200 человек,Аутстаффинговая,m,24,Высшее,False,средний,Android,19/05/2014 11:38:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36 OPR/21.0.1432.67"
Software Engineer,Objective-C,,2,0.5,1200,700,Харьков,до 10 человек,Аутсорсинговая,m,22,Высшее,False,ниже среднего,iOS,19/05/2014 11:38:54,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0
QA engineer,,General QA,3,0.5,1900,900,Одесса,до 1000 человек,Аутстаффинговая,m,27,Высшее,False,выше среднего,"Веб-разработка,Финансы и банки",19/05/2014 11:39:10,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,PHP,,6,2,3200,200,Киев,до 200 человек,Продуктовая,m,30,Высшее,False,выше среднего,Веб-разработка,19/05/2014 11:39:19,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Senior Software Engineer,Ruby/Rails,,3,1,3300,1000,Киев,до 50 человек,Продуктовая,m,27,Среднее,False,средний,Веб-разработка,19/05/2014 11:39:35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior QA engineer,,Automation QA,1.75,0.5,1000,600,Львов,до 200 человек,Аутсорсинговая,m,25,Высшее,False,средний,Веб-разработка,19/05/2014 11:39:42,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Project manager,,,3.5,меньше 3 месяцев,800,0,Днепропетровск,до 10 человек,Продуктовая,f,29,Два высших,False,продвинутый,Веб-разработка,19/05/2014 11:40:22,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Junior Software Engineer,Python,,1.25,1.25,650,150,Харьков,до 10 человек,Аутсорсинговая,m,28,Среднее,False,средний,Веб-разработка,19/05/2014 11:40:50,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36"
QA engineer,,Manual QA,2,1.75,900,1,Киев,до 10 человек,Продуктовая,m,24,Незаконченное высшее,False,средний,"iOS,Веб-разработка",19/05/2014 11:40:57,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Software Engineer,PHP,,2.5,0.5,2300,700,Киев,до 200 человек,Аутстаффинговая,m,21,Среднее,False,ниже среднего,Веб-разработка,19/05/2014 11:40:58,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36"
Junior Software Engineer,Java,,0.75,0.5,1200,700,Одесса,свыше 1000 человек,Аутстаффинговая,m,31,Высшее,False,средний,"Веб-разработка,Другое",19/05/2014 11:41:09,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:16.0) Gecko/20100101 Firefox/16.0
Системный администратор,,,7,1.25,2000,200,Киев,до 1000 человек,Аутсорсинговая,m,27,Высшее,False,выше среднего,Корпоративные системы,19/05/2014 11:41:48,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,PHP,,6,3,2500,0,Харьков,до 10 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,Веб-разработка,19/05/2014 11:41:51,Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0
Senior QA engineer,,Manual QA,7,4,2050,0,Львов,до 1000 человек,Аутсорсинговая,m,29,Высшее,False,выше среднего,Embedded,19/05/2014 11:41:59,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36"
Software Engineer,Delphi,,10 и более лет,1,1800,250,Львов,до 200 человек,Аутсорсинговая,m,32,Высшее,False,средний,"Desktop Applications,Корпоративные системы",19/05/2014 11:42:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior QA engineer,,Manual QA,0.25,0.25,400,0,Киев,до 50 человек,Аутсорсинговая,m,21,Незаконченное высшее,True,продвинутый,"Веб-разработка,eCommerce",19/05/2014 11:42:14,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Ruby/Rails,,9,8,2500,0,Харьков,до 50 человек,Аутстаффинговая,m,31,Высшее,False,выше среднего,Веб-разработка,19/05/2014 11:42:23,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Junior Software Engineer,PHP,,1.75,0.75,800,425,Днепропетровск,до 200 человек,Аутсорсинговая,m,20,Незаконченное высшее,True,продвинутый,"Веб-разработка,eCommerce",19/05/2014 11:42:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,Objective-C,,4.5,меньше 3 месяцев,2400,700,Львов,свыше 1000 человек,Аутсорсинговая,m,24,Высшее,False,средний,iOS,19/05/2014 11:42:33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior QA engineer,,General QA,5.5,2.5,1750,300,Харьков,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,Веб-разработка,19/05/2014 11:42:45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Senior Software Engineer,C#/.NET,,8,6,2750,100,Киев,свыше 1000 человек,Аутсорсинговая,m,24,Техникум / Колледж,False,средний,"Веб-разработка,Корпоративные системы",19/05/2014 11:42:57,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Системный администратор,,,8,2,300,300,Запорожье,свыше 1000 человек,Другая,m,36,Высшее,False,ниже среднего,Телекоммуникации,19/05/2014 11:42:57,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Senior Software Engineer,Flex/Flash/AIR,,8,3,3400,0,Киев,свыше 1000 человек,Аутсорсинговая,m,31,Высшее,False,выше среднего,Gamedev,19/05/2014 11:43:13,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Junior Software Engineer,C,,1,1,650,150,Харьков,до 1000 человек,Аутстаффинговая,m,26,Высшее,False,средний,Embedded,19/05/2014 11:43:13,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Software Engineer,C#/.NET,,6,6,2500,300,Киев,до 1000 человек,Продуктовая,m,27,Высшее,False,средний,Корпоративные системы,19/05/2014 11:43:25,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Junior Software Engineer,Python,,0.75,0.75,833,0,Киев,до 50 человек,Аутстаффинговая,m,23,Высшее,False,средний,"Веб-разработка,Финансы и банки",19/05/2014 11:43:50,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Junior Software Engineer,C#/.NET,,1,1,550,350,Винница,до 1000 человек,Аутстаффинговая,m,22,Незаконченное высшее,False,ниже среднего,Веб-разработка,19/05/2014 11:44:28,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
HR,,,1.5,1.5,400,20,Харьков,до 50 человек,Продуктовая,f,23,Высшее,False,средний,"Embedded,Системное программирование",19/05/2014 11:44:39,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.149 Safari/537.36"
Senior Software Engineer,PHP,,2.5,1,3500,1200,Киев,до 200 человек,Продуктовая,m,26,Высшее,False,выше среднего,"Веб-разработка,Другое",19/05/2014 11:44:45,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Project manager,,,5,2,5200,580,Киев,свыше 1000 человек,Продуктовая,m,31,Незаконченное высшее,False,средний,"Финансы и банки,Корпоративные системы",19/05/2014 11:44:59,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Other,,5.5,3,1800,300,Харьков,до 50 человек,Аутсорсинговая,m,24,Высшее,False,средний,"Мультимедиа,Другое",19/05/2014 11:45:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36"
Junior QA engineer,,Manual QA,1.5,0.5,1000,500,Одесса,свыше 1000 человек,Аутсорсинговая,m,23,Высшее,False,средний,"Android,iOS",19/05/2014 11:45:00,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Team lead,,,4,меньше 3 месяцев,4000,300,Днепропетровск,до 200 человек,Аутсорсинговая,m,27,Высшее,False,средний,Desktop Applications,19/05/2014 11:45:05,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Senior Software Engineer,Java,,7,0.25,3000,1000,Львов,свыше 1000 человек,Аутсорсинговая,m,27,Среднее,False,средний,Веб-разработка,19/05/2014 11:45:34,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Software Engineer,JavaScript,,4.5,меньше 3 месяцев,2500,500,Киев,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,Веб-разработка,19/05/2014 11:45:35,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36"
Верстальщик,,,2.5,0.25,1300,400,Киев,до 10 человек,Аутсорсинговая,m,24,Высшее,False,средний,"Веб-разработка,eCommerce",19/05/2014 11:46:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Java,,0.75,0.25,1400,0,Одесса,до 50 человек,Стартап,m,23,Высшее,False,средний,Android,19/05/2014 11:46:16,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.99 Safari/537.36"
Technical Lead,PHP,,4,1,3500,600,Киев,до 50 человек,Продуктовая,m,23,Незаконченное высшее,False,выше среднего,"Веб-разработка,Корпоративные системы",19/05/2014 11:46:18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36"
Project manager,,,7.5,3,3300,500,Киев,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,продвинутый,"Android,Веб-разработка",19/05/2014 11:46:22,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
Senior Software Engineer,Python,,3,0.25,3500,500,Киев,до 50 человек,Продуктовая,m,27,Высшее,False,выше среднего,"Веб-разработка,Gamedev",19/05/2014 11:46:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Project manager,,,3,1.75,1700,700,Харьков,до 200 человек,Продуктовая,f,28,Высшее,False,продвинутый,"Веб-разработка,Другое",19/05/2014 11:46:26,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,Python,,3,3,2350,500,Киев,до 50 человек,Аутсорсинговая,m,23,Высшее,False,выше среднего,"Веб-разработка,Финансы и банки",19/05/2014 11:46:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Project manager,,,4,1.75,1700,500,Львов,до 1000 человек,Аутсорсинговая,m,25,Высшее,False,выше среднего,Веб-разработка,19/05/2014 11:46:34,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
QA engineer,,General QA,2.5,1,1600,400,Львов,до 50 человек,Аутсорсинговая,m,24,Высшее,False,средний,"Desktop Applications,Другое",19/05/2014 11:46:45,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,Scala,,6.5,2.5,3700,300,Киев,до 50 человек,Аутстаффинговая,m,29,Высшее,False,средний,"Веб-разработка,Корпоративные системы",19/05/2014 11:46:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.132 Safari/537.36"
Junior QA engineer,,General QA,1,0.5,350,300,Киев,до 200 человек,Продуктовая,m,28,Высшее,False,ниже среднего,"Веб-разработка,Корпоративные системы",19/05/2014 11:47:02,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Software Engineer,Python,,3.5,1.5,3000,400,Другой,свыше 1000 человек,Продуктовая,m,23,Два высших,False,средний,"Веб-разработка,Телекоммуникации",19/05/2014 11:47:07,"Mozilla/5.0 (X11; Linux i686 (x86_64)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Software Engineer,C#/.NET,,3,0.25,2200,700,Харьков,до 200 человек,Аутсорсинговая,m,26,Незаконченное высшее,False,средний,"Веб-разработка,Корпоративные системы",19/05/2014 11:47:10,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,Objective-C,,6,2,3900,500,Киев,до 10 человек,Продуктовая,m,26,Высшее,False,средний,iOS,19/05/2014 11:47:20,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0
Senior Software Engineer,C#/.NET,,10 и более лет,5,2800,0,Киев,свыше 1000 человек,Аутсорсинговая,m,32,Высшее,False,продвинутый,"Веб-разработка,Корпоративные системы",19/05/2014 11:47:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Senior Software Engineer,JavaScript,,6.5,5,1700,0,Харьков,до 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,Веб-разработка,19/05/2014 11:47:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
Junior QA engineer,,Manual QA,2.5,0.75,900,0,Днепропетровск,свыше 1000 человек,Аутсорсинговая,f,24,Высшее,False,выше среднего,Финансы и банки,19/05/2014 11:47:39,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
Верстальщик,,,6.5,5.5,1800,0,Харьков,до 200 человек,Аутсорсинговая,m,29,Два высших,False,ниже среднего,Веб-разработка,19/05/2014 11:47:40,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0
Senior Software Engineer,Objective-C,,10 и более лет,4,3500,0,Киев,до 50 человек,Продуктовая,m,38,Высшее,False,элементарный,Desktop Applications,19/05/2014 11:48:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14"
Software Engineer,Java,,2.5,2.5,1400,200,Киев,свыше 1000 человек,Продуктовая,m,24,Высшее,False,средний,Android,19/05/2014 11:48:14,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
