"","X","Возраст","Пол","Должность","Образование","Язык.программирования","Индустрия","Предметная.область","Доп..специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Средняя.зарплата.в.месяц","Валюта","Годовые.премии.и.бонусы","Валюта.1","Размер.компании","Город","Уровень.английского","Дата.заполнения","User.Agent","exp","loc","salary","cls"
"13",NA,30,"m","Senior Software Engineer","Высшее","C++","Нету",NA,"","5","4",2000,"d",0,"d","до 10 человек","Днепр.","выше среднего","24/05/2012 10:45:26","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:15.0) Gecko/15.0 Firefox/15.0a1",5,"Днепр.",2000,"DEV"
"14",NA,23,"m","Software Engineer","Высшее","PHP","Нету",NA,"","3","1",1200,"d",0,"d","до 50 человек","Днепр.","выше среднего","24/05/2012 10:46:07","Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20100101 Firefox/12.0",3,"Днепр.",1200,"DEV"
"15",NA,23,"m","Software Engineer","Высшее","C#/.NET","Нету",NA,"","4.5","1.5",2000,"d",0,"d","до 200 человек","Харьков","выше среднего","24/05/2012 10:46:15","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0",4.5,"Харьков",2000,"DEV"
"16",NA,23,"m","Software Engineer","Высшее","Ruby/Rails","Нету",NA,"","3","3",1200,"d",0,"d","до 200 человек","Харьков","средний","24/05/2012 10:47:15","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5",3,"Харьков",1200,"DEV"
"17",NA,29,"m","Software Engineer","Высшее","C#/.NET","Нету",NA,"","2","0.5",2700,"d",0,"d","до 200 человек","Одесса","выше среднего","24/05/2012 10:47:25","Opera/9.80 (Windows NT 6.1; WOW64; U; en) Presto/2.10.229 Version/11.64",2,"other",2700,"DEV"
"18",NA,35,"m","Software Engineer","Высшее","C++","Нету",NA,"","10 и более лет","10 и более лет",1300,"d",2400,"d","до 10 человек","Киев","элементарный","24/05/2012 10:47:40","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",10,"Киев",1300,"DEV"
"19",NA,25,"m","Senior QA engineer","Высшее","","Нету",NA,"General QA","2","1",2200,"d",0,"d","до 200 человек","Одесса","выше среднего","24/05/2012 10:47:41","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0",2,"other",2200,"QA"
"20",NA,25,"f","QA engineer","Высшее","","Нету",NA,"Manual QA","1.75","0.75",1000,"d",0,"d","до 100 человек","Харьков","ниже среднего","24/05/2012 10:47:53","Opera/9.80 (Windows NT 6.1; U; Edition Ukraine Local; en) Presto/2.10.229 Version/11.64",1.75,"Харьков",1000,"QA"
"21",NA,28,"f","Senior QA engineer","Высшее","","Нету",NA,"Manual QA","4","0.5",2300,"d",0,"d","до 200 человек","Киев","средний","24/05/2012 10:48:07","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",4,"Киев",2300,"QA"
"22",NA,23,"m","Senior Software Engineer","Высшее","Python","Нету",NA,"","5","0.5",3000,"d",0,"d","до 50 человек","Киев","выше среднего","24/05/2012 10:48:13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:14.0) Gecko/20120522 Firefox/14.0a2",5,"Киев",3000,"DEV"
"23",NA,29,"m","Senior Software Engineer","Высшее","C#/.NET","Нету",NA,"","7","0.5",3200,"d",0,"d","до 50 человек","Киев","средний","24/05/2012 10:48:15","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5",7,"Киев",3200,"DEV"
"24",NA,30,"m","Technical Lead","Высшее","Java","Нету",NA,"","10 и более лет","2",3400,"d",0,"d","до 200 человек","Киев","выше среднего","24/05/2012 10:48:39","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19",10,"Киев",3400,"SDEV"
"25",NA,24,"m","Software Engineer","Незаконченное высшее","Objective-C","Нету",NA,"","3","2",2400,"d",0,"d","до 50 человек","Харьков","продвинутый","24/05/2012 10:48:55","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3",3,"Харьков",2400,"DEV"
"26",NA,24,"m","Software Engineer","Высшее","Java","Нету",NA,"","2.5","1.25",1000,"d",0,"d","до 50 человек","Чернигов","средний","24/05/2012 10:49:07","Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.19 (KHTML, like Gecko) Ubuntu/10.10 Chromium/18.0.1025.151 Chrome/18.0.1025.151 Safari/535.19",2.5,"other",1000,"DEV"
"27",NA,25,"m","Верстальщик","Высшее","","Нету",NA,"","2","0.5",1300,"d",0,"d","до 10 человек","Киев","элементарный","24/05/2012 10:49:43","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5",2,"Киев",1300,""
"28",NA,24,"m","Project manager","Высшее","","Нету",NA,"","3","3",1200,"d",0,"d","до 10 человек","Киев","выше среднего","24/05/2012 10:49:51","Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20100101 Firefox/12.0",3,"Киев",1200,"PM"
"29",NA,28,"m","Senior Software Engineer","Высшее","C","Нету",NA,"","6","5",2000,"d",0,"d","до 100 человек","Днепр.","выше среднего","24/05/2012 10:49:57","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",6,"Днепр.",2000,"DEV"
"30",NA,22,"m","Junior Software Engineer","Высшее","Java","Нету",NA,"","0.75","0.75",500,"d",0,"d","до 1000 человек","Львов","ниже среднего","24/05/2012 10:50:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",0.75,"Львов",500,"DEV"
"31",NA,25,"m","Software Engineer","Высшее","Objective-C","Нету",NA,"","2","2.5",2100,"d",0,"d","до 50 человек","Харьков","ниже среднего","24/05/2012 10:50:28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",2,"Харьков",2100,"DEV"
"32",NA,25,"f","Software Engineer","Высшее","Ruby/Rails","Нету",NA,"","2","меньше 3 месяцев",2200,"d",0,"d","до 10 человек","Днепр.","выше среднего","24/05/2012 10:50:36","Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19",2,"Днепр.",2200,"DEV"
"33",NA,22,"m","Junior Software Engineer","Незаконченное высшее","Flex/Flash/AIR","Нету",NA,"","1","1",3000,"h",2400,"h","до 10 человек","Симферополь","элементарный","24/05/2012 10:50:39","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",1,"other",375,"DEV"
"34",NA,27,"m","Senior Software Engineer","Высшее","Java","Нету",NA,"","2.5","меньше 3 месяцев",3500,"d",0,"d","до 200 человек","Киев","средний","24/05/2012 10:50:50","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",2.5,"Киев",3500,"DEV"
"35",NA,35,"m","System Architect","Два высших","C++","Нету",NA,"","10 и более лет","1.25",3500,"d",0,"d","до 100 человек","Харьков","выше среднего","24/05/2012 10:51:04","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",10,"Харьков",3500,"SDEV"
"36",NA,26,"m","Software Engineer","Высшее","Objective-C","Нету",NA,"","2","2",2000,"d",0,"d","до 50 человек","Днепр.","средний","24/05/2012 10:51:12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",2,"Днепр.",2000,"DEV"
"37",NA,25,"m","Technical Lead","Высшее","C#/.NET","Нету",NA,"","4.5","4.5",3500,"d",3500,"d","до 200 человек","Львов","выше среднего","24/05/2012 10:51:13","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",4.5,"Львов",3500,"SDEV"
"38",NA,26,"m","Senior Software Engineer","Высшее","C#/.NET","Нету",NA,"","5","1",2800,"d",0,"d","до 1000 человек","Киев","выше среднего","24/05/2012 10:51:24","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",5,"Киев",2800,"DEV"
"39",NA,23,"m","Технический писатель","Два высших","","Нету",NA,"","2","0.75",1200,"d",1300,"d","до 100 человек","Днепр.","продвинутый","24/05/2012 10:51:47","Opera/9.80 (Windows NT 6.1; WOW64; U; Edition Campaign 09; ru) Presto/2.10.229 Version/11.64",2,"Днепр.",1200,""
"40",NA,27,"m","Software Engineer","Высшее","Delphi","Нету",NA,"","3","3",500,"d",1000,"d","до 10 человек","Харьков","ниже среднего","24/05/2012 10:52:32","Opera/9.80 (Windows NT 5.1; U; ru) Presto/2.10.229 Version/11.64",3,"Харьков",500,"DEV"
"41",NA,30,"m","Technical Lead","Высшее","Java","Нету",NA,"","6.5","меньше 3 месяцев",4000,"d",0,"d","до 10 человек","Киев","средний","24/05/2012 10:52:48","Mozilla/5.0 (X11; Linux x86_64; rv:7.0.1) Gecko/20100101 Firefox/7.0.1",6.5,"Киев",4000,"SDEV"
"42",NA,29,"m","Senior Software Engineer","Два высших","Objective-C","Нету",NA,"","3","1.5",3000,"d",3000,"d","до 50 человек","Киев","продвинутый","24/05/2012 10:53:02","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",3,"Киев",3000,"DEV"
"43",NA,20,"m","Верстальщик","Незаконченное высшее","","Нету",NA,"","2","0.5",700,"d",0,"d","до 200 человек","Киев","средний","24/05/2012 10:53:03","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.825.0 Safari/535.1",2,"Киев",700,""
"44",NA,28,"m","Software Engineer","Высшее","SQL","Нету",NA,"","4","меньше 3 месяцев",2300,"d",0,"d","до 1000 человек","Киев","средний","24/05/2012 10:53:18","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",4,"Киев",2300,"DEV"
"45",NA,19,"m","Junior Software Engineer","Среднее","PHP","Нету",NA,"","0.75","0.75",4000,"h",0,"d","до 100 человек","Днепр.","элементарный","24/05/2012 10:53:40","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.19 (KHTML, like Gecko) Ubuntu/11.10 Chromium/18.0.1025.151 Chrome/18.0.1025.151 Safari/535.19",0.75,"Днепр.",500,"DEV"
"46",NA,24,"m","Senior Software Engineer","Высшее","C++","Нету",NA,"","3","3",2000,"d",0,"d","до 50 человек","Симферополь","средний","24/05/2012 10:53:51","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",3,"other",2000,"DEV"
"47",NA,27,"m","Software Engineer","Высшее","PHP","Нету",NA,"","5","0.75",2500,"d",0,"d","до 50 человек","Киев","продвинутый","24/05/2012 10:54:07","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0",5,"Киев",2500,"DEV"
"48",NA,25,"m","Software Engineer","Высшее","C#/.NET","Нету",NA,"","4","4",1836,"d",0,"d","до 100 человек","Киев","средний","24/05/2012 10:54:14","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0",4,"Киев",1836,"DEV"
"49",NA,22,"m","Software Engineer","Среднее","PHP","Нету",NA,"","2.5","0.5",700,"d",0,"d","до 10 человек","Харьков","элементарный","24/05/2012 10:54:16","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0",2.5,"Харьков",700,"DEV"
"50",NA,23,"m","Software Engineer","Незаконченное высшее","Java","Нету",NA,"","2.5","меньше 3 месяцев",1700,"d",0,"d","до 50 человек","Николаев","выше среднего","24/05/2012 10:54:17","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",2.5,"other",1700,"DEV"
"51",NA,25,"m","Senior Software Engineer","Незаконченное высшее","C#/.NET","Нету",NA,"","9","9",1700,"d",0,"d","до 50 человек","Харьков","средний","24/05/2012 10:54:19","Opera/9.80 (Windows NT 6.1; U; en) Presto/2.10.229 Version/11.64",9,"Харьков",1700,"DEV"
"52",NA,33,"m","Director of Engineering / Program Director","Высшее","","Нету",NA,"","3","меньше 3 месяцев",4000,"d",2000,"d","до 10 человек","Киев","выше среднего","24/05/2012 10:54:21","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",3,"Киев",4000,"SPM"
"53",NA,27,"m","Senior Software Engineer","Незаконченное высшее","Ruby/Rails","Нету",NA,"","7","1",3100,"d",6700,"d","до 10 человек","Киев","выше среднего","24/05/2012 10:54:34","Mozilla/5.0 (X11; Linux i686; rv:12.0) Gecko/20100101 Firefox/12.0",7,"Киев",3100,"DEV"
"54",NA,34,"m","Senior Software Engineer","Высшее","Java","Нету",NA,"","5","0.5",3300,"d",0,"d","до 1000 человек","Киев","выше среднего","24/05/2012 10:54:41","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:12.0) Gecko/20100101 Firefox/12.0",5,"Киев",3300,"DEV"
"55",NA,30,"m","Software Engineer","Высшее","Delphi","Нету",NA,"","10 и более лет","меньше 3 месяцев",2500,"d",0,"d","до 200 человек","Киев","средний","24/05/2012 10:54:54","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0",10,"Киев",2500,"DEV"
"56",NA,28,"m","Senior Software Engineer","Высшее","Java","Нету",NA,"","7","1.75",2850,"d",0,"d","до 100 человек","Харьков","средний","24/05/2012 10:55:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19",7,"Харьков",2850,"DEV"
"57",NA,26,"m","Software Engineer","Высшее","PHP","Нету",NA,"","5","3.5",2000,"d",0,"d","до 50 человек","Харьков","средний","24/05/2012 10:55:04","Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.19 (KHTML, like Gecko) Ubuntu/12.04 Chromium/18.0.1025.151 Chrome/18.0.1025.151 Safari/535.19",5,"Харьков",2000,"DEV"
"58",NA,27,"m","Senior Software Engineer","Высшее","C#/.NET","Нету",NA,"","5.5","1.25",2000,"d",0,"d","до 10 человек","Харьков","продвинутый","24/05/2012 10:55:09","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",5.5,"Харьков",2000,"DEV"
"59",NA,29,"m","Senior Software Engineer","Высшее","C++","Нету",NA,"","8.5","0.5",2500,"d",0,"d","до 1000 человек","Киев","средний","24/05/2012 10:55:13","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",8.5,"Киев",2500,"DEV"
"60",NA,26,"m","Project manager","Высшее","","Нету",NA,"","10 и более лет","4.5",3500,"d",1000,"d","до 1000 человек","Киев","продвинутый","24/05/2012 10:55:20","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0",10,"Киев",3500,"PM"
"61",NA,30,"m","Senior Software Engineer","Высшее","Java","Нету",NA,"","7","1",3500,"d",0,"d","до 10 человек","Одесса","средний","24/05/2012 10:55:30","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",7,"other",3500,"DEV"
"62",NA,32,"m","System Architect","Высшее","PHP","Нету",NA,"","10 и более лет","6",4500,"d",0,"d","до 200 человек","Львов","продвинутый","24/05/2012 10:55:35","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.11 Safari/536.11",10,"Львов",4500,"SDEV"
"63",NA,26,"m","Software Engineer","Высшее","Java","Нету",NA,"","4","0.5",1300,"d",1500,"d","до 10 человек","Харьков","средний","24/05/2012 10:55:50","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0",4,"Харьков",1300,"DEV"
"64",NA,21,"m","Junior Software Engineer","Незаконченное высшее","Java","Нету",NA,"","0.75","0.5",9000,"h",5000,"h","до 200 человек","Киев","средний","24/05/2012 10:55:51","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",0.75,"Киев",1125,"DEV"
"65",NA,26,"m","Technical Lead","Высшее","JavaScript","Нету",NA,"","10 и более лет","0.5",3500,"d",0,"d","до 10 человек","Одесса","выше среднего","24/05/2012 10:56:02","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",10,"other",3500,"SDEV"
"67",NA,26,"m","QA engineer","Высшее","","Нету",NA,"General QA","2","0.5",1300,"d",0,"d","до 200 человек","Киев","ниже среднего","24/05/2012 10:56:06","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",2,"Киев",1300,"QA"
"68",NA,26,"m","Senior Software Engineer","Незаконченное высшее","C#/.NET","Нету",NA,"","7","меньше 3 месяцев",2500,"d",0,"d","до 1000 человек","Киев","средний","24/05/2012 10:56:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",7,"Киев",2500,"DEV"
"69",NA,25,"m","Senior QA engineer","Высшее","","Нету",NA,"Manual QA","3.5","2",1500,"d",0,"d","до 1000 человек","Днепр.","продвинутый","24/05/2012 10:56:46","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",3.5,"Днепр.",1500,"QA"
"70",NA,21,"m","Junior Software Engineer","Высшее","Python","Нету",NA,"","0.75","0.75",1000,"d",0,"d","до 50 человек","Киев","выше среднего","24/05/2012 10:56:55","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:12.0) Gecko/20100101 Firefox/12.0",0.75,"Киев",1000,"DEV"
"71",NA,29,"m","Software Engineer","Высшее","C#/.NET","Нету",NA,"","6","6",9000,"h",4000,"h","до 100 человек","Донецк","элементарный","24/05/2012 10:56:55","Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20100101 Firefox/12.0",6,"other",1125,"DEV"
"72",NA,23,"f","QA engineer","Высшее","","Нету",NA,"General QA","2.5","1",1200,"d",0,"d","до 1000 человек","Киев","продвинутый","24/05/2012 10:57:01","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19",2.5,"Киев",1200,"QA"
"73",NA,30,"m","Software Engineer","Высшее","Perl","Нету",NA,"","5","1",800,"d",0,"d","до 100 человек","Севастополь","средний","24/05/2012 10:57:01","Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.162 Safari/535.19",5,"other",800,"DEV"
"74",NA,36,"m","Project manager","Среднее","","Нету",NA,"","2","1",4500,"h",0,"d","до 10 человек","Днепр.","ниже среднего","24/05/2012 10:57:02","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",2,"Днепр.",562.5,"PM"
"75",NA,27,"m","Project manager","Высшее","","Нету",NA,"","6","3.5",2000,"d",0,"d","до 10 человек","Днепр.","выше среднего","24/05/2012 10:57:03","Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.2.28) Gecko/20120306 Firefox/3.6.28 sputnik 2.5.0.150",6,"Днепр.",2000,"PM"
"76",NA,30,"m","Project manager","Высшее","","Нету",NA,"","6","меньше 3 месяцев",2500,"d",0,"d","до 10 человек","Киев","выше среднего","24/05/2012 10:57:06","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:12.0) Gecko/20100101 Firefox/12.0",6,"Киев",2500,"PM"
"77",NA,21,"m","Software Engineer","Незаконченное высшее","PHP","Нету",NA,"","4","0.5",16000,"h",0,"d","до 100 человек","Киев","средний","24/05/2012 10:57:16","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.19 (KHTML, like Gecko) Ubuntu/12.04 Chromium/18.0.1025.151 Chrome/18.0.1025.151 Safari/535.19",4,"Киев",2000,"DEV"
"78",NA,21,"m","Junior Software Engineer","Высшее","Python","Нету",NA,"","1.25","1.25",1000,"d",0,"d","до 10 человек","Киев","выше среднего","24/05/2012 10:57:27","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",1.25,"Киев",1000,"DEV"
"79",NA,27,"m","Technical Lead","Высшее","PHP","Нету",NA,"","0.25","0.25",2000,"d",0,"d","до 10 человек","Киев","средний","24/05/2012 10:57:27","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",0.25,"Киев",2000,"SDEV"
"80",NA,22,"m","Junior QA engineer","Высшее","","Нету",NA,"Manual QA","0.5","0.5",370,"d",700,"d","до 200 человек","Львов","ниже среднего","24/05/2012 10:57:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5",0.5,"Львов",370,"QA"
"81",NA,30,"m","Software Engineer","Высшее","Flex/Flash/AIR","Нету",NA,"","1","0.5",1000,"d",0,"d","до 100 человек","Луганск","ниже среднего","24/05/2012 10:57:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5",1,"other",1000,"DEV"
"82",NA,28,"m","Senior Software Engineer","Высшее","Java","Нету",NA,"","6","1",2000,"d",0,"d","до 1000 человек","Днепр.","выше среднего","24/05/2012 10:58:10","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5",6,"Днепр.",2000,"DEV"
