,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
,Junior Software Engineer,JavaScript,,2,2,450,140,Киев,до 200 человек,Продуктовая,m,24,Высшее,НТУУ «КПИ»,False,средний,Веб-разработка,20/12/2016 10:09:24,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C#/.NET,,8,0.5,3000,0,Киев,до 50 человек,Аутстаффинговая,m,29,Высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,20/12/2016 10:09:56,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,6,0.5,2100,250,Киев,до 200 человек,Продуктовая,m,29,Высшее,НАУ,False,ниже среднего,Веб-разработка,20/12/2016 10:10:01,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Software Engineer,PHP,,1.5,1.5,1300,850,Удаленно,до 10 человек,Аутсорсинговая,m,23,Высшее,Другой вуз,False,средний,Веб-разработка,20/12/2016 10:10:02,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,Java,,3,0.5,2500,2000,Киев,до 200 человек,Продуктовая,m,22,Высшее,НТУУ «КПИ»,True,выше среднего,Gamedev,20/12/2016 10:10:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14"
,Senior QA engineer,,Manual QA,6,3,2200,150,Львов,свыше 1000 человек,Аутсорсинговая,m,29,Высшее,Львовская Политехника,False,выше среднего,"Финансы и банки,Другое",20/12/2016 10:10:18,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,Python,,1.5,меньше 3 месяцев,600,0,Киев,до 200 человек,Продуктовая,m,23,Высшее,НТУУ «КПИ»,False,ниже среднего,Веб-разработка,20/12/2016 10:10:20,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/53.0.2785.143 Chrome/53.0.2785.143 Safari/537.36"
,Junior Software Engineer,Java,,0.25,0.25,400,400,Киев,до 10 человек,Аутстаффинговая,m,29,Высшее,КНУ им. Шевченко,False,выше среднего,Android,20/12/2016 10:10:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,3,1,1400,200,Харьков,до 10 человек,Аутстаффинговая,m,29,Высшее,НТУ «ХПИ»,False,средний,eCommerce,20/12/2016 10:11:14,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:50.0) Gecko/20100101 Firefox/50.0
,Senior Software Engineer,Delphi,,7,3,1800,300,Киев,до 200 человек,Продуктовая,m,33,Незаконченное высшее,Другой вуз,False,выше среднего,"Desktop Applications,Системное программирование",20/12/2016 10:11:19,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,5,5,700,-100,Запорожье,до 10 человек,Аутсорсинговая,m,26,Высшее,Другой вуз,False,средний,Веб-разработка,20/12/2016 10:11:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Junior Software Engineer,Python,,0.25,0.25,500,0,Киев,до 10 человек,Продуктовая,m,21,Высшее,ВНУ им. Даля,True,средний,"Веб-разработка,Системное программирование",20/12/2016 10:11:31,"Mozilla/5.0 (Linux; Android 5.1; m2 Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Mobile Safari/537.36 OPR/37.0.2192.105088"
,Business analyst,,,2,1,600,200,Киев,свыше 1000 человек,Другая,m,24,Высшее,КНУ им. Шевченко,False,выше среднего,Телекоммуникации,20/12/2016 10:11:34,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,PHP,,меньше 3 месяцев,меньше 3 месяцев,200,0,Удаленно,до 10 человек,Другая,m,24,Высшее,Другой вуз,False,средний,Веб-разработка,20/12/2016 10:11:45,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,C#/.NET,,10 и более лет,1,2250,0,Харьков,до 200 человек,Аутсорсинговая,m,30,Высшее,ХНУРЭ,False,выше среднего,"Gamedev,Корпоративные системы",20/12/2016 10:11:47,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Senior QA engineer,,Automation QA,9,3,3300,0,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,НТУУ «КПИ»,False,продвинутый,"Веб-разработка,Корпоративные системы",20/12/2016 10:11:47,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,QA engineer,,Automation QA,3,1,1100,200,Удаленно,до 10 человек,Продуктовая,m,29,Высшее,СумГУ,False,средний,"Android,Телекоммуникации",20/12/2016 10:11:59,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Manual QA,1.5,1.5,400,100,Днепр,до 50 человек,Аутсорсинговая,m,32,Высшее,КНЭУ,False,ниже среднего,"iOS,Веб-разработка",20/12/2016 10:12:04,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36"
,Junior Software Engineer,JavaScript,,1.5,0.5,1000,800,Днепр,до 50 человек,Продуктовая,m,23,Высшее,ДНУ им. Гончара,False,ниже среднего,"Веб-разработка,Мультимедиа",20/12/2016 10:12:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Software Engineer,C++,,4,0.25,2500,500,Одесса,до 50 человек,Продуктовая,m,41,Высшее,Другой вуз,False,средний,"Системное программирование,Телекоммуникации",20/12/2016 10:12:13,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Senior Project Manager / Program Manager,,,10 и более лет,10 и более лет,4800,350,Одесса,до 1000 человек,Аутсорсинговая,m,35,Высшее,ОНУ им. Мечникова,False,выше среднего,"eCommerce,Другое",20/12/2016 10:12:14,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,PHP,,8,0.5,2000,500,Харьков,до 50 человек,Другая,m,28,Высшее,НТУ «ХПИ»,False,средний,Веб-разработка,20/12/2016 10:12:15,Mozilla/5.0 (X11; Linux x86_64; rv:39.0) Gecko/20100101 Firefox/39.0
,Junior Software Engineer,JavaScript,,0.5,0.25,750,0,Киев,до 200 человек,Продуктовая,m,20,Высшее,НТУУ «КПИ»,True,ниже среднего,Веб-разработка,20/12/2016 10:12:26,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Senior Software Engineer,Java,,10 и более лет,3,2850,0,Одесса,до 200 человек,Продуктовая,m,35,Высшее,Другой вуз,False,выше среднего,Корпоративные системы,20/12/2016 10:12:34,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior QA engineer,,Manual QA,1,0.5,600,0,Харьков,свыше 1000 человек,Аутсорсинговая,m,21,Техникум / Колледж,,True,средний,Веб-разработка,20/12/2016 10:12:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,C#/.NET,,1,0.5,550,185,Винница,до 50 человек,Другая,m,22,Незаконченное высшее,ВНТУ,True,средний,Веб-разработка,20/12/2016 10:12:46,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,C#/.NET,,4,4,2800,150,Киев,свыше 1000 человек,Аутсорсинговая,m,28,Высшее,ОНАС,False,средний,Финансы и банки,20/12/2016 10:12:51,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
,Junior QA engineer,,Manual QA,0.5,0.5,460,200,Львов,до 1000 человек,Аутсорсинговая,m,29,Высшее,ЛНУ им. Франко,False,выше среднего,"Веб-разработка,eCommerce",20/12/2016 10:12:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Automation QA,2,2,1400,100,Харьков,свыше 1000 человек,Аутсорсинговая,m,24,Высшее,ХАИ,False,средний,"Веб-разработка,Корпоративные системы",20/12/2016 10:13:00,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Junior Software Engineer,JavaScript,,1,1,600,250,Львов,до 50 человек,Аутсорсинговая,f,28,Высшее,Львовская Политехника,False,выше среднего,Веб-разработка,20/12/2016 10:13:01,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/75.0.0.48.61;FBBV/45926345;FBRV/0;FBDV/iPhone5,2;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Sprint;FBID/phone;FBLC/en_US;FBOP/5]"
,Support,,,6,меньше 3 месяцев,290,-10,Киев,свыше 1000 человек,Другая,m,30,Высшее,НАУ,False,ниже среднего,Телекоммуникации,20/12/2016 10:13:05,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,C#/.NET,,4,2,2800,300,Киев,до 200 человек,Продуктовая,m,29,Два высших,НТУУ «КПИ»,False,продвинутый,Веб-разработка,20/12/2016 10:13:14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Project manager,,,2,1.5,1000,0,Тернополь,до 50 человек,Аутсорсинговая,m,26,Высшее,Другой вуз,False,выше среднего,"Android,iOS",20/12/2016 10:13:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,JavaScript,,5,0.25,4500,2000,Харьков,до 200 человек,Другая,m,28,Высшее,ХНУРЭ,False,выше среднего,"Веб-разработка,Корпоративные системы",20/12/2016 10:13:28,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,Swift,,5,0.5,2800,0,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,ВНУ им. Даля,False,выше среднего,iOS,20/12/2016 10:13:52,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.1.32 (KHTML, like Gecko) Mobile/14C92 Twitter for iPhone"
,Software Engineer,C#/.NET,,4,4,1000,0,Хмельницкий,до 50 человек,Стартап,m,27,Высшее,ХНУ [г. Хмельницкий],False,ниже среднего,Веб-разработка,20/12/2016 10:14:04,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,Java,,1.5,1.5,600,350,Черкассы,до 200 человек,Аутсорсинговая,m,22,Незаконченное высшее,Другой вуз,True,ниже среднего,Android,20/12/2016 10:14:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
,Software Engineer,JavaScript,,2,1,1000,1000,Киев,до 50 человек,Стартап,m,48,Высшее,КНУ им. Шевченко,False,продвинутый,Веб-разработка,20/12/2016 10:14:32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Manual QA,2,меньше 3 месяцев,1900,600,Киев,до 200 человек,Продуктовая,m,24,Высшее,НАУ,False,выше среднего,"Android,iOS",20/12/2016 10:14:39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12"
,Junior Software Engineer,Java,,0.5,0.5,600,100,Киев,свыше 1000 человек,Продуктовая,f,23,Высшее,НАУ,False,выше среднего,Телекоммуникации,20/12/2016 10:14:48,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HR,,,4,2,1700,200,Киев,свыше 1000 человек,Аутсорсинговая,f,25,Высшее,КНУ им. Шевченко,False,продвинутый,Другое,20/12/2016 10:14:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,PHP,,5,0.25,2000,0,Киев,до 200 человек,Продуктовая,m,28,Среднее,,False,средний,"Веб-разработка,eCommerce",20/12/2016 10:14:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.59 Safari/537.36"
,Senior Software Engineer,JavaScript,,6,2,4250,1000,Киев,до 200 человек,Продуктовая,m,29,Высшее,КНУ им. Шевченко,False,средний,Веб-разработка,20/12/2016 10:15:05,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36"
,QA engineer,,Manual QA,2,0.5,800,200,Харьков,до 50 человек,Аутсорсинговая,m,25,Два высших,Другой вуз,False,средний,"Android,iOS",20/12/2016 10:15:08,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14"
,QA engineer,,Automation QA,2,1.5,1000,200,Запорожье,до 1000 человек,Продуктовая,m,26,Высшее,Другой вуз,False,средний,Веб-разработка,20/12/2016 10:15:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HR,,,1.5,1,500,300,Харьков,до 50 человек,Аутсорсинговая,f,23,Высшее,ХНУРЭ,False,выше среднего,"Веб-разработка,eCommerce",20/12/2016 10:15:22,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,General QA,1.5,1.5,680,260,Киев,до 200 человек,Продуктовая,f,24,Высшее,КНУТД,False,средний,Desktop Applications,20/12/2016 10:15:32,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36"
,Software Engineer,JavaScript,,1.5,1.5,2000,800,Киев,свыше 1000 человек,Аутсорсинговая,f,26,Высшее,НТУУ «КПИ»,False,выше среднего,"Веб-разработка,eCommerce",20/12/2016 10:15:43,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1"
,QA Tech Lead,,General QA,5,0.5,5300,1500,Одесса,до 200 человек,Продуктовая,m,27,Два высших,НАУ,False,продвинутый,"Android,iOS",20/12/2016 10:15:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"
,Software Engineer,C#/.NET,,3,3,1800,500,Винница,до 200 человек,Аутсорсинговая,m,24,Незаконченное высшее,ВНТУ,False,средний,Веб-разработка,20/12/2016 10:15:45,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior QA engineer,,General QA,3,1.5,1500,500,Киев,до 50 человек,Продуктовая,m,27,Высшее,Другой вуз,False,средний,Финансы и банки,20/12/2016 10:15:46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,QA Tech Lead,,Manual QA,5,1.5,3200,0,Львов,до 1000 человек,Аутсорсинговая,m,28,Высшее,ЛНУ им. Франко,False,выше среднего,,20/12/2016 10:15:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Software Engineer,JavaScript,,5,0.5,2500,500,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Два высших,ДонНТУ,False,выше среднего,"Веб-разработка,Корпоративные системы",20/12/2016 10:15:53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HTML coder,,,1.5,1.5,600,400,Киев,до 10 человек,Другая,m,22,Высшее,НТУУ «КПИ»,True,ниже среднего,Веб-разработка,20/12/2016 10:16:00,"Mozilla/5.0 (Linux; Android 5.1; m3 note Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Project manager,,,10 и более лет,6,1500,-500,Киев,до 10 человек,Другая,m,33,Два высших,НТУУ «КПИ»,False,продвинутый,Другое,20/12/2016 10:16:02,"Mozilla/5.0 (Linux; Android 6.0.1; E6653 Build/32.2.A.0.224) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Senior Software Engineer,Java,,4,0.5,4000,1500,Киев,до 50 человек,Продуктовая,m,23,Высшее,НАУ,False,выше среднего,Gamedev,20/12/2016 10:16:11,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,PHP,,1.5,1,600,200,Харьков,до 10 человек,Аутсорсинговая,f,28,Высшее,НТУ «ХПИ»,False,средний,eCommerce,20/12/2016 10:16:15,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0
,Junior QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,150,0,Харьков,до 50 человек,Аутсорсинговая,f,22,Незаконченное высшее,ХНУ им. Каразина,True,средний,"Android,iOS",20/12/2016 10:16:20,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Senior Software Engineer,C#/.NET,,6,0.5,4200,800,Харьков,до 50 человек,Продуктовая,m,26,Незаконченное высшее,ХНУРЭ,False,средний,"Веб-разработка,eCommerce",20/12/2016 10:16:30,"Mozilla/5.0 (Linux; Android 5.1.1; MI 4S Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Software Engineer,Objective-C,,5,2,2300,0,Харьков,до 50 человек,Аутсорсинговая,m,30,Высшее,ХАИ,False,средний,iOS,20/12/2016 10:16:31,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1"
,Senior Software Engineer,C,,10 и более лет,9,3200,0,Чернигов,до 10 человек,Продуктовая,m,30,Высшее,Другой вуз,False,средний,Embedded,20/12/2016 10:16:38,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Manual QA,1.5,1.5,550,400,Луцк,до 200 человек,Аутсорсинговая,m,27,Высшее,КНЭУ,False,выше среднего,Веб-разработка,20/12/2016 10:16:43,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36"
,Sysadmin,,,6,4,200,0,Харьков,до 50 человек,Другая,m,26,Высшее,ХАИ,False,ниже среднего,"Корпоративные системы,Мультимедиа",20/12/2016 10:16:48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.14971"
,Product Manager,,,1,1,1500,500,Киев,до 200 человек,Продуктовая,m,28,Высшее,Другой вуз,False,средний,"Desktop Applications,Корпоративные системы",20/12/2016 10:16:52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14"
,Software Engineer,Java,,3,меньше 3 месяцев,2200,0,Одесса,до 1000 человек,Продуктовая,m,29,Высшее,ОНУ им. Мечникова,False,выше среднего,"Телекоммуникации,Корпоративные системы",20/12/2016 10:16:56,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
