"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Уровень.английского","Размер.компании"
"74","Киев",3000,500,"Project manager",7.5,3.5,"","",30,"мужской","Высшее","выше среднего","до 200 человек"
"75","Донецк",1900,500,"Software Engineer",3,1,"PHP","",27,"мужской","Высшее","ниже среднего","свыше 1000 человек"
"76","Ивано-Франковск",500,0,"Software Engineer",2,2,"PHP","",23,"мужской","Высшее","ниже среднего","до 10 человек"
"77","Одесса",1425,500,"QA engineer",2.5,0,"","Manual QA",22,"женский","Незаконченное высшее","продвинутый","до 200 человек"
"78","Киев",2000,300,"Software Engineer",2.5,2.5,"Java","",23,"мужской","Высшее","средний","до 200 человек"
"79","Харьков",2200,200,"Senior Software Engineer",4.5,3.5,"PHP","",27,"мужской","Высшее","средний","до 50 человек"
"80","Херсон",2500,500,"Senior Software Engineer",1,5,"JavaScript","",31,"мужской","Высшее","средний","до 50 человек"
"81","Донецк",600,200,"Software Engineer",1.5,1.5,"PHP","",23,"мужской","Высшее","ниже среднего","до 50 человек"
"82","Киев",2500,200,"Senior QA engineer",6,1,"","Manual QA",28,"мужской","Два высших","средний","до 1000 человек"
"83","Киев",2000,0,"Software Engineer",3,0,"Java (Android)","",29,"мужской","Высшее","элементарный","до 50 человек"
"84","Одесса",3400,300,"Team lead",10,5,"","",37,"мужской","Два высших","продвинутый","до 50 человек"
"85","Киев",1450,400,"Software Engineer",1.5,1.5,"Java","",24,"мужской","Высшее","выше среднего","свыше 1000 человек"
"86","Одесса",4000,0,"Project manager",3,1.25,"","",34,"мужской","Два высших","выше среднего","до 200 человек"
"88","Киев",700,400,"Junior QA engineer",0.75,0.75,"","Manual QA",22,"мужской","Высшее","средний","свыше 1000 человек"
"89","Киев",2900,200,"Senior Software Engineer",6,1.5,"Java","",28,"мужской","Высшее","продвинутый","до 1000 человек"
"90","Киев",3000,1000,"Senior Software Engineer",1.75,1,"Flex/Flash/AIR","",22,"мужской","Незаконченное высшее","выше среднего","до 50 человек"
"91","Львов",2700,1700,"Senior Software Engineer",6.5,0.5,"JavaScript","",25,"мужской","Незаконченное высшее","выше среднего","до 10 человек"
"92","Киев",2500,0,"Senior Software Engineer",7,5.5,"JavaScript","",32,"мужской","Высшее","средний","до 50 человек"
"93","Киев",4100,0,"Senior Project Manager / Program Manager",10,7,"","",40,"мужской","Высшее","выше среднего","свыше 1000 человек"
"94","Николаев",1200,0,"QA Tech Lead",9,5,"","General QA",29,"мужской","Высшее","выше среднего","свыше 1000 человек"
"95","Харьков",1500,700,"Software Engineer",2.5,2.5,"C#/.NET","",24,"мужской","Высшее","средний","до 200 человек"
"96","Львов",2500,0,"Senior Software Engineer",7,0.25,"Python","",28,"мужской","Кандидат","выше среднего","свыше 1000 человек"
"97","Одесса",3000,1500,"Senior Software Engineer",5,0.5,"JavaScript","",27,"мужской","Высшее","элементарный","до 50 человек"
"98","Киев",2000,600,"Software Engineer",2,0.25,"Java","",22,"мужской","Незаконченное высшее","средний","до 1000 человек"
"99","Харьков",1600,0,"Software Engineer",5,3,"PHP","",23,"мужской","Среднее","средний","до 10 человек"
"100","Одесса",2800,0,"Senior Software Engineer",3,1,"Java","",25,"мужской","Высшее","выше среднего","до 200 человек"
"101","Киев",3300,1500,"Senior Software Engineer",2.5,1.75,"JavaScript","",27,"мужской","Высшее","выше среднего","до 1000 человек"
"102","Киев",3325,500,"Senior Software Engineer",7,1.5,"Java","",25,"мужской","Высшее","выше среднего","до 200 человек"
"103","Киев",1700,400,"Software Engineer",6,2,"C#/.NET","",26,"мужской","Незаконченное высшее","средний","свыше 1000 человек"
"104","Киев",2500,1,"Junior Software Engineer",2,1,"Objective-C","",24,"мужской","Высшее","средний","до 50 человек"
"105","Киев",1400,0,"Junior Software Engineer",2,1,"JavaScript","",21,"мужской","Незаконченное высшее","средний","до 50 человек"
"106","Одесса",1300,200,"Software Engineer",2.5,0.75,"Java (Android)","",24,"мужской","Высшее","выше среднего","до 10 человек"
"107","Харьков",1000,500,"Software Engineer",3,2,"PHP","",21,"мужской","Незаконченное высшее","средний","до 10 человек"
"108","Киев",500,0,"Junior QA engineer",1,1,"","General QA",21,"мужской","Незаконченное высшее","выше среднего","до 50 человек"
"109","Киев",1000,0,"Junior Software Engineer",3,1,"C#/.NET","",20,"мужской","Незаконченное высшее","ниже среднего","до 10 человек"
"110","Киев",3500,1000,"Technical Lead",5,0.25,"C#/.NET","",24,"мужской","Незаконченное высшее","выше среднего","до 10 человек"
"111","Харьков",500,0,"Junior Software Engineer",0,0,"Objective-C","",20,"мужской","Незаконченное высшее","выше среднего","до 50 человек"
"112","Харьков",3000,300,"Senior Software Engineer",10,1,"C#/.NET","",32,"мужской","Кандидат","средний","до 50 человек"
"113","Николаев",1000,500,"QA engineer",2.5,0.25,"","General QA",24,"женский","Высшее","выше среднего","до 10 человек"
"114","Запорожье",500,0,"Дизайнер",2.5,1.5,"","",26,"мужской","Высшее","средний","до 50 человек"
"115","Киев",3500,0,"Senior Software Engineer",3.5,1.5,"Java (Android)","",28,"мужской","Два высших","ниже среднего","до 1000 человек"
"116","Днепр.",2000,700,"Project manager",3,3,"","",23,"женский","Высшее","средний","до 200 человек"
"117","Винница",280,25,"Системный администратор",1.5,1.5,"","",23,"мужской","Высшее","средний","до 10 человек"
"118","Киев",1900,475,"Senior Software Engineer",4,1,"JavaScript","",24,"мужской","Высшее","выше среднего","до 1000 человек"
"119","Харьков",2800,800,"Senior Software Engineer",5,0.5,"C#/.NET","",24,"мужской","Высшее","средний","до 50 человек"
"120","Киев",260,0,"Системный администратор",0.25,0.5,"","",26,"мужской","Высшее","ниже среднего","до 10 человек"
"121","Харьков",1400,600,"Software Engineer",2.5,2.5,"C#/.NET","",21,"мужской","Незаконченное высшее","средний","до 1000 человек"
"122","Киев",2000,1000,"Software Engineer",2,0.5,"JavaScript","",24,"мужской","Высшее","выше среднего","до 50 человек"
"123","Львов",1400,900,"Software Engineer",1.75,0,"C#/.NET","",24,"мужской","Высшее","средний","до 50 человек"
"124","Ужгород",2000,500,"Software Engineer",3,1.5,"Java","",25,"мужской","Высшее","средний","до 10 человек"
"125","Днепр.",2600,350,"Senior Software Engineer",6,2.5,"PHP","",28,"мужской","Кандидат","выше среднего","до 200 человек"
"126","Одесса",2200,600,"Senior QA engineer",2.5,2.5,"","Automation QA",26,"мужской","Высшее","средний","до 1000 человек"
"127","Одесса",1200,100,"Software Engineer",3,0.75,"Java (Android)","",24,"мужской","Высшее","средний","до 200 человек"
"128","Днепр.",1470,300,"Software Engineer",4,2,"PHP","",24,"мужской","Высшее","ниже среднего","до 50 человек"
"129","Одесса",3300,1,"Technical Lead",8,2,"C#/.NET","",27,"мужской","Высшее","выше среднего","до 1000 человек"
"130","Харьков",400,100,"Junior Software Engineer",0.5,0.5,"Objective-C","",21,"мужской","Незаконченное высшее","ниже среднего","до 50 человек"
"131","Львов",3135,800,"Software Engineer",3,0,"Python","",24,"мужской","Высшее","средний","до 200 человек"
"132","Одесса",1100,100,"Software Engineer",2.5,0.5,"C#/.NET","",26,"мужской","Высшее","выше среднего","до 200 человек"
"133","Одесса",1600,100,"QA engineer",4,4,"","Manual QA",31,"мужской","Высшее","средний","до 1000 человек"
"134","Харьков",2500,0,"Senior Project Manager / Program Manager",0,0,"","",30,"мужской","Высшее","выше среднего","до 200 человек"
"135","Киев",3500,500,"Senior Software Engineer",6,2,"Python","",25,"мужской","Незаконченное высшее","выше среднего","до 50 человек"
"136","Киев",550,0,"Технический писатель",5,3,"","",33,"женский","Высшее","выше среднего","до 10 человек"
"137","Одесса",3000,400,"Senior Software Engineer",10,2.5,"JavaScript","",30,"женский","Высшее","продвинутый","до 1000 человек"
"138","Киев",900,400,"Junior Software Engineer",0.75,0.75,"JavaScript","",21,"мужской","Незаконченное высшее","средний","до 200 человек"
"139","Киев",800,250,"Junior QA engineer",1,0.5,"","Automation QA",22,"женский","Высшее","средний","свыше 1000 человек"
"140","Харьков",600,0,"Junior Software Engineer",0.75,0.75,"Java","",25,"мужской","Высшее","средний","до 1000 человек"
"141","Черкассы",400,0,"Junior Software Engineer",0.25,0.25,"Java","",26,"мужской","Незаконченное высшее","ниже среднего","до 200 человек"
"142","Харьков",1800,100,"Верстальщик",6,5,"","",28,"мужской","Высшее","ниже среднего","до 200 человек"
"143","Одесса",950,150,"Junior Software Engineer",1,1,"Java","",22,"мужской","Незаконченное высшее","выше среднего","свыше 1000 человек"
"144","Одесса",4500,1100,"Technical Lead",8,0.25,"JavaScript","",27,"мужской","Незаконченное высшее","выше среднего","до 50 человек"
"145","Киев",1500,600,"Software Engineer",2.5,2.5,"Java","",24,"мужской","Высшее","средний","свыше 1000 человек"
"146","Одесса",1500,1000,"Software Engineer",1.5,0.25,"C#/.NET","",20,"мужской","Незаконченное высшее","выше среднего","до 200 человек"
"147","Киев",3000,0,"Senior Software Engineer",6,0.5,"PHP","",28,"мужской","Высшее","средний","до 200 человек"
"148","Киев",2300,1100,"Software Engineer",5,0,"C#/.NET","",26,"мужской","Высшее","средний","до 200 человек"
"149","Киев",2700,0,"Software Engineer",6,2,"JavaScript","",29,"мужской","Высшее","выше среднего","до 50 человек"
"150","Харьков",3200,1600,"Senior Software Engineer",6.5,0.75,"C#/.NET","",28,"мужской","Высшее","продвинутый","до 50 человек"
"151","Харьков",1700,500,"Senior Software Engineer",3,3,"C#/.NET","",25,"мужской","Высшее","средний","до 200 человек"
"152","Кировоград",700,100,"Software Engineer",1.5,1.5,"PHP","",20,"мужской","Незаконченное высшее","ниже среднего","до 50 человек"
"153","Одесса",1500,300,"Верстальщик",9,0.5,"","",30,"мужской","Среднее","средний","до 50 человек"
"154","Одесса",3000,600,"Senior Software Engineer",7,3,"Java","",41,"мужской","Незаконченное высшее","средний","до 10 человек"
"155","Киев",1375,375,"Software Engineer",2,0.75,"Java","",24,"мужской","Высшее","выше среднего","до 50 человек"
"156","Харьков",2000,700,"Software Engineer",3.5,0.5,"PHP","",29,"мужской","Высшее","средний","до 50 человек"
"157","Днепр.",2000,500,"Software Engineer",3.5,1,"Java","",25,"мужской","Высшее","средний","до 200 человек"
"158","Харьков",800,400,"Director of Engineering / Program Director",3,3,"","",25,"мужской","Высшее","элементарный","до 10 человек"
"159","Харьков",1600,300,"QA engineer",7,2,"","Automation QA",29,"женский","Высшее","ниже среднего","до 1000 человек"
"160","Одесса",1500,500,"Software Engineer",5,2,"PHP","",24,"мужской","Высшее","выше среднего","до 1000 человек"
"161","Киев",2000,800,"Software Engineer",2,0.75,"Objective-C","",27,"мужской","Высшее","выше среднего","свыше 1000 человек"
"162","Львов",1100,250,"Software Engineer",2.5,0,"C#/.NET","",20,"мужской","Незаконченное высшее","ниже среднего","до 50 человек"
"163","Киев",1500,200,"Software Engineer",1,0.75,"Ruby/Rails","",26,"мужской","Высшее","средний","до 10 человек"
"164","Киев",3000,-300,"Senior Software Engineer",7.5,0,"C++","",27,"мужской","Высшее","средний","до 50 человек"
"165","Киев",3500,800,"Системный администратор",5,1.5,"","",26,"мужской","Высшее","выше среднего","до 200 человек"
"166","Харьков",2000,400,"Системный администратор",5,1,"","",26,"мужской","Высшее","продвинутый","до 1000 человек"
"167","Днепр.",3100,0,"Technical Lead",10,5,"PHP","",31,"мужской","Два высших","средний","до 200 человек"
"168","Киев",3000,0,"Technical Lead",4,3.5,"C#/.NET","",27,"мужской","Высшее","продвинутый","до 50 человек"
"169","Львов",1500,700,"Software Engineer",3,3,"Objective-C","",24,"мужской","Высшее","выше среднего","до 50 человек"
"170","Харьков",1000,600,"Software Engineer",1.75,0.25,"C#/.NET","",24,"мужской","Высшее","средний","до 200 человек"
"171","Харьков",1000,500,"Software Engineer",1.75,1.75,"C#/.NET","",22,"мужской","Незаконченное высшее","ниже среднего","до 1000 человек"
"172","Киев",1500,150,"Software Engineer",2.5,0.75,"PHP","",25,"мужской","Высшее","средний","до 10 человек"
"173","Львов",1300,0,"Верстальщик",5,1,"","",28,"мужской","Высшее","выше среднего","до 50 человек"
"174","Харьков",1200,200,"QA engineer",3,1.5,"","Manual QA",25,"женский","Высшее","средний","до 200 человек"
"175","Киев",1600,600,"Software Engineer",3,1.75,"Java","",23,"мужской","Высшее","выше среднего","до 50 человек"
"176","Черкассы",600,300,"Software Engineer",1,1,"Java","",24,"мужской","Незаконченное высшее","средний","до 50 человек"
"177","Киев",3000,300,"Senior Software Engineer",6,5,"C#/.NET","",33,"мужской","Высшее","продвинутый","до 200 человек"
"178","Харьков",2000,1000,"Software Engineer",1.75,0.25,"Java","",19,"мужской","Незаконченное высшее","средний","свыше 1000 человек"
"179","Киев",2800,300,"Team lead",7,1,"","",29,"мужской","Высшее","продвинутый","свыше 1000 человек"
"180","Одесса",2000,500,"Software Engineer",2,0.25,"C#/.NET","",25,"мужской","Высшее","средний","до 200 человек"
"181","Донецк",3000,950,"Technical Lead",10,2,"C#/.NET","",31,"мужской","Высшее","выше среднего","до 50 человек"
"182","Харьков",6000,3000,"Senior Software Engineer",4.5,0,"Ruby/Rails","",27,"мужской","Высшее","выше среднего","до 1000 человек"
"183","Одесса",1000,500,"QA engineer",2,0.75,"","Manual QA",26,"мужской","Высшее","выше среднего","до 1000 человек"
"184","Киев",4000,0,"DBA / Администратор баз данных",10,2,"","",34,"мужской","Высшее","средний","до 50 человек"
"185","Ровно",1000,200,"Software Engineer",5.5,2.5,"Objective-C","",28,"мужской","Высшее","средний","до 1000 человек"
"186","Киев",2800,0,"Software Engineer",5.5,0.75,"Java","",29,"мужской","Высшее","средний","свыше 1000 человек"
"187","Полтава",300,60,"Junior Software Engineer",1,0.75,"Python","",22,"мужской","Незаконченное высшее","элементарный","до 10 человек"
"188","Одесса",1000,200,"Senior Software Engineer",3,1.25,"PHP","",22,"мужской","Незаконченное высшее","средний","до 10 человек"
"189","Киев",1400,600,"Junior Software Engineer",1,0,"C++","",22,"мужской","Высшее","выше среднего","свыше 1000 человек"
"190","Симферополь",1050,100,"Software Engineer",4.5,4.5,"C#/.NET","",24,"мужской","Высшее","средний","до 50 человек"
"191","Львов",1400,150,"Software Engineer",5,5,"C#/.NET","",23,"мужской","Высшее","выше среднего","до 1000 человек"
"192","Харьков",3300,0,"Senior Software Engineer",10,4,"C#/.NET","",32,"мужской","Высшее","средний","до 200 человек"
"193","Харьков",3200,700,"Technical Lead",5,1,"Java","",26,"мужской","Высшее","средний","до 10 человек"
"194","Киев",2200,1000,"Software Engineer",2,0.75,"Objective-C","",22,"мужской","Незаконченное высшее","выше среднего","свыше 1000 человек"
"195","Харьков",2280,1100,"Software Engineer",2.5,1.25,"Java","",21,"мужской","Незаконченное высшее","средний","до 200 человек"
"196","Одесса",1500,300,"Software Engineer",2.5,0,"C#/.NET","",26,"мужской","Высшее","средний","свыше 1000 человек"
"197","Днепр.",1000,0,"Дизайнер",5.5,1.5,"","",23,"мужской","Среднее","средний","до 50 человек"
"198","Днепр.",2700,0,"Technical Lead",7,7,"Java","",30,"мужской","Высшее","средний","до 50 человек"
"199","Днепр.",700,0,"Верстальщик",0.5,0,"","",20,"мужской","Незаконченное высшее","ниже среднего","до 10 человек"
"200","Киев",500,100,"HR",1,0.5,"","",25,"женский","Высшее","продвинутый","до 50 человек"
"201","Киев",3500,300,"Technical Lead",10,2,"C++","",33,"мужской","Высшее","средний","до 50 человек"
"202","Харьков",400,100,"Junior Software Engineer",0,0,"PHP","",21,"мужской","Незаконченное высшее","выше среднего","до 50 человек"
"203","Николаев",600,0,"Software Engineer",10,7,"PHP","",30,"мужской","Высшее","средний","до 1000 человек"
"204","Киев",1000,500,"QA engineer",1.25,1.25,"","Manual QA",22,"женский","Незаконченное высшее","выше среднего","до 50 человек"
"205","Харьков",2850,400,"Senior Software Engineer",9,0.75,"C#/.NET","",32,"мужской","Высшее","выше среднего","свыше 1000 человек"
"206","Симферополь",1800,0,"Project manager",10,10,"","",32,"мужской","Высшее","средний","до 50 человек"
"207","Киев",2200,200,"Team lead",7,3,"","",26,"мужской","Незаконченное высшее","продвинутый","свыше 1000 человек"
"208","Киев",1425,0,"Software Engineer",2.5,0.75,"JavaScript","",21,"мужской","Высшее","продвинутый","до 200 человек"
"209","Харьков",2700,0,"Team lead",3.5,1.5,"","",24,"мужской","Высшее","выше среднего","до 50 человек"
"210","Одесса",2600,200,"Senior Software Engineer",5,5,"Java","",28,"мужской","Высшее","средний","до 1000 человек"
"211","Днепр.",500,0,"Junior QA engineer",0.5,0.5,"","General QA",22,"женский","Незаконченное высшее","выше среднего","до 200 человек"
"212","Днепр.",2500,0,"Senior Software Engineer",6.5,6.5,"C++","",26,"мужской","Высшее","продвинутый","до 200 человек"
"213","Киев",1750,200,"Software Engineer",3.5,1.75,"Python","",22,"мужской","Высшее","средний","до 50 человек"
"214","Киев",2900,800,"Senior Software Engineer",7,1.5,"C","",26,"мужской","Высшее","средний","свыше 1000 человек"
"215","Киев",1200,400,"Junior Software Engineer",1,0,"PHP","",25,"мужской","Высшее","ниже среднего","до 50 человек"
"216","Киев",2600,300,"Senior Software Engineer",7,3.5,"C++","",28,"мужской","Высшее","средний","свыше 1000 человек"
"217","Киев",1250,300,"QA engineer",2,1,"","Manual QA",24,"мужской","Высшее","выше среднего","до 50 человек"
"218","Харьков",2200,500,"Senior QA engineer",5,5,"","Manual QA",27,"женский","Высшее","выше среднего","свыше 1000 человек"
"219","Львов",2500,0,"Technical Lead",5,2,"Ruby/Rails","",23,"мужской","Среднее","продвинутый","до 10 человек"
"220","Киев",800,0,"Director of Engineering / Program Director",6.5,3,"","",27,"мужской","Незаконченное высшее","продвинутый","до 10 человек"
"221","Симферополь",350,0,"Junior Software Engineer",1,1,"PHP","",22,"мужской","Высшее","средний","до 10 человек"
"222","Севастополь",700,700,"Software Engineer",0.75,0.75,"PHP","",25,"мужской","Высшее","средний","до 10 человек"
"223","Киев",1477,0,"Системный администратор",7,2,"","",31,"мужской","Высшее","ниже среднего","до 10 человек"
"224","Ивано-Франковск",2000,500,"Software Engineer",8.5,2,"Java","",26,"мужской","Высшее","выше среднего","до 50 человек"
"225","Харьков",2500,200,"Technical Lead",10,10,"C#/.NET","",33,"мужской","Высшее","выше среднего","свыше 1000 человек"
"226","Киев",3500,500,"Team lead",10,0,"","",30,"мужской","Незаконченное высшее","выше среднего","до 1000 человек"
"227","Харьков",2200,600,"Technical Lead",7,5,"Ruby/Rails","",31,"мужской","Высшее","средний","до 50 человек"
"228","Киев",2350,800,"Senior Software Engineer",5,3,"Flex/Flash/AIR","",29,"мужской","Незаконченное высшее","выше среднего","до 200 человек"
"229","Киев",2400,700,"Software Engineer",4,0,"C#/.NET","",33,"мужской","Высшее","средний","до 200 человек"
"230","Донецк",650,0,"Junior Software Engineer",0,0,"Java","",27,"мужской","Высшее","элементарный","свыше 1000 человек"
