"X","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"11",NA,"Junior Software Engineer","Java","","0.25","меньше 3 месяцев",700,0,"Киев","до 10 человек","Аутсорсинговая","мужской",26,"Высшее","False","элементарный","Android","20/12/2013 12:14:47","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36",0.25,0,"Киев",700,NA,"DEV"
"12",NA,"QA engineer","","Manual QA","1.5","меньше 3 месяцев",750,0,"Киев","до 50 человек","Другая","мужской",30,"Два высших","False","ниже среднего","Desktop Applications,Веб-разработка","20/12/2013 12:16:15","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.5,0,"Киев",750,NA,"QA"
"13",NA,"Technical Lead","Java","","8","8",3000,300,"Днепр.","до 200 человек","Продуктовая","мужской",30,"Высшее","False","средний","Финансы и банки","20/12/2013 12:16:58","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16",8,8,"Днепр.",3000,NA,"SDEV"
"14",NA,"Senior Software Engineer","JavaScript","","6","5",1500,200,"Харьков","до 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","Веб-разработка","20/12/2013 12:17:22","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",6,5,"Харьков",1500,NA,"DEV"
"15",NA,"Senior Software Engineer","Other","","6.5","2",2500,300,"Одесса","до 10 человек","Продуктовая","мужской",25,"Высшее","False","продвинутый","Android,Телекоммуникации","20/12/2013 12:18:44","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",6.5,2,"Одесса",2500,NA,"DEV"
"16",NA,"Software Engineer","Python","","1.75","1.75",700,300,"Харьков","до 50 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Веб-разработка","20/12/2013 12:18:54","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/31.0.1650.63 Chrome/31.0.1650.63 Safari/537.36",1.75,1.75,"Харьков",700,NA,"DEV"
"17",NA,"Software Engineer","C#/.NET","","1.75","1.75",1200,500,"Харьков","до 1000 человек","Продуктовая","мужской",22,"Высшее","False","выше среднего","Другое","20/12/2013 12:19:55","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.75,1.75,"Харьков",1200,NA,"DEV"
"18",NA,"Senior Software Engineer","C++","","5","5",3200,200,"Львов","до 1000 человек","Аутсорсинговая","мужской",29,"Кандидат","False","выше среднего","Desktop Applications","20/12/2013 12:20:11","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,5,"Львов",3200,NA,"DEV"
"19",NA,"Software Engineer","JavaScript","","2","2",1400,650,"Винница","свыше 1000 человек","Аутсорсинговая","женский",25,"Высшее","False","средний","Веб-разработка","20/12/2013 12:20:36","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2,2,"other",1400,NA,"DEV"
"20",NA,"Senior QA engineer","","General QA","2.5","1",2200,600,"Киев","свыше 1000 человек","Аутсорсинговая","женский",27,"Высшее","False","выше среднего","Android,iOS","20/12/2013 12:21:39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11",2.5,1,"Киев",2200,NA,"QA"
"21",NA,"Technical Lead","JavaScript","","4.5","3",2600,900,"Днепр.","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","Веб-разработка","20/12/2013 12:22:42","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",4.5,3,"Днепр.",2600,NA,"SDEV"
"22",NA,"Senior Software Engineer","SQL","","3.5","1.5",2660,0,"Киев","до 200 человек","Аутстаффинговая","мужской",28,"Высшее","False","выше среднего","Корпоративные системы","20/12/2013 12:23:32","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3.5,1.5,"Киев",2660,NA,"DEV"
"23",NA,"Team lead","","","5.5","2",3000,500,"Одесса","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Desktop Applications","20/12/2013 12:23:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",5.5,2,"Одесса",3000,NA,"PM"
"24",NA,"Project manager","","","1.75","1.75",1500,400,"Запорожье","до 50 человек","Аутсорсинговая","мужской",25,"Высшее","True","средний","Веб-разработка","20/12/2013 12:24:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36 OPR/18.0.1284.63",1.75,1.75,"other",1500,NA,"PM"
"25",NA,"Software Engineer","C#/.NET","","6","0.5",2800,0,"Киев","до 50 человек","Продуктовая","мужской",33,"Высшее","False","средний","Веб-разработка","20/12/2013 12:25:46","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",6,0.5,"Киев",2800,NA,"DEV"
"26",NA,"Junior QA engineer","","General QA","0.75","0.75",500,0,"Днепр.","до 50 человек","Продуктовая","женский",31,"Высшее","False","средний","Android,iOS","20/12/2013 12:26:23","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",0.75,0.75,"Днепр.",500,NA,"QA"
"27",NA,"QA engineer","","General QA","2.5","2.5",1250,450,"Харьков","до 10 человек","Продуктовая","мужской",28,"Высшее","False","средний","Desktop Applications,Корпоративные системы","20/12/2013 12:26:28","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2.5,2.5,"Харьков",1250,NA,"QA"
"28",NA,"Системный администратор","","","10 и более лет","3.5",620,0,"Киев","до 10 человек","Другая","мужской",32,"Высшее","False","ниже среднего","Другое","20/12/2013 12:27:42","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",10,3.5,"Киев",620,NA,"ADM"
"29",NA,"Software Engineer","PHP","","5.5","0.5",1500,500,"Запорожье","до 50 человек","Аутстаффинговая","мужской",24,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","20/12/2013 12:28:39","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:26.0) Gecko/20100101 Firefox/26.0",5.5,0.5,"other",1500,NA,"DEV"
"30",NA,"Senior Software Engineer","PHP","","7","0.75",2500,1000,"Львов","до 200 человек","Аутсорсинговая","мужской",29,"Два высших","False","выше среднего","Веб-разработка,Корпоративные системы","20/12/2013 12:28:41","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",7,0.75,"Львов",2500,NA,"DEV"
"31",NA,"Software Engineer","C#/.NET","","7.5","0.75",2500,800,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",31,"Высшее","False","продвинутый","Финансы и банки","20/12/2013 12:29:23","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",7.5,0.75,"Киев",2500,NA,"DEV"
"32",NA,"Senior QA engineer","","Automation QA","4","0.25",3200,1400,"Киев","до 1000 человек","Аутсорсинговая","мужской",31,"Высшее","False","выше среднего","Веб-разработка,Мультимедиа","20/12/2013 12:29:43","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",4,0.25,"Киев",3200,NA,"QA"
"33",NA,"Software Engineer","Ruby/Rails","","10 и более лет","меньше 3 месяцев",3200,0,"Харьков","до 200 человек","Аутстаффинговая","мужской",30,"Высшее","False","средний","Веб-разработка","20/12/2013 12:30:05","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",10,0,"Харьков",3200,NA,"DEV"
"34",NA,"Software Engineer","C#/.NET","","5.5","5.5",2300,300,"Киев","до 1000 человек","Продуктовая","мужской",27,"Высшее","False","средний","Веб-разработка,Корпоративные системы","20/12/2013 12:30:18","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",5.5,5.5,"Киев",2300,NA,"DEV"
"35",NA,"Project manager","","","0.5","0.5",2000,200,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","ниже среднего","Веб-разработка,Корпоративные системы","20/12/2013 12:30:32","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.41 Safari/537.36",0.5,0.5,"Львов",2000,NA,"PM"
"36",NA,"Senior Software Engineer","JavaScript","","5","3",2500,700,"Днепр.","до 200 человек","Продуктовая","мужской",24,"Высшее","False","продвинутый","Веб-разработка","20/12/2013 12:30:52","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,3,"Днепр.",2500,NA,"DEV"
"37",NA,"Junior Software Engineer","JavaScript","","1","0.5",1200,400,"Киев","до 10 человек","Стартап","мужской",19,"Незаконченное высшее","True","средний","Веб-разработка","20/12/2013 12:30:55","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.65 Safari/537.36",1,0.5,"Киев",1200,NA,"DEV"
"38",NA,"Senior Software Engineer","JavaScript","","4","0.5",2000,500,"Днепр.","до 1000 человек","Аутсорсинговая","мужской",30,"Два высших","False","ниже среднего","Веб-разработка","20/12/2013 12:31:02","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",4,0.5,"Днепр.",2000,NA,"DEV"
"39",NA,"Junior QA engineer","","General QA","1","1",900,550,"Харьков","до 10 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","Desktop Applications,Корпоративные системы","20/12/2013 12:31:11","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",1,1,"Харьков",900,NA,"QA"
"40",NA,"Software Engineer","PHP","","2.5","1",2250,1200,"Харьков","до 50 человек","Аутстаффинговая","мужской",30,"Высшее","False","средний","Веб-разработка","20/12/2013 12:31:21","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2.5,1,"Харьков",2250,NA,"DEV"
"41",NA,"Senior Software Engineer","Objective-C","","6","меньше 3 месяцев",3000,1500,"Киев","до 10 человек","Стартап","мужской",27,"Незаконченное высшее","False","ниже среднего","iOS","20/12/2013 12:31:34","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",6,0,"Киев",3000,NA,"DEV"
"42",NA,"Team lead","","","5.5","3",2900,300,"Харьков","до 200 человек","Аутсорсинговая","мужской",23,"Высшее","False","выше среднего","Веб-разработка","20/12/2013 12:32:27","Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16",5.5,3,"Харьков",2900,NA,"PM"
"43",NA,"Senior Software Engineer","SQL","","7","0.5",3325,1100,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",30,"Незаконченное высшее","False","выше среднего","Финансы и банки,Корпоративные системы","20/12/2013 12:33:12","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",7,0.5,"Львов",3325,NA,"DEV"
"44",NA,"Software Engineer","PHP","","1.75","1.75",1700,700,"Днепр.","до 1000 человек","Другая","мужской",28,"Высшее","False","средний","Веб-разработка","20/12/2013 12:33:44","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.75,1.75,"Днепр.",1700,NA,"DEV"
"45",NA,"Software Engineer","Java","","5","5",2000,150,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","False","выше среднего","Android,Финансы и банки","20/12/2013 12:33:53","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0",5,5,"Львов",2000,NA,"DEV"
"46",NA,"Junior Software Engineer","C++","","0.75","0.75",600,600,"Львов","до 10 человек","Стартап","мужской",22,"Среднее","False","элементарный","Embedded,Системное программирование","20/12/2013 12:34:02","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",0.75,0.75,"Львов",600,NA,"DEV"
"47",NA,"Senior QA engineer","","Manual QA","3.5","1.75",1700,600,"Львов","свыше 1000 человек","Аутсорсинговая","мужской",23,"Высшее","False","выше среднего","Android,iOS","20/12/2013 12:34:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3.5,1.75,"Львов",1700,NA,"QA"
"48",NA,"QA engineer","","General QA","1.75","0.75",1000,600,"Харьков","до 200 человек","Аутсорсинговая","мужской",27,"Высшее","False","элементарный","Windows Phone,eCommerce","20/12/2013 12:34:39","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",1.75,0.75,"Харьков",1000,NA,"QA"
"49",NA,"Software Engineer","Java","","2","1.5",2500,400,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",24,"Высшее","False","продвинутый","Телекоммуникации","20/12/2013 12:34:47","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",2,1.5,"Киев",2500,NA,"DEV"
"50",NA,"Software Engineer","PHP","","6.5","1.25",1700,300,"Винница","до 50 человек","Аутстаффинговая","мужской",27,"Высшее","False","средний","Веб-разработка","20/12/2013 12:35:10","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/30.0.1599.114 Chrome/30.0.1599.114 Safari/537.36",6.5,1.25,"other",1700,NA,"DEV"
"51",NA,"QA engineer","","Manual QA","4","1.25",1100,800,"Львов","до 50 человек","Аутсорсинговая","мужской",26,"Высшее","False","выше среднего","Desktop Applications","20/12/2013 12:35:30","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11",4,1.25,"Львов",1100,NA,"QA"
"52",NA,"Junior QA engineer","","General QA","0.5","0.5",350,0,"Мариуполь","до 200 человек","Аутсорсинговая","женский",22,"Высшее","False","средний","Android,iOS","20/12/2013 12:35:32","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",0.5,0.5,"other",350,NA,"QA"
"53",NA,"Team lead","","","10 и более лет","0.75",4000,500,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",32,"Высшее","False","средний","Финансы и банки","20/12/2013 12:35:36","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",10,0.75,"Киев",4000,NA,"PM"
"54",NA,"Senior Software Engineer","Java","","3.5","меньше 3 месяцев",2500,1400,"Львов","до 200 человек","Аутстаффинговая","мужской",29,"Высшее","False","выше среднего","Android,Корпоративные системы","20/12/2013 12:35:51","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3.5,0,"Львов",2500,NA,"DEV"
"55",NA,"Software Engineer","Ruby/Rails","","1.25","1.25",1500,800,"Черкассы","до 200 человек","Аутстаффинговая","мужской",28,"Высшее","False","выше среднего","Веб-разработка,Корпоративные системы","20/12/2013 12:35:56","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/28.0.1500.71 Chrome/28.0.1500.71 Safari/537.36",1.25,1.25,"other",1500,NA,"DEV"
"56",NA,"Project manager","","","4","2",2500,500,"Киев","до 10 человек","Продуктовая","мужской",29,"Высшее","False","продвинутый","Веб-разработка","20/12/2013 12:36:14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",4,2,"Киев",2500,NA,"PM"
"57",NA,"Junior Software Engineer","Python","","1","1",320,0,"Киев","до 10 человек","Продуктовая","мужской",22,"Незаконченное высшее","True","выше среднего","Desktop Applications,Корпоративные системы","20/12/2013 12:36:36","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1,1,"Киев",320,NA,"DEV"
"58",NA,"Junior Software Engineer","C#/.NET","","1.25","1.25",700,400,"Харьков","до 1000 человек","Аутсорсинговая","мужской",29,"Высшее","False","средний","Desktop Applications,Веб-разработка","20/12/2013 12:37:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.25,1.25,"Харьков",700,NA,"DEV"
"59",NA,"Software Engineer","JavaScript","","5","0.5",4500,2100,"Львов","до 50 человек","Другая","мужской",26,"Высшее","False","продвинутый","Веб-разработка","20/12/2013 12:37:13","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",5,0.5,"Львов",4500,NA,"DEV"
"60",NA,"Junior Software Engineer","C++","","1","0.75",600,150,"Киев","до 1000 человек","Аутсорсинговая","мужской",21,"Незаконченное высшее","True","выше среднего","Мультимедиа","20/12/2013 12:37:16","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",1,0.75,"Киев",600,NA,"DEV"
"61",NA,"Software Engineer","Perl","","10 и более лет","0.5",3500,900,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",32,"Высшее","False","продвинутый","Корпоративные системы","20/12/2013 12:37:40","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0",10,0.5,"Киев",3500,NA,"DEV"
"62",NA,"Дизайнер","","","7","0.5",1800,700,"Харьков","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","iOS,Веб-разработка","20/12/2013 12:37:40","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0",7,0.5,"Харьков",1800,NA,""
"63",NA,"QA engineer","","General QA","2","0.75",1800,300,"Киев","до 200 человек","Продуктовая","мужской",23,"Высшее","False","ниже среднего","Веб-разработка","20/12/2013 12:37:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2,0.75,"Киев",1800,NA,"QA"
"64",NA,"Team lead","","","3","2",2750,150,"Севастополь","до 200 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","Веб-разработка","20/12/2013 12:38:25","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",3,2,"other",2750,NA,"PM"
"65",NA,"Software Engineer","PHP","","2.5","меньше 3 месяцев",2000,600,"Киев","до 50 человек","Аутсорсинговая","мужской",23,"Незаконченное высшее","True","выше среднего","Веб-разработка","20/12/2013 12:38:38","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2.5,0,"Киев",2000,NA,"DEV"
"66",NA,"Технический писатель","","","4","0.75",1700,200,"Киев","до 200 человек","Продуктовая","женский",25,"Высшее","False","продвинутый","Веб-разработка","20/12/2013 12:38:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",4,0.75,"Киев",1700,NA,""
"67",NA,"Senior Software Engineer","PHP","","7","меньше 3 месяцев",2500,300,"Харьков","до 50 человек","Аутстаффинговая","мужской",27,"Высшее","False","средний","Веб-разработка,eCommerce","20/12/2013 12:38:49","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",7,0,"Харьков",2500,NA,"DEV"
"68",NA,"Project manager","","","2.5","1.25",1300,700,"Днепр.","до 10 человек","Аутсорсинговая","мужской",22,"Высшее","False","средний","Gamedev","20/12/2013 12:39:03","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",2.5,1.25,"Днепр.",1300,NA,"PM"
"69",NA,"Software Engineer","C#/.NET","","1.5","меньше 3 месяцев",1800,1200,"Харьков","до 10 человек","Стартап","мужской",33,"Высшее","False","средний","Веб-разработка","20/12/2013 12:39:03","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",1.5,0,"Харьков",1800,NA,"DEV"
"70",NA,"Software Engineer","PHP","","меньше 3 месяцев","меньше 3 месяцев",1710,150,"Львов","до 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","Веб-разработка,Корпоративные системы","20/12/2013 12:39:10","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0",0,0,"Львов",1710,NA,"DEV"
"71",NA,"Software Engineer","Java","","10 и более лет","0.25",2500,0,"Киев","до 10 человек","Продуктовая","мужской",34,"Среднее","False","средний","Веб-разработка,Финансы и банки","20/12/2013 12:39:15","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36",10,0.25,"Киев",2500,NA,"DEV"
"72",NA,"Team lead","","","7.5","2",3400,350,"Киев","свыше 1000 человек","Аутсорсинговая","женский",30,"Два высших","False","продвинутый","Финансы и банки","20/12/2013 12:39:22","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",7.5,2,"Киев",3400,NA,"PM"
"73",NA,"Software Engineer","PHP","","2","1",400,62,"Сумы","до 50 человек","Аутсорсинговая","мужской",22,"Высшее","False","средний","Веб-разработка,eCommerce","20/12/2013 12:39:26","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0",2,1,"other",400,NA,"DEV"
