"N","Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Университет","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"31",NA,"Senior QA engineer","","Automation QA","9","3",3300,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","НТУУ «КПИ»","False","продвинутый","Веб-разработка,Корпоративные системы","20/12/2016 10:11:47","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",9,3,"Киев",3300,NA,"QA"
"32",NA,"QA engineer","","Automation QA","3","1",1100,200,"Удаленно","до 10 человек","Продуктовая","мужской",29,"Высшее","СумГУ","False","средний","Android,Телекоммуникации","20/12/2016 10:11:59","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",3,1,"other",1100,NA,"QA"
"33",NA,"QA engineer","","Manual QA","1.5","1.5",400,100,"Днепр","до 50 человек","Аутсорсинговая","мужской",32,"Высшее","КНЭУ","False","ниже среднего","iOS,Веб-разработка","20/12/2016 10:12:04","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36",1.5,1.5,"other",400,NA,"QA"
"34",NA,"Junior Software Engineer","JavaScript","","1.5","0.5",1000,800,"Днепр","до 50 человек","Продуктовая","мужской",23,"Высшее","ДНУ им. Гончара","False","ниже среднего","Веб-разработка,Мультимедиа","20/12/2016 10:12:05","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",1.5,0.5,"other",1000,NA,"DEV"
"35",NA,"Software Engineer","C++","","4","0.25",2500,500,"Одесса","до 50 человек","Продуктовая","мужской",41,"Высшее","Другой вуз","False","средний","Системное программирование,Телекоммуникации","20/12/2016 10:12:13","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",4,0.25,"Одесса",2500,NA,"DEV"
"36",NA,"Senior Project Manager / Program Manager","","","10 и более лет","10 и более лет",4800,350,"Одесса","до 1000 человек","Аутсорсинговая","мужской",35,"Высшее","ОНУ им. Мечникова","False","выше среднего","eCommerce,Другое","20/12/2016 10:12:14","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",10,10,"Одесса",4800,NA,"SPM"
"37",NA,"Software Engineer","PHP","","8","0.5",2000,500,"Харьков","до 50 человек","Другая","мужской",28,"Высшее","НТУ «ХПИ»","False","средний","Веб-разработка","20/12/2016 10:12:15","Mozilla/5.0 (X11; Linux x86_64; rv:39.0) Gecko/20100101 Firefox/39.0",8,0.5,"Харьков",2000,NA,"DEV"
"38",NA,"Junior Software Engineer","JavaScript","","0.5","0.25",750,0,"Киев","до 200 человек","Продуктовая","мужской",20,"Высшее","НТУУ «КПИ»","True","ниже среднего","Веб-разработка","20/12/2016 10:12:26","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",0.5,0.25,"Киев",750,NA,"DEV"
"39",NA,"Senior Software Engineer","Java","","10 и более лет","3",2850,0,"Одесса","до 200 человек","Продуктовая","мужской",35,"Высшее","Другой вуз","False","выше среднего","Корпоративные системы","20/12/2016 10:12:34","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",10,3,"Одесса",2850,NA,"DEV"
"40",NA,"Junior QA engineer","","Manual QA","1","0.5",600,0,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",21,"Техникум / Колледж","","True","средний","Веб-разработка","20/12/2016 10:12:36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1,0.5,"Харьков",600,NA,"QA"
"41",NA,"Junior Software Engineer","C#/.NET","","1","0.5",550,185,"Винница","до 50 человек","Другая","мужской",22,"Незаконченное высшее","ВНТУ","True","средний","Веб-разработка","20/12/2016 10:12:46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1,0.5,"other",550,NA,"DEV"
"42",NA,"Senior Software Engineer","C#/.NET","","4","4",2800,150,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",28,"Высшее","ОНАС","False","средний","Финансы и банки","20/12/2016 10:12:51","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",4,4,"Киев",2800,NA,"DEV"
"43",NA,"Junior QA engineer","","Manual QA","0.5","0.5",460,200,"Львов","до 1000 человек","Аутсорсинговая","мужской",29,"Высшее","ЛНУ им. Франко","False","выше среднего","Веб-разработка,eCommerce","20/12/2016 10:12:56","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",0.5,0.5,"Львов",460,NA,"QA"
"44",NA,"QA engineer","","Automation QA","2","2",1400,100,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",24,"Высшее","ХАИ","False","средний","Веб-разработка,Корпоративные системы","20/12/2016 10:13:00","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",2,2,"Харьков",1400,NA,"QA"
"45",NA,"Junior Software Engineer","JavaScript","","1","1",600,250,"Львов","до 50 человек","Аутсорсинговая","женский",28,"Высшее","Львовская Политехника","False","выше среднего","Веб-разработка","20/12/2016 10:13:01","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 [FBAN/FBIOS;FBAV/75.0.0.48.61;FBBV/45926345;FBRV/0;FBDV/iPhone5,2;FBMD/iPhone;FBSN/iOS;FBSV/10.2;FBSS/2;FBCR/Sprint;FBID/phone;FBLC/en_US;FBOP/5]",1,1,"Львов",600,NA,"DEV"
"46",NA,"Support","","","6","меньше 3 месяцев",290,-10,"Киев","свыше 1000 человек","Другая","мужской",30,"Высшее","НАУ","False","ниже среднего","Телекоммуникации","20/12/2016 10:13:05","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",6,0,"Киев",290,NA,""
"47",NA,"Software Engineer","C#/.NET","","4","2",2800,300,"Киев","до 200 человек","Продуктовая","мужской",29,"Два высших","НТУУ «КПИ»","False","продвинутый","Веб-разработка","20/12/2016 10:13:14","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",4,2,"Киев",2800,NA,"DEV"
"48",NA,"Project manager","","","2","1.5",1000,0,"Тернополь","до 50 человек","Аутсорсинговая","мужской",26,"Высшее","Другой вуз","False","выше среднего","Android,iOS","20/12/2016 10:13:26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,1.5,"other",1000,NA,"PM"
"49",NA,"Senior Software Engineer","JavaScript","","5","0.25",4500,2000,"Харьков","до 200 человек","Другая","мужской",28,"Высшее","ХНУРЭ","False","выше среднего","Веб-разработка,Корпоративные системы","20/12/2016 10:13:28","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",5,0.25,"Харьков",4500,NA,"DEV"
"50",NA,"Senior Software Engineer","Swift","","5","0.5",2800,0,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",30,"Высшее","ВНУ им. Даля","False","выше среднего","iOS","20/12/2016 10:13:52","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.1.32 (KHTML, like Gecko) Mobile/14C92 Twitter for iPhone",5,0.5,"Киев",2800,NA,"DEV"
"51",NA,"Software Engineer","C#/.NET","","4","4",1000,0,"Хмельницкий","до 50 человек","Стартап","мужской",27,"Высшее","ХНУ [г. Хмельницкий]","False","ниже среднего","Веб-разработка","20/12/2016 10:14:04","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",4,4,"other",1000,NA,"DEV"
"52",NA,"Software Engineer","Java","","1.5","1.5",600,350,"Черкассы","до 200 человек","Аутсорсинговая","мужской",22,"Незаконченное высшее","Другой вуз","True","ниже среднего","Android","20/12/2016 10:14:06","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",1.5,1.5,"other",600,NA,"DEV"
"53",NA,"Software Engineer","JavaScript","","2","1",1000,1000,"Киев","до 50 человек","Стартап","мужской",48,"Высшее","КНУ им. Шевченко","False","продвинутый","Веб-разработка","20/12/2016 10:14:32","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,1,"Киев",1000,NA,"DEV"
"54",NA,"QA engineer","","Manual QA","2","меньше 3 месяцев",1900,600,"Киев","до 200 человек","Продуктовая","мужской",24,"Высшее","НАУ","False","выше среднего","Android,iOS","20/12/2016 10:14:39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",2,0,"Киев",1900,NA,"QA"
"55",NA,"Junior Software Engineer","Java","","0.5","0.5",600,100,"Киев","свыше 1000 человек","Продуктовая","женский",23,"Высшее","НАУ","False","выше среднего","Телекоммуникации","20/12/2016 10:14:48","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",0.5,0.5,"Киев",600,NA,"DEV"
"56",NA,"HR","","","4","2",1700,200,"Киев","свыше 1000 человек","Аутсорсинговая","женский",25,"Высшее","КНУ им. Шевченко","False","продвинутый","Другое","20/12/2016 10:14:52","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",4,2,"Киев",1700,NA,""
"57",NA,"Senior Software Engineer","PHP","","5","0.25",2000,0,"Киев","до 200 человек","Продуктовая","мужской",28,"Среднее","","False","средний","Веб-разработка,eCommerce","20/12/2016 10:14:56","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.59 Safari/537.36",5,0.25,"Киев",2000,NA,"DEV"
"58",NA,"Senior Software Engineer","JavaScript","","6","2",4250,1000,"Киев","до 200 человек","Продуктовая","мужской",29,"Высшее","КНУ им. Шевченко","False","средний","Веб-разработка","20/12/2016 10:15:05","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36",6,2,"Киев",4250,NA,"DEV"
"59",NA,"QA engineer","","Manual QA","2","0.5",800,200,"Харьков","до 50 человек","Аутсорсинговая","мужской",25,"Два высших","Другой вуз","False","средний","Android,iOS","20/12/2016 10:15:08","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",2,0.5,"Харьков",800,NA,"QA"
"60",NA,"QA engineer","","Automation QA","2","1.5",1000,200,"Запорожье","до 1000 человек","Продуктовая","мужской",26,"Высшее","Другой вуз","False","средний","Веб-разработка","20/12/2016 10:15:12","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2,1.5,"other",1000,NA,"QA"
"61",NA,"HR","","","1.5","1",500,300,"Харьков","до 50 человек","Аутсорсинговая","женский",23,"Высшее","ХНУРЭ","False","выше среднего","Веб-разработка,eCommerce","20/12/2016 10:15:22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1.5,1,"Харьков",500,NA,""
"62",NA,"QA engineer","","General QA","1.5","1.5",680,260,"Киев","до 200 человек","Продуктовая","женский",24,"Высшее","КНУТД","False","средний","Desktop Applications","20/12/2016 10:15:32","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",1.5,1.5,"Киев",680,NA,"QA"
"63",NA,"Software Engineer","JavaScript","","1.5","1.5",2000,800,"Киев","свыше 1000 человек","Аутсорсинговая","женский",26,"Высшее","НТУУ «КПИ»","False","выше среднего","Веб-разработка,eCommerce","20/12/2016 10:15:43","Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",1.5,1.5,"Киев",2000,NA,"DEV"
"64",NA,"QA Tech Lead","","General QA","5","0.5",5300,1500,"Одесса","до 200 человек","Продуктовая","мужской",27,"Два высших","НАУ","False","продвинутый","Android,iOS","20/12/2016 10:15:44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",5,0.5,"Одесса",5300,NA,"QA"
"65",NA,"Software Engineer","C#/.NET","","3","3",1800,500,"Винница","до 200 человек","Аутсорсинговая","мужской",24,"Незаконченное высшее","ВНТУ","False","средний","Веб-разработка","20/12/2016 10:15:45","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",3,3,"other",1800,NA,"DEV"
"66",NA,"Senior QA engineer","","General QA","3","1.5",1500,500,"Киев","до 50 человек","Продуктовая","мужской",27,"Высшее","Другой вуз","False","средний","Финансы и банки","20/12/2016 10:15:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",3,1.5,"Киев",1500,NA,"QA"
"67",NA,"QA Tech Lead","","Manual QA","5","1.5",3200,0,"Львов","до 1000 человек","Аутсорсинговая","мужской",28,"Высшее","ЛНУ им. Франко","False","выше среднего","","20/12/2016 10:15:50","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",5,1.5,"Львов",3200,NA,"QA"
"68",NA,"Software Engineer","JavaScript","","5","0.5",2500,500,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",30,"Два высших","ДонНТУ","False","выше среднего","Веб-разработка,Корпоративные системы","20/12/2016 10:15:53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",5,0.5,"Киев",2500,NA,"DEV"
