,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
,Junior Software Engineer,Java,,0.25,меньше 3 месяцев,700,0,Киев,до 10 человек,Аутсорсинговая,m,26,Высшее,False,элементарный,Android,20/12/2013 12:14:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36"
,QA engineer,,Manual QA,1.5,меньше 3 месяцев,750,0,Киев,до 50 человек,Другая,m,30,Два высших,False,ниже среднего,"Desktop Applications,Веб-разработка",20/12/2013 12:16:15,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Technical Lead,Java,,8,8,3000,300,Днепропетровск,до 200 человек,Продуктовая,m,30,Высшее,False,средний,Финансы и банки,20/12/2013 12:16:58,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
,Senior Software Engineer,JavaScript,,6,5,1500,200,Харьков,до 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,Веб-разработка,20/12/2013 12:17:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Other,,6.5,2,2500,300,Одесса,до 10 человек,Продуктовая,m,25,Высшее,False,продвинутый,"Android,Телекоммуникации",20/12/2013 12:18:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36"
,Software Engineer,Python,,1.75,1.75,700,300,Харьков,до 50 человек,Аутсорсинговая,m,23,Высшее,False,средний,Веб-разработка,20/12/2013 12:18:54,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/31.0.1650.63 Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C#/.NET,,1.75,1.75,1200,500,Харьков,до 1000 человек,Продуктовая,m,22,Высшее,False,выше среднего,Другое,20/12/2013 12:19:55,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C++,,5,5,3200,200,Львов,до 1000 человек,Аутсорсинговая,m,29,Кандидат,False,выше среднего,Desktop Applications,20/12/2013 12:20:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,JavaScript,,2,2,1400,650,Винница,свыше 1000 человек,Аутсорсинговая,f,25,Высшее,False,средний,Веб-разработка,20/12/2013 12:20:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior QA engineer,,General QA,2.5,1,2200,600,Киев,свыше 1000 человек,Аутсорсинговая,f,27,Высшее,False,выше среднего,"Android,iOS",20/12/2013 12:21:39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
,Technical Lead,JavaScript,,4.5,3,2600,900,Днепропетровск,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,Веб-разработка,20/12/2013 12:22:42,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,Senior Software Engineer,SQL,,3.5,1.5,2660,0,Киев,до 200 человек,Аутстаффинговая,m,28,Высшее,False,выше среднего,Корпоративные системы,20/12/2013 12:23:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Team lead,,,5.5,2,3000,500,Одесса,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,False,выше среднего,Desktop Applications,20/12/2013 12:23:37,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,Project manager,,,1.75,1.75,1500,400,Запорожье,до 50 человек,Аутсорсинговая,m,25,Высшее,True,средний,Веб-разработка,20/12/2013 12:24:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36 OPR/18.0.1284.63"
,Software Engineer,C#/.NET,,6,0.5,2800,0,Киев,до 50 человек,Продуктовая,m,33,Высшее,False,средний,Веб-разработка,20/12/2013 12:25:46,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior QA engineer,,General QA,0.75,0.75,500,0,Днепропетровск,до 50 человек,Продуктовая,f,31,Высшее,False,средний,"Android,iOS",20/12/2013 12:26:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA engineer,,General QA,2.5,2.5,1250,450,Харьков,до 10 человек,Продуктовая,m,28,Высшее,False,средний,"Desktop Applications,Корпоративные системы",20/12/2013 12:26:28,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Системный администратор,,,10 и более лет,3.5,620,0,Киев,до 10 человек,Другая,m,32,Высшее,False,ниже среднего,Другое,20/12/2013 12:27:42,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,5.5,0.5,1500,500,Запорожье,до 50 человек,Аутстаффинговая,m,24,Высшее,False,выше среднего,"Веб-разработка,Корпоративные системы",20/12/2013 12:28:39,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:26.0) Gecko/20100101 Firefox/26.0
,Senior Software Engineer,PHP,,7,0.75,2500,1000,Львов,до 200 человек,Аутсорсинговая,m,29,Два высших,False,выше среднего,"Веб-разработка,Корпоративные системы",20/12/2013 12:28:41,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,C#/.NET,,7.5,0.75,2500,800,Киев,свыше 1000 человек,Аутсорсинговая,m,31,Высшее,False,продвинутый,Финансы и банки,20/12/2013 12:29:23,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior QA engineer,,Automation QA,4,0.25,3200,1400,Киев,до 1000 человек,Аутсорсинговая,m,31,Высшее,False,выше среднего,"Веб-разработка,Мультимедиа",20/12/2013 12:29:43,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Ruby/Rails,,10 и более лет,меньше 3 месяцев,3200,0,Харьков,до 200 человек,Аутстаффинговая,m,30,Высшее,False,средний,Веб-разработка,20/12/2013 12:30:05,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C#/.NET,,5.5,5.5,2300,300,Киев,до 1000 человек,Продуктовая,m,27,Высшее,False,средний,"Веб-разработка,Корпоративные системы",20/12/2013 12:30:18,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Project manager,,,0.5,0.5,2000,200,Львов,свыше 1000 человек,Аутсорсинговая,m,24,Высшее,False,ниже среднего,"Веб-разработка,Корпоративные системы",20/12/2013 12:30:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.41 Safari/537.36"
,Senior Software Engineer,JavaScript,,5,3,2500,700,Днепропетровск,до 200 человек,Продуктовая,m,24,Высшее,False,продвинутый,Веб-разработка,20/12/2013 12:30:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,JavaScript,,1,0.5,1200,400,Киев,до 10 человек,Стартап,m,19,Незаконченное высшее,True,средний,Веб-разработка,20/12/2013 12:30:55,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.65 Safari/537.36"
,Senior Software Engineer,JavaScript,,4,0.5,2000,500,Днепропетровск,до 1000 человек,Аутсорсинговая,m,30,Два высших,False,ниже среднего,Веб-разработка,20/12/2013 12:31:02,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior QA engineer,,General QA,1,1,900,550,Харьков,до 10 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,"Desktop Applications,Корпоративные системы",20/12/2013 12:31:11,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,Software Engineer,PHP,,2.5,1,2250,1200,Харьков,до 50 человек,Аутстаффинговая,m,30,Высшее,False,средний,Веб-разработка,20/12/2013 12:31:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Objective-C,,6,меньше 3 месяцев,3000,1500,Киев,до 10 человек,Стартап,m,27,Незаконченное высшее,False,ниже среднего,iOS,20/12/2013 12:31:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Team lead,,,5.5,3,2900,300,Харьков,до 200 человек,Аутсорсинговая,m,23,Высшее,False,выше среднего,Веб-разработка,20/12/2013 12:32:27,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
,Senior Software Engineer,SQL,,7,0.5,3325,1100,Львов,свыше 1000 человек,Аутсорсинговая,m,30,Незаконченное высшее,False,выше среднего,"Финансы и банки,Корпоративные системы",20/12/2013 12:33:12,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,PHP,,1.75,1.75,1700,700,Днепропетровск,до 1000 человек,Другая,m,28,Высшее,False,средний,Веб-разработка,20/12/2013 12:33:44,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,5,5,2000,150,Львов,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,False,выше среднего,"Android,Финансы и банки",20/12/2013 12:33:53,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
,Junior Software Engineer,C++,,0.75,0.75,600,600,Львов,до 10 человек,Стартап,m,22,Среднее,False,элементарный,"Embedded,Системное программирование",20/12/2013 12:34:02,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior QA engineer,,Manual QA,3.5,1.75,1700,600,Львов,свыше 1000 человек,Аутсорсинговая,m,23,Высшее,False,выше среднего,"Android,iOS",20/12/2013 12:34:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA engineer,,General QA,1.75,0.75,1000,600,Харьков,до 200 человек,Аутсорсинговая,m,27,Высшее,False,элементарный,"Windows Phone,eCommerce",20/12/2013 12:34:39,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,Java,,2,1.5,2500,400,Киев,свыше 1000 человек,Аутстаффинговая,m,24,Высшее,False,продвинутый,Телекоммуникации,20/12/2013 12:34:47,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,PHP,,6.5,1.25,1700,300,Винница,до 50 человек,Аутстаффинговая,m,27,Высшее,False,средний,Веб-разработка,20/12/2013 12:35:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/30.0.1599.114 Chrome/30.0.1599.114 Safari/537.36"
,QA engineer,,Manual QA,4,1.25,1100,800,Львов,до 50 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,Desktop Applications,20/12/2013 12:35:30,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
,Junior QA engineer,,General QA,0.5,0.5,350,0,Мариуполь,до 200 человек,Аутсорсинговая,f,22,Высшее,False,средний,"Android,iOS",20/12/2013 12:35:32,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Team lead,,,10 и более лет,0.75,4000,500,Киев,свыше 1000 человек,Аутстаффинговая,m,32,Высшее,False,средний,Финансы и банки,20/12/2013 12:35:36,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Senior Software Engineer,Java,,3.5,меньше 3 месяцев,2500,1400,Львов,до 200 человек,Аутстаффинговая,m,29,Высшее,False,выше среднего,"Android,Корпоративные системы",20/12/2013 12:35:51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Ruby/Rails,,1.25,1.25,1500,800,Черкассы,до 200 человек,Аутстаффинговая,m,28,Высшее,False,выше среднего,"Веб-разработка,Корпоративные системы",20/12/2013 12:35:56,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/28.0.1500.71 Chrome/28.0.1500.71 Safari/537.36"
,Project manager,,,4,2,2500,500,Киев,до 10 человек,Продуктовая,m,29,Высшее,False,продвинутый,Веб-разработка,20/12/2013 12:36:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Python,,1,1,320,0,Киев,до 10 человек,Продуктовая,m,22,Незаконченное высшее,True,выше среднего,"Desktop Applications,Корпоративные системы",20/12/2013 12:36:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,C#/.NET,,1.25,1.25,700,400,Харьков,до 1000 человек,Аутсорсинговая,m,29,Высшее,False,средний,"Desktop Applications,Веб-разработка",20/12/2013 12:37:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,JavaScript,,5,0.5,4500,2100,Львов,до 50 человек,Другая,m,26,Высшее,False,продвинутый,Веб-разработка,20/12/2013 12:37:13,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,C++,,1,0.75,600,150,Киев,до 1000 человек,Аутсорсинговая,m,21,Незаконченное высшее,True,выше среднего,Мультимедиа,20/12/2013 12:37:16,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,Perl,,10 и более лет,0.5,3500,900,Киев,свыше 1000 человек,Аутсорсинговая,m,32,Высшее,False,продвинутый,Корпоративные системы,20/12/2013 12:37:40,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0
,Дизайнер,,,7,0.5,1800,700,Харьков,до 50 человек,Аутсорсинговая,m,24,Высшее,False,средний,"iOS,Веб-разработка",20/12/2013 12:37:40,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,QA engineer,,General QA,2,0.75,1800,300,Киев,до 200 человек,Продуктовая,m,23,Высшее,False,ниже среднего,Веб-разработка,20/12/2013 12:37:49,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Team lead,,,3,2,2750,150,Севастополь,до 200 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,Веб-разработка,20/12/2013 12:38:25,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,2.5,меньше 3 месяцев,2000,600,Киев,до 50 человек,Аутсорсинговая,m,23,Незаконченное высшее,True,выше среднего,Веб-разработка,20/12/2013 12:38:38,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Технический писатель,,,4,0.75,1700,200,Киев,до 200 человек,Продуктовая,f,25,Высшее,False,продвинутый,Веб-разработка,20/12/2013 12:38:45,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,PHP,,7,меньше 3 месяцев,2500,300,Харьков,до 50 человек,Аутстаффинговая,m,27,Высшее,False,средний,"Веб-разработка,eCommerce",20/12/2013 12:38:49,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,Project manager,,,2.5,1.25,1300,700,Днепропетровск,до 10 человек,Аутсорсинговая,m,22,Высшее,False,средний,Gamedev,20/12/2013 12:39:03,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C#/.NET,,1.5,меньше 3 месяцев,1800,1200,Харьков,до 10 человек,Стартап,m,33,Высшее,False,средний,Веб-разработка,20/12/2013 12:39:03,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,меньше 3 месяцев,меньше 3 месяцев,1710,150,Львов,до 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,"Веб-разработка,Корпоративные системы",20/12/2013 12:39:10,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,Java,,10 и более лет,0.25,2500,0,Киев,до 10 человек,Продуктовая,m,34,Среднее,False,средний,"Веб-разработка,Финансы и банки",20/12/2013 12:39:15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,Team lead,,,7.5,2,3400,350,Киев,свыше 1000 человек,Аутсорсинговая,f,30,Два высших,False,продвинутый,Финансы и банки,20/12/2013 12:39:22,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)
,Software Engineer,PHP,,2,1,400,62,Сумы,до 50 человек,Аутсорсинговая,m,22,Высшее,False,средний,"Веб-разработка,eCommerce",20/12/2013 12:39:26,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
,Team lead,,,10 и более лет,0.75,3800,700,Львов,до 10 человек,Аутсорсинговая,m,34,Два высших,False,продвинутый,"Веб-разработка,Корпоративные системы",20/12/2013 12:39:27,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:20.0) Gecko/20100101 Firefox/20.0
,Software Engineer,Java,,3,3,2500,500,Киев,до 1000 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,"Телекоммуникации,Корпоративные системы",20/12/2013 12:39:34,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Technical Lead,JavaScript,,7,0.5,4000,0,Киев,до 10 человек,Стартап,m,28,Высшее,False,выше среднего,Веб-разработка,20/12/2013 12:39:39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Python,,3,3,2150,650,Киев,до 50 человек,Аутсорсинговая,m,23,Высшее,False,выше среднего,"Веб-разработка,Финансы и банки",20/12/2013 12:40:14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Python,,6.5,меньше 3 месяцев,4500,500,Киев,до 10 человек,Продуктовая,m,25,Высшее,False,выше среднего,"Веб-разработка,eCommerce",20/12/2013 12:40:37,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,PHP,,3,1,3400,600,Киев,до 50 человек,Продуктовая,m,26,Высшее,False,выше среднего,Веб-разработка,20/12/2013 12:40:48,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,QA engineer,,Manual QA,2.5,0.75,700,0,Харьков,до 200 человек,Аутстаффинговая,m,24,Высшее,False,ниже среднего,"Android,iOS",20/12/2013 12:40:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,2.5,2.5,500,0,Ивано-Франковск,до 10 человек,Другая,m,24,Высшее,False,ниже среднего,Веб-разработка,20/12/2013 12:40:58,Opera/9.80 (X11; Linux x86_64) Presto/2.12.388 Version/12.16
,Дизайнер,,,10 и более лет,1,4000,0,Запорожье,до 10 человек,Стартап,m,32,Высшее,False,выше среднего,Другое,20/12/2013 12:41:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11"
,Senior Software Engineer,Flex/Flash/AIR,,4,2,2000,0,Луганск,до 10 человек,Другая,m,30,Высшее,False,средний,Gamedev,20/12/2013 12:41:18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,4.5,4.5,2000,0,Днепропетровск,до 1000 человек,Аутсорсинговая,m,24,Высшее,False,выше среднего,Корпоративные системы,20/12/2013 12:41:33,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,2.5,1,2300,750,Днепропетровск,свыше 1000 человек,Аутсорсинговая,m,32,Высшее,False,средний,Финансы и банки,20/12/2013 12:41:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36"
,Senior Software Engineer,Flex/Flash/AIR,,5,0.5,3500,300,Киев,до 200 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,"Веб-разработка,Финансы и банки",20/12/2013 12:41:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA engineer,,Manual QA,2.5,2.5,1180,500,Киев,до 50 человек,Продуктовая,m,25,Высшее,False,ниже среднего,"Android,iOS",20/12/2013 12:41:55,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Technical Lead,PHP,,9,8,3500,300,Харьков,до 1000 человек,Аутсорсинговая,m,30,Высшее,False,ниже среднего,Веб-разработка,20/12/2013 12:42:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
