"Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"11","QA engineer","","Manual QA","2","1.5",300,150,"Киев","до 200 человек","Продуктовая","мужской",24,"Высшее","False","выше среднего","Финансы и банки","18/05/2015 09:46:38","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",2,1.5,"Киев",300,NA,"QA"
"12","Senior Software Engineer","PHP","","7","1.5",1900,0,"Запорожье","до 200 человек","Аутстаффинговая","мужской",25,"Высшее","False","выше среднего","Веб-разработка","18/05/2015 09:47:14","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:38.0) Gecko/20100101 Firefox/38.0",7,1.5,"other",1900,NA,"DEV"
"13","Junior QA engineer","","Manual QA","0.5","0.5",600,0,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",21,"Высшее","True","средний","Корпоративные системы","18/05/2015 09:47:21","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0",0.5,0.5,"Киев",600,NA,"QA"
"14","Junior Software Engineer","Objective-C","","0.5","0.5",400,100,"Львов","до 50 человек","Аутсорсинговая","мужской",28,"Высшее","False","средний","iOS","18/05/2015 09:47:49","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",0.5,0.5,"Львов",400,NA,"DEV"
"15","Software Engineer","C#/.NET","","1","1",425,0,"Киев","свыше 1000 человек","Продуктовая","мужской",28,"Высшее","False","выше среднего","Веб-разработка,Финансы и банки","18/05/2015 09:48:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,1,"Киев",425,NA,"DEV"
"16","Software Engineer","PHP","","3","3",2300,200,"Днепр.","до 200 человек","Продуктовая","мужской",26,"Высшее","False","средний","eCommerce","18/05/2015 09:49:09","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",3,3,"Днепр.",2300,NA,"DEV"
"17","Software Engineer","C#/.NET","","2","меньше 3 месяцев",1800,800,"Киев","до 1000 человек","Продуктовая","мужской",23,"Высшее","False","ниже среднего","Корпоративные системы","18/05/2015 09:49:12","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",2,0,"Киев",1800,NA,"DEV"
"18","Software Engineer","JavaScript","","4","1",900,100,"Ивано-Франковск","до 50 человек","Аутсорсинговая","мужской",27,"Высшее","False","ниже среднего","Веб-разработка","18/05/2015 09:49:16","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",4,1,"other",900,NA,"DEV"
"19","Software Engineer","C","","1","0.25",1000,150,"Харьков","до 50 человек","Продуктовая","женский",23,"Высшее","False","средний","Embedded,Телекоммуникации","18/05/2015 09:49:23","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0",1,0.25,"Харьков",1000,NA,"DEV"
"20","Project manager","","","4","2",1000,100,"Киев","до 50 человек","Другая","мужской",24,"Высшее","False","средний","Веб-разработка","18/05/2015 09:49:32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",4,2,"Киев",1000,NA,"PM"
"21","Technical Lead","C++","","9","меньше 3 месяцев",4500,700,"Львов","до 1000 человек","Аутсорсинговая","мужской",30,"Кандидат","False","выше среднего","Embedded,Корпоративные системы","18/05/2015 09:49:35","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",9,0,"Львов",4500,NA,"SDEV"
"22","Senior Software Engineer","C#/.NET","","4","0.5",3400,1600,"Киев","свыше 1000 человек","Аутстаффинговая","мужской",25,"Высшее","False","средний","Корпоративные системы","18/05/2015 09:49:56","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",4,0.5,"Киев",3400,NA,"DEV"
"23","Product Manager","","","меньше 3 месяцев","меньше 3 месяцев",400,0,"Одесса","до 200 человек","Продуктовая","мужской",23,"Два высших","False","средний","Финансы и банки","18/05/2015 09:50:50","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",0,0,"Одесса",400,NA,""
"24","Junior QA engineer","","Manual QA","0.5","0.5",300,0,"Киев","до 10 человек","Продуктовая","мужской",25,"Высшее","False","ниже среднего","Android,Корпоративные системы","18/05/2015 09:51:26","Mozilla/5.0 (Windows NT 6.1; rv:36.0) Gecko/20100101 Firefox/36.0",0.5,0.5,"Киев",300,NA,"QA"
"25","Software Engineer","C","","1","0.25",1100,0,"Киев","до 10 человек","Стартап","мужской",24,"Высшее","False","средний","Embedded","18/05/2015 09:51:38","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,0.25,"Киев",1100,NA,"DEV"
"26","Senior Software Engineer","Ruby/Rails","","10 и более лет","0.25",3500,300,"Одесса","до 1000 человек","Аутсорсинговая","мужской",32,"Высшее","False","ниже среднего","Веб-разработка","18/05/2015 09:52:02","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",10,0.25,"Одесса",3500,NA,"DEV"
"27","Junior Software Engineer","Java","","0.5","0.5",200,0,"Харьков","до 200 человек","Продуктовая","мужской",26,"Незаконченное высшее","False","средний","Android,Телекоммуникации","18/05/2015 09:52:35","Mozilla/5.0 (Windows NT 5.2; rv:38.0) Gecko/20100101 Firefox/38.0",0.5,0.5,"Харьков",200,NA,"DEV"
"28","Senior Project Manager / Program Manager","","","10 и более лет","1",4300,200,"Киев","до 1000 человек","Аутсорсинговая","мужской",36,"Высшее","False","продвинутый","iOS,Корпоративные системы","18/05/2015 09:54:10","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",10,1,"Киев",4300,NA,"SPM"
"29","Software Engineer","Java","","1","0.5",440,210,"Запорожье","до 10 человек","Аутсорсинговая","мужской",28,"Два высших","False","элементарный","Android,Веб-разработка","18/05/2015 09:54:13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,0.5,"other",440,NA,"DEV"
"30","Technical Lead","C#/.NET","","10 и более лет","4",5000,1000,"Одесса","до 1000 человек","Аутсорсинговая","мужской",33,"Высшее","False","выше среднего","Веб-разработка","18/05/2015 09:54:24","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",10,4,"Одесса",5000,NA,"SDEV"
"31","Senior Software Engineer","Java","","4","4",1600,400,"Житомир","до 200 человек","Продуктовая","мужской",24,"Высшее","False","средний","Android","18/05/2015 09:54:28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",4,4,"other",1600,NA,"DEV"
"32","Бизнес-аналитик","","","3","0.25",1500,500,"Киев","до 50 человек","Продуктовая","мужской",26,"Высшее","False","выше среднего","Корпоративные системы","18/05/2015 09:54:34","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",3,0.25,"Киев",1500,NA,""
"33","Junior Software Engineer","C#/.NET","","2","0.5",1200,0,"Киев","до 200 человек","Аутсорсинговая","мужской",22,"Высшее","False","средний","Веб-разработка","18/05/2015 09:55:07","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,0.5,"Киев",1200,NA,"DEV"
"34","Technical Lead","C#/.NET","","7","3",2800,100,"Днепр.","свыше 1000 человек","Аутстаффинговая","мужской",28,"Высшее","False","выше среднего","Windows Phone","18/05/2015 09:55:11","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",7,3,"Днепр.",2800,NA,"SDEV"
"35","Software Engineer","Java","","1.5","0.25",750,350,"Черкассы","до 50 человек","Аутсорсинговая","женский",26,"Высшее","False","средний","Android","18/05/2015 09:55:13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1.5,0.25,"other",750,NA,"DEV"
"36","Software Engineer","C#/.NET","","1","меньше 3 месяцев",2000,1200,"Киев","до 200 человек","Продуктовая","мужской",23,"Два высших","False","продвинутый","Веб-разработка,Корпоративные системы","18/05/2015 09:55:22","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,0,"Киев",2000,NA,"DEV"
"37","QA engineer","","Manual QA","1.5","0.25",700,400,"Харьков","до 200 человек","Продуктовая","мужской",23,"Высшее","False","ниже среднего","Gamedev","18/05/2015 09:55:31","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36 OPR/29.0.1795.47",1.5,0.25,"Харьков",700,NA,"QA"
"38","Software Engineer","JavaScript","","2","1",1450,150,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",26,"Высшее","False","средний","Веб-разработка,eCommerce","18/05/2015 09:56:02","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,1,"Харьков",1450,NA,"DEV"
"39","Software Engineer","Java","","4","1",2000,0,"Днепр.","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","eCommerce","18/05/2015 09:56:03","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",4,1,"Днепр.",2000,NA,"DEV"
"40","Senior Software Engineer","C#/.NET","","8","1",3400,-680,"Харьков","до 200 человек","Аутстаффинговая","мужской",30,"Высшее","False","продвинутый","Веб-разработка","18/05/2015 09:56:29","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",8,1,"Харьков",3400,NA,"DEV"
"41","Support","","","1","1",212,0,"Киев","до 50 человек","Продуктовая","мужской",22,"Высшее","False","средний","Финансы и банки","18/05/2015 09:56:32","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,1,"Киев",212,NA,""
"42","QA engineer","","Manual QA","3","1.5",1700,100,"Одесса","свыше 1000 человек","Аутсорсинговая","мужской",23,"Высшее","False","средний","Другое","18/05/2015 09:56:47","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",3,1.5,"Одесса",1700,NA,"QA"
"43","QA engineer","","Automation QA","6","2",700,100,"Кировоград","до 50 человек","Продуктовая","мужской",28,"Высшее","False","средний","Android,Веб-разработка","18/05/2015 09:56:53","Mozilla/5.0 (Windows NT 6.1; rv:37.0) Gecko/20100101 Firefox/37.0",6,2,"other",700,NA,"QA"
"44","Junior QA engineer","","Manual QA","1","0.5",200,0,"Днепр.","до 10 человек","Продуктовая","мужской",23,"Высшее","False","ниже среднего","Android,iOS","18/05/2015 09:57:11","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",1,0.5,"Днепр.",200,NA,"QA"
"45","Software Engineer","Delphi","","4","4",160,0,"Другой","до 10 человек","Продуктовая","мужской",28,"Высшее","False","средний","Desktop Applications","18/05/2015 09:57:24","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",4,4,"other",160,NA,"DEV"
"46","Senior Software Engineer","Delphi","","6","1.5",1050,150,"Киев","до 50 человек","Другая","мужской",31,"Незаконченное высшее","False","средний","Android,Desktop Applications","18/05/2015 09:57:40","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",6,1.5,"Киев",1050,NA,"DEV"
"47","Senior Software Engineer","Ruby/Rails","","7","3",3500,0,"Днепр.","до 50 человек","Продуктовая","мужской",27,"Высшее","False","выше среднего","Веб-разработка","18/05/2015 09:57:43","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0",7,3,"Днепр.",3500,NA,"DEV"
"48","Junior Software Engineer","Java","","1.5","1",220,0,"Житомир","до 50 человек","Аутсорсинговая","мужской",23,"Незаконченное высшее","False","выше среднего","Телекоммуникации,Корпоративные системы","18/05/2015 09:57:50","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0",1.5,1,"other",220,NA,"DEV"
"49","Senior Software Engineer","Objective-C","","10 и более лет","6",3500,0,"Киев","до 10 человек","Продуктовая","мужской",39,"Высшее","False","элементарный","Desktop Applications","18/05/2015 09:57:58","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3",10,6,"Киев",3500,NA,"DEV"
"50","Верстальщик","","","7","6",1900,100,"Харьков","до 200 человек","Аутсорсинговая","мужской",30,"Два высших","False","средний","Веб-разработка","18/05/2015 09:57:59","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0",7,6,"Харьков",1900,NA,""
"51","Senior Software Engineer","Python","","5","1",2500,1500,"Киев","до 200 человек","Аутсорсинговая","мужской",27,"Высшее","False","выше среднего","Веб-разработка,eCommerce","18/05/2015 09:58:04","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",5,1,"Киев",2500,NA,"DEV"
"52","Senior Software Engineer","JavaScript","","5","0.25",3000,1000,"Черкассы","до 10 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Android,Веб-разработка","18/05/2015 09:58:30","Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12F70 Twitter for iPhone",5,0.25,"other",3000,NA,"DEV"
"53","Software Engineer","PHP","","1.5","1.5",700,200,"Киев","до 50 человек","Стартап","мужской",22,"Незаконченное высшее","True","ниже среднего","Веб-разработка","18/05/2015 09:58:34","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1.5,1.5,"Киев",700,NA,"DEV"
"54","Software Engineer","Objective-C","","5","1.5",4000,0,"Киев","до 10 человек","Продуктовая","мужской",35,"Высшее","False","выше среднего","iOS","18/05/2015 09:58:39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3",5,1.5,"Киев",4000,NA,"DEV"
"55","QA engineer","","Manual QA","2","2",800,400,"Днепр.","свыше 1000 человек","Аутсорсинговая","мужской",28,"Два высших","False","средний","Веб-разработка","18/05/2015 09:58:45","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,2,"Днепр.",800,NA,"QA"
"56","Software Engineer","Java","","3","0.5",2090,700,"Харьков","свыше 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","средний","eCommerce","18/05/2015 09:59:10","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36 OPR/29.0.1795.47",3,0.5,"Харьков",2090,NA,"DEV"
"57","HR","","","3","1.5",700,0,"Киев","до 1000 человек","Продуктовая","женский",23,"Незаконченное высшее","False","выше среднего","Другое","18/05/2015 09:59:22","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",3,1.5,"Киев",700,NA,""
"58","Software Engineer","PHP","","6","0.25",1800,300,"Киев","до 10 человек","Продуктовая","мужской",26,"Незаконченное высшее","False","выше среднего","eCommerce","18/05/2015 09:59:52","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",6,0.25,"Киев",1800,NA,"DEV"
"59","Junior Software Engineer","Java","","0.5","0.5",800,0,"Другой","до 200 человек","Аутсорсинговая","мужской",21,"Высшее","True","выше среднего","Android","18/05/2015 10:00:10","Mozilla/5.0 (Linux; Android 5.1.1; Nexus 10 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.111 Safari/537.36",0.5,0.5,"other",800,NA,"DEV"
"60","Software Engineer","JavaScript","","1","меньше 3 месяцев",1200,200,"Киев","до 1000 человек","Аутсорсинговая","мужской",25,"Высшее","False","выше среднего","Веб-разработка","18/05/2015 10:00:15","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1,0,"Киев",1200,NA,"DEV"
"61","Senior Software Engineer","1С","","7","5",500,-500,"Днепр.","до 10 человек","Другая","мужской",28,"Высшее","False","ниже среднего","Desktop Applications,Корпоративные системы","18/05/2015 10:00:16","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",7,5,"Днепр.",500,NA,"DEV"
"62","Senior Software Engineer","Python","","6","меньше 3 месяцев",2880,1680,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","продвинутый","Мультимедиа,Другое","18/05/2015 10:00:37","Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36",6,0,"Киев",2880,NA,"DEV"
"63","QA engineer","","General QA","3","1.5",1200,200,"Одесса","до 50 человек","Аутсорсинговая","мужской",24,"Два высших","False","средний","Веб-разработка,eCommerce","18/05/2015 10:00:39","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:37.0) Gecko/20100101 Firefox/37.0",3,1.5,"Одесса",1200,NA,"QA"
"64","Senior Software Engineer","JavaScript","","4","0.5",2900,600,"Киев","до 1000 человек","Продуктовая","мужской",23,"Высшее","False","средний","Веб-разработка","18/05/2015 10:00:41","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",4,0.5,"Киев",2900,NA,"DEV"
"65","Системный администратор","","","5","3",286,44,"Днепр.","до 200 человек","Другая","мужской",30,"Высшее","False","средний","Телекоммуникации,Корпоративные системы","18/05/2015 10:01:04","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36",5,3,"Днепр.",286,NA,"ADM"
"66","Team lead","","","10 и более лет","9",4080,100,"Киев","до 50 человек","Аутстаффинговая","мужской",34,"Высшее","False","продвинутый","Desktop Applications,Корпоративные системы","18/05/2015 10:01:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",10,9,"Киев",4080,NA,"PM"
"67","Senior Software Engineer","Objective-C","","5","5",2700,0,"Днепр.","до 50 человек","Аутсорсинговая","мужской",29,"Высшее","False","выше среднего","iOS","18/05/2015 10:01:24","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.6.3 (KHTML, like Gecko) Version/8.0.6 Safari/600.6.3",5,5,"Днепр.",2700,NA,"DEV"
"68","Software Engineer","PHP","","2","0.5",1500,700,"Другой","до 50 человек","Продуктовая","мужской",26,"Высшее","False","выше среднего","Веб-разработка","18/05/2015 10:01:32","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",2,0.5,"other",1500,NA,"DEV"
"69","Software Engineer","C#/.NET","","3","3",1600,300,"Харьков","до 1000 человек","Продуктовая","мужской",23,"Высшее","False","выше среднего","Desktop Applications,Gamedev","18/05/2015 10:01:37","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/41.0.2272.76 Chrome/41.0.2272.76 Safari/537.36",3,3,"Харьков",1600,NA,"DEV"
"70","Software Engineer","Other","","9","9",300,-400,"Житомир","до 10 человек","Продуктовая","мужской",30,"Незаконченное высшее","False","средний","Desktop Applications,Финансы и банки","18/05/2015 10:01:40","Mozilla/5.0 (Windows NT 6.1; rv:37.0) Gecko/20100101 Firefox/37.0",9,9,"other",300,NA,"DEV"
"71","Software Engineer","Java","","1.5","1.5",1300,300,"Киев","до 50 человек","Продуктовая","мужской",25,"Высшее","False","ниже среднего","Веб-разработка","18/05/2015 10:02:21","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1.5,1.5,"Киев",1300,NA,"DEV"
"72","Software Engineer","Java","","3","меньше 3 месяцев",2200,0,"Киев","до 50 человек","Стартап","мужской",27,"Высшее","False","средний","Android","18/05/2015 10:02:25","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.4.10 (KHTML, like Gecko) Version/8.0.4 Safari/600.4.10",3,0,"Киев",2200,NA,"DEV"
"73","QA engineer","","Automation QA","5","1.5",2000,600,"Одесса","до 10 человек","Продуктовая","мужской",28,"Высшее","False","ниже среднего","Веб-разработка","18/05/2015 10:02:28","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",5,1.5,"Одесса",2000,NA,"QA"
"74","Software Engineer","C#/.NET","","3","2",2400,500,"Днепр.","до 50 человек","Продуктовая","мужской",23,"Высшее","False","средний","Корпоративные системы","18/05/2015 10:02:34","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",3,2,"Днепр.",2400,NA,"DEV"
"75","Software Engineer","C#/.NET","","2","2",1500,300,"Харьков","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","средний","Windows Phone,Веб-разработка","18/05/2015 10:02:37","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",2,2,"Харьков",1500,NA,"DEV"
