,Возраст,Пол,Должность,Образование,Язык программирования,Индустрия,Предметная область,Доп. специализация,Общий опыт работы,Опыт работы на текущем месте,Средняя зарплата в месяц,Валюта,Годовые премии и бонусы,Валюта,Размер компании,Город,Уровень английского,Дата заполнения,User-Agent
,24,m,Software Engineer,Незаконченное высшее,PHP,Аутсорсинг,Веб-разработка,,6,1.75,1300,d,0,d,до 10 человек,Львов,элементарный,10/05/2011 11:39:23,Mozilla/5.0 (Windows NT 5.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1 FirePHP/0.5
,18,m,Системный администратор,Незаконченное высшее,,ИТ-подразделение,Веб-разработка,,меньше 3 месяцев,1.5,350,h,0,d,до 10 человек,Симферополь,ниже среднего,10/05/2011 11:39:29,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,24,m,Software Engineer,Высшее,C#/.NET,Аутсорсинг,Корпоративные системы,,4.5,0.25,2000,d,0,d,до 50 человек,Киев,выше среднего,10/05/2011 11:39:37,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,27,m,Technical Lead,Высшее,Java,Аутсорсинг,Корпоративные системы,,7.5,0.75,3600,d,0,d,до 200 человек,Киев,продвинутый,10/05/2011 11:39:41,Mozilla/5.0 (Windows NT 5.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,25,m,Junior Software Engineer,Высшее,C#/.NET,Аутсорсинг,Корпоративные системы,,1.75,1,800,d,0,d,до 1000 человек,Львов,ниже среднего,10/05/2011 11:40:05,Opera/9.80 (Windows NT 5.1; U; Opera Next; en) Presto/2.8.131 Version/11.50
,24,m,Software Engineer,Высшее,PHP,Разработка ПО,Веб-разработка,,4,0.5,1000,d,0,d,до 10 человек,Киев,средний,10/05/2011 11:40:06,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,29,m,Senior Software Engineer,Высшее,Python,Разработка ПО,Веб-разработка,,3,2,2000,d,0,d,до 50 человек,Николаев,выше среднего,10/05/2011 11:40:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.30 Safari/534.30"
,27,m,Senior Software Engineer,Высшее,Java,Аутсорсинг,Финансы и банки,,5,4,1500,d,0,d,до 50 человек,Днепропетровск,выше среднего,10/05/2011 11:40:32,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,26,m,Software Engineer,Высшее,Java,Аутсорсинг,Android,,3.5,0.75,14000,h,0,d,до 1000 человек,Киев,выше среднего,10/05/2011 11:40:46,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16"
,25,m,Senior Software Engineer,Высшее,C#/.NET,Аутсорсинг,Веб-разработка,,5,меньше 3 месяцев,2000,d,0,d,до 10 человек,Севастополь,средний,10/05/2011 11:40:46,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,22,m,Software Engineer,Высшее,Ruby/Rails,Аутсорсинг,Веб-разработка,,2.5,1.75,600,d,0,d,до 200 человек,Харьков,средний,10/05/2011 11:40:52,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16"
,25,m,Software Engineer,Высшее,C#/.NET,Аутсорсинг,Корпоративные системы,,3,3,1300,d,0,d,до 10 человек,Николаев,средний,10/05/2011 11:40:54,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,27,m,Software Engineer,Высшее,Java,Аутсорсинг,Корпоративные системы,,4,4,1200,d,300,d,до 200 человек,Симферополь,средний,10/05/2011 11:41:01,Mozilla/5.0 (Windows NT 5.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,28,m,Software Engineer,Высшее,Objective-C,Аутсорсинг,iOS,,3,5,1800,d,200,d,до 10 человек,Черновцы,элементарный,10/05/2011 11:41:12,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,27,f,Senior QA engineer,Высшее,,Аутсорсинг,Веб-разработка,Manual QA,3,1.25,1500,d,0,d,до 100 человек,Киев,средний,10/05/2011 11:41:20,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,26,m,Верстальщик,Высшее,,Аутсорсинг,Веб-разработка,,4,2.5,1100,d,200,d,до 100 человек,Харьков,средний,10/05/2011 11:41:30,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,28,m,Senior Software Engineer,Высшее,PHP,Аутсорсинг,Веб-разработка,,5,3,2400,d,300,d,до 10 человек,Ивано-Франковск,средний,10/05/2011 11:41:40,Opera/9.80 (X11; Linux i686; U; uk) Presto/2.8.131 Version/11.10
,20,m,Junior Software Engineer,Незаконченное высшее,C++,Аутсорсинг,Встраиваемые системы / Embedded,,1,0.5,700,d,0,d,до 200 человек,Одесса,выше среднего,10/05/2011 11:41:52,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,27,m,Senior Software Engineer,Незаконченное высшее,Java,Аутсорсинг,Веб-разработка,,10 и более лет,1.5,1700,d,0,d,до 100 человек,Днепропетровск,средний,10/05/2011 11:41:58,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.12 Safari/534.30"
,26,m,Software Engineer,Высшее,C++,Аутсорсинг,Корпоративные системы,,5,0.75,1500,d,0,d,до 200 человек,Одесса,выше среднего,10/05/2011 11:42:23,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,28,m,Senior Software Engineer,Высшее,Java,Аутсорсинг,Корпоративные системы,,6,3,2700,d,1000,d,до 1000 человек,Киев,средний,10/05/2011 11:42:24,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,0,m,Дизайнер,Среднее,,Заказная разработка,Веб-разработка,,4,меньше 3 месяцев,1400,d,0,d,до 10 человек,Львов,ниже среднего,10/05/2011 11:42:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,23,m,Software Engineer,Высшее,Java,Разработка ПО,Веб-разработка,,4,3,2300,d,0,d,до 50 человек,Киев,ниже среднего,10/05/2011 11:43:02,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,21,m,Software Engineer,Незаконченное высшее,PHP,Аутсорсинг,Веб-разработка,,3.5,1,1400,d,0,d,до 10 человек,Винница,средний,10/05/2011 11:43:03,"Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Ubuntu/10.04 Chromium/10.0.648.205 Chrome/10.0.648.205 Safari/534.16"
,35,m,Technical Lead,Высшее,PHP,Аутсорсинг,Веб-разработка,,5,2,1400,d,100,d,до 10 человек,Киев,средний,10/05/2011 11:43:14,Mozilla/5.0 (Windows NT 5.2; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,24,m,Software Engineer,Незаконченное высшее,C#/.NET,Аутсорсинг,Веб-разработка,,1.5,меньше 3 месяцев,1400,d,0,d,до 200 человек,Львов,выше среднего,10/05/2011 11:43:16,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16"
,17,m,Senior Software Engineer,Среднее,Python,Аутсорсинг,Веб-разработка,,2,меньше 3 месяцев,3000,d,0,d,до 10 человек,Харьков,средний,10/05/2011 11:43:23,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,26,m,Senior Software Engineer,Высшее,C++,Аутсорсинг,Корпоративные системы,,5.5,0.5,2500,d,0,d,до 200 человек,Киев,средний,10/05/2011 11:43:35,Mozilla/5.0 (Windows NT 5.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,22,m,Project manager,Незаконченное высшее,,Разработка ПО,Веб-разработка,,меньше 3 месяцев,меньше 3 месяцев,1500,d,0,d,до 10 человек,Харьков,средний,10/05/2011 11:44:13,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.30 Safari/534.30"
,25,m,Software Engineer,Высшее,Objective-C,Аутсорсинг,iOS,,2.5,0.25,1400,d,0,d,до 1000 человек,Львов,ниже среднего,10/05/2011 11:44:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,39,m,Senior Software Engineer,Незаконченное высшее,Java,Разработка ПО,Корпоративные системы,,5,1,1500,d,0,d,до 10 человек,Одесса,средний,10/05/2011 11:44:24,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.57 Safari/534.24"
,31,m,Software Engineer,Высшее,Java,Аутсорсинг,Веб-разработка,,4,1.5,1700,d,0,d,до 1000 человек,Львов,выше среднего,10/05/2011 11:44:26,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Ubuntu/11.04 Chromium/11.0.696.57 Chrome/11.0.696.57 Safari/534.24"
,27,m,Software Engineer,Высшее,PHP,Разработка ПО,Веб-разработка,,6,0.75,1300,d,0,d,до 10 человек,Черновцы,выше среднего,10/05/2011 11:44:31,Mozilla/5.0 (Windows NT 6.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,27,m,Software Engineer,Высшее,Java,Аутсорсинг,Корпоративные системы,,8,7,2000,d,0,d,до 200 человек,Одесса,выше среднего,10/05/2011 11:44:45,Mozilla/5.0 (Windows NT 5.2; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,29,m,Director of Engineering / Program Director,Высшее,,Разработка ПО,Веб-разработка,,7,0.5,3500,d,0,d,до 50 человек,Киев,средний,10/05/2011 11:44:47,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,25,m,Project manager,Высшее,,Аутсорсинг,Веб-разработка,,1,1,800,d,500,d,до 50 человек,Черновцы,выше среднего,10/05/2011 11:45:00,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,24,m,Project manager,Незаконченное высшее,,Заказная разработка,Корпоративные системы,,5,2,1500,d,0,d,до 10 человек,Киев,ниже среднего,10/05/2011 11:45:10,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,28,m,Project manager,Высшее,,Аутсорсинг,Корпоративные системы,,10 и более лет,5,3000,d,6000,d,до 1000 человек,Днепропетровск,продвинутый,10/05/2011 11:45:14,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,30,m,Software Engineer,Высшее,C++,Разработка ПО,Телекоммуникации,,7,4.5,1500,d,500,d,до 10 человек,Черновцы,средний,10/05/2011 11:45:15,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,26,m,Team lead,Высшее,,Аутсорсинг,Корпоративные системы,,3.5,3.5,2400,d,0,d,до 50 человек,Харьков,средний,10/05/2011 11:45:58,Mozilla/5.0 (Windows NT 5.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,25,m,Software Engineer,Высшее,C++,Аутсорсинг,Встраиваемые системы / Embedded,,1.25,0.25,1000,d,3000,d,до 10 человек,Черновцы,средний,10/05/2011 11:46:06,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,27,m,Software Engineer,Незаконченное высшее,Flex/Flash/AIR,Заказная разработка,Веб-разработка,,7,1,1500,d,0,d,до 10 человек,Киев,средний,10/05/2011 11:46:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,29,m,Дизайнер,Высшее,,Аутсорсинг,Веб-разработка,,6,1,1500,d,0,d,до 10 человек,Харьков,выше среднего,10/05/2011 11:47:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.57 Safari/534.24"
,25,m,Senior Software Engineer,Высшее,C#/.NET,Аутсорсинг,Корпоративные системы,,3,меньше 3 месяцев,2000,d,0,d,до 1000 человек,Киев,продвинутый,10/05/2011 11:47:47,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,30,m,Technical Lead,Высшее,Java,Аутсорсинг,Корпоративные системы,,7,4,3500,d,0,d,до 100 человек,Киев,средний,10/05/2011 11:47:47,Opera/9.80 (X11; Linux i686; U; en) Presto/2.8.131 Version/11.10
,24,m,Software Engineer,Высшее,Java,Заказная разработка,Корпоративные системы,,3,1.25,3400,h,0,d,до 50 человек,Луганск,средний,10/05/2011 11:48:13,Opera/9.80 (X11; Linux i686; U; Opera Next; ru) Presto/2.8.131 Version/11.50
,35,m,Системный администратор,Незаконченное высшее,,ИТ-подразделение,Корпоративные системы,,7,5,375,d,0,d,до 10 человек,Киев,ниже среднего,10/05/2011 11:48:20,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,21,m,Software Engineer,Высшее,Objective-C,Аутсорсинг,iOS,,0.75,1.25,800,d,0,d,до 50 человек,Львов,средний,10/05/2011 11:48:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.57 Safari/534.24"
,19,m,Junior Software Engineer,Незаконченное высшее,Java,Аутсорсинг,Веб-разработка,,0.75,0.75,666,d,0,d,до 200 человек,Львов,выше среднего,10/05/2011 11:48:39,Mozilla/5.0 (Windows NT 5.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,23,m,Senior Software Engineer,Высшее,C#/.NET,Аутсорсинг,Веб-разработка,,4.5,4.5,760,d,2400,d,до 200 человек,Винница,ниже среднего,10/05/2011 11:48:47,Opera/9.80 (Windows NT 5.1; U; ru) Presto/2.8.131 Version/11.10
,29,m,Senior Software Engineer,Высшее,PHP,ИТ-подразделение,Веб-разработка,,5.5,2,10000,h,0,d,до 10 человек,Киев,элементарный,10/05/2011 11:48:48,Mozilla/5.0 (X11; Linux i686; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,29,m,Senior Software Engineer,Высшее,C#/.NET,Разработка ПО,Телекоммуникации,,10 и более лет,7,900,d,0,d,до 10 человек,Донецк,ниже среднего,10/05/2011 11:48:50,Mozilla/5.0 (Windows NT 6.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,24,m,Software Engineer,Высшее,C++,Разработка ПО,Финансы и банки,,4,0.5,2000,d,0,d,до 100 человек,Киев,средний,10/05/2011 11:48:50,Mozilla/5.0 (Windows NT 5.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,24,m,Software Engineer,Высшее,Java,Аутсорсинг,Android,,0.75,меньше 3 месяцев,1600,d,0,d,до 50 человек,Одесса,ниже среднего,10/05/2011 11:49:38,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.57 Safari/534.24"
,24,m,Technical Lead,Высшее,C#/.NET,Аутсорсинг,Корпоративные системы,,3.5,3.5,2200,d,2000,d,до 200 человек,Львов,выше среднего,10/05/2011 11:49:40,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,23,m,Software Engineer,Незаконченное высшее,Python,Аутсорсинг,Веб-разработка,,5,2.5,1400,d,0,d,до 50 человек,Киев,выше среднего,10/05/2011 11:49:48,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,30,m,Senior Project Manager / Program Manager,Высшее,,Аутсорсинг,Веб-разработка,,3,3,500,d,0,d,до 10 человек,Полтава,выше среднего,10/05/2011 11:50:08,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,22,m,Junior Software Engineer,Высшее,Java,Разработка ПО,Телекоммуникации,,2,2,7000,h,5000,h,до 200 человек,Киев,средний,10/05/2011 11:50:11,Opera/9.80 (Windows NT 5.1; U; en) Presto/2.8.131 Version/11.10
,27,m,Junior Software Engineer,Высшее,Flex/Flash/AIR,Заказная разработка,Веб-разработка,,0.5,меньше 3 месяцев,6000,h,0,d,до 10 человек,Киев,выше среднего,10/05/2011 11:50:43,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,28,m,Senior Software Engineer,Высшее,C++,Аутсорсинг,Корпоративные системы,,5,3,2750,d,0,d,до 10 человек,Днепропетровск,выше среднего,10/05/2011 11:51:07,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,23,m,Technical Lead,Незаконченное высшее,Objective-C,Аутсорсинг,iOS,,2,1.75,2000,d,0,d,до 100 человек,Днепропетровск,ниже среднего,10/05/2011 11:51:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,30,m,Senior Software Engineer,Высшее,C++,Аутсорсинг,Встраиваемые системы / Embedded,,7,1.25,1900,d,0,d,до 200 человек,Киев,средний,10/05/2011 11:52:36,Mozilla/5.0 (Windows NT 5.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,26,m,Software Engineer,Высшее,PHP,Аутсорсинг,Веб-разработка,,1.5,1,1800,d,0,d,до 50 человек,Киев,средний,10/05/2011 11:52:56,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,24,m,Software Engineer,Высшее,Delphi,Разработка ПО,Телекоммуникации,,5.5,2.5,700,d,50,d,до 10 человек,Запорожье,выше среднего,10/05/2011 11:53:17,Mozilla/5.0 (Windows NT 5.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
,25,m,Team lead,Высшее,,Аутсорсинг,Корпоративные системы,,4,1.5,2500,d,0,d,до 10 человек,Киев,продвинутый,10/05/2011 11:53:41,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,26,m,Software Engineer,Незаконченное высшее,C#/.NET,Аутсорсинг,Корпоративные системы,,6,0.5,1800,d,0,d,до 200 человек,Львов,средний,10/05/2011 11:53:58,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,24,m,Системный администратор,Высшее,,Аутсорсинг,Корпоративные системы,,1,0.5,600,d,600,d,до 1000 человек,Ивано-Франковск,средний,10/05/2011 11:54:26,"Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.205 Safari/534.16"
,25,m,Technical Lead,Высшее,Ruby/Rails,Аутсорсинг,Корпоративные системы,,6,1.5,2000,d,0,d,до 10 человек,Харьков,выше среднего,10/05/2011 11:54:55,"Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.205 Safari/534.16"
,24,m,Software Engineer,Высшее,C++,Аутсорсинг,Корпоративные системы,,3,1,900,d,0,d,до 1000 человек,Черновцы,выше среднего,10/05/2011 11:55:04,Opera/9.80 (Windows NT 6.1; U; ru) Presto/2.5.24 Version/10.52
,24,m,Team lead,Высшее,,Аутсорсинг,Корпоративные системы,,5.5,5.5,1600,d,0,d,до 200 человек,Львов,выше среднего,10/05/2011 11:55:05,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,26,m,Technical Lead,Высшее,Java,Аутсорсинг,Веб-разработка,,3,2,2500,d,0,d,до 100 человек,Харьков,выше среднего,10/05/2011 11:55:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.60 Safari/534.24"
,32,m,Senior Software Engineer,Высшее,Delphi,Разработка ПО,Разработка игр / Gamedev,,6.5,2,900,d,0,d,до 10 человек,Харьков,средний,10/05/2011 11:55:16,Opera/9.80 (Windows NT 5.1; U; ru) Presto/2.8.131 Version/11.10
,22,m,Software Engineer,Высшее,Python,ИТ-подразделение,Веб-разработка,,4,1.75,2200,d,0,d,до 50 человек,Киев,средний,10/05/2011 11:55:36,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.205 Safari/534.16"
,26,m,Software Engineer,Высшее,Flex/Flash/AIR,Аутсорсинг,Корпоративные системы,,5.5,2.5,1300,d,1500,d,до 10 человек,Харьков,ниже среднего,10/05/2011 11:55:58,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.9 Safari/534.30"
,38,m,Senior Software Engineer,Высшее,C++,Аутсорсинг,Корпоративные системы,,10 и более лет,7,2000,d,0,d,до 100 человек,Львов,выше среднего,10/05/2011 11:56:13,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,24,m,Senior Software Engineer,Высшее,Java,Аутсорсинг,Android,,7,1,3000,d,0,d,до 50 человек,Львов,выше среднего,10/05/2011 11:57:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,22,m,Junior Software Engineer,Незаконченное высшее,Java,Разработка ПО,Телекоммуникации,,1.5,1,1100,d,1100,d,до 1000 человек,Киев,выше среднего,10/05/2011 11:58:48,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.24"
,32,m,Senior Project Manager / Program Manager,Высшее,,Аутсорсинг,Веб-разработка,,10 и более лет,9,2000,d,19000,d,до 200 человек,Харьков,выше среднего,10/05/2011 11:59:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.57 Safari/534.24"
,25,m,System Architect,Высшее,Python,Разработка ПО,Веб-разработка,,7,6,2000,d,5000,d,до 50 человек,Одесса,выше среднего,10/05/2011 11:59:56,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.205 Safari/534.16"
,25,m,Senior Software Engineer,Высшее,C#/.NET,Аутсорсинг,Веб-разработка,,7,3,2500,d,0,d,до 100 человек,Харьков,продвинутый,10/05/2011 12:01:24,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1"
