"Должность","Язык.программирования","Специализация","Общий.опыт.работы","Опыт.работы.на.текущем.месте","Зарплата.в.месяц","Изменение.зарплаты","Город","Размер.компании","Тип.компании","Пол","Возраст","Образование","Еще.студент","Уровень.английского","Предметная.область","Дата.заполнения","User.Agent","exp","current_job_exp","loc","salary","Валюта","cls"
"53","Senior Software Engineer","Java","","8","меньше 3 месяцев",3066,566,"Другой","до 10 человек","Продуктовая","мужской",30,"Высшее","False","средний","Android","22/12/2014 13:33:00","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",8,0,"other",3066,NA,"DEV"
"54","Senior Software Engineer","JavaScript","","8","3",2300,200,"Киев","до 200 человек","Аутстаффинговая","мужской",29,"Незаконченное высшее","False","продвинутый","Веб-разработка","22/12/2014 13:33:01","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36",8,3,"Киев",2300,NA,"DEV"
"55","Support","","","6","5",500,-500,"Винница","до 10 человек","Другая","мужской",28,"Высшее","False","ниже среднего","Android,Корпоративные системы","22/12/2014 13:33:03","Mozilla/5.0 (Windows NT 5.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",6,5,"other",500,NA,""
"56","Senior Software Engineer","PHP","","6","3",1800,0,"Днепр.","до 10 человек","Другая","мужской",31,"Высшее","False","ниже среднего","Gamedev","22/12/2014 13:33:08","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2253.2 Safari/537.36",6,3,"Днепр.",1800,NA,"DEV"
"57","System Architect","JavaScript","","6.5","2",5500,500,"Киев","до 10 человек","Продуктовая","мужской",26,"Высшее","False","выше среднего","Embedded,Корпоративные системы","22/12/2014 13:33:12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5",6.5,2,"Киев",5500,NA,"SDEV"
"58","Director of Engineering / Program Director","","","7","1.25",5000,0,"Киев","до 50 человек","Стартап","мужской",32,"Высшее","False","выше среднего","Веб-разработка","22/12/2014 13:33:23","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 YaBrowser/14.10.2062.12542 Safari/537.36",7,1.25,"Киев",5000,NA,"SPM"
"59","Senior Software Engineer","JavaScript","","4","1.5",3000,500,"Киев","до 10 человек","Аутсорсинговая","мужской",25,"Незаконченное высшее","False","выше среднего","Веб-разработка","22/12/2014 13:33:30","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",4,1.5,"Киев",3000,NA,"DEV"
"60","Junior Software Engineer","Java","","меньше 3 месяцев","меньше 3 месяцев",800,0,"Киев","до 1000 человек","Продуктовая","мужской",30,"Высшее","False","средний","Android,Gamedev","22/12/2014 13:33:44","Mozilla/5.0 (Windows NT 6.1; rv:34.0) Gecko/20100101 Firefox/34.0",0,0,"Киев",800,NA,"DEV"
"61","Software Engineer","Python","","2.5","2.5",720,120,"Киев","до 1000 человек","Продуктовая","мужской",25,"Высшее","False","средний","Корпоративные системы,Другое","22/12/2014 13:33:46","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",2.5,2.5,"Киев",720,NA,"DEV"
"62","QA Tech Lead","","General QA","9.5","9.5",3325,0,"Харьков","до 1000 человек","Аутсорсинговая","мужской",32,"Высшее","False","средний","","22/12/2014 13:33:51","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0",9.5,9.5,"Харьков",3325,NA,"QA"
"63","QA engineer","","General QA","4","2.5",1500,300,"Харьков","до 50 человек","Аутсорсинговая","мужской",36,"Высшее","False","средний","Веб-разработка,Корпоративные системы","22/12/2014 13:33:52","Mozilla/5.0 (Windows NT 6.1; rv:34.0) Gecko/20100101 Firefox/34.0",4,2.5,"Харьков",1500,NA,"QA"
"64","Project manager","","","10 и более лет","10 и более лет",3200,200,"Киев","до 50 человек","Аутсорсинговая","мужской",30,"Высшее","False","выше среднего","Desktop Applications,Веб-разработка","22/12/2014 13:34:02","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",10,10,"Киев",3200,NA,"PM"
"65","Software Engineer","Objective-C","","2","0.5",2500,500,"Харьков","до 200 человек","Аутстаффинговая","мужской",20,"Незаконченное высшее","True","средний","iOS","22/12/2014 13:34:06","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",2,0.5,"Харьков",2500,NA,"DEV"
"66","Technical Lead","PHP","","4","1",4000,500,"Киев","до 50 человек","Продуктовая","мужской",24,"Незаконченное высшее","False","продвинутый","Веб-разработка","22/12/2014 13:34:10","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/39.0.2171.65 Chrome/39.0.2171.65 Safari/537.36",4,1,"Киев",4000,NA,"SDEV"
"67","Software Engineer","Python","","2.5","2.5",900,200,"Харьков","до 50 человек","Аутсорсинговая","мужской",24,"Высшее","False","ниже среднего","Веб-разработка","22/12/2014 13:34:20","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/39.0.2171.65 Chrome/39.0.2171.65 Safari/537.36",2.5,2.5,"Харьков",900,NA,"DEV"
"68","Project manager","","","2","2",1150,400,"Николаев","до 1000 человек","Аутсорсинговая","мужской",24,"Высшее","False","выше среднего","Android,iOS","22/12/2014 13:34:52","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",2,2,"other",1150,NA,"PM"
"69","Junior QA engineer","","Manual QA","1","0.5",800,300,"Киев","до 200 человек","Продуктовая","мужской",25,"Высшее","False","выше среднего","Веб-разработка","22/12/2014 13:35:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",1,0.5,"Киев",800,NA,"QA"
"70","Software Engineer","C++","","2.5","1.75",1710,190,"Киев","свыше 1000 человек","Аутсорсинговая","мужской",27,"Высшее","False","выше среднего","Финансы и банки","22/12/2014 13:35:03","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",2.5,1.75,"Киев",1710,NA,"DEV"
"71","Software Engineer","Python","","2.5","2.5",1500,0,"Львов","до 10 человек","Аутсорсинговая","мужской",29,"Высшее","False","выше среднего","Веб-разработка","22/12/2014 13:35:19","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",2.5,2.5,"Львов",1500,NA,"DEV"
"72","Software Engineer","C#/.NET","","1.5","меньше 3 месяцев",1500,800,"Львов","до 1000 человек","Продуктовая","мужской",24,"Высшее","False","продвинутый","Корпоративные системы,Другое","22/12/2014 13:35:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",1.5,0,"Львов",1500,NA,"DEV"
"73","Team lead","","","6","4",2800,400,"Киев","до 200 человек","Аутсорсинговая","мужской",26,"Техникум / Колледж","False","средний","Веб-разработка,eCommerce","22/12/2014 13:35:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",6,4,"Киев",2800,NA,"PM"
