"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"51","Харьков",1400,600,"Software Engineer",3,3,"Python","",24,"мужской","Высшее","ХНУРЭ","False","ниже среднего","до 200 человек","Продуктовая","Другое"
"52","Харьков",1300,300,"QA engineer",3,3,"","Automation QA",25,"мужской","Высшее","ХАИ","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Другое"
"53","Киев",3050,1500,"Senior Software Engineer",4,0.5,"PHP","",23,"мужской","Высшее","Другой вуз","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"54","Запорожье",2500,500,"Software Engineer",4,0.25,"JavaScript","",24,"мужской","Незаконченное высшее","Другой вуз","False","средний","до 200 человек","Аутстаффинговая","Веб-разработка"
"55","Киев",500,300,"Junior Software Engineer",1,1,"JavaScript","",24,"мужской","Высшее","НТУУ «КПИ»","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка,eCommerce"
"56","Киев",2000,1500,"DBA",3,0.25,"","",24,"мужской","Высшее","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","Desktop Applications"
"57","Львов",800,200,"Marketing",5,0,"","",27,"женский","Высшее","ЛНУ им. Франко","False","продвинутый","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"58","Киев",7000,1000,"Director of Engineering / Program Director",8,4,"","",32,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 1000 человек","Продуктовая","Gamedev,Другое"
"59","Киев",1800,600,"Senior QA engineer",3,1.5,"","General QA",24,"мужской","Высшее","КНУТД","False","выше среднего","до 1000 человек","Аутсорсинговая","Android,iOS"
"60","Харьков",1235,300,"Software Engineer",2,2,"Java","",21,"мужской","Незаконченное высшее","ХНУРЭ","True","средний","свыше 1000 человек","Аутсорсинговая","eCommerce"
"61","Киев",670,0,"QA engineer",3,2,"","General QA",28,"мужской","Незаконченное высшее","Другой вуз","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"62","Киев",2300,800,"Senior QA engineer",3,0.5,"","General QA",25,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 10 человек","Стартап","iOS,Веб-разработка"
"63","Харьков",8000,0,"Senior Software Engineer",5,2,"Scala","",30,"мужской","Высшее","НТУ «ХПИ»","False","средний","до 50 человек","Продуктовая","Веб-разработка,Финансы и банки"
"64","Киев",200,0,"Junior Software Engineer",0,0,"JavaScript","",25,"мужской","Высшее","НАУ","False","средний","до 10 человек","Продуктовая","Веб-разработка"
"65","Киев",2200,0,"Sysadmin",10,9,"","",40,"мужской","Высшее","Другой вуз","False","ниже среднего","до 200 человек","Продуктовая","Другое"
"66","Киев",3600,2000,"Software Engineer",8,1,"PHP","",25,"мужской","Высшее","Другой вуз","False","средний","до 10 человек","Другая","eCommerce"
"67","Киев",900,0,"Support",3,3,"","",26,"мужской","Высшее","ДонНТУ","False","ниже среднего","до 200 человек","Продуктовая","Финансы и банки"
"68","Львов",3700,1400,"Senior Software Engineer",6,0.5,"Python","",29,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Аутсорсинговая","Другое"
"69","Харьков",400,0,"Junior Software Engineer",0.5,0.5,"PHP","",29,"мужской","Техникум / Колледж","","False","элементарный","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"70","Киев",2000,750,"Software Engineer",6,0,"PHP","",26,"мужской","Незаконченное высшее","НаУКМА","False","выше среднего","до 10 человек","Продуктовая","Веб-разработка"
"71","Львов",2700,200,"Software Engineer",3,1.5,"Python","",25,"мужской","Высшее","Другой вуз","False","средний","до 1000 человек","Аутсорсинговая","Телекоммуникации,Корпоративные системы"
"72","Киев",400,0,"Junior Software Engineer",0.25,0.25,"C#/.NET","",19,"мужской","Незаконченное высшее","НТУУ «КПИ»","True","средний","до 50 человек","Аутсорсинговая","iOS,Веб-разработка"
"73","Одесса",1150,300,"QA engineer",2,0,"","Automation QA",29,"мужской","Высшее","СумГУ","False","средний","до 10 человек","Стартап","Android"
"74","Львов",2800,100,"Senior Software Engineer",8,5,"C#/.NET","",32,"мужской","Высшее","Другой вуз","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"75","Киев",1700,500,"Software Engineer",3,1,"JavaScript","",28,"мужской","Высшее","Другой вуз","False","средний","до 1000 человек","Аутстаффинговая","Веб-разработка"
"76","Киев",3325,760,"Senior QA engineer",9,0.5,"","Automation QA",31,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Продуктовая","Gamedev"
"77","Киев",1200,0,"Project manager",10,6,"","",30,"женский","Два высших","Другой вуз","False","средний","до 1000 человек","Другая","Телекоммуникации"
"78","Черновцы",1200,300,"Software Engineer",0,3,"C#/.NET","",24,"мужской","Незаконченное высшее","Львовская Политехника","False","средний","до 200 человек","Аутсорсинговая","Корпоративные системы"
"79","Харьков",800,150,"Data Scientist / Data Analyst",5,5,"","",24,"мужской","Высшее","ХНУРЭ","False","продвинутый","до 50 человек","Продуктовая","Телекоммуникации,Другое"
"80","Ивано-Франковск",1180,200,"Software Engineer",5,4,"Other","",29,"мужской","Высшее","Другой вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Корпоративные системы"
"81","Киев",480,100,"Support",2,2,"","",25,"женский","Высшее","НТУУ «КПИ»","False","продвинутый","до 200 человек","Другая","Веб-разработка,Телекоммуникации"
"82","Харьков",3100,1900,"Senior Software Engineer",5,1,"JavaScript","",24,"мужской","Незаконченное высшее","ДонНТУ","False","ниже среднего","до 10 человек","Аутсорсинговая","Веб-разработка"
"83","Киев",400,200,"Junior Software Engineer",0,0,"PHP","",21,"женский","Незаконченное высшее","Другой вуз","True","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"84","Одесса",1800,500,"QA engineer",2,0,"","Manual QA",27,"мужской","Высшее","ОНПУ","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"85","Харьков",550,200,"Junior Software Engineer",1.5,1.5,"PHP","",24,"мужской","Высшее","ВНУ им. Даля","False","ниже среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"86","Львов",475,0,"Junior Software Engineer",0.5,0.5,"C#/.NET","",21,"мужской","Высшее","Львовская Политехника","True","выше среднего","до 1000 человек","Аутсорсинговая","Телекоммуникации,Корпоративные системы"
"87","Тернополь",250,0,"Junior Software Engineer",0.25,0.25,"Scala","",21,"женский","Незаконченное высшее","Другой вуз","True","средний","до 1000 человек","Аутстаффинговая","Веб-разработка"
"88","Днепр.",3000,0,"Senior Software Engineer",10,2,"Ruby/Rails","",30,"мужской","Высшее","ДонНУ","False","выше среднего","до 10 человек","Стартап","Веб-разработка"
"89","Днепр.",3400,200,"Senior Software Engineer",10,2,"C#/.NET","",41,"мужской","Высшее","Другой вуз","False","выше среднего","до 200 человек","Продуктовая","Веб-разработка,Другое"
"90","Киев",1200,600,"Junior Software Engineer",1,1,"Java","",21,"мужской","Высшее","КНУ им. Шевченко","True","продвинутый","до 50 человек","Продуктовая","Финансы и банки,Корпоративные системы"
"91","Одесса",3000,1000,"Senior Software Engineer",6,0.5,"JavaScript","",25,"мужской","Незаконченное высшее","Другой вуз","False","средний","до 50 человек","Продуктовая","Веб-разработка"
"92","Львов",1790,290,"Software Engineer",4,0.5,"C++","",26,"мужской","Высшее","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","Embedded,Системное программирование"
"93","Киев",4964,700,"Senior Software Engineer",6,1.5,"C#/.NET","",28,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Веб-разработка,eCommerce"
"94","Киев",350,50,"Junior QA engineer",1,1,"","Manual QA",25,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 50 человек","Продуктовая","Gamedev"
"95","Днепр.",450,101,"QA engineer",2,1,"","Manual QA",26,"женский","Высшее","Другой вуз","False","выше среднего","до 50 человек","Аутсорсинговая","Android,iOS"
"96","Харьков",2375,100,"Software Engineer",5,5,"Java","",32,"мужской","Высшее","НТУ «ХПИ»","False","средний","свыше 1000 человек","Аутстаффинговая","Android"
"97","Киев",1900,200,"QA engineer",4,4,"","General QA",26,"женский","Высшее","НАУ","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Embedded"
"98","Киев",2100,100,"Software Engineer",5,5,"C++","",27,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Продуктовая","Desktop Applications"
"99","Киев",500,0,"Business analyst",1,0.5,"","",28,"мужской","Два высших","НТУУ «КПИ»","False","выше среднего","до 50 человек","Продуктовая","Android,iOS"
"100","Харьков",3325,665,"Senior Software Engineer",3,0.5,"PHP","",21,"мужской","Высшее","НТУ «ХПИ»","True","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"101","Киев",2500,300,"Senior QA engineer",4,2,"","Automation QA",25,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"102","Киев",100,-50,"Junior Software Engineer",1,0,"Java","",21,"мужской","Высшее","Другой вуз","False","ниже среднего","до 10 человек","Аутсорсинговая","Android"
"103","Винница",362,28,"Junior Software Engineer",1,1,"C#/.NET","",21,"мужской","Незаконченное высшее","ВНТУ","True","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"104","Днепр.",1000,200,"Project manager",3,1,"","",30,"женский","Высшее","ДНУ им. Гончара","False","продвинутый","до 10 человек","Аутсорсинговая","Android,iOS"
"105","Львов",3700,700,"Senior Software Engineer",9,0,"JavaScript","",27,"мужской","Высшее","Львовская Политехника","False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"106","Львов",1600,400,"Senior QA engineer",5,0,"","Manual QA",27,"мужской","Техникум / Колледж","","False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"107","Киев",880,500,"Junior Software Engineer",2,1.5,"PHP","",22,"мужской","Высшее","НТУУ «КПИ»","True","средний","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"108","Львов",300,0,"Junior Software Engineer",0,0,"JavaScript","",16,"мужской","Среднее","","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка"
"109","Киев",2400,0,"Project manager",4,1,"","",28,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 10 человек","Продуктовая","Другое"
"110","Киев",3900,400,"Senior Software Engineer",4,0.5,"Scala","",26,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Аутстаффинговая","Веб-разработка"
"111","Харьков",4100,1000,"Senior Software Engineer",10,0,"C#/.NET","",32,"мужской","Высшее","НТУ «ХПИ»","False","средний","до 1000 человек","Продуктовая","Веб-разработка"
"112","Киев",1300,500,"QA engineer",1.5,0,"","General QA",26,"мужской","Высшее","Другой вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"113","Киев",350,0,"Marketing",3,1,"","",26,"мужской","Высшее","НаУКМА","True","выше среднего","до 200 человек","Аутсорсинговая","Финансы и банки,eCommerce"
"114","Харьков",1500,900,"Software Engineer",2,0.5,"Java","",21,"мужской","Техникум / Колледж","","False","средний","до 50 человек","Аутстаффинговая","Веб-разработка,Другое"
"115","Киев",1300,120,"DBA",3,1.5,"","",26,"мужской","Высшее","КНУ им. Шевченко","False","ниже среднего","до 200 человек","Другая","Другое"
"116","Чернигов",2200,200,"Technical Lead",9,5,"PHP","",33,"мужской","Высшее","Другой вуз","False","выше среднего","до 200 человек","Аутсорсинговая","eCommerce"
"117","Киев",700,100,"Junior Software Engineer",4,1,"PHP","",30,"мужской","Высшее","Другой вуз","False","ниже среднего","до 50 человек","Продуктовая","eCommerce"
"118","Львов",700,0,"HR",3,1,"","",28,"женский","Высшее","Другой вуз","False","выше среднего","до 50 человек","Аутстаффинговая",""
"119","Киев",2500,500,"Software Engineer",6,1.5,"PHP","",28,"мужской","Незаконченное высшее","Другой вуз","False","средний","до 200 человек","Продуктовая","Веб-разработка"
"120","Киев",2500,850,"Software Engineer",3,0,"C#/.NET","",25,"мужской","Высшее","ГУТ","False","средний","до 200 человек","Аутсорсинговая","Android,iOS"
"121","Киев",4800,1300,"Team lead",10,0.5,"","",35,"мужской","Высшее","Львовская Политехника","False","продвинутый","свыше 1000 человек","Аутстаффинговая","eCommerce"
"122","Киев",3500,0,"Team lead",10,5,"","",30,"мужской","Высшее","Другой вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки,Корпоративные системы"
"123","Харьков",800,300,"Junior Software Engineer",1.5,1,"C#/.NET","",21,"мужской","Незаконченное высшее","НТУ «ХПИ»","True","средний","до 1000 человек","Аутсорсинговая","Windows Phone,Веб-разработка"
"124","Днепр.",800,200,"QA engineer",3,0.5,"","General QA",36,"мужской","Высшее","ДНУ им. Гончара","False","продвинутый","до 10 человек","Другая","Веб-разработка,Корпоративные системы"
"125","Киев",1300,500,"QA engineer",2,2,"","General QA",28,"женский","Высшее","КНУСА","False","выше среднего","до 10 человек","Аутсорсинговая",""
"126","Другой",4000,500,"Senior Software Engineer",5,1.5,"Java","",32,"мужской","Высшее","Другой вуз","False","выше среднего","до 200 человек","Продуктовая","Android"
"127","Киев",4200,0,"Senior Software Engineer",10,4,"C++","",35,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 10 человек","Продуктовая","Системное программирование,Корпоративные системы"
"128","Другой",5000,150,"Senior Software Engineer",10,10,"C#/.NET","",41,"мужской","Высшее","ОНПУ","False","выше среднего","до 50 человек","Продуктовая","Desktop Applications,Корпоративные системы"
"129","Киев",3500,500,"Senior Software Engineer",5,0.5,"Objective-C","",27,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 50 человек","Продуктовая","iOS"
"130","Днепр.",2200,200,"Software Engineer",5,3,"Python","",26,"мужской","Высшее","ДНУ им. Гончара","False","продвинутый","до 50 человек","Продуктовая","Веб-разработка"
"131","Одесса",3500,0,"Senior Software Engineer",8,2,"SQL","",32,"мужской","Незаконченное высшее","ОНПУ","False","выше среднего","до 1000 человек","Аутсорсинговая","Финансы и банки,Корпоративные системы"
"132","Киев",2000,1000,"Software Engineer",3,0.25,"PHP","",23,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 200 человек","Продуктовая","Веб-разработка"
"133","Киев",3500,1600,"Senior Software Engineer",5,0,"Objective-C","",27,"мужской","Высшее","Другой вуз","False","выше среднего","до 10 человек","Аутстаффинговая","iOS"
"134","Киев",4000,0,"Senior Software Engineer",7,0.25,"Java","",47,"мужской","Незаконченное высшее","Другой вуз","False","ниже среднего","свыше 1000 человек","Аутсорсинговая","Android"
"135","Днепр.",400,100,"Software Engineer",1.5,1.5,"JavaScript","",25,"мужской","Высшее","НГУ [Днепропетровск]","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"136","Полтава",1300,200,"Software Engineer",6,6,"PHP","",26,"мужской","Высшее","ДНУ им. Гончара","False","средний","до 50 человек","Продуктовая","Телекоммуникации,eCommerce"
"137","Львов",665,300,"Junior Software Engineer",2,1,"Java","",24,"мужской","Высшее","Львовская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"138","Харьков",4000,500,"Senior Software Engineer",9,0.25,"Scala","",31,"мужской","Высшее","НТУ «ХПИ»","False","продвинутый","до 10 человек","Другая","Другое"
"139","Херсон",1000,200,"Senior Software Engineer",3,3,"PHP","",25,"мужской","Высшее","Другой вуз","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка,Мультимедиа"
"140","Киев",2700,300,"Software Engineer",6,1.5,"PHP","",30,"мужской","Два высших","Львовская Политехника","False","ниже среднего","до 200 человек","Продуктовая","Веб-разработка,Финансы и банки"
"141","Днепр.",2400,400,"Software Engineer",5,2,"PHP","",27,"мужской","Высшее","ДНУЖТ","False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"142","Киев",1300,500,"Software Engineer",2,2,"Java","",23,"мужской","Незаконченное высшее","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"143","Львов",1500,0,"Project manager",2,5,"","",31,"мужской","Высшее","Львовская Политехника","False","выше среднего","до 50 человек","Продуктовая","Gamedev"
"144","Киев",2500,300,"Senior Software Engineer",7,4,"C#/.NET","",30,"мужской","Два высших","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Desktop Applications,Веб-разработка"
"145","Киев",3500,1000,"Senior Software Engineer",10,0.5,"Java","",40,"мужской","Высшее","Другой вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"146","Киев",3000,500,"Senior Project Manager / Program Manager",5,0.5,"","",28,"женский","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","iOS,Веб-разработка"
"147","Киев",1700,700,"Software Engineer",3,0,"C#/.NET","",24,"мужской","Высшее","ДонНТУ","False","средний","до 1000 человек","Аутсорсинговая","Desktop Applications,Корпоративные системы"
"148","Киев",1200,700,"Project manager",1.5,1,"","",24,"мужской","Высшее","КНЭУ","False","продвинутый","до 50 человек","Аутсорсинговая","Android,iOS"
"149","Киев",600,80,"Software Engineer",5,3,"1С","",28,"мужской","Высшее","КНУ им. Шевченко","False","средний","до 10 человек","Продуктовая","Другое"
"150","Винница",2700,200,"Technical Lead",8,4,"JavaScript","",31,"мужской","Высшее","ДонНТУ","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"151","Харьков",850,100,"Software Engineer",1.5,1.5,"C#/.NET","",23,"мужской","Высшее","НТУ «ХПИ»","True","средний","до 200 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"152","Львов",3600,400,"Team lead",4,3,"","",28,"мужской","Высшее","Другой вуз","False","средний","до 1000 человек","Продуктовая","Android"
"153","Львов",3800,0,"System Architect",10,2,"Java","",34,"мужской","Высшее","ХНУРЭ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","eCommerce,Корпоративные системы"
"154","Харьков",2500,650,"Software Engineer",4,0,"Java","",25,"мужской","Высшее","НТУ «ХПИ»","False","выше среднего","до 1000 человек","Аутсорсинговая","Android"
"155","Одесса",2000,0,"QA engineer",4,0.5,"","Automation QA",28,"мужской","Высшее","ОНАС","False","средний","до 1000 человек","Аутстаффинговая","eCommerce"
"156","Харьков",600,0,"Software Engineer",1,1,"Java","",29,"мужской","Высшее","НТУ «ХПИ»","False","средний","до 1000 человек","Аутсорсинговая","Android,iOS"
